Kommune,År,Parameter,Forsyningskvalitet,Måltall,Andel,SortKommune
Telemark,2020-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.9940000000000001,1
Telemark,2020-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.9309999999999999,1
Telemark,2021-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.968,1
Telemark,2021-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.997,1
Telemark,2021-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.968,1
Telemark,2022-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.9259999999999999,1
Telemark,2022-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.9940000000000001,1
Telemark,2022-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.9309999999999999,1
Telemark,2023-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.725,1
Telemark,2023-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.7609999999999999,1
Telemark,2023-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.725,1
Telemark,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.935,1
Telemark,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.998,1
Telemark,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.935,1
Porsgrunn,2015-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2015-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2015-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2016-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2016-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2016-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2017-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2017-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2017-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2018-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2018-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2018-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2019-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2019-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2019-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2020-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2020-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2020-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2021-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2021-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2021-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2022-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2022-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2022-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2023-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.0,13
Porsgrunn,2023-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.0,13
Porsgrunn,2023-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.0,13
Porsgrunn,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,13
Porsgrunn,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,13
Skien,2015-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2015-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2015-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2016-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2016-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2016-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2017-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2017-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2017-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2018-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2018-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2018-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2019-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2019-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2019-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2020-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2020-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2020-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2021-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2021-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2021-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2022-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2022-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2022-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2023-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2023-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2023-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,16
Skien,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,16
Notodden,2015-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.99,12
Notodden,2015-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2015-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.99,12
Notodden,2016-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2016-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2016-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2017-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2017-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2017-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2018-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.99,12
Notodden,2018-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2018-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.99,12
Notodden,2019-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2019-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2019-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2020-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2020-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2020-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2021-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2021-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2021-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2022-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2022-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2022-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2023-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.966,12
Notodden,2023-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,12
Notodden,2023-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.966,12
Notodden,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.99,12
Notodden,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.99,12
Notodden,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.99,12
Siljan,2015-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2015-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2015-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2016-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2016-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2016-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2017-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.0,15
Siljan,2017-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2017-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.0,15
Siljan,2018-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2018-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2018-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2019-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2019-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2019-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2020-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.961,15
Siljan,2020-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.961,15
Siljan,2020-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.961,15
Siljan,2021-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2021-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2021-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2022-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2022-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2022-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2023-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.961,15
Siljan,2023-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.961,15
Siljan,2023-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.961,15
Siljan,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,15
Siljan,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,15
Bamble,2015-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2015-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2015-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2016-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2016-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2016-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2017-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2017-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2017-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2018-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2018-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2018-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2019-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2019-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2019-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2020-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2020-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2020-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2021-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2021-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2021-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2022-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2022-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2022-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2023-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2023-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2023-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,3
Bamble,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,3
Kragerø,2015-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2015-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2015-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2016-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2016-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2016-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2017-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2017-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2017-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2018-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.0,7
Kragerø,2018-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2018-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.0,7
Kragerø,2019-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.0,7
Kragerø,2019-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2019-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.0,7
Kragerø,2020-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.0,7
Kragerø,2020-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2020-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.0,7
Kragerø,2021-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2021-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2021-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2022-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.0,7
Kragerø,2022-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2022-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.0,7
Kragerø,2023-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2023-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2023-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,7
Kragerø,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,7
Drangedal,2015-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.0,4
Drangedal,2015-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.0,4
Drangedal,2015-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.0,4
Drangedal,2016-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.9209999999999999,4
Drangedal,2016-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.9209999999999999,4
Drangedal,2016-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2017-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2017-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2017-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2018-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2018-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2018-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2019-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2019-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2019-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2020-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2020-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2020-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2021-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2021-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2021-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2022-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2022-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2022-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2023-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2023-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2023-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,4
Drangedal,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,4
