Geografi,År,Kjønn,Alder,Krefttyper,Måltall,value
Hele landet,2009-2018,kjønn samlet,0-44 år,Brystkreft (C50),"per 100 000, standardisert",11.0657828552131
Hele landet,2009-2018,kjønn samlet,0-44 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2009-2018,kjønn samlet,0-44 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2009-2018,kjønn samlet,45-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",1109.40035528449
Hele landet,2009-2018,kjønn samlet,45-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",133.672954743275
Hele landet,2009-2018,kjønn samlet,45-74 år,Lungekreft (C33-34),"per 100 000, standardisert",114.493389440811
Hele landet,2009-2018,kjønn samlet,45-74 år,Hudkreft (C43-44),"per 100 000, standardisert",106.669889122375
Hele landet,2009-2018,kjønn samlet,45-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",67.0738218538391
Hele landet,2009-2018,kjønn samlet,45-74 år,Brystkreft (C50),"per 100 000, standardisert",128.546367054318
Hele landet,2009-2018,kjønn samlet,45-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2009-2018,kjønn samlet,45-74 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2009-2018,kjønn samlet,75 år og eldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",2950.4932463288
Hele landet,2009-2018,kjønn samlet,75 år og eldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",486.661365121454
Hele landet,2009-2018,kjønn samlet,75 år og eldre,Lungekreft (C33-34),"per 100 000, standardisert",310.377319568211
Hele landet,2009-2018,kjønn samlet,75 år og eldre,Hudkreft (C43-44),"per 100 000, standardisert",468.77638725935
Hele landet,2009-2018,kjønn samlet,75 år og eldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",137.656158703496
Hele landet,2009-2018,kjønn samlet,75 år og eldre,Brystkreft (C50),"per 100 000, standardisert",168.771334071598
Hele landet,2009-2018,kjønn samlet,75 år og eldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2009-2018,kjønn samlet,75 år og eldre,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2009-2018,menn,alle aldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",723.874315235708
Hele landet,2009-2018,menn,alle aldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",90.5382131589109
Hele landet,2009-2018,menn,alle aldre,Lungekreft (C33-34),"per 100 000, standardisert",70.2353449615952
Hele landet,2009-2018,menn,alle aldre,Hudkreft (C43-44),"per 100 000, standardisert",83.7669502537128
Hele landet,2009-2018,menn,alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",40.1103170915795
Hele landet,2009-2018,menn,alle aldre,Brystkreft (C50),"per 100 000, standardisert",1.13119525334698
Hele landet,2009-2018,menn,alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2009-2018,menn,alle aldre,Prostatakreft (C61),"per 100 000, standardisert",209.277297485637
Hele landet,2009-2018,menn,0-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",511.787825193599
Hele landet,2009-2018,menn,0-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",59.2560639059981
Hele landet,2009-2018,menn,0-74 år,Lungekreft (C33-34),"per 100 000, standardisert",46.8913640971061
Hele landet,2009-2018,menn,0-74 år,Hudkreft (C43-44),"per 100 000, standardisert",49.1046942145554
Hele landet,2009-2018,menn,0-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",30.8422674905749
Hele landet,2009-2018,menn,0-74 år,Brystkreft (C50),"per 100 000, standardisert",0.831864671308545
Hele landet,2009-2018,menn,0-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2009-2018,menn,0-74 år,Prostatakreft (C61),"per 100 000, standardisert",158.383764294308
Hele landet,2009-2018,menn,0-44 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",62.6197188292959
Hele landet,2009-2018,menn,0-44 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",4.39824531049389
Hele landet,2009-2018,menn,0-44 år,Lungekreft (C33-34),"per 100 000, standardisert",0.922913834314135
Hele landet,2009-2018,menn,0-44 år,Hudkreft (C43-44),"per 100 000, standardisert",7.41403355657609
Hele landet,2009-2018,menn,0-44 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",6.46455516766467
Hele landet,2009-2018,menn,0-44 år,Brystkreft (C50),"per 100 000, standardisert",:
Hele landet,2009-2018,menn,0-44 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2009-2018,menn,0-44 år,Prostatakreft (C61),"per 100 000, standardisert",0.604915958336239
Hele landet,2009-2018,menn,45-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",1235.89070578356
Hele landet,2009-2018,menn,45-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",147.970251671879
Hele landet,2009-2018,menn,45-74 år,Lungekreft (C33-34),"per 100 000, standardisert",120.987117385612
Hele landet,2009-2018,menn,45-74 år,Hudkreft (C43-44),"per 100 000, standardisert",116.092965656524
Hele landet,2009-2018,menn,45-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",69.9854994094402
Hele landet,2009-2018,menn,45-74 år,Brystkreft (C50),"per 100 000, standardisert",2.02593966577381
Hele landet,2009-2018,menn,45-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2009-2018,menn,45-74 år,Prostatakreft (C61),"per 100 000, standardisert",412.764153620112
Hele landet,2009-2018,menn,75 år og eldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",3890.07703360502
Hele landet,2009-2018,menn,75 år og eldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",558.484990103147
Hele landet,2009-2018,menn,75 år og eldre,Lungekreft (C33-34),"per 100 000, standardisert",419.028204934332
Hele landet,2009-2018,menn,75 år og eldre,Hudkreft (C43-44),"per 100 000, standardisert",601.387391030915
Hele landet,2009-2018,menn,75 år og eldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",177.911146867453
Hele landet,2009-2018,menn,75 år og eldre,Brystkreft (C50),"per 100 000, standardisert",5.61241635713856
Hele landet,2009-2018,menn,75 år og eldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2009-2018,menn,75 år og eldre,Prostatakreft (C61),"per 100 000, standardisert",969.618779264039
Hele landet,2009-2018,kvinner,alle aldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",597.18721465364
Hele landet,2009-2018,kvinner,alle aldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",82.7320346543339
Hele landet,2009-2018,kvinner,alle aldre,Lungekreft (C33-34),"per 100 000, standardisert",59.242160557972
Hele landet,2009-2018,kvinner,alle aldre,Hudkreft (C43-44),"per 100 000, standardisert",73.5893079899393
Hele landet,2009-2018,kvinner,alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",38.6167694162241
Hele landet,2009-2018,kvinner,alle aldre,Brystkreft (C50),"per 100 000, standardisert",129.530981795376
Hele landet,2009-2018,kvinner,alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.2655017372693
Hele landet,2009-2018,kvinner,alle aldre,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2009-2018,kvinner,0-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",439.166707702626
Hele landet,2009-2018,kvinner,0-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",49.2722983434821
Hele landet,2009-2018,kvinner,0-74 år,Lungekreft (C33-34),"per 100 000, standardisert",42.8932293409978
Hele landet,2009-2018,kvinner,0-74 år,Hudkreft (C43-44),"per 100 000, standardisert",45.50517570917
Hele landet,2009-2018,kvinner,0-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",32.071229709329
Hele landet,2009-2018,kvinner,0-74 år,Brystkreft (C50),"per 100 000, standardisert",114.446365167386
Hele landet,2009-2018,kvinner,0-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.2635921406661
Hele landet,2009-2018,kvinner,0-74 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2009-2018,kvinner,0-44 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",92.8904683846196
Hele landet,2009-2018,kvinner,0-44 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",4.7937774181459
Hele landet,2009-2018,kvinner,0-44 år,Lungekreft (C33-34),"per 100 000, standardisert",1.18604500368901
Hele landet,2009-2018,kvinner,0-44 år,Hudkreft (C43-44),"per 100 000, standardisert",12.3053108680013
Hele landet,2009-2018,kvinner,0-44 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",11.4883095966241
Hele landet,2009-2018,kvinner,0-44 år,Brystkreft (C50),"per 100 000, standardisert",22.6664111374905
Hele landet,2009-2018,kvinner,0-44 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",11.1665593297905
Hele landet,2009-2018,kvinner,0-44 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2009-2018,kvinner,45-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",980.941205687182
Hele landet,2009-2018,kvinner,45-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",119.068464897219
Hele landet,2009-2018,kvinner,45-74 år,Lungekreft (C33-34),"per 100 000, standardisert",108.018855670555
Hele landet,2009-2018,kvinner,45-74 år,Hudkreft (C43-44),"per 100 000, standardisert",97.1329903926348
Hele landet,2009-2018,kvinner,45-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",64.093816066463
Hele landet,2009-2018,kvinner,45-74 år,Brystkreft (C50),"per 100 000, standardisert",258.123008923661
Hele landet,2009-2018,kvinner,45-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",16.5723338750332
Hele landet,2009-2018,kvinner,45-74 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2009-2018,kvinner,75 år og eldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",2266.07294179629
Hele landet,2009-2018,kvinner,75 år og eldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",435.357318431831
Hele landet,2009-2018,kvinner,75 år og eldre,Lungekreft (C33-34),"per 100 000, standardisert",232.859901124902
Hele landet,2009-2018,kvinner,75 år og eldre,Hudkreft (C43-44),"per 100 000, standardisert",370.938490568822
Hele landet,2009-2018,kvinner,75 år og eldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",107.902335789588
Hele landet,2009-2018,kvinner,75 år og eldre,Brystkreft (C50),"per 100 000, standardisert",288.639355840942
Hele landet,2009-2018,kvinner,75 år og eldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.3168686394708
Hele landet,2009-2018,kvinner,75 år og eldre,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,alle aldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",663.232530204098
Hele landet,2010-2019,kjønn samlet,alle aldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",86.3506962246152
Hele landet,2010-2019,kjønn samlet,alle aldre,Lungekreft (C33-34),"per 100 000, standardisert",64.6289040061913
Hele landet,2010-2019,kjønn samlet,alle aldre,Hudkreft (C43-44),"per 100 000, standardisert",81.5654542805983
Hele landet,2010-2019,kjønn samlet,alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",40.5596573453368
Hele landet,2010-2019,kjønn samlet,alle aldre,Brystkreft (C50),"per 100 000, standardisert",65.9799046459629
Hele landet,2010-2019,kjønn samlet,alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,alle aldre,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,0-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",476.421170187023
Hele landet,2010-2019,kjønn samlet,0-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",54.2433908791587
Hele landet,2010-2019,kjønn samlet,0-74 år,Lungekreft (C33-34),"per 100 000, standardisert",44.4950045661694
Hele landet,2010-2019,kjønn samlet,0-74 år,Hudkreft (C43-44),"per 100 000, standardisert",48.5273379419962
Hele landet,2010-2019,kjønn samlet,0-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",32.1794013340005
Hele landet,2010-2019,kjønn samlet,0-74 år,Brystkreft (C50),"per 100 000, standardisert",57.3791088143251
Hele landet,2010-2019,kjønn samlet,0-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,0-74 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,0-44 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",77.7568426187748
Hele landet,2010-2019,kjønn samlet,0-44 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",4.83409964373181
Hele landet,2010-2019,kjønn samlet,0-44 år,Lungekreft (C33-34),"per 100 000, standardisert",1.01902159926397
Hele landet,2010-2019,kjønn samlet,0-44 år,Hudkreft (C43-44),"per 100 000, standardisert",9.82605911715005
Hele landet,2010-2019,kjønn samlet,0-44 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",8.9306701020648
Hele landet,2010-2019,kjønn samlet,0-44 år,Brystkreft (C50),"per 100 000, standardisert",11.4468157633101
Hele landet,2010-2019,kjønn samlet,0-44 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,0-44 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,45-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",1109.78109079953
Hele landet,2010-2019,kjønn samlet,45-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",132.883545696881
Hele landet,2010-2019,kjønn samlet,45-74 år,Lungekreft (C33-34),"per 100 000, standardisert",113.507971172504
Hele landet,2010-2019,kjønn samlet,45-74 år,Hudkreft (C43-44),"per 100 000, standardisert",109.820191879693
Hele landet,2010-2019,kjønn samlet,45-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",68.993897527704
Hele landet,2010-2019,kjønn samlet,45-74 år,Brystkreft (C50),"per 100 000, standardisert",130.381937135065
Hele landet,2010-2019,kjønn samlet,45-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,45-74 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,75 år og eldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",2981.59510063151
Hele landet,2010-2019,kjønn samlet,75 år og eldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",484.741436883447
Hele landet,2010-2019,kjønn samlet,75 år og eldre,Lungekreft (C33-34),"per 100 000, standardisert",314.681149029889
Hele landet,2010-2019,kjønn samlet,75 år og eldre,Hudkreft (C43-44),"per 100 000, standardisert",491.977869461369
Hele landet,2010-2019,kjønn samlet,75 år og eldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",144.394448810666
Hele landet,2010-2019,kjønn samlet,75 år og eldre,Brystkreft (C50),"per 100 000, standardisert",172.722181019608
Hele landet,2010-2019,kjønn samlet,75 år og eldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,75 år og eldre,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,menn,alle aldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",723.02936241072
Hele landet,2010-2019,menn,alle aldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",90.0954141934265
Hele landet,2010-2019,menn,alle aldre,Lungekreft (C33-34),"per 100 000, standardisert",69.0126489726448
Hele landet,2010-2019,menn,alle aldre,Hudkreft (C43-44),"per 100 000, standardisert",86.5786885752415
Hele landet,2010-2019,menn,alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",41.3560358156214
Hele landet,2010-2019,menn,alle aldre,Brystkreft (C50),"per 100 000, standardisert",1.1513378062521
Hele landet,2010-2019,menn,alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,menn,alle aldre,Prostatakreft (C61),"per 100 000, standardisert",206.48099429693
Hele landet,2010-2019,menn,0-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",509.355903983633
Hele landet,2010-2019,menn,0-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",58.979166004534
Hele landet,2010-2019,menn,0-74 år,Lungekreft (C33-34),"per 100 000, standardisert",45.6673531061757
Hele landet,2010-2019,menn,0-74 år,Hudkreft (C43-44),"per 100 000, standardisert",50.1008537575061
Hele landet,2010-2019,menn,0-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",31.5939830537987
Hele landet,2010-2019,menn,0-74 år,Brystkreft (C50),"per 100 000, standardisert",0.795101584171575
Hele landet,2010-2019,menn,0-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,menn,0-74 år,Prostatakreft (C61),"per 100 000, standardisert",156.124819648416
Hele landet,2010-2019,menn,0-44 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",62.2444966180282
Hele landet,2010-2019,menn,0-44 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",4.58443969577994
Hele landet,2010-2019,menn,0-44 år,Lungekreft (C33-34),"per 100 000, standardisert",0.890942520789565
Hele landet,2010-2019,menn,0-44 år,Hudkreft (C43-44),"per 100 000, standardisert",7.40659652676105
Hele landet,2010-2019,menn,0-44 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",6.48226667467594
Hele landet,2010-2019,menn,0-44 år,Brystkreft (C50),"per 100 000, standardisert",:
Hele landet,2010-2019,menn,0-44 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,menn,0-44 år,Prostatakreft (C61),"per 100 000, standardisert",0.605085362058874
Hele landet,2010-2019,menn,45-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",1230.19539712833
Hele landet,2010-2019,menn,45-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",146.854461980317
Hele landet,2010-2019,menn,45-74 år,Lungekreft (C33-34),"per 100 000, standardisert",117.84928747911
Hele landet,2010-2019,menn,45-74 år,Hudkreft (C43-44),"per 100 000, standardisert",118.780767691004
Hele landet,2010-2019,menn,45-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",71.973384074668
Hele landet,2010-2019,menn,45-74 år,Brystkreft (C50),"per 100 000, standardisert",1.93479663617635
Hele landet,2010-2019,menn,45-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,menn,45-74 år,Prostatakreft (C61),"per 100 000, standardisert",406.869801602972
Hele landet,2010-2019,menn,75 år og eldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",3913.24372206905
Hele landet,2010-2019,menn,75 år og eldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",555.657946471786
Hele landet,2010-2019,menn,75 år og eldre,Lungekreft (C33-34),"per 100 000, standardisert",417.759893802231
Hele landet,2010-2019,menn,75 år og eldre,Hudkreft (C43-44),"per 100 000, standardisert",631.163260831251
Hele landet,2010-2019,menn,75 år og eldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",186.660040148342
Hele landet,2010-2019,menn,75 år og eldre,Brystkreft (C50),"per 100 000, standardisert",6.43853265800594
Hele landet,2010-2019,menn,75 år og eldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,menn,75 år og eldre,Prostatakreft (C61),"per 100 000, standardisert",958.82206476429
Hele landet,2010-2019,kvinner,alle aldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",603.280849543304
Hele landet,2010-2019,kvinner,alle aldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",82.6250494827945
Hele landet,2010-2019,kvinner,alle aldre,Lungekreft (C33-34),"per 100 000, standardisert",60.3367734914576
Hele landet,2010-2019,kvinner,alle aldre,Hudkreft (C43-44),"per 100 000, standardisert",76.5081452743177
Hele landet,2010-2019,kvinner,alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",39.739937207929
Hele landet,2010-2019,kvinner,alle aldre,Brystkreft (C50),"per 100 000, standardisert",131.894908794321
Hele landet,2010-2019,kvinner,alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.5189858948908
Hele landet,2010-2019,kvinner,alle aldre,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,kvinner,0-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",442.429803711209
Hele landet,2010-2019,kvinner,0-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",49.3133381292907
Hele landet,2010-2019,kvinner,0-74 år,Lungekreft (C33-34),"per 100 000, standardisert",43.3127203722349
Hele landet,2010-2019,kvinner,0-74 år,Hudkreft (C43-44),"per 100 000, standardisert",46.9143177834414
Hele landet,2010-2019,kvinner,0-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",32.7878689932614
Hele landet,2010-2019,kvinner,0-74 år,Brystkreft (C50),"per 100 000, standardisert",116.432123196096
Hele landet,2010-2019,kvinner,0-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.5376756928938
Hele landet,2010-2019,kvinner,0-74 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,kvinner,0-44 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",94.1509030432215
Hele landet,2010-2019,kvinner,0-44 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",5.09674557661253
Hele landet,2010-2019,kvinner,0-44 år,Lungekreft (C33-34),"per 100 000, standardisert",1.15411411195992
Hele landet,2010-2019,kvinner,0-44 år,Hudkreft (C43-44),"per 100 000, standardisert",12.3782685667277
Hele landet,2010-2019,kvinner,0-44 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",11.5142258812725
Hele landet,2010-2019,kvinner,0-44 år,Brystkreft (C50),"per 100 000, standardisert",23.4496755495742
Hele landet,2010-2019,kvinner,0-44 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",11.4851583599703
Hele landet,2010-2019,kvinner,0-44 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,kvinner,45-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",987.188524719661
Hele landet,2010-2019,kvinner,45-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",118.603134746727
Hele landet,2010-2019,kvinner,45-74 år,Lungekreft (C33-34),"per 100 000, standardisert",109.168707869392
Hele landet,2010-2019,kvinner,45-74 år,Hudkreft (C43-44),"per 100 000, standardisert",100.719693295575
Hele landet,2010-2019,kvinner,45-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",65.9441899804516
Hele landet,2010-2019,kvinner,45-74 år,Brystkreft (C50),"per 100 000, standardisert",261.908448851858
Hele landet,2010-2019,kvinner,45-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",16.7642393434269
Hele landet,2010-2019,kvinner,45-74 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,kvinner,75 år og eldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",2300.89847771998
Hele landet,2010-2019,kvinner,75 år og eldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",433.807401903863
Hele landet,2010-2019,kvinner,75 år og eldre,Lungekreft (C33-34),"per 100 000, standardisert",240.537839640401
Hele landet,2010-2019,kvinner,75 år og eldre,Hudkreft (C43-44),"per 100 000, standardisert",389.331495659189
Hele landet,2010-2019,kvinner,75 år og eldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",113.178898214203
Hele landet,2010-2019,kvinner,75 år og eldre,Brystkreft (C50),"per 100 000, standardisert",294.961254113143
Hele landet,2010-2019,kvinner,75 år og eldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.3507584539964
Hele landet,2010-2019,kvinner,75 år og eldre,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2011-2020,kjønn samlet,alle aldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",665.17808429585
