Geografi,År,Kjønn,Alder,Dødsårsaker,Måltall,Verdi
Hele landet,2017,menn,45-74 år,Føflekkreft,"per 100.000, standardisert",:
Hele landet,2017,menn,45-74 år,Lungekreft,"per 100.000, standardisert",69.6219522906277
Hele landet,2017,menn,45-74 år,Magekreft,"per 100.000, standardisert",:
Hele landet,2017,menn,45-74 år,Prostatakreft,"per 100.000, standardisert",:
Hele landet,2017,menn,45-74 år,Tykktarmskreft,"per 100.000, standardisert",30.336394647236
Hele landet,2017,menn,45-74 år,Hjerte- og karsykdommer,"per 100.000, standardisert",162.510753524472
Hele landet,2017,menn,45-74 år,Lungesykdommer,"per 100.000, standardisert",56.8829596636836
Hele landet,2017,menn,45-74 år,Fordøyelsessykdommer,"per 100.000, standardisert",27.3141596575726
Hele landet,2017,menn,45-74 år,Voldsomme dødsfall,"per 100.000, standardisert",53.890089639406
Hele landet,2017,menn,45-74 år,Ulykker,"per 100.000, standardisert",34.1376623299269
Hele landet,2017,menn,45-74 år,Trafikkulykker,"per 100.000, standardisert",3.22202029142912
Hele landet,2017,menn,45-74 år,Selvmord,"per 100.000, standardisert",18.8727056818364
Hele landet,2017,menn,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2017,menn,75+ år,Alle dødsårsaker,"per 100.000, standardisert",7192.39010997447
Hele landet,2017,menn,75+ år,Diabetes,"per 100.000, standardisert",107.393476205846
Hele landet,2017,menn,75+ år,Kreft,"per 100.000, standardisert",1843.35824822161
Hele landet,2017,menn,75+ år,Brystkreft,"per 100.000, standardisert",:
Hele landet,2017,menn,75+ år,Føflekkreft,"per 100.000, standardisert",50.8531676651822
Hele landet,2017,menn,75+ år,Lungekreft,"per 100.000, standardisert",328.944579674569
Hele landet,2017,menn,75+ år,Magekreft,"per 100.000, standardisert",43.6026044019511
Hele landet,2017,menn,75+ år,Prostatakreft,"per 100.000, standardisert",430.277644083931
Hele landet,2017,menn,75+ år,Tykktarmskreft,"per 100.000, standardisert",184.142127887491
Hele landet,2017,menn,75+ år,Hjerte- og karsykdommer,"per 100.000, standardisert",1985.58825481953
Hele landet,2017,menn,75+ år,Lungesykdommer,"per 100.000, standardisert",942.259856024366
Hele landet,2017,menn,75+ år,Fordøyelsessykdommer,"per 100.000, standardisert",210.897295671838
Hele landet,2017,menn,75+ år,Voldsomme dødsfall,"per 100.000, standardisert",314.795002546691
Hele landet,2017,menn,75+ år,Ulykker,"per 100.000, standardisert",294.047232124685
Hele landet,2017,menn,75+ år,Trafikkulykker,"per 100.000, standardisert",7.4300942415913
Hele landet,2017,menn,75+ år,Selvmord,"per 100.000, standardisert",20.3813994004274
Hele landet,2017,menn,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",724.503974701732
Hele landet,2017,kvinner,alle aldre,Alle dødsårsaker,"per 100.000, standardisert",838.394480265587
Hele landet,2017,kvinner,alle aldre,Diabetes,"per 100.000, standardisert",12.4099049293018
Hele landet,2017,kvinner,alle aldre,Kreft,"per 100.000, standardisert",211.836663448657
Hele landet,2017,kvinner,alle aldre,Brystkreft,"per 100.000, standardisert",23.816942270869
Hele landet,2017,kvinner,alle aldre,Føflekkreft,"per 100.000, standardisert",5.06433928010199
Hele landet,2017,kvinner,alle aldre,Lungekreft,"per 100.000, standardisert",41.4140898167354
Hele landet,2017,kvinner,alle aldre,Magekreft,"per 100.000, standardisert",5.2055409708531
Hele landet,2017,kvinner,alle aldre,Prostatakreft,"per 100.000, standardisert",:
Hele landet,2017,kvinner,alle aldre,Tykktarmskreft,"per 100.000, standardisert",25.0286241940015
Hele landet,2017,kvinner,alle aldre,Hjerte- og karsykdommer,"per 100.000, standardisert",211.921918562453
Hele landet,2017,kvinner,alle aldre,Lungesykdommer,"per 100.000, standardisert",100.165963757655
Hele landet,2017,kvinner,alle aldre,Fordøyelsessykdommer,"per 100.000, standardisert",27.5723894956918
Hele landet,2017,kvinner,alle aldre,Voldsomme dødsfall,"per 100.000, standardisert",40.332603501277
Hele landet,2017,kvinner,alle aldre,Ulykker,"per 100.000, standardisert",32.5062843013372
Hele landet,2017,kvinner,alle aldre,Trafikkulykker,"per 100.000, standardisert",1.28637213120799
Hele landet,2017,kvinner,alle aldre,Selvmord,"per 100.000, standardisert",7.32076769466454
Hele landet,2017,kvinner,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",88.3839783148502
Hele landet,2017,kvinner,0-74 år,Alle dødsårsaker,"per 100.000, standardisert",219.931844521427
Hele landet,2017,kvinner,0-74 år,Diabetes,"per 100.000, standardisert",2.60705706454841
Hele landet,2017,kvinner,0-74 år,Kreft,"per 100.000, standardisert",108.913779301513
Hele landet,2017,kvinner,0-74 år,Brystkreft,"per 100.000, standardisert",14.7916535456611
Hele landet,2017,kvinner,0-74 år,Føflekkreft,"per 100.000, standardisert",2.44432445650868
Hele landet,2017,kvinner,0-74 år,Lungekreft,"per 100.000, standardisert",24.4039845579466
Hele landet,2017,kvinner,0-74 år,Magekreft,"per 100.000, standardisert",2.77267954195068
Hele landet,2017,kvinner,0-74 år,Prostatakreft,"per 100.000, standardisert",:
Hele landet,2017,kvinner,0-74 år,Tykktarmskreft,"per 100.000, standardisert",9.89010443926194
Hele landet,2017,kvinner,0-74 år,Hjerte- og karsykdommer,"per 100.000, standardisert",29.257632801288
Hele landet,2017,kvinner,0-74 år,Lungesykdommer,"per 100.000, standardisert",20.4336559127352
Hele landet,2017,kvinner,0-74 år,Fordøyelsessykdommer,"per 100.000, standardisert",6.90701400508782
Hele landet,2017,kvinner,0-74 år,Voldsomme dødsfall,"per 100.000, standardisert",15.9424328527965
Hele landet,2017,kvinner,0-74 år,Ulykker,"per 100.000, standardisert",7.74081039448965
Hele landet,2017,kvinner,0-74 år,Trafikkulykker,"per 100.000, standardisert",0.991376728643348
Hele landet,2017,kvinner,0-74 år,Selvmord,"per 100.000, standardisert",7.6823169947806
Hele landet,2017,kvinner,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",38.5094126802137
Hele landet,2017,kvinner,0-44 år,Alle dødsårsaker,"per 100.000, standardisert",29.9077430275951
Hele landet,2017,kvinner,0-44 år,Diabetes,"per 100.000, standardisert",:
Hele landet,2017,kvinner,0-44 år,Kreft,"per 100.000, standardisert",7.96982847829131
Hele landet,2017,kvinner,0-44 år,Brystkreft,"per 100.000, standardisert",1.19830579866557
Hele landet,2017,kvinner,0-44 år,Føflekkreft,"per 100.000, standardisert",:
Hele landet,2017,kvinner,0-44 år,Lungekreft,"per 100.000, standardisert",0.483941437699227
Hele landet,2017,kvinner,0-44 år,Magekreft,"per 100.000, standardisert",:
Hele landet,2017,kvinner,0-44 år,Prostatakreft,"per 100.000, standardisert",:
Hele landet,2017,kvinner,0-44 år,Tykktarmskreft,"per 100.000, standardisert",0.694506505938135
Hele landet,2017,kvinner,0-44 år,Hjerte- og karsykdommer,"per 100.000, standardisert",1.76511979581855
Hele landet,2017,kvinner,0-44 år,Lungesykdommer,"per 100.000, standardisert",0.415352937719318
Hele landet,2017,kvinner,0-44 år,Fordøyelsessykdommer,"per 100.000, standardisert",0.49670565673576
Hele landet,2017,kvinner,0-44 år,Voldsomme dødsfall,"per 100.000, standardisert",9.84132360755022
Hele landet,2017,kvinner,0-44 år,Ulykker,"per 100.000, standardisert",3.4927919841532
Hele landet,2017,kvinner,0-44 år,Trafikkulykker,"per 100.000, standardisert",0.808191531823239
Hele landet,2017,kvinner,0-44 år,Selvmord,"per 100.000, standardisert",5.79160479888653
Hele landet,2017,kvinner,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2017,kvinner,45-74 år,Alle dødsårsaker,"per 100.000, standardisert",512.331247709095
Hele landet,2017,kvinner,45-74 år,Diabetes,"per 100.000, standardisert",:
Hele landet,2017,kvinner,45-74 år,Kreft,"per 100.000, standardisert",264.208734403809
Hele landet,2017,kvinner,45-74 år,Brystkreft,"per 100.000, standardisert",35.7094657381314
Hele landet,2017,kvinner,45-74 år,Føflekkreft,"per 100.000, standardisert",:
Hele landet,2017,kvinner,45-74 år,Lungekreft,"per 100.000, standardisert",61.2165931215226
Hele landet,2017,kvinner,45-74 år,Magekreft,"per 100.000, standardisert",:
Hele landet,2017,kvinner,45-74 år,Prostatakreft,"per 100.000, standardisert",:
Hele landet,2017,kvinner,45-74 år,Tykktarmskreft,"per 100.000, standardisert",24.0534836185819
Hele landet,2017,kvinner,45-74 år,Hjerte- og karsykdommer,"per 100.000, standardisert",71.540900563164
Hele landet,2017,kvinner,45-74 år,Lungesykdommer,"per 100.000, standardisert",51.2379160759567
Hele landet,2017,kvinner,45-74 år,Fordøyelsessykdommer,"per 100.000, standardisert",16.7610602068211
Hele landet,2017,kvinner,45-74 år,Voldsomme dødsfall,"per 100.000, standardisert",25.2946226127481
Hele landet,2017,kvinner,45-74 år,Ulykker,"per 100.000, standardisert",14.2741633216905
Hele landet,2017,kvinner,45-74 år,Trafikkulykker,"per 100.000, standardisert",1.21919469379554
Hele landet,2017,kvinner,45-74 år,Selvmord,"per 100.000, standardisert",10.5815478667259
Hele landet,2017,kvinner,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2017,kvinner,75+ år,Alle dødsårsaker,"per 100.000, standardisert",6452.50418453966
Hele landet,2017,kvinner,75+ år,Diabetes,"per 100.000, standardisert",101.432950711379
Hele landet,2017,kvinner,75+ år,Kreft,"per 100.000, standardisert",1137.80068036818
Hele landet,2017,kvinner,75+ år,Brystkreft,"per 100.000, standardisert",104.105134105474
Hele landet,2017,kvinner,75+ år,Føflekkreft,"per 100.000, standardisert",28.8428055257366
Hele landet,2017,kvinner,75+ år,Lungekreft,"per 100.000, standardisert",190.625240033773
Hele landet,2017,kvinner,75+ år,Magekreft,"per 100.000, standardisert",27.4848075537452
Hele landet,2017,kvinner,75+ år,Prostatakreft,"per 100.000, standardisert",:
Hele landet,2017,kvinner,75+ år,Tykktarmskreft,"per 100.000, standardisert",162.17671222744
Hele landet,2017,kvinner,75+ år,Hjerte- og karsykdommer,"per 100.000, standardisert",1870.73530325675
Hele landet,2017,kvinner,75+ år,Lungesykdommer,"per 100.000, standardisert",825.012446224747
Hele landet,2017,kvinner,75+ år,Fordøyelsessykdommer,"per 100.000, standardisert",215.278105318116
Hele landet,2017,kvinner,75+ år,Voldsomme dødsfall,"per 100.000, standardisert",261.80569588953
Hele landet,2017,kvinner,75+ år,Ulykker,"per 100.000, standardisert",257.421837588092
Hele landet,2017,kvinner,75+ år,Trafikkulykker,"per 100.000, standardisert",3.98001228423174
Hele landet,2017,kvinner,75+ år,Selvmord,"per 100.000, standardisert",3.16957725689342
Hele landet,2017,kvinner,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",536.536998525776
Hele landet,2018,menn,alle aldre,Alle dødsårsaker,"per 100.000, standardisert",841.130479045704
Hele landet,2018,menn,alle aldre,Diabetes,"per 100.000, standardisert",13.3886091124856
Hele landet,2018,menn,alle aldre,Kreft,"per 100.000, standardisert",246.232692608923
Hele landet,2018,menn,alle aldre,Brystkreft,"per 100.000, standardisert",:
Hele landet,2018,menn,alle aldre,Føflekkreft,"per 100.000, standardisert",8.07224327847673
Hele landet,2018,menn,alle aldre,Lungekreft,"per 100.000, standardisert",49.6650316897573
Hele landet,2018,menn,alle aldre,Magekreft,"per 100.000, standardisert",6.75351353610152
Hele landet,2018,menn,alle aldre,Prostatakreft,"per 100.000, standardisert",40.3838931397594
Hele landet,2018,menn,alle aldre,Tykktarmskreft,"per 100.000, standardisert",25.0699781412486
Hele landet,2018,menn,alle aldre,Hjerte- og karsykdommer,"per 100.000, standardisert",206.966075798273
Hele landet,2018,menn,alle aldre,Lungesykdommer,"per 100.000, standardisert",91.8304389202875
Hele landet,2018,menn,alle aldre,Fordøyelsessykdommer,"per 100.000, standardisert",24.018793170534
Hele landet,2018,menn,alle aldre,Voldsomme dødsfall,"per 100.000, standardisert",63.5589181579585
Hele landet,2018,menn,alle aldre,Ulykker,"per 100.000, standardisert",45.23279589714
Hele landet,2018,menn,alle aldre,Trafikkulykker,"per 100.000, standardisert",2.97432929904339
Hele landet,2018,menn,alle aldre,Selvmord,"per 100.000, standardisert",17.7984793814038
Hele landet,2018,menn,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",93.1491104262837
Hele landet,2018,menn,0-74 år,Alle dødsårsaker,"per 100.000, standardisert",309.364967612871
Hele landet,2018,menn,0-74 år,Diabetes,"per 100.000, standardisert",5.38451577531444
Hele landet,2018,menn,0-74 år,Kreft,"per 100.000, standardisert",111.478958113009
Hele landet,2018,menn,0-74 år,Brystkreft,"per 100.000, standardisert",:
Hele landet,2018,menn,0-74 år,Føflekkreft,"per 100.000, standardisert",4.08496144934986
Hele landet,2018,menn,0-74 år,Lungekreft,"per 100.000, standardisert",26.9805643325532
Hele landet,2018,menn,0-74 år,Magekreft,"per 100.000, standardisert",3.09193079162423
Hele landet,2018,menn,0-74 år,Prostatakreft,"per 100.000, standardisert",8.50266783422507
Hele landet,2018,menn,0-74 år,Tykktarmskreft,"per 100.000, standardisert",10.1275346492592
Hele landet,2018,menn,0-74 år,Hjerte- og karsykdommer,"per 100.000, standardisert",61.4318142631203
Hele landet,2018,menn,0-74 år,Lungesykdommer,"per 100.000, standardisert",21.1528636215253
Hele landet,2018,menn,0-74 år,Fordøyelsessykdommer,"per 100.000, standardisert",10.8741972842166
Hele landet,2018,menn,0-74 år,Voldsomme dødsfall,"per 100.000, standardisert",40.9327351385288
Hele landet,2018,menn,0-74 år,Ulykker,"per 100.000, standardisert",22.5859273184269
Hele landet,2018,menn,0-74 år,Trafikkulykker,"per 100.000, standardisert",2.63806004650308
Hele landet,2018,menn,0-74 år,Selvmord,"per 100.000, standardisert",17.6075363763622
Hele landet,2018,menn,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",39.2276187187124
Hele landet,2018,menn,0-44 år,Alle dødsårsaker,"per 100.000, standardisert",55.6378269016718
Hele landet,2018,menn,0-44 år,Diabetes,"per 100.000, standardisert",:
Hele landet,2018,menn,0-44 år,Kreft,"per 100.000, standardisert",7.58694441409063
Hele landet,2018,menn,0-44 år,Brystkreft,"per 100.000, standardisert",:
Hele landet,2018,menn,0-44 år,Føflekkreft,"per 100.000, standardisert",:
Hele landet,2018,menn,0-44 år,Lungekreft,"per 100.000, standardisert",0.461874775385571
Hele landet,2018,menn,0-44 år,Magekreft,"per 100.000, standardisert",:
Hele landet,2018,menn,0-44 år,Prostatakreft,"per 100.000, standardisert",:
Hele landet,2018,menn,0-44 år,Tykktarmskreft,"per 100.000, standardisert",0.402762944203926
Hele landet,2018,menn,0-44 år,Hjerte- og karsykdommer,"per 100.000, standardisert",3.37338667660062
Hele landet,2018,menn,0-44 år,Lungesykdommer,"per 100.000, standardisert",0.660746065094279
Hele landet,2018,menn,0-44 år,Fordøyelsessykdommer,"per 100.000, standardisert",0.992879408862647
Hele landet,2018,menn,0-44 år,Voldsomme dødsfall,"per 100.000, standardisert",30.0142998727119
Hele landet,2018,menn,0-44 år,Ulykker,"per 100.000, standardisert",14.785194600171
Hele landet,2018,menn,0-44 år,Trafikkulykker,"per 100.000, standardisert",2.03563013305321
Hele landet,2018,menn,0-44 år,Selvmord,"per 100.000, standardisert",14.3240293194607
Hele landet,2018,menn,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2018,menn,45-74 år,Alle dødsårsaker,"per 100.000, standardisert",712.464854433991
Hele landet,2018,menn,45-74 år,Diabetes,"per 100.000, standardisert",:
Hele landet,2018,menn,45-74 år,Kreft,"per 100.000, standardisert",276.444376965959
Hele landet,2018,menn,45-74 år,Brystkreft,"per 100.000, standardisert",:
Hele landet,2018,menn,45-74 år,Føflekkreft,"per 100.000, standardisert",:
Hele landet,2018,menn,45-74 år,Lungekreft,"per 100.000, standardisert",69.0935800451252
Hele landet,2018,menn,45-74 år,Magekreft,"per 100.000, standardisert",:
Hele landet,2018,menn,45-74 år,Prostatakreft,"per 100.000, standardisert",:
Hele landet,2018,menn,45-74 år,Tykktarmskreft,"per 100.000, standardisert",25.5635062413962
Hele landet,2018,menn,45-74 år,Hjerte- og karsykdommer,"per 100.000, standardisert",153.641951330571
Hele landet,2018,menn,45-74 år,Lungesykdommer,"per 100.000, standardisert",53.6975718573878
Hele landet,2018,menn,45-74 år,Fordøyelsessykdommer,"per 100.000, standardisert",26.5600624247922
Hele landet,2018,menn,45-74 år,Voldsomme dødsfall,"per 100.000, standardisert",58.2477971237372
Hele landet,2018,menn,45-74 år,Ulykker,"per 100.000, standardisert",34.9455405161562
Hele landet,2018,menn,45-74 år,Trafikkulykker,"per 100.000, standardisert",3.59638013852541
Hele landet,2018,menn,45-74 år,Selvmord,"per 100.000, standardisert",22.8216443515178
Hele landet,2018,menn,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2018,menn,75+ år,Alle dødsårsaker,"per 100.000, standardisert",7077.65905250746
Hele landet,2018,menn,75+ år,Diabetes,"per 100.000, standardisert",107.698197992785
Hele landet,2018,menn,75+ år,Kreft,"per 100.000, standardisert",1816.93242803395
Hele landet,2018,menn,75+ år,Brystkreft,"per 100.000, standardisert",:
Hele landet,2018,menn,75+ år,Føflekkreft,"per 100.000, standardisert",53.9921967023264
Hele landet,2018,menn,75+ år,Lungekreft,"per 100.000, standardisert",309.079911947917
Hele landet,2018,menn,75+ år,Magekreft,"per 100.000, standardisert",50.6146826477675
Hele landet,2018,menn,75+ år,Prostatakreft,"per 100.000, standardisert",414.674088621184
Hele landet,2018,menn,75+ år,Tykktarmskreft,"per 100.000, standardisert",199.568537177491
Hele landet,2018,menn,75+ år,Hjerte- og karsykdommer,"per 100.000, standardisert",1916.69613375963
Hele landet,2018,menn,75+ år,Lungesykdommer,"per 100.000, standardisert",926.813920997745
Hele landet,2018,menn,75+ år,Fordøyelsessykdommer,"per 100.000, standardisert",178.733113965586
Hele landet,2018,menn,75+ år,Voldsomme dødsfall,"per 100.000, standardisert",335.419708774217
Hele landet,2018,menn,75+ år,Ulykker,"per 100.000, standardisert",315.260765117342
Hele landet,2018,menn,75+ år,Trafikkulykker,"per 100.000, standardisert",7.18567379883197
Hele landet,2018,menn,75+ år,Selvmord,"per 100.000, standardisert",19.7079632963668
Hele landet,2018,menn,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",723.817504653442
Hele landet,2018,kvinner,alle aldre,Alle dødsårsaker,"per 100.000, standardisert",826.566610949066
Hele landet,2018,kvinner,alle aldre,Diabetes,"per 100.000, standardisert",9.95973919337442
Hele landet,2018,kvinner,alle aldre,Kreft,"per 100.000, standardisert",209.870170222758
Hele landet,2018,kvinner,alle aldre,Brystkreft,"per 100.000, standardisert",26.1151666083935
Hele landet,2018,kvinner,alle aldre,Føflekkreft,"per 100.000, standardisert",4.72236443202243
Hele landet,2018,kvinner,alle aldre,Lungekreft,"per 100.000, standardisert",43.1144720535914
Hele landet,2018,kvinner,alle aldre,Magekreft,"per 100.000, standardisert",5.41823915673175
Hele landet,2018,kvinner,alle aldre,Prostatakreft,"per 100.000, standardisert",:
Hele landet,2018,kvinner,alle aldre,Tykktarmskreft,"per 100.000, standardisert",24.1283478314431
Hele landet,2018,kvinner,alle aldre,Hjerte- og karsykdommer,"per 100.000, standardisert",203.13490832493
Hele landet,2018,kvinner,alle aldre,Lungesykdommer,"per 100.000, standardisert",94.0767248488874
Hele landet,2018,kvinner,alle aldre,Fordøyelsessykdommer,"per 100.000, standardisert",25.7104613014384
Hele landet,2018,kvinner,alle aldre,Voldsomme dødsfall,"per 100.000, standardisert",42.7661332171584
Hele landet,2018,kvinner,alle aldre,Ulykker,"per 100.000, standardisert",34.5907866552909
Hele landet,2018,kvinner,alle aldre,Trafikkulykker,"per 100.000, standardisert",1.12055405068865
Hele landet,2018,kvinner,alle aldre,Selvmord,"per 100.000, standardisert",7.7173617256122
Hele landet,2018,kvinner,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",88.0610603553779
Hele landet,2018,kvinner,0-74 år,Alle dødsårsaker,"per 100.000, standardisert",211.672215085756
Hele landet,2018,kvinner,0-74 år,Diabetes,"per 100.000, standardisert",2.29460590676165
Hele landet,2018,kvinner,0-74 år,Kreft,"per 100.000, standardisert",101.795622427173
Hele landet,2018,kvinner,0-74 år,Brystkreft,"per 100.000, standardisert",14.6871338242934
Hele landet,2018,kvinner,0-74 år,Føflekkreft,"per 100.000, standardisert",2.57933343233875
Hele landet,2018,kvinner,0-74 år,Lungekreft,"per 100.000, standardisert",23.0620463451876
Hele landet,2018,kvinner,0-74 år,Magekreft,"per 100.000, standardisert",2.346625223639
Hele landet,2018,kvinner,0-74 år,Prostatakreft,"per 100.000, standardisert",:
Hele landet,2018,kvinner,0-74 år,Tykktarmskreft,"per 100.000, standardisert",9.1141645609765
Hele landet,2018,kvinner,0-74 år,Hjerte- og karsykdommer,"per 100.000, standardisert",26.3371371084183
Hele landet,2018,kvinner,0-74 år,Lungesykdommer,"per 100.000, standardisert",20.1121599030279
Hele landet,2018,kvinner,0-74 år,Fordøyelsessykdommer,"per 100.000, standardisert",7.24980341958837
Hele landet,2018,kvinner,0-74 år,Voldsomme dødsfall,"per 100.000, standardisert",17.446008349388
Hele landet,2018,kvinner,0-74 år,Ulykker,"per 100.000, standardisert",9.15436669562957
Hele landet,2018,kvinner,0-74 år,Trafikkulykker,"per 100.000, standardisert",0.980410298590696
Hele landet,2018,kvinner,0-74 år,Selvmord,"per 100.000, standardisert",7.87445082230975
Hele landet,2018,kvinner,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",37.3916458852007
Hele landet,2018,kvinner,0-44 år,Alle dødsårsaker,"per 100.000, standardisert",27.9423288362816
Hele landet,2018,kvinner,0-44 år,Diabetes,"per 100.000, standardisert",:
Hele landet,2018,kvinner,0-44 år,Kreft,"per 100.000, standardisert",8.34616541233183
Hele landet,2018,kvinner,0-44 år,Brystkreft,"per 100.000, standardisert",2.04632295777923
Hele landet,2018,kvinner,0-44 år,Føflekkreft,"per 100.000, standardisert",:
Hele landet,2018,kvinner,0-44 år,Lungekreft,"per 100.000, standardisert",0.417744812241046
Hele landet,2018,kvinner,0-44 år,Magekreft,"per 100.000, standardisert",:
Hele landet,2018,kvinner,0-44 år,Prostatakreft,"per 100.000, standardisert",:
