firfirmaid;stfstatusfirmaid;orfkode;firorgnr;firorgnrknytning;firfirmanavn1;firfirmanavn2;firpopnavn1;firpopnavn2;firgatenavn;firjuridisknavn;firgatenr;firgateoppgang;firgatepnr;gatepoststed;firpostboksadr;firpostboksnr;firpostboksnavn;firpostbokspnr;postbokspoststed;dmadresse;dmpostnr;dmpoststed;firtlfnr;firmobilnr;firfaxnr;firkommnr;firemail;firemailtype;firurl;firantansatt;firoms;firdriftres;koordinat_y;koordinat_x;koordinat_kvalitet;fyllandsdel;fylfylkenavn;knrkommnavn;bydbydelnr;bydbydelnavn;grunnkretsnr;grunnkretsnavn;konsernopporgnr;konsernoppnavn;konserntopporgnr;konserntoppnavn;etablertdato;selskapetsalder;tlklandkode;tlklandnavn;tlkverdensdelnr;tlkverdensdelnavn;nakkode1;naktittel1;nakkode2;naktittel2;nakkode3;naktittel3;nakkode4;naktittel4;nakkode5;naktittel5;nakkode6;naktittel6;nakkode7;naktittel7;nakkode8;naktittel8;nakkode9;naktittel9;nakkode10;naktittel10;kjedekode1;kjedetittel1;kjedekode2;kjedetittel2;kjedekode3;kjedetittel3;kjedekode4;kjedetittel4;kjedekode5;kjedetittel5;kjedekode6;kjedetittel6;kjedekode7;kjedetittel7;kjedekode8;kjedetittel8;kjedekode9;kjedetittel9;kjedekode10;kjedetittel10;firregtype;ansatt_kd;sektorkode;status_po;oms_kd;revi_orgnr;revi_navn;revi_rolle;revi_adresse;revi_postnr;revi_poststed;revi_land;crc;load_date;nakkategori2;nakkategori1;nakkategori3;nakkategori4;nakkategori5;firgateadresse;dl_navn;id_matrikkelen;regnskapsaar;adresseid;geo_x;geo_y;nakgruppekode1;nakgruppetekst1;nakgruppekode2;nakgruppetekst2;nakgruppekode3;nakgruppetekst3;nakgruppekode4;nakgruppetekst4;nakgruppekode5;nakgruppetekst5;nakgruppekode6;nakgruppetekst6;nakgruppekode7;nakgruppetekst7;nakgruppekode8;nakgruppetekst8;nakgruppekode9;nakgruppetekst9;nakgruppekode10;nakgruppetekst10;hovedgruppe;hovedgruppe_navn;grunnkrets_id;kommune_id;kommunenavn;fylke_id;fylkesnavn
16144898;1;ENK;821286492;;Christensen Consultant Service;;;;HUGINSVEG;CHRISTENSEN CONSULTANT SERVICE;1.0;;3946.0;Porsgrunn;;;;;;Huginsveg 1;3946;Porsgrunn;;;;4001;;B;;;0.0;0.0;195968.0;6565342.0;10.0;Østlandet;Telemark;PORSGRUNN;;;40010203.0;Tveten nord;;;;;23.08.2018 00:00:00;5.0;NO;Norway;1.0;Europa;33120.0;Reparasjon og vedlikehold av maskiner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0-1;Personlig næringsdrivende;Privat sektor;0-0,9;;;;;;;;EB8B616171CC9761;05.11.2025 03:14:43;33;3;331;3312;33120;Huginsveg 1, 3946 Porsgrunn;Marius André Kvernberg Christensen;41203308,000000000000000;;;0,000000000000000;0,000000000000000;C;Industri;;;;;;;;;;;;;;;;;;;0;;40010203.0;4001.0;Porsgrunn;40.0;Telemark
16145777;1;ENK;821291062;;Balus Frisør Babak Begi;;;;KIRKEGATA;BALUS FRISØR BABAK BEGI;43.0;;3919.0;Porsgrunn;;;;;;Kirkegata 43;3919;Porsgrunn;;;;4001;;B;;;0.0;0.0;193643.0;6568538.0;10.0;Østlandet;Telemark;PORSGRUNN;;;40011104.0;Sentrum nord;;;;;24.08.2018 00:00:00;5.0;NO;Norway;1.0;Europa;96210.0;Frisering og barbering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0-1;Personlig næringsdrivende;Privat sektor;0-0,9;;;;;;;;091521CE54A51C9B;05.11.2025 03:14:43;96;9;962;9621;96210;Kirkegata 43, 3919 Porsgrunn;Babak Begi;41203931,000000000000000;;;0,000000000000000;0,000000000000000;T;Annen tjenesteyting;;;;;;;;;;;;;;;;;;;0;;40011104.0;4001.0;Porsgrunn;40.0;Telemark
16146215;9;BEDR;821299292;921215509.0;Skien Eiendomsutvikling AS;;;;GULSET TERRASSE;SKIEN EIENDOMSUTVIKLING AS;10.0;;3718.0;Skien;;;;;;Gulset Terrasse 10;3718;Skien;;;;4003;;B;;;0.0;0.0;190451.0;6576140.0;10.0;Østlandet;Telemark;SKIEN;;;40031404.0;Strømdalåsen;;;;;04.07.2018 00:00:00;5.0;NO;Norway;1.0;Europa;68200.0;Utleie av egen eller leid fast eiendom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0-1;;;0-0,9;;;;;;;;23D5A120F54ACB36;05.11.2025 03:14:43;68;6;682;6820;68200;Gulset Terrasse 10, 3718 Skien;;41757219,000000000000000;;;0,000000000000000;0,000000000000000;M;Eiendomsvirksomhet;;;;;;;;;;;;;;;;;;;0;;40031404.0;4003.0;Skien;40.0;Telemark
16147643;1;AS;821313872;;Løkkebakken Regnskap og Rådgivning AS;;;;LØKKEBAKKEN;LØKKEBAKKEN REGNSKAP OG RÅDGIVNING AS;24.0;;3770.0;Kragerø;;;;;;Løkkebakken 24;3770;Kragerø;35987700.0;;;4014;;;;;2995.0;3.0;177713.0;6538912.0;10.0;Østlandet;Telemark;KRAGERØ;;;40140504.0;Løkka-Ths.heia;;;;;15.08.2018 00:00:00;7.0;NO;Norway;1.0;Europa;69202.0;Regnskapsføring og bokføring;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0-1;Private aksjeselskaper mv.;Privat sektor;1000-4999;935416779.0;DELOITTE SPINCO AS                                                       ;REVI  ;Dronning Eufemias gate 14                                                ;191.0;OSLO                                 ;NO   ;CB7C1413E8622071;05.11.2025 03:14:43;69;6;692;6920;69202;Løkkebakken 24, 3770 Kragerø;Linda Moe;81900030,000000000000000;2024.0;;0,000000000000000;0,000000000000000;N;Faglig, vitenskapelig og teknisk tjenesteyting;;;;;;;;;;;;;;;;;;;0;;40140504.0;4014.0;Kragerø;40.0;Telemark
16147656;9;BEDR;821315662;934899466.0;Coprian AS;;;;KLYVEÅSEN;COPRIAN AS;7.0;;3738.0;Skien;;;;;;Klyveåsen 7;3738;Skien;;48222178.0;;4003;;;;;0.0;0.0;191949.0;6569504.0;10.0;Østlandet;Telemark;SKIEN;;;40030816.0;Klyve 1;;;;;20.08.2018 00:00:00;6.0;NO;Norway;1.0;Europa;68200.0;Utleie av egen eller leid fast eiendom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0-1;;;0-0,9;;;;;;;;A7EFB1E3BA4D4214;05.11.2025 03:14:43;68;6;682;6820;68200;Klyveåsen 7, 3738 Skien;;41762406,000000000000000;;;0,000000000000000;0,000000000000000;M;Eiendomsvirksomhet;;;;;;;;;;;;;;;;;;;0;;40030816.0;4003.0;Skien;40.0;Telemark
16149606;1;BRL;821333032;;Heistad Brygge Borettslag;;;;JERNBANEGATA;HEISTAD BRYGGE BORETTSLAG;25.0;;3916.0;Porsgrunn;Postboks;44.0;;3901.0;Porsgrunn;Postboks 44;3901;Porsgrunn;;;;4001;pbbl@pbbl.no;A;;;9319.0;6830.0;194608.0;6567676.0;10.0;Østlandet;Telemark;PORSGRUNN;;;40010811.0;Porsgrunn sentrum øst;;;;;09.08.2018 00:00:00;6.0;NO;Norway;1.0;Europa;97001.0;Aktiviteter i borettslag og boligsameier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;0-1;Borettslag o.l.;Privat sektor;5000-9999;976389387.0;ERNST & YOUNG AS                                                         ;REVI  ;Stortorvet 7                                                             ;155.0;OSLO                                 ;NO   ;6A0F5F5A74F286AF;05.11.2025 03:14:43;97;9;970;9700;97001;Jernbanegata 25, 3916 Porsgrunn;;41223647,000000000000000;2024.0;;0,000000000000000;0,000000000000000;U;Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning;;;;;;;;;;;;;;;;;;;0;;40010811.0;4001.0;Porsgrunn;40.0;Telemark
16154581;1;FLI;821342392;;Dalaåi og Smøgåi Veglag;;;;VRÅVEGEN;DALAÅI OG SMØGÅI VEGLAG;1366.0;;3849.0;Vråliosen;;;;;;Vråvegen 1366;3849;Vråliosen;;;;4028;;B;;;0.0;0.0;115823.0;6598495.0;10.0;Østlandet;Telemark;KVITESEID;;;40280103.0;Søndre Vråvatn;;;;;26.06.2018 00:00:00;5.0;NO;Norway;1.0;Europa;68320.0;Eiendomsforvaltning på oppdrag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;0-1;Ideelle organisasjoner;Privat sektor;0-0,9;;;;;;;;537649CCED47B428;05.11.2025 03:14:43;68;6;683;6832;68320;Vråvegen 1366, 3849 Vråliosen;;134893113,000000000000000;;;0,000000000000000;0,000000000000000;M;Eiendomsvirksomhet;;;;;;;;;;;;;;;;;;;0;;40280103.0;4028.0;Kviteseid;40.0;Telemark
16152201;1;AS;821361222;;Ballong for Fest AS;;;;NEDRE SØLEN;BALLONG FOR FEST AS;5.0;;3913.0;Porsgrunn;;;;;;Nedre Sølen 5;3913;Porsgrunn;;;;4001;;;;;152.0;6.0;195502.0;6569013.0;10.0;Østlandet;Telemark;PORSGRUNN;;;40011005.0;Liane;;;;;17.08.2018 00:00:00;6.0;NO;Norway;1.0;Europa;47761.0;Detaljhandel med blomster, planter, gjødsel og plantevernmidler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0-1;Private aksjeselskaper mv.;Privat sektor;0-0,9;;;;;;;;45C654A07F904002;05.11.2025 03:14:43;47;4;477;4776;47761;Nedre Sølen 5, 3913 Porsgrunn;M-Tamer Mahmoud Baghdadi;41224092,000000000000000;2024.0;;0,000000000000000;0,000000000000000;G;Varehandel;;;;;;;;;;;;;;;;;;;0;;40011005.0;4001.0;Porsgrunn;40.0;Telemark
16155648;1;ENK;821393272;;Kiropraktor Kittilsen;;;;Rørvikveien;KIROPRAKTOR KITTILSEN;18.0;;3770.0;Kragerø;;;;;;Rørvikveien 18;3770;Kragerø;;;;4014;;B;;;0.0;0.0;176841.0;6538538.0;10.0;Østlandet;Telemark;KRAGERØ;;;40140402.0;Rørvik;;;;;13.09.2018 00:00:00;5.0;NO;Norway;1.0;Europa;86960.0;Aktiviteter innenfor tradisjonell, komplementær og alternativ medisin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0-1;Personlig næringsdrivende;Privat sektor;0-0,9;;;;;;;;D00EC69DAD782F31;05.11.2025 03:14:43;86;8;869;8696;86960;Rørvikveien 18, 3770 Kragerø;Christoffer Kittilsen;403324640,000000000000000;;;0,000000000000000;0,000000000000000;R;Helse- og sosialtjenester;;;;;;;;;;;;;;;;;;;0;;40140402.0;4014.0;Kragerø;40.0;Telemark
16155939;1;AS;821399092;;Myliana AS;;;;THOMESHEIVEIEN;MYLIANA AS;20.0;E;3770.0;Kragerø;;;;;;Thomesheiveien 20 E;3770;Kragerø;;;;4014;;;;;600.0;-42.0;177797.0;6538625.0;10.0;Østlandet;Telemark;KRAGERØ;;;40140503.0;Havna-Smedsbukta;;;;;05.07.2018 00:00:00;6.0;NO;Norway;1.0;Europa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;0-1;Private aksjeselskaper mv.;Privat sektor;0-0,9;;;;;;;;99AE5BE5E09F7B7A;05.11.2025 03:14:43;0;0;0;0;0;Thomesheiveien 20E, 3770 Kragerø;Øivind Tore Mylius;527280061,000000000000000;2024.0;;0,000000000000000;0,000000000000000;;;;;;;;;;;;;;;;;;;;;0;;40140503.0;4014.0;Kragerø;40.0;Telemark
16156889;1;AS;821409632;;Flex Siljan AS;;;;SENTRUMSVEIEN;FLEX SILJAN AS;44.0;;3748.0;Siljan;;;;;;Bryggevegen 2;3941;Porsgrunn;;;;4010;;;;;174.0;118.0;199702.0;6582936.0;10.0;Østlandet;Telemark;SILJAN;;;40100108.0;Serkland;923938826.0;Flex-Holding AS;21278407.0;;28.08.2018 00:00:00;6.0;NO;Norway;1.0;Europa;93130.0;Treningssentervirksomhet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0-1;Private aksjeselskaper mv.;Privat sektor;0-0,9;;;;;;;;210D67C7E1E3F599;05.11.2025 03:14:43;93;9;931;9313;93130;Sentrumsveien 44, 3748 Siljan;Ronny Rakland;6269782168,000000000000000;2019.0;;0,000000000000000;0,000000000000000;S;Kulturell virksomhet, idrett og fritidsaktiviteter;;;;;;;;;;;;;;;;;;;5;Service og tjenesteytende;40100108.0;4010.0;Siljan;40.0;Telemark
16157456;1;ENK;821421322;;Laila Heimdal Elseth;;;;Skjelbredvegen;LAILA HEIMDAL ELSETH;354.0;;3739.0;Skien;;;;;;Skjelbredvegen 354;3739;Skien;;47408951.0;;4003;;B;;;0.0;0.0;186534.0;6570353.0;10.0;Østlandet;Telemark;SKIEN;;;40030903.0;Findal;;;;;18.09.2018 00:00:00;5.0;NO;Norway;1.0;Europa;68200.0;Utleie av egen eller leid fast eiendom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0-1;Personlig næringsdrivende;Privat sektor;0-0,9;;;;;;;;8EE382936AEE470B;05.11.2025 03:14:43;68;6;682;6820;68200;Skjelbredvegen 354, 3739 Skien;Laila Heimdal;41771215,000000000000000;;;0,000000000000000;0,000000000000000;M;Eiendomsvirksomhet;;;;;;;;;;;;;;;;;;;0;;40030903.0;4003.0;Skien;40.0;Telemark
16159341;9;BEDR;821436702;921269951.0;Bølevegen 152 AS;;;;Bratsberggata;BØLEVEGEN 152 AS;38.0;;3714.0;Skien;;;;;;Bratsberggata 38;3714;Skien;;;;4003;;B;;;0.0;0.0;192961.0;6575042.0;10.0;Østlandet;Telemark;SKIEN;;;40030306.0;Follestad;;;;;01.09.2018 00:00:00;5.0;NO;Norway;1.0;Europa;68200.0;Utleie av egen eller leid fast eiendom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0-1;;;0-0,9;;;;;;;;C7CD2664772F293E;05.11.2025 03:14:43;68;6;682;6820;68200;Bratsberggata 38, 3714 Skien;;41750316,000000000000000;;;0,000000000000000;0,000000000000000;M;Eiendomsvirksomhet;;;;;;;;;;;;;;;;;;;0;;40030306.0;4003.0;Skien;40.0;Telemark
16162243;9;BEDR;821468302;930621358.0;Pors Duo/ Diana Kostov;;;;Skogmo;PORS DUO/ DIANA KOSTOV;21.0;;3735.0;Skien;;;;;;Skogmo 21;3735;Skien;99154894.0;;;4003;;B;;;0.0;0.0;192729.0;6572127.0;10.0;Østlandet;Telemark;SKIEN;;;40030604.0;Kjørbekk;;;;;22.06.2018 00:00:00;5.0;NO;Norway;1.0;Europa;90201.0;Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0-1;;;0-0,9;;;;;;;;F8BA75D9F5D6E42F;05.11.2025 03:14:43;90;9;902;9020;90201;Skogmo 21, 3735 Skien;;41771597,000000000000000;;;0,000000000000000;0,000000000000000;S;Kulturell virksomhet, idrett og fritidsaktiviteter;;;;;;;;;;;;;;;;;;;0;;40030604.0;4003.0;Skien;40.0;Telemark
16162942;3;ENK;821472652;;MB Transport Milosevic;;;;HAUGERUDBAKKEN;MB TRANSPORT MILOSEVIC;5.0;C;3802.0;Bø i telemark;;;;;;Haugerudbakken 5 C;3802;Bø i telemark;;40390202.0;;4020;;;;;0.0;0.0;163610.0;6601410.0;10.0;Østlandet;Telemark;MIDT-TELEMARK;;;40200202.0;Bø;;;;;28.09.2018 00:00:00;6.0;NO;Norway;1.0;Europa;49410.0;Godstransport på vei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0-1;Personlig næringsdrivende;Privat sektor;0-0,9;;;;;;;;0345516ADE8112C0;05.11.2025 03:14:43;49;4;494;4941;49410;Haugerudbakken 5C, 3802 Bø i telemark;Marko Milosevic;6392665065,000000000000000;;;0,000000000000000;0,000000000000000;H;Transport og lagring;;;;;;;;;;;;;;;;;;;0;;40200202.0;4020.0;Midt-Telemark;40.0;Telemark
