Geografi,År,Kjønn,Alder,Dødsårsaker,Måltall,value
Hele landet,2017,menn,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",40.8882545056882
Hele landet,2017,menn,0-44 år,Lungekreft,"per 100.000, standardisert",0.390892754016325
Hele landet,2017,menn,0-44 år,KOLS,"per 100.000, standardisert",:
Hele landet,2017,menn,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2017,menn,45-74 år,Lungekreft,"per 100.000, standardisert",69.6219522906277
Hele landet,2017,menn,45-74 år,KOLS,"per 100.000, standardisert",:
Hele landet,2017,menn,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2017,menn,75+ år,Lungekreft,"per 100.000, standardisert",328.944579674569
Hele landet,2017,menn,75+ år,KOLS,"per 100.000, standardisert",395.240587316317
Hele landet,2017,menn,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",724.503974701732
Hele landet,2017,kvinner,alle aldre,Lungekreft,"per 100.000, standardisert",41.4140898167354
Hele landet,2017,kvinner,alle aldre,KOLS,"per 100.000, standardisert",46.967815380869
Hele landet,2017,kvinner,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",88.3839783148502
Hele landet,2017,kvinner,0-74 år,Lungekreft,"per 100.000, standardisert",24.4039845579466
Hele landet,2017,kvinner,0-74 år,KOLS,"per 100.000, standardisert",14.1063183243175
Hele landet,2017,kvinner,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",38.5094126802137
Hele landet,2017,kvinner,0-44 år,Lungekreft,"per 100.000, standardisert",0.483941437699227
Hele landet,2017,kvinner,0-44 år,KOLS,"per 100.000, standardisert",:
Hele landet,2017,kvinner,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2017,kvinner,45-74 år,Lungekreft,"per 100.000, standardisert",61.2165931215226
Hele landet,2017,kvinner,45-74 år,KOLS,"per 100.000, standardisert",:
Hele landet,2017,kvinner,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2017,kvinner,75+ år,Lungekreft,"per 100.000, standardisert",190.625240033773
Hele landet,2017,kvinner,75+ år,KOLS,"per 100.000, standardisert",344.828444817639
Hele landet,2017,kvinner,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",536.536998525776
Hele landet,2018,menn,alle aldre,Lungekreft,"per 100.000, standardisert",49.6650316897573
Hele landet,2018,menn,alle aldre,KOLS,"per 100.000, standardisert",43.4837911464938
Hele landet,2018,menn,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",93.1491104262837
Hele landet,2018,menn,0-74 år,Lungekreft,"per 100.000, standardisert",26.9805643325532
Hele landet,2018,menn,0-74 år,KOLS,"per 100.000, standardisert",12.2468436610938
Hele landet,2018,menn,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",39.2276187187124
Hele landet,2018,menn,0-44 år,Lungekreft,"per 100.000, standardisert",0.461874775385571
Hele landet,2018,menn,0-44 år,KOLS,"per 100.000, standardisert",:
Hele landet,2018,menn,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2018,menn,45-74 år,Lungekreft,"per 100.000, standardisert",69.0935800451252
Hele landet,2018,menn,45-74 år,KOLS,"per 100.000, standardisert",:
Hele landet,2018,menn,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2018,menn,75+ år,Lungekreft,"per 100.000, standardisert",309.079911947917
Hele landet,2018,menn,75+ år,KOLS,"per 100.000, standardisert",413.689824372208
Hele landet,2018,menn,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",723.817504653442
Hele landet,2018,kvinner,alle aldre,Lungekreft,"per 100.000, standardisert",43.1144720535914
Hele landet,2018,kvinner,alle aldre,KOLS,"per 100.000, standardisert",44.949066730558
Hele landet,2018,kvinner,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",88.0610603553779
Hele landet,2018,kvinner,0-74 år,Lungekreft,"per 100.000, standardisert",23.0620463451876
Hele landet,2018,kvinner,0-74 år,KOLS,"per 100.000, standardisert",14.3311863584412
Hele landet,2018,kvinner,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",37.3916458852007
Hele landet,2018,kvinner,0-44 år,Lungekreft,"per 100.000, standardisert",0.417744812241046
Hele landet,2018,kvinner,0-44 år,KOLS,"per 100.000, standardisert",:
Hele landet,2018,kvinner,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2018,kvinner,45-74 år,Lungekreft,"per 100.000, standardisert",57.8973130758095
Hele landet,2018,kvinner,45-74 år,KOLS,"per 100.000, standardisert",:
Hele landet,2018,kvinner,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2018,kvinner,75+ år,Lungekreft,"per 100.000, standardisert",222.985360250839
Hele landet,2018,kvinner,75+ år,KOLS,"per 100.000, standardisert",321.480909702105
Hele landet,2018,kvinner,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",544.25760707794
Hele landet,2019,menn,alle aldre,Lungekreft,"per 100.000, standardisert",45.745277546987
Hele landet,2019,menn,alle aldre,KOLS,"per 100.000, standardisert",39.6731379521088
Hele landet,2019,menn,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",85.4220212113497
Hele landet,2019,menn,0-74 år,Lungekreft,"per 100.000, standardisert",25.0641008721087
Hele landet,2019,menn,0-74 år,KOLS,"per 100.000, standardisert",11.8553500767837
Hele landet,2019,menn,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",36.9178243592044
Hele landet,2019,menn,0-44 år,Lungekreft,"per 100.000, standardisert",:
Hele landet,2019,menn,0-44 år,KOLS,"per 100.000, standardisert",:
Hele landet,2019,menn,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2019,menn,45-74 år,Lungekreft,"per 100.000, standardisert",:
Hele landet,2019,menn,45-74 år,KOLS,"per 100.000, standardisert",:
Hele landet,2019,menn,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2019,menn,75+ år,Lungekreft,"per 100.000, standardisert",282.350289210416
Hele landet,2019,menn,75+ år,KOLS,"per 100.000, standardisert",367.444445906183
Hele landet,2019,menn,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",650.392606251433
Hele landet,2019,kvinner,alle aldre,Lungekreft,"per 100.000, standardisert",42.4644471328649
Hele landet,2019,kvinner,alle aldre,KOLS,"per 100.000, standardisert",44.8141676569241
Hele landet,2019,kvinner,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",87.2795019205451
Hele landet,2019,kvinner,0-74 år,Lungekreft,"per 100.000, standardisert",24.8434195253425
Hele landet,2019,kvinner,0-74 år,KOLS,"per 100.000, standardisert",13.4173074542092
Hele landet,2019,kvinner,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",38.2497385770944
Hele landet,2019,kvinner,0-44 år,Lungekreft,"per 100.000, standardisert",:
Hele landet,2019,kvinner,0-44 år,KOLS,"per 100.000, standardisert",:
Hele landet,2019,kvinner,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2019,kvinner,45-74 år,Lungekreft,"per 100.000, standardisert",:
Hele landet,2019,kvinner,45-74 år,KOLS,"per 100.000, standardisert",:
Hele landet,2019,kvinner,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2019,kvinner,75+ år,Lungekreft,"per 100.000, standardisert",197.676783522067
Hele landet,2019,kvinner,75+ år,KOLS,"per 100.000, standardisert",329.382683000008
Hele landet,2019,kvinner,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",527.489433806565
Hele landet,2020,menn,alle aldre,Lungekreft,"per 100.000, standardisert",46.7451506367029
Hele landet,2020,menn,alle aldre,KOLS,"per 100.000, standardisert",36.7140368961886
Hele landet,2020,menn,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",83.494282796486
Hele landet,2020,menn,0-74 år,Lungekreft,"per 100.000, standardisert",24.4950743843947
Hele landet,2020,menn,0-74 år,KOLS,"per 100.000, standardisert",10.8808812234734
Hele landet,2020,menn,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",35.372965721294
Hele landet,2020,menn,0-44 år,Lungekreft,"per 100.000, standardisert",:
Hele landet,2020,menn,0-44 år,KOLS,"per 100.000, standardisert",:
Hele landet,2020,menn,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",0.527375770568096
Hele landet,2020,menn,45-74 år,Lungekreft,"per 100.000, standardisert",:
Hele landet,2020,menn,45-74 år,KOLS,"per 100.000, standardisert",:
Hele landet,2020,menn,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",90.71998900899
Hele landet,2020,menn,75+ år,Lungekreft,"per 100.000, standardisert",305.314999316684
Hele landet,2020,menn,75+ år,KOLS,"per 100.000, standardisert",340.990801981882
Hele landet,2020,menn,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",646.184270482119
Hele landet,2020,kvinner,alle aldre,Lungekreft,"per 100.000, standardisert",40.3801580281708
Hele landet,2020,kvinner,alle aldre,KOLS,"per 100.000, standardisert",39.8900030038959
Hele landet,2020,kvinner,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",80.2741469696738
Hele landet,2020,kvinner,0-74 år,Lungekreft,"per 100.000, standardisert",22.7248807124086
Hele landet,2020,kvinner,0-74 år,KOLS,"per 100.000, standardisert",11.594114001761
Hele landet,2020,kvinner,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",34.3064187140779
Hele landet,2020,kvinner,0-44 år,Lungekreft,"per 100.000, standardisert",:
Hele landet,2020,kvinner,0-44 år,KOLS,"per 100.000, standardisert",:
Hele landet,2020,kvinner,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2020,kvinner,45-74 år,Lungekreft,"per 100.000, standardisert",:
Hele landet,2020,kvinner,45-74 år,KOLS,"per 100.000, standardisert",:
Hele landet,2020,kvinner,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2020,kvinner,75+ år,Lungekreft,"per 100.000, standardisert",197.988907413821
Hele landet,2020,kvinner,75+ år,KOLS,"per 100.000, standardisert",296.7464822708
Hele landet,2020,kvinner,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",494.73306225126
Hele landet,2021,menn,alle aldre,Lungekreft,"per 100.000, standardisert",44.9232846596301
Hele landet,2021,menn,alle aldre,KOLS,"per 100.000, standardisert",37.1908530650483
Hele landet,2021,menn,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",82.1295354631674
Hele landet,2021,menn,0-74 år,Lungekreft,"per 100.000, standardisert",23.3837967184902
Hele landet,2021,menn,0-74 år,KOLS,"per 100.000, standardisert",10.4360321050065
Hele landet,2021,menn,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",33.8177235001882
Hele landet,2021,menn,0-44 år,Lungekreft,"per 100.000, standardisert",0.459140460451319
Hele landet,2021,menn,0-44 år,KOLS,"per 100.000, standardisert",:
Hele landet,2021,menn,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2021,menn,45-74 år,Lungekreft,"per 100.000, standardisert",59.7963792506101
Hele landet,2021,menn,45-74 år,KOLS,"per 100.000, standardisert",:
Hele landet,2021,menn,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2021,menn,75+ år,Lungekreft,"per 100.000, standardisert",296.134394692526
Hele landet,2021,menn,75+ år,KOLS,"per 100.000, standardisert",352.695718291632
Hele landet,2021,menn,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",648.887343574475
Hele landet,2021,kvinner,alle aldre,Lungekreft,"per 100.000, standardisert",40.5779243475507
Hele landet,2021,kvinner,alle aldre,KOLS,"per 100.000, standardisert",44.2501531868231
Hele landet,2021,kvinner,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",84.8291508250335
Hele landet,2021,kvinner,0-74 år,Lungekreft,"per 100.000, standardisert",21.5487829143284
Hele landet,2021,kvinner,0-74 år,KOLS,"per 100.000, standardisert",13.3820468908465
Hele landet,2021,kvinner,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",34.9295704789721
Hele landet,2021,kvinner,0-44 år,Lungekreft,"per 100.000, standardisert",0.419096890062393
Hele landet,2021,kvinner,0-44 år,KOLS,"per 100.000, standardisert",:
Hele landet,2021,kvinner,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2021,kvinner,45-74 år,Lungekreft,"per 100.000, standardisert",54.0379531270193
Hele landet,2021,kvinner,45-74 år,KOLS,"per 100.000, standardisert",:
Hele landet,2021,kvinner,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2021,kvinner,75+ år,Lungekreft,"per 100.000, standardisert",212.472494120651
Hele landet,2021,kvinner,75+ år,KOLS,"per 100.000, standardisert",324.176399670244
Hele landet,2021,kvinner,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",536.68133944925
Hele landet,2022,menn,alle aldre,Lungekreft,"per 100.000, standardisert",45.1104430458285
Hele landet,2022,menn,alle aldre,KOLS,"per 100.000, standardisert",38.8962118740294
Hele landet,2022,menn,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",84.0103319052554
Hele landet,2022,menn,0-74 år,Lungekreft,"per 100.000, standardisert",22.1790620662426
Hele landet,2022,menn,0-74 år,KOLS,"per 100.000, standardisert",10.8906848104722
Hele landet,2022,menn,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",33.0695672576628
Hele landet,2022,menn,0-44 år,Lungekreft,"per 100.000, standardisert",:
Hele landet,2022,menn,0-44 år,KOLS,"per 100.000, standardisert",:
Hele landet,2022,menn,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",0.518213463643318
Hele landet,2022,menn,45-74 år,Lungekreft,"per 100.000, standardisert",:
Hele landet,2022,menn,45-74 år,KOLS,"per 100.000, standardisert",:
Hele landet,2022,menn,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",84.7692632391707
Hele landet,2022,menn,75+ år,Lungekreft,"per 100.000, standardisert",314.335064172826
Hele landet,2022,menn,75+ år,KOLS,"per 100.000, standardisert",368.394388777042
Hele landet,2022,menn,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",682.736658067868
Hele landet,2022,kvinner,alle aldre,Lungekreft,"per 100.000, standardisert",38.4037498785065
Hele landet,2022,kvinner,alle aldre,KOLS,"per 100.000, standardisert",46.3686490200176
Hele landet,2022,kvinner,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",84.7667359470475
Hele landet,2022,kvinner,0-74 år,Lungekreft,"per 100.000, standardisert",19.3019728971192
Hele landet,2022,kvinner,0-74 år,KOLS,"per 100.000, standardisert",14.2193024221592
Hele landet,2022,kvinner,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",33.5228738708156
Hele landet,2022,kvinner,0-44 år,Lungekreft,"per 100.000, standardisert",:
Hele landet,2022,kvinner,0-44 år,KOLS,"per 100.000, standardisert",:
Hele landet,2022,kvinner,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2022,kvinner,45-74 år,Lungekreft,"per 100.000, standardisert",:
Hele landet,2022,kvinner,45-74 år,KOLS,"per 100.000, standardisert",:
Hele landet,2022,kvinner,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2022,kvinner,75+ år,Lungekreft,"per 100.000, standardisert",211.819124575554
Hele landet,2022,kvinner,75+ år,KOLS,"per 100.000, standardisert",338.023184633674
Hele landet,2022,kvinner,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",549.887780190792
Hele landet,2023,menn,alle aldre,Lungekreft,"per 100.000, standardisert",41.961561444914
Hele landet,2023,menn,alle aldre,KOLS,"per 100.000, standardisert",40.3357760471422
Hele landet,2023,menn,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",82.2840152684402
Hele landet,2023,menn,0-74 år,Lungekreft,"per 100.000, standardisert",21.7875624133411
Hele landet,2023,menn,0-74 år,KOLS,"per 100.000, standardisert",10.3491638548942
Hele landet,2023,menn,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",32.1369393250939
Hele landet,2023,menn,0-44 år,Lungekreft,"per 100.000, standardisert",:
Hele landet,2023,menn,0-44 år,KOLS,"per 100.000, standardisert",:
Hele landet,2023,menn,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2023,menn,45-74 år,Lungekreft,"per 100.000, standardisert",:
Hele landet,2023,menn,45-74 år,KOLS,"per 100.000, standardisert",:
Hele landet,2023,menn,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2023,menn,75+ år,Lungekreft,"per 100.000, standardisert",278.091872666899
Hele landet,2023,menn,75+ år,KOLS,"per 100.000, standardisert",392.840890111107
Hele landet,2023,menn,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",670.900725547036
Hele landet,2023,kvinner,alle aldre,Lungekreft,"per 100.000, standardisert",37.0252525941978
Hele landet,2023,kvinner,alle aldre,KOLS,"per 100.000, standardisert",44.4900416488879
Hele landet,2023,kvinner,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",81.5106966960303
Hele landet,2023,kvinner,0-74 år,Lungekreft,"per 100.000, standardisert",18.9591858969995
Hele landet,2023,kvinner,0-74 år,KOLS,"per 100.000, standardisert",12.2846886010332
Hele landet,2023,kvinner,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",31.2438857517139
Hele landet,2023,kvinner,0-44 år,Lungekreft,"per 100.000, standardisert",:
Hele landet,2023,kvinner,0-44 år,KOLS,"per 100.000, standardisert",:
Hele landet,2023,kvinner,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2023,kvinner,45-74 år,Lungekreft,"per 100.000, standardisert",:
Hele landet,2023,kvinner,45-74 år,KOLS,"per 100.000, standardisert",:
Hele landet,2023,kvinner,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2023,kvinner,75+ år,Lungekreft,"per 100.000, standardisert",201.004393090764
Hele landet,2023,kvinner,75+ år,KOLS,"per 100.000, standardisert",337.038026361559
Hele landet,2023,kvinner,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",538.052020479871
Telemark,2015,menn,alle aldre,Lungekreft,"per 100.000, standardisert",57.0113050014756
Telemark,2015,menn,alle aldre,KOLS,"per 100.000, standardisert",60.5984564454183
Telemark,2015,menn,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",117.614615900952
Telemark,2015,menn,0-74 år,Lungekreft,"per 100.000, standardisert",28.2348451108939
Telemark,2015,menn,0-74 år,KOLS,"per 100.000, standardisert",27.1580576893547
Telemark,2015,menn,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",55.3655567002469
Telemark,2015,menn,0-44 år,Lungekreft,"per 100.000, standardisert",:
Telemark,2015,menn,0-44 år,KOLS,"per 100.000, standardisert",:
Telemark,2015,menn,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Telemark,2015,menn,45-74 år,Lungekreft,"per 100.000, standardisert",:
Telemark,2015,menn,45-74 år,KOLS,"per 100.000, standardisert",:
Telemark,2015,menn,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Telemark,2015,menn,75+ år,Lungekreft,"per 100.000, standardisert",395.590159228373
Telemark,2015,menn,75+ år,KOLS,"per 100.000, standardisert",436.795344379307
Telemark,2015,menn,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",831.803261952409
Telemark,2015,kvinner,alle aldre,Lungekreft,"per 100.000, standardisert",50.8340023684633
Telemark,2015,kvinner,alle aldre,KOLS,"per 100.000, standardisert",72.6772182796458
