Geografi,År,Kjønn,Alder,Krefttyper,Måltall,value
Hele landet,2009-2018,kjønn samlet,75 år og eldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",487.034060025006
Hele landet,2009-2018,kjønn samlet,75 år og eldre,Lungekreft (C33-34),"per 100 000, standardisert",310.965562572686
Hele landet,2009-2018,kjønn samlet,75 år og eldre,Hudkreft (C43-44),"per 100 000, standardisert",465.109304036876
Hele landet,2009-2018,kjønn samlet,75 år og eldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",137.64670692663
Hele landet,2009-2018,kjønn samlet,75 år og eldre,Brystkreft (C50),"per 100 000, standardisert",167.192715915834
Hele landet,2009-2018,kjønn samlet,75 år og eldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2009-2018,kjønn samlet,75 år og eldre,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2009-2018,menn,alle aldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",700.564398611845
Hele landet,2009-2018,menn,alle aldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",91.6095095289431
Hele landet,2009-2018,menn,alle aldre,Lungekreft (C33-34),"per 100 000, standardisert",70.8923505764068
Hele landet,2009-2018,menn,alle aldre,Hudkreft (C43-44),"per 100 000, standardisert",84.9309434301548
Hele landet,2009-2018,menn,alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",40.4080655163566
Hele landet,2009-2018,menn,alle aldre,Brystkreft (C50),"per 100 000, standardisert",0.912179165751205
Hele landet,2009-2018,menn,alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2009-2018,menn,alle aldre,Prostatakreft (C61),"per 100 000, standardisert",211.368899395371
Hele landet,2009-2018,menn,0-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",487.229386431659
Hele landet,2009-2018,menn,0-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",58.6604871391352
Hele landet,2009-2018,menn,0-74 år,Lungekreft (C33-34),"per 100 000, standardisert",46.1747335203275
Hele landet,2009-2018,menn,0-74 år,Hudkreft (C43-44),"per 100 000, standardisert",48.6414570234392
Hele landet,2009-2018,menn,0-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",30.6185795699833
Hele landet,2009-2018,menn,0-74 år,Brystkreft (C50),"per 100 000, standardisert",0.594414200039787
Hele landet,2009-2018,menn,0-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2009-2018,menn,0-74 år,Prostatakreft (C61),"per 100 000, standardisert",157.580317905997
Hele landet,2009-2018,menn,0-44 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",59.0294627353115
Hele landet,2009-2018,menn,0-44 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",4.37422011216532
Hele landet,2009-2018,menn,0-44 år,Lungekreft (C33-34),"per 100 000, standardisert",0.725258796043459
Hele landet,2009-2018,menn,0-44 år,Hudkreft (C43-44),"per 100 000, standardisert",7.32899735890953
Hele landet,2009-2018,menn,0-44 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",6.35891893824942
Hele landet,2009-2018,menn,0-44 år,Brystkreft (C50),"per 100 000, standardisert",:
Hele landet,2009-2018,menn,0-44 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2009-2018,menn,0-44 år,Prostatakreft (C61),"per 100 000, standardisert",0.499579043344851
Hele landet,2009-2018,menn,45-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",1181.81131386935
Hele landet,2009-2018,menn,45-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",146.968041089066
Hele landet,2009-2018,menn,45-74 år,Lungekreft (C33-34),"per 100 000, standardisert",120.094585185337
Hele landet,2009-2018,menn,45-74 år,Hudkreft (C43-44),"per 100 000, standardisert",115.399923942408
Hele landet,2009-2018,menn,45-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",69.7980502044933
Hele landet,2009-2018,menn,45-74 år,Brystkreft (C50),"per 100 000, standardisert",1.72769117735954
Hele landet,2009-2018,menn,45-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2009-2018,menn,45-74 år,Prostatakreft (C61),"per 100 000, standardisert",412.472086856446
Hele landet,2009-2018,menn,75 år og eldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",3714.32376193238
Hele landet,2009-2018,menn,75 år og eldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",559.768516206716
Hele landet,2009-2018,menn,75 år og eldre,Lungekreft (C33-34),"per 100 000, standardisert",419.813284008759
Hele landet,2009-2018,menn,75 år og eldre,Hudkreft (C43-44),"per 100 000, standardisert",596.27345654463
Hele landet,2009-2018,menn,75 år og eldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",177.440647119963
Hele landet,2009-2018,menn,75 år og eldre,Brystkreft (C50),"per 100 000, standardisert",5.41134457162506
Hele landet,2009-2018,menn,75 år og eldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2009-2018,menn,75 år og eldre,Prostatakreft (C61),"per 100 000, standardisert",974.016256450587
Hele landet,2009-2018,kvinner,alle aldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",585.947477447057
Hele landet,2009-2018,kvinner,alle aldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",83.5287384788393
Hele landet,2009-2018,kvinner,alle aldre,Lungekreft (C33-34),"per 100 000, standardisert",59.3595927047104
Hele landet,2009-2018,kvinner,alle aldre,Hudkreft (C43-44),"per 100 000, standardisert",74.176974172343
Hele landet,2009-2018,kvinner,alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",38.8202844130236
Hele landet,2009-2018,kvinner,alle aldre,Brystkreft (C50),"per 100 000, standardisert",130.454771225184
Hele landet,2009-2018,kvinner,alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.1784915309704
Hele landet,2009-2018,kvinner,alle aldre,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2009-2018,kvinner,0-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",426.390350722638
Hele landet,2009-2018,kvinner,0-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",48.9722475748984
Hele landet,2009-2018,kvinner,0-74 år,Lungekreft (C33-34),"per 100 000, standardisert",42.3112348597678
Hele landet,2009-2018,kvinner,0-74 år,Hudkreft (C43-44),"per 100 000, standardisert",45.3418778204535
Hele landet,2009-2018,kvinner,0-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",31.9862569176435
Hele landet,2009-2018,kvinner,0-74 år,Brystkreft (C50),"per 100 000, standardisert",114.908376593401
Hele landet,2009-2018,kvinner,0-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.203121038437
Hele landet,2009-2018,kvinner,0-74 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2009-2018,kvinner,0-44 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",89.0990389825375
Hele landet,2009-2018,kvinner,0-44 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",4.7522572894456
Hele landet,2009-2018,kvinner,0-44 år,Lungekreft (C33-34),"per 100 000, standardisert",0.985149886218423
Hele landet,2009-2018,kvinner,0-44 år,Hudkreft (C43-44),"per 100 000, standardisert",12.2065838800316
Hele landet,2009-2018,kvinner,0-44 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",11.3716809775565
Hele landet,2009-2018,kvinner,0-44 år,Brystkreft (C50),"per 100 000, standardisert",23.1291167423818
Hele landet,2009-2018,kvinner,0-44 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",11.0799972600079
Hele landet,2009-2018,kvinner,0-44 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2009-2018,kvinner,45-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",956.967953236754
Hele landet,2009-2018,kvinner,45-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",118.769299882877
Hele landet,2009-2018,kvinner,45-74 år,Lungekreft (C33-34),"per 100 000, standardisert",107.387105045877
Hele landet,2009-2018,kvinner,45-74 år,Hudkreft (C43-44),"per 100 000, standardisert",97.0509254473778
Hele landet,2009-2018,kvinner,45-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",64.1250021765344
Hele landet,2009-2018,kvinner,45-74 år,Brystkreft (C50),"per 100 000, standardisert",259.396778291651
Hele landet,2009-2018,kvinner,45-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",16.5132843376847
Hele landet,2009-2018,kvinner,45-74 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2009-2018,kvinner,75 år og eldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",2206.56017880996
Hele landet,2009-2018,kvinner,75 år og eldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",434.548875550615
Hele landet,2009-2018,kvinner,75 år og eldre,Lungekreft (C33-34),"per 100 000, standardisert",232.574464792325
Hele landet,2009-2018,kvinner,75 år og eldre,Hudkreft (C43-44),"per 100 000, standardisert",367.797101354804
Hele landet,2009-2018,kvinner,75 år og eldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",108.019575735462
Hele landet,2009-2018,kvinner,75 år og eldre,Brystkreft (C50),"per 100 000, standardisert",287.93282810051
Hele landet,2009-2018,kvinner,75 år og eldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",12.9614715285985
Hele landet,2009-2018,kvinner,75 år og eldre,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,alle aldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",645.96865878825
Hele landet,2010-2019,kjønn samlet,alle aldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",87.2665946203278
Hele landet,2010-2019,kjønn samlet,alle aldre,Lungekreft (C33-34),"per 100 000, standardisert",64.9989207125174
Hele landet,2010-2019,kjønn samlet,alle aldre,Hudkreft (C43-44),"per 100 000, standardisert",82.4451515082378
Hele landet,2010-2019,kjønn samlet,alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",40.7969996359309
Hele landet,2010-2019,kjønn samlet,alle aldre,Brystkreft (C50),"per 100 000, standardisert",66.3313322151485
Hele landet,2010-2019,kjønn samlet,alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,alle aldre,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,0-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",457.750986250584
Hele landet,2010-2019,kjønn samlet,0-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",53.7812375088277
Hele landet,2010-2019,kjønn samlet,0-74 år,Lungekreft (C33-34),"per 100 000, standardisert",43.8263466609479
Hele landet,2010-2019,kjønn samlet,0-74 år,Hudkreft (C43-44),"per 100 000, standardisert",48.1815830378674
Hele landet,2010-2019,kjønn samlet,0-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",32.0026272881644
Hele landet,2010-2019,kjønn samlet,0-74 år,Brystkreft (C50),"per 100 000, standardisert",57.4769883760927
Hele landet,2010-2019,kjønn samlet,0-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,0-74 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,0-44 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",74.208237486755
Hele landet,2010-2019,kjønn samlet,0-44 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",4.79776871160129
Hele landet,2010-2019,kjønn samlet,0-44 år,Lungekreft (C33-34),"per 100 000, standardisert",0.826219378142297
Hele landet,2010-2019,kjønn samlet,0-44 år,Hudkreft (C43-44),"per 100 000, standardisert",9.73015171285747
Hele landet,2010-2019,kjønn samlet,0-44 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",8.819582373999
Hele landet,2010-2019,kjønn samlet,0-44 år,Brystkreft (C50),"per 100 000, standardisert",11.5704815453261
Hele landet,2010-2019,kjønn samlet,0-44 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,0-44 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,45-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",1070.57901583581
Hele landet,2010-2019,kjønn samlet,45-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",132.199199107304
Hele landet,2010-2019,kjønn samlet,45-74 år,Lungekreft (C33-34),"per 100 000, standardisert",112.66236672969
Hele landet,2010-2019,kjønn samlet,45-74 år,Hudkreft (C43-44),"per 100 000, standardisert",109.371330713174
Hele landet,2010-2019,kjønn samlet,45-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",68.8693519825512
Hele landet,2010-2019,kjønn samlet,45-74 år,Brystkreft (C50),"per 100 000, standardisert",130.876629666779
Hele landet,2010-2019,kjønn samlet,45-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,45-74 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,75 år og eldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",2875.62148512578
Hele landet,2010-2019,kjønn samlet,75 år og eldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",484.944961864512
Hele landet,2010-2019,kjønn samlet,75 år og eldre,Lungekreft (C33-34),"per 100 000, standardisert",315.29589996327
Hele landet,2010-2019,kjønn samlet,75 år og eldre,Hudkreft (C43-44),"per 100 000, standardisert",488.218222955404
Hele landet,2010-2019,kjønn samlet,75 år og eldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",144.384685003029
Hele landet,2010-2019,kjønn samlet,75 år og eldre,Brystkreft (C50),"per 100 000, standardisert",171.192542518533
Hele landet,2010-2019,kjønn samlet,75 år og eldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,kjønn samlet,75 år og eldre,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,menn,alle aldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",699.842018971802
Hele landet,2010-2019,menn,alle aldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",91.1421077732819
Hele landet,2010-2019,menn,alle aldre,Lungekreft (C33-34),"per 100 000, standardisert",69.5692458561959
Hele landet,2010-2019,menn,alle aldre,Hudkreft (C43-44),"per 100 000, standardisert",87.7569915609967
Hele landet,2010-2019,menn,alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",41.6483783790343
Hele landet,2010-2019,menn,alle aldre,Brystkreft (C50),"per 100 000, standardisert",0.933720655815767
Hele landet,2010-2019,menn,alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,menn,alle aldre,Prostatakreft (C61),"per 100 000, standardisert",208.510225311599
Hele landet,2010-2019,menn,0-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",484.961799265032
Hele landet,2010-2019,menn,0-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",58.3849867953437
Hele landet,2010-2019,menn,0-74 år,Lungekreft (C33-34),"per 100 000, standardisert",44.8865303527413
Hele landet,2010-2019,menn,0-74 år,Hudkreft (C43-44),"per 100 000, standardisert",49.6037415291472
Hele landet,2010-2019,menn,0-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",31.3525556153702
Hele landet,2010-2019,menn,0-74 år,Brystkreft (C50),"per 100 000, standardisert",0.575166573513068
Hele landet,2010-2019,menn,0-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,menn,0-74 år,Prostatakreft (C61),"per 100 000, standardisert",155.288085249124
Hele landet,2010-2019,menn,0-44 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",58.7501508934262
Hele landet,2010-2019,menn,0-44 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",4.56160496476226
Hele landet,2010-2019,menn,0-44 år,Lungekreft (C33-34),"per 100 000, standardisert",0.694610255062055
Hele landet,2010-2019,menn,0-44 år,Hudkreft (C43-44),"per 100 000, standardisert",7.3173175639671
Hele landet,2010-2019,menn,0-44 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",6.37375288200583
Hele landet,2010-2019,menn,0-44 år,Brystkreft (C50),"per 100 000, standardisert",:
Hele landet,2010-2019,menn,0-44 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,menn,0-44 år,Prostatakreft (C61),"per 100 000, standardisert",0.500432940509641
Hele landet,2010-2019,menn,45-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",1176.31088181384
Hele landet,2010-2019,menn,45-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",145.850750843422
Hele landet,2010-2019,menn,45-74 år,Lungekreft (C33-34),"per 100 000, standardisert",116.753219621688
Hele landet,2010-2019,menn,45-74 år,Hudkreft (C43-44),"per 100 000, standardisert",118.017892029558
Hele landet,2010-2019,menn,45-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",71.7510567584522
Hele landet,2010-2019,menn,45-74 år,Brystkreft (C50),"per 100 000, standardisert",1.66324420839572
Hele landet,2010-2019,menn,45-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,menn,45-74 år,Prostatakreft (C61),"per 100 000, standardisert",406.443643525054
Hele landet,2010-2019,menn,75 år og eldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",3737.29428220505
Hele landet,2010-2019,menn,75 år og eldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",556.595254135321
Hele landet,2010-2019,menn,75 år og eldre,Lungekreft (C33-34),"per 100 000, standardisert",418.350208074389
Hele landet,2010-2019,menn,75 år og eldre,Hudkreft (C43-44),"per 100 000, standardisert",625.771927253027
Hele landet,2010-2019,menn,75 år og eldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",186.119777195268
Hele landet,2010-2019,menn,75 år og eldre,Brystkreft (C50),"per 100 000, standardisert",6.19593280982038
Hele landet,2010-2019,menn,75 år og eldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",:
Hele landet,2010-2019,menn,75 år og eldre,Prostatakreft (C61),"per 100 000, standardisert",963.353606990715
Hele landet,2010-2019,kvinner,alle aldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",592.127943602313
Hele landet,2010-2019,kvinner,alle aldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",83.406241218627
Hele landet,2010-2019,kvinner,alle aldre,Lungekreft (C33-34),"per 100 000, standardisert",60.5029066050349
Hele landet,2010-2019,kvinner,alle aldre,Hudkreft (C43-44),"per 100 000, standardisert",77.1109535869098
Hele landet,2010-2019,kvinner,alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",39.9343429457355
Hele landet,2010-2019,kvinner,alle aldre,Brystkreft (C50),"per 100 000, standardisert",132.780434527061
Hele landet,2010-2019,kvinner,alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.428261911641
Hele landet,2010-2019,kvinner,alle aldre,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,kvinner,0-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",429.621457543432
Hele landet,2010-2019,kvinner,0-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",48.9867883374361
Hele landet,2010-2019,kvinner,0-74 år,Lungekreft (C33-34),"per 100 000, standardisert",42.7416084026145
Hele landet,2010-2019,kvinner,0-74 år,Hudkreft (C43-44),"per 100 000, standardisert",46.7123947865712
Hele landet,2010-2019,kvinner,0-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",32.6811354009672
Hele landet,2010-2019,kvinner,0-74 år,Brystkreft (C50),"per 100 000, standardisert",116.820621867439
Hele landet,2010-2019,kvinner,0-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.4699626835278
Hele landet,2010-2019,kvinner,0-74 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,kvinner,0-44 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",90.519747674602
Hele landet,2010-2019,kvinner,0-44 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",5.04616865211608
Hele landet,2010-2019,kvinner,0-44 år,Lungekreft (C33-34),"per 100 000, standardisert",0.966560380519249
Hele landet,2010-2019,kvinner,0-44 år,Hudkreft (C43-44),"per 100 000, standardisert",12.2765591977639
Hele landet,2010-2019,kvinner,0-44 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",11.403092350468
Hele landet,2010-2019,kvinner,0-44 år,Brystkreft (C50),"per 100 000, standardisert",23.903947406116
Hele landet,2010-2019,kvinner,0-44 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",11.3950095287546
Hele landet,2010-2019,kvinner,0-44 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,kvinner,45-74 år,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",962.912514545541
Hele landet,2010-2019,kvinner,45-74 år,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",118.245235335777
Hele landet,2010-2019,kvinner,45-74 år,Lungekreft (C33-34),"per 100 000, standardisert",108.532599879397
Hele landet,2010-2019,kvinner,45-74 år,Hudkreft (C43-44),"per 100 000, standardisert",100.574928198071
Hele landet,2010-2019,kvinner,45-74 år,Føflekkreft (malignt melanom),"per 100 000, standardisert",65.9365759589261
Hele landet,2010-2019,kvinner,45-74 år,Brystkreft (C50),"per 100 000, standardisert",263.019853477741
Hele landet,2010-2019,kvinner,45-74 år,"Livmorhalskreft, kvinner","per 100 000, standardisert",16.70238298927
Hele landet,2010-2019,kvinner,45-74 år,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2010-2019,kvinner,75 år og eldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",2241.20056057743
Hele landet,2010-2019,kvinner,75 år og eldre,Tykk- og endetarmskreft (C18-20),"per 100 000, standardisert",432.953639981924
Hele landet,2010-2019,kvinner,75 år og eldre,Lungekreft (C33-34),"per 100 000, standardisert",240.406050515258
Hele landet,2010-2019,kvinner,75 år og eldre,Hudkreft (C43-44),"per 100 000, standardisert",386.069380138381
Hele landet,2010-2019,kvinner,75 år og eldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",113.300285504827
Hele landet,2010-2019,kvinner,75 år og eldre,Brystkreft (C50),"per 100 000, standardisert",294.361673896938
Hele landet,2010-2019,kvinner,75 år og eldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",13.0342339732673
Hele landet,2010-2019,kvinner,75 år og eldre,Prostatakreft (C61),"per 100 000, standardisert",:
Hele landet,2011-2020,kjønn samlet,alle aldre,"Totalt alle krefttyper (C00-96, D32-33, D45-47)","per 100 000, standardisert",647.851642083779
