Geografi,År,Kjønn,Alder,Dødsårsak,Måltall,value
Hele landet,2013-2017,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",7.3100693590161
Hele landet,2013-2017,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",5.25375730775646
Hele landet,2013-2017,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",10.5135770449226
Hele landet,2013-2017,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",4.39286819101102
Hele landet,2014-2018,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",16.2327626121902
Hele landet,2014-2018,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",15.8550178163217
Hele landet,2014-2018,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",12.6699213631201
Hele landet,2014-2018,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",20.943771535057
Hele landet,2014-2018,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",20.8250215858462
Hele landet,2014-2018,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",7.21973517209322
Hele landet,2014-2018,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",7.4105391616245
Hele landet,2014-2018,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",5.4018835603812
Hele landet,2014-2018,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",10.5280485625862
Hele landet,2014-2018,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",5.18872059852282
Hele landet,2015-2019,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",16.5459833883382
Hele landet,2015-2019,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",16.1642567264396
Hele landet,2015-2019,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",13.1587890326984
Hele landet,2015-2019,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",20.9493483373477
Hele landet,2015-2019,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",21.2013349502311
Hele landet,2015-2019,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",7.449100447869
Hele landet,2015-2019,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",7.65205096067634
Hele landet,2015-2019,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",5.75848310459137
Hele landet,2015-2019,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",10.5802624333549
Hele landet,2015-2019,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",5.29785154976308
Hele landet,2016-2020,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",16.8847586509427
Hele landet,2016-2020,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",16.5370228633182
Hele landet,2016-2020,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",13.8514024690047
Hele landet,2016-2020,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",20.8009945032057
Hele landet,2016-2020,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",21.0415200378289
Hele landet,2016-2020,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",7.25676268291368
Hele landet,2016-2020,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",7.49596494142136
Hele landet,2016-2020,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",5.74447474647435
Hele landet,2016-2020,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",10.1999025838616
Hele landet,2016-2020,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",4.74142016268655
Hele landet,2017-2021,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",17.2222410040368
Hele landet,2017-2021,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",16.8033291743265
Hele landet,2017-2021,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",13.9741284652496
Hele landet,2017-2021,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",21.3008068904287
Hele landet,2017-2021,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",22.4625009563458
Hele landet,2017-2021,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",7.04706871062439
Hele landet,2017-2021,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",7.28323514655868
Hele landet,2017-2021,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",5.62054952661949
Hele landet,2017-2021,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",9.84851756683361
Hele landet,2017-2021,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",4.60976398830739
Hele landet,2018-2022,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",17.3538141687883
Hele landet,2018-2022,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",16.9274605977493
Hele landet,2018-2022,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",13.9966109255666
Hele landet,2018-2022,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",21.5883236253698
Hele landet,2018-2022,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",22.7292716966624
Hele landet,2018-2022,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",6.89641659279712
Hele landet,2018-2022,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",7.07242436932188
Hele landet,2018-2022,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",5.59544528793289
Hele landet,2018-2022,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",9.35111526475475
Hele landet,2018-2022,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",5.12780884526346
Hele landet,2019-2023,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",17.4065304240789
Hele landet,2019-2023,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",16.872658766427
Hele landet,2019-2023,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",14.0852465877656
Hele landet,2019-2023,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",21.3057990871941
Hele landet,2019-2023,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",24.2461816607028
Hele landet,2019-2023,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",6.86596024068219
Hele landet,2019-2023,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",6.98821597623694
Hele landet,2019-2023,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",5.676667475299
Hele landet,2019-2023,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",9.01212256609247
Hele landet,2019-2023,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",5.66993122209866
Hele landet,2020-2024,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",17.7640277494722
Hele landet,2020-2024,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",17.2704332035542
Hele landet,2020-2024,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",14.1860944961713
Hele landet,2020-2024,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",22.1755805304484
Hele landet,2020-2024,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",24.061673763973
Hele landet,2020-2024,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",6.87511992578313
Hele landet,2020-2024,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",6.90899683375667
Hele landet,2020-2024,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",5.42515100003617
Hele landet,2020-2024,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",9.19815688823867
Hele landet,2020-2024,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",6.55085261816393
Telemark,2011-2015,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2011-2015,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",22.9648344962373
Telemark,2011-2015,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",19.8140000532512
Telemark,2011-2015,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",28.1089632130808
Telemark,2011-2015,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2011-2015,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2011-2015,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",9.24824080610617
Telemark,2011-2015,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",8.53783188232461
Telemark,2011-2015,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",10.5504016068014
Telemark,2011-2015,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2012-2016,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2012-2016,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",21.5598170480415
Telemark,2012-2016,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",18.1301533054218
Telemark,2012-2016,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",27.0833206303941
Telemark,2012-2016,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2012-2016,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2012-2016,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",8.17729126564509
Telemark,2012-2016,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",6.77930125996161
Telemark,2012-2016,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",10.401673379578
Telemark,2012-2016,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2013-2017,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2013-2017,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",20.9460753370518
Telemark,2013-2017,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",18.6339906714082
Telemark,2013-2017,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",24.893464728335
Telemark,2013-2017,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2013-2017,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2013-2017,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",8.39941031172598
Telemark,2013-2017,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",8.19090920926802
Telemark,2013-2017,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",9.06382623512825
Telemark,2013-2017,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2014-2018,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2014-2018,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",19.3814591359754
Telemark,2014-2018,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",18.7514865282854
Telemark,2014-2018,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",20.9919998950724
Telemark,2014-2018,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2014-2018,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2014-2018,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",10.1545637672424
Telemark,2014-2018,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",8.25554019268249
Telemark,2014-2018,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",13.1516787206195
Telemark,2014-2018,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2015-2019,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2015-2019,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",17.3580557335214
Telemark,2015-2019,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",16.2568605481703
Telemark,2015-2019,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",19.5878325540447
Telemark,2015-2019,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2015-2019,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2015-2019,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",10.3939034851965
Telemark,2015-2019,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",7.85942636849011
Telemark,2015-2019,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",14.2251236542851
Telemark,2015-2019,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2016-2020,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2016-2020,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",18.3411127298359
Telemark,2016-2020,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",16.3872963577757
Telemark,2016-2020,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",21.7926442603743
Telemark,2016-2020,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2016-2020,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2016-2020,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",9.8850248619845
Telemark,2016-2020,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",7.45144887807014
Telemark,2016-2020,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",13.5531949838023
Telemark,2016-2020,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2017-2021,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2017-2021,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",21.5873634248876
Telemark,2017-2021,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",19.1954804091053
Telemark,2017-2021,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",25.7966266883107
Telemark,2017-2021,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2017-2021,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2017-2021,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",11.669314027371
Telemark,2017-2021,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",7.96847340434037
Telemark,2017-2021,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",17.0325903423327
Telemark,2017-2021,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2018-2022,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2018-2022,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",20.6235105905445
Telemark,2018-2022,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",18.4063989552605
Telemark,2018-2022,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",24.570567814678
Telemark,2018-2022,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2018-2022,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2018-2022,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",10.9136237570749
Telemark,2018-2022,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",7.05647540619415
Telemark,2018-2022,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",16.415471155129
Telemark,2018-2022,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2019-2023,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2019-2023,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",21.6168564301707
Telemark,2019-2023,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",17.9774150286363
Telemark,2019-2023,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",27.4689199953396
Telemark,2019-2023,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2019-2023,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2019-2023,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",9.12629351946136
Telemark,2019-2023,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",6.10964360666145
Telemark,2019-2023,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",13.4664286829009
Telemark,2019-2023,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2020-2024,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2020-2024,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",24.3168310809072
Telemark,2020-2024,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",21.9592029447087
Telemark,2020-2024,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",28.6346938235394
Telemark,2020-2024,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2020-2024,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Telemark,2020-2024,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",9.3552806128747
Telemark,2020-2024,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",6.55082003028065
Telemark,2020-2024,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",13.4487160666196
Telemark,2020-2024,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2011-2015,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2011-2015,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",25.3913008631578
Porsgrunn,2011-2015,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2011-2015,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2011-2015,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2011-2015,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2011-2015,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",9.86773388516381
Porsgrunn,2011-2015,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2011-2015,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2011-2015,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2012-2016,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2012-2016,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",25.2195957388297
Porsgrunn,2012-2016,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2012-2016,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2012-2016,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2012-2016,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2012-2016,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",8.5661806541356
Porsgrunn,2012-2016,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2012-2016,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2012-2016,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2013-2017,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2013-2017,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",26.2873909616783
Porsgrunn,2013-2017,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2013-2017,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2013-2017,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2013-2017,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2013-2017,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",10.9378437853291
Porsgrunn,2013-2017,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2013-2017,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2013-2017,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2014-2018,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",:
Porsgrunn,2014-2018,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",26.2080252898256
