Geografi,År,Kjønn,Alder,Sykdomsgruppe,Måltall,value
Hele landet,2017,menn,45-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",372.257438818406
Hele landet,2017,menn,45-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",253.874870679181
Hele landet,2017,menn,45-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",213.412552409663
Hele landet,2017,menn,75-79 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",374.851880733358
Hele landet,2017,menn,75-79 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",248.689949912515
Hele landet,2017,menn,75-79 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",219.60810772815
Hele landet,2017,kvinner,0-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",353.958856865726
Hele landet,2017,kvinner,0-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",268.138098257061
Hele landet,2017,kvinner,0-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",174.332561128596
Hele landet,2017,kvinner,0-44 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",265.81993141513
Hele landet,2017,kvinner,0-44 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",215.906406696009
Hele landet,2017,kvinner,0-44 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",98.1917691238409
Hele landet,2017,kvinner,45-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",487.28736587238
Hele landet,2017,kvinner,45-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",347.024305582649
Hele landet,2017,kvinner,45-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",289.479694183954
Hele landet,2017,kvinner,75-79 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",515.55990014321
Hele landet,2017,kvinner,75-79 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",333.333587861119
Hele landet,2017,kvinner,75-79 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",347.633575649804
Hele landet,2018,kjønn samlet,0-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",314.601597280571
Hele landet,2018,kjønn samlet,0-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",237.980176792983
Hele landet,2018,kjønn samlet,0-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",149.302059180895
Hele landet,2018,kjønn samlet,0-44 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",242.049706147822
Hele landet,2018,kjønn samlet,0-44 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",195.052443963641
Hele landet,2018,kjønn samlet,0-44 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",88.7188598763116
Hele landet,2018,kjønn samlet,45-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",426.094665340167
Hele landet,2018,kjønn samlet,45-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",303.911032434084
Hele landet,2018,kjønn samlet,45-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",242.389949702067
Hele landet,2018,kjønn samlet,75-79 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",439.50304005888
Hele landet,2018,kjønn samlet,75-79 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",294.332663838521
Hele landet,2018,kjønn samlet,75-79 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",271.291031974977
Hele landet,2018,menn,0-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",280.77254111355
Hele landet,2018,menn,0-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",208.438581011068
Hele landet,2018,menn,0-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",131.482108207905
Hele landet,2018,menn,0-44 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",222.757328841607
Hele landet,2018,menn,0-44 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",176.483978273427
Hele landet,2018,menn,0-44 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",82.5295217357808
Hele landet,2018,menn,45-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",371.297730097961
Hele landet,2018,menn,45-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",258.257045362354
Hele landet,2018,menn,45-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",207.841738959839
Hele landet,2018,menn,75-79 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",368.53563768389
Hele landet,2018,menn,75-79 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",251.544148008133
Hele landet,2018,menn,75-79 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",207.981790067942
Hele landet,2018,kvinner,0-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",349.771246585601
Hele landet,2018,kvinner,0-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",268.701383413138
Hele landet,2018,kvinner,0-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",167.818721560816
Hele landet,2018,kvinner,0-44 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",262.365879071746
Hele landet,2018,kvinner,0-44 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",214.612598487474
Hele landet,2018,kvinner,0-44 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",95.2326739964021
Hele landet,2018,kvinner,45-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",481.99258039401
Hele landet,2018,kvinner,45-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",350.492762616356
Hele landet,2018,kvinner,45-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",277.623804221319
Hele landet,2018,kvinner,75-79 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",505.07344774359
Hele landet,2018,kvinner,75-79 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",333.855597568464
Hele landet,2018,kvinner,75-79 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",330.050116165202
Hele landet,2019,kjønn samlet,0-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",316.689213987203
Hele landet,2019,kjønn samlet,0-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",243.272763312777
Hele landet,2019,kjønn samlet,0-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",146.857132693026
Hele landet,2019,kjønn samlet,0-44 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",245.95256417185
Hele landet,2019,kjønn samlet,0-44 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",200.241080500118
Hele landet,2019,kjønn samlet,0-44 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",87.9981288334154
Hele landet,2019,kjønn samlet,45-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",425.382002439148
Hele landet,2019,kjønn samlet,45-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",309.397632551938
Hele landet,2019,kjønn samlet,45-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",237.326354719913
Hele landet,2019,kjønn samlet,75-79 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",438.722669601448
Hele landet,2019,kjønn samlet,75-79 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",300.455681807506
Hele landet,2019,kjønn samlet,75-79 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",266.245413093609
Hele landet,2019,menn,0-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",282.500773544001
Hele landet,2019,menn,0-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",213.264718471532
Hele landet,2019,menn,0-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",128.992553553881
Hele landet,2019,menn,0-44 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",226.227197498466
Hele landet,2019,menn,0-44 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",181.47913355768
Hele landet,2019,menn,0-44 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",81.6570449352639
Hele landet,2019,menn,45-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",370.284580105458
Hele landet,2019,menn,45-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",262.844306398661
Hele landet,2019,menn,45-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",202.851507129059
Hele landet,2019,menn,75-79 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",368.722436219319
Hele landet,2019,menn,75-79 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",256.394604432458
Hele landet,2019,menn,75-79 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",204.607048463509
Hele landet,2019,kvinner,0-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",352.232056308066
Hele landet,2019,kvinner,0-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",274.476214973531
Hele landet,2019,kvinner,0-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",165.421830275953
Hele landet,2019,kvinner,0-44 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",266.724872703588
Hele landet,2019,kvinner,0-44 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",220.002174798349
Hele landet,2019,kvinner,0-44 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",94.6732425642399
Hele landet,2019,kvinner,45-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",481.588122434057
Hele landet,2019,kvinner,45-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",356.896982551111
Hele landet,2019,kvinner,45-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",272.488154032894
Hele landet,2019,kvinner,75-79 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",503.540711178456
Hele landet,2019,kvinner,75-79 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",341.22026843765
Hele landet,2019,kvinner,75-79 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",323.485307242053
Hele landet,2020,kjønn samlet,0-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",306.785099498359
Hele landet,2020,kjønn samlet,0-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",237.319661257963
Hele landet,2020,kjønn samlet,0-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",142.486381839321
Hele landet,2020,kjønn samlet,0-44 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",234.79706836558
Hele landet,2020,kjønn samlet,0-44 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",191.872284866081
Hele landet,2020,kjønn samlet,0-44 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",84.2228091848169
Hele landet,2020,kjønn samlet,45-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",417.376381960686
Hele landet,2020,kjønn samlet,45-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",307.154766036636
Hele landet,2020,kjønn samlet,45-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",232.038118875524
Hele landet,2020,kjønn samlet,75-79 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",429.250201194576
Hele landet,2020,kjønn samlet,75-79 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",295.921507213409
Hele landet,2020,kjønn samlet,75-79 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",260.471587626716
Hele landet,2020,menn,0-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",273.055186481048
Hele landet,2020,menn,0-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",207.595880491795
Hele landet,2020,menn,0-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",124.992147150135
Hele landet,2020,menn,0-44 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",214.66626559354
Hele landet,2020,menn,0-44 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",172.681059653533
Hele landet,2020,menn,0-44 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",77.5477259004941
Hele landet,2020,menn,45-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",364.107783822294
Hele landet,2020,menn,45-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",262.054671468223
Hele landet,2020,menn,45-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",199.01010478925
Hele landet,2020,menn,75-79 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",362.255936860897
Hele landet,2020,menn,75-79 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",253.858484704914
Hele landet,2020,menn,75-79 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",200.979389990407
Hele landet,2020,kvinner,0-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",341.855431598394
Hele landet,2020,kvinner,0-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",268.23048681753
Hele landet,2020,kvinner,0-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",160.667463854579
Hele landet,2020,kvinner,0-44 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",256.004438252058
Hele landet,2020,kvinner,0-44 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",212.092741635043
Hele landet,2020,kvinner,0-44 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",91.2545209503665
Hele landet,2020,kvinner,45-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",471.715472337801
Hele landet,2020,kvinner,45-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",353.169601162861
Hele landet,2020,kvinner,45-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",265.72119894772
Hele landet,2020,kvinner,75-79 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",491.371390956402
Hele landet,2020,kvinner,75-79 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",334.907817308305
Hele landet,2020,kvinner,75-79 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",315.739560267718
Hele landet,2021,kjønn samlet,0-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",318.645418396342
Hele landet,2021,kjønn samlet,0-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",252.046570263474
Hele landet,2021,kjønn samlet,0-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",144.059752464179
Hele landet,2021,kjønn samlet,0-44 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",247.749595012473
Hele landet,2021,kjønn samlet,0-44 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",206.167456186626
Hele landet,2021,kjønn samlet,0-44 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",85.6692891956852
Hele landet,2021,kjønn samlet,45-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",427.594584022021
Hele landet,2021,kjønn samlet,45-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",322.569148241126
Hele landet,2021,kjønn samlet,45-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",233.813775277506
Hele landet,2021,kjønn samlet,75-79 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",437.038422294421
Hele landet,2021,kjønn samlet,75-79 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",310.054859911981
Hele landet,2021,kjønn samlet,75-79 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",260.213591573031
Hele landet,2021,menn,0-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",285.462279828402
Hele landet,2021,menn,0-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",222.024017899146
Hele landet,2021,menn,0-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",126.773972776253
Hele landet,2021,menn,0-44 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",228.91170148186
Hele landet,2021,menn,0-44 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",187.745080274192
Hele landet,2021,menn,0-44 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",79.4028852090876
Hele landet,2021,menn,45-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",373.682637915371
Hele landet,2021,menn,45-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",275.517795765061
Hele landet,2021,menn,45-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",200.689560343997
Hele landet,2021,menn,75-79 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",369.048448605831
Hele landet,2021,menn,75-79 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",266.365749392637
Hele landet,2021,menn,75-79 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",199.615656881195
Hele landet,2021,kvinner,0-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",353.137530154346
Hele landet,2021,kvinner,0-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",283.259711760717
Hele landet,2021,kvinner,0-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",162.022167151195
Hele landet,2021,kvinner,0-44 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",267.579310059906
Hele landet,2021,kvinner,0-44 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",225.562594341466
Hele landet,2021,kvinner,0-44 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",92.2668709605457
Hele landet,2021,kvinner,45-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",482.588104804468
Hele landet,2021,kvinner,45-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",370.575860430004
Hele landet,2021,kvinner,45-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",267.593744227421
Hele landet,2021,kvinner,75-79 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",500.138970922243
Hele landet,2021,kvinner,75-79 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",350.593290518273
Hele landet,2021,kvinner,75-79 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",316.495529169077
Hele landet,2022,kjønn samlet,0-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",313.397456574424
Hele landet,2022,kjønn samlet,0-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",251.744502541642
Hele landet,2022,kjønn samlet,0-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",136.538227073315
Hele landet,2022,kjønn samlet,0-44 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",241.642584035047
Hele landet,2022,kjønn samlet,0-44 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",203.856849864737
Hele landet,2022,kjønn samlet,0-44 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",79.5301946070034
Hele landet,2022,kjønn samlet,45-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",423.649915891503
Hele landet,2022,kjønn samlet,45-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",325.329660259315
Hele landet,2022,kjønn samlet,45-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",224.137199758931
