Kommune;Periode;År;Måned;Passasjerer
Kragerø;2022/04;2022;4;31934
Kviteseid;2022/04;2022;4;3237
Larvik;2022/04;2022;4;86935
Midt-Telemark;2022/04;2022;4;11112
Nissedal;2022/04;2022;4;1378
Nome;2022/04;2022;4;8107
Notodden;2022/04;2022;4;12808
Porsgrunn;2022/04;2022;4;127099
Sandefjord;2022/04;2022;4;107962
Seljord;2022/04;2022;4;1951
Siljan;2022/04;2022;4;3856
Skien;2022/04;2022;4;170373
Tinn;2022/04;2022;4;9241
Tokke;2022/04;2022;4;3312
Tønsberg;2022/04;2022;4;246376
Vinje;2022/04;2022;4;4724
Bamble;2022/03;2022;3;41416
Drangedal;2022/03;2022;3;8417
Fyresdal;2022/03;2022;3;1660
Færder;2022/03;2022;3;92275
Hjartdal;2022/03;2022;3;1965
Holmestrand;2022/03;2022;3;70622
Horten;2022/03;2022;3;88438
Kragerø;2022/03;2022;3;28971
Kviteseid;2022/03;2022;3;4688
Larvik;2022/03;2022;3;116043
Midt-Telemark;2022/03;2022;3;16814
Nissedal;2022/03;2022;3;2119
Nome;2022/03;2022;3;12022
Notodden;2022/03;2022;3;18283
Porsgrunn;2022/03;2022;3;159182
Sandefjord;2022/03;2022;3;151365
Seljord;2022/03;2022;3;2669
Siljan;2022/03;2022;3;5635
Skien;2022/03;2022;3;227536
Tinn;2022/03;2022;3;14524
Tokke;2022/03;2022;3;4651
Tønsberg;2022/03;2022;3;326083
Vinje;2022/03;2022;3;6552
Bamble;2022/02;2022;2;30679
Drangedal;2022/02;2022;2;5280
Fyresdal;2022/02;2022;2;1128
Færder;2022/02;2022;2;67142
Hjartdal;2022/02;2022;2;1088
Holmestrand;2022/02;2022;2;46649
Horten;2022/02;2022;2;64381
Kragerø;2022/02;2022;2;20891
Kviteseid;2022/02;2022;2;3026
Larvik;2022/02;2022;2;82184
Midt-Telemark;2022/02;2022;2;11052
Nissedal;2022/02;2022;2;1222
Nome;2022/02;2022;2;7976
Notodden;2022/02;2022;2;13504
Porsgrunn;2022/02;2022;2;117570
Sandefjord;2022/02;2022;2;111194
Seljord;2022/02;2022;2;1891
Siljan;2022/02;2022;2;3896
Skien;2022/02;2022;2;169398
Tinn;2022/02;2022;2;9665
Tokke;2022/02;2022;2;3027
Tønsberg;2022/02;2022;2;239145
Vinje;2022/02;2022;2;4255
Bamble;2022/01;2022;1;29718
Drangedal;2022/01;2022;1;7085
Fyresdal;2022/01;2022;1;1496
Færder;2022/01;2022;1;69894
Hjartdal;2022/01;2022;1;1636
Holmestrand;2022/01;2022;1;51417
Horten;2022/01;2022;1;63495
Kragerø;2022/01;2022;1;22138
Kviteseid;2022/01;2022;1;3980
Larvik;2022/01;2022;1;93756
Midt-Telemark;2022/01;2022;1;13182
Nissedal;2022/01;2022;1;1658
Nome;2022/01;2022;1;7712
Notodden;2022/01;2022;1;15489
Porsgrunn;2022/01;2022;1;109036
Sandefjord;2022/01;2022;1;119025
Seljord;2022/01;2022;1;2592
Siljan;2022/01;2022;1;4668
Skien;2022/01;2022;1;155164
Tinn;2022/01;2022;1;10224
Tokke;2022/01;2022;1;4415
Tønsberg;2022/01;2022;1;245844
Vinje;2022/01;2022;1;5386
Bamble;2021/12;2021;12;25341
Drangedal;2021/12;2021;12;5506
Fyresdal;2021/12;2021;12;1120
Færder;2021/12;2021;12;58742
Hjartdal;2021/12;2021;12;1242
Holmestrand;2021/12;2021;12;38654
Horten;2021/12;2021;12;54615
Kragerø;2021/12;2021;12;19021
Kviteseid;2021/12;2021;12;3259
Larvik;2021/12;2021;12;74741
Midt-Telemark;2021/12;2021;12;8535
Nissedal;2021/12;2021;12;1083
Nome;2021/12;2021;12;6661
Notodden;2021/12;2021;12;11429
Porsgrunn;2021/12;2021;12;99677
Sandefjord;2021/12;2021;12;101006
Seljord;2021/12;2021;12;1961
Siljan;2021/12;2021;12;3334
Skien;2021/12;2021;12;140662
Tinn;2021/12;2021;12;8826
Tokke;2021/12;2021;12;3234
Tønsberg;2021/12;2021;12;208785
Vinje;2021/12;2021;12;4643
Bamble;2021/11;2021;11;40234
Drangedal;2021/11;2021;11;8455
Fyresdal;2021/11;2021;11;1607
Færder;2021/11;2021;11;88011
Hjartdal;2021/11;2021;11;1933
Holmestrand;2021/11;2021;11;64628
Horten;2021/11;2021;11;81890
Kragerø;2021/11;2021;11;25636
Kviteseid;2021/11;2021;11;4514
Larvik;2021/11;2021;11;107924
Midt-Telemark;2021/11;2021;11;15934
Nissedal;2021/11;2021;11;1922
Nome;2021/11;2021;11;11830
Notodden;2021/11;2021;11;18218
Porsgrunn;2021/11;2021;11;151717
Sandefjord;2021/11;2021;11;146720
Seljord;2021/11;2021;11;2820
Siljan;2021/11;2021;11;5103
Skien;2021/11;2021;11;213001
Tinn;2021/11;2021;11;11768
Tokke;2021/11;2021;11;4692
Tønsberg;2021/11;2021;11;309519
Vinje;2021/11;2021;11;6171
Bamble;2021/10;2021;10;35757
Drangedal;2021/10;2021;10;6870
Fyresdal;2021/10;2021;10;1333
Færder;2021/10;2021;10;77393
Hjartdal;2021/10;2021;10;1372
Holmestrand;2021/10;2021;10;51606
Horten;2021/10;2021;10;73731
Kragerø;2021/10;2021;10;24914
Kviteseid;2021/10;2021;10;3708
Larvik;2021/10;2021;10;89954
Midt-Telemark;2021/10;2021;10;12371
Nissedal;2021/10;2021;10;1521
Nome;2021/10;2021;10;8824
Notodden;2021/10;2021;10;14176
Porsgrunn;2021/10;2021;10;134780
Sandefjord;2021/10;2021;10;119163
Seljord;2021/10;2021;10;2171
Siljan;2021/10;2021;10;4190
Skien;2021/10;2021;10;186715
Tinn;2021/10;2021;10;9070
Tokke;2021/10;2021;10;3682
Tønsberg;2021/10;2021;10;269815
Vinje;2021/10;2021;10;4800
Bamble;2021/09;2021;9;39076
Drangedal;2021/09;2021;9;9154
Fyresdal;2021/09;2021;9;1755
Færder;2021/09;2021;9;82211
Hjartdal;2021/09;2021;9;1775
Holmestrand;2021/09;2021;9;59239
Horten;2021/09;2021;9;78164
Kragerø;2021/09;2021;9;29106
Kviteseid;2021/09;2021;9;4845
Larvik;2021/09;2021;9;102551
Midt-Telemark;2021/09;2021;9;15503
Nissedal;2021/09;2021;9;2038
Nome;2021/09;2021;9;11656
Notodden;2021/09;2021;9;16200
Porsgrunn;2021/09;2021;9;138374
Sandefjord;2021/09;2021;9;130558
Seljord;2021/09;2021;9;2815
Siljan;2021/09;2021;9;4714
Skien;2021/09;2021;9;194055
Tinn;2021/09;2021;9;10398
Tokke;2021/09;2021;9;5077
Tønsberg;2021/09;2021;9;286911
Vinje;2021/09;2021;9;6262
Bamble;2021/08;2021;8;26009
Drangedal;2021/08;2021;8;4599
Fyresdal;2021/08;2021;8;854
Færder;2021/08;2021;8;63595
Hjartdal;2021/08;2021;8;704
Holmestrand;2021/08;2021;8;35050
Horten;2021/08;2021;8;56382
Kragerø;2021/08;2021;8;33091
Kviteseid;2021/08;2021;8;2321
Larvik;2021/08;2021;8;74682
Midt-Telemark;2021/08;2021;8;8990
Nissedal;2021/08;2021;8;796
Nome;2021/08;2021;8;5724
Notodden;2021/08;2021;8;9758
Porsgrunn;2021/08;2021;8;107396
Sandefjord;2021/08;2021;8;89964
Seljord;2021/08;2021;8;1538
Siljan;2021/08;2021;8;2646
Skien;2021/08;2021;8;138524
Tinn;2021/08;2021;8;6575
Tokke;2021/08;2021;8;2820
Tønsberg;2021/08;2021;8;215656
Vinje;2021/08;2021;8;2880
Bamble;2021/07;2021;7;16017
Drangedal;2021/07;2021;7;411
Fyresdal;2021/07;2021;7;117
Færder;2021/07;2021;7;51990
Holmestrand;2021/07;2021;7;14632
Horten;2021/07;2021;7;38234
Kragerø;2021/07;2021;7;57126
Kviteseid;2021/07;2021;7;445
Larvik;2021/07;2021;7;50934
Midt-Telemark;2021/07;2021;7;4657
Nissedal;2021/07;2021;7;97
Nome;2021/07;2021;7;2482
Notodden;2021/07;2021;7;4003
Porsgrunn;2021/07;2021;7;75973
Sandefjord;2021/07;2021;7;52681
Seljord;2021/07;2021;7;510
Siljan;2021/07;2021;7;1019
Skien;2021/07;2021;7;87689
Tinn;2021/07;2021;7;4166
Tokke;2021/07;2021;7;918
Tønsberg;2021/07;2021;7;147295
Vinje;2021/07;2021;7;526
Bamble;2021/06;2021;6;20264
Drangedal;2021/06;2021;6;5293
Fyresdal;2021/06;2021;6;887
Færder;2021/06;2021;6;62938
Hjartdal;2021/06;2021;6;772
Holmestrand;2021/06;2021;6;35204
Horten;2021/06;2021;6;55679
Kragerø;2021/06;2021;6;37424
Kviteseid;2021/06;2021;6;2371
Larvik;2021/06;2021;6;70958
Midt-Telemark;2021/06;2021;6;8880
Nissedal;2021/06;2021;6;1188
Nome;2021/06;2021;6;6374
Notodden;2021/06;2021;6;9376
Porsgrunn;2021/06;2021;6;93071
Sandefjord;2021/06;2021;6;84380
Seljord;2021/06;2021;6;1617
Siljan;2021/06;2021;6;2780
Skien;2021/06;2021;6;121313
Tinn;2021/06;2021;6;6483
Tokke;2021/06;2021;6;2661
Tønsberg;2021/06;2021;6;208591
Vinje;2021/06;2021;6;3490
Bamble;2021/05;2021;5;18981
Drangedal;2021/05;2021;5;6695
Fyresdal;2021/05;2021;5;1561
Færder;2021/05;2021;5;61378
Hjartdal;2021/05;2021;5;1256
Holmestrand;2021/05;2021;5;29808
Horten;2021/05;2021;5;51416
Kragerø;2021/05;2021;5;32712
Kviteseid;2021/05;2021;5;3360
Larvik;2021/05;2021;5;69372
Midt-Telemark;2021/05;2021;5;10502
Nissedal;2021/05;2021;5;1714
Nome;2021/05;2021;5;7746
Notodden;2021/05;2021;5;11670
Porsgrunn;2021/05;2021;5;69793
Sandefjord;2021/05;2021;5;91441
Seljord;2021/05;2021;5;2239
Siljan;2021/05;2021;5;2920
Skien;2021/05;2021;5;92607
Tinn;2021/05;2021;5;7558
Tokke;2021/05;2021;5;3345
Tønsberg;2021/05;2021;5;206436
Vinje;2021/05;2021;5;5418
Bamble;2021/04;2021;4;19808
Drangedal;2021/04;2021;4;7643
Fyresdal;2021/04;2021;4;1836
Færder;2021/04;2021;4;52740
Hjartdal;2021/04;2021;4;1553
Holmestrand;2021/04;2021;4;38453
Horten;2021/04;2021;4;45423
Kragerø;2021/04;2021;4;30678
Kviteseid;2021/04;2021;4;3950
Larvik;2021/04;2021;4;74267
Midt-Telemark;2021/04;2021;4;12705
Nissedal;2021/04;2021;4;2130
Nome;2021/04;2021;4;9929
Notodden;2021/04;2021;4;12897
Porsgrunn;2021/04;2021;4;83822
Sandefjord;2021/04;2021;4;85773
Seljord;2021/04;2021;4;2926
Siljan;2021/04;2021;4;3325
Skien;2021/04;2021;4;115947
Tinn;2021/04;2021;4;8672
Tokke;2021/04;2021;4;3948
Tønsberg;2021/04;2021;4;177398
Vinje;2021/04;2021;4;5880
Bamble;2021/03;2021;3;25202
Drangedal;2021/03;2021;3;7619
Fyresdal;2021/03;2021;3;1874
Færder;2021/03;2021;3;46123
Hjartdal;2021/03;2021;3;1596
Holmestrand;2021/03;2021;3;38563
Horten;2021/03;2021;3;43101
Kragerø;2021/03;2021;3;28381
Kviteseid;2021/03;2021;3;3992
Larvik;2021/03;2021;3;79417
Midt-Telemark;2021/03;2021;3;14306
Nissedal;2021/03;2021;3;2095
Nome;2021/03;2021;3;10030
Notodden;2021/03;2021;3;15913
Porsgrunn;2021/03;2021;3;97711
Sandefjord;2021/03;2021;3;98319
Seljord;2021/03;2021;3;3002
Siljan;2021/03;2021;3;4034
Skien;2021/03;2021;3;141418
Tinn;2021/03;2021;3;9586
Tokke;2021/03;2021;3;4348
Tønsberg;2021/03;2021;3;142719
Vinje;2021/03;2021;3;6326
Bamble;2021/02;2021;2;22841
Drangedal;2021/02;2021;2;6250
Fyresdal;2021/02;2021;2;1554
Færder;2021/02;2021;2;62929
Hjartdal;2021/02;2021;2;1290
Holmestrand;2021/02;2021;2;42643
Horten;2021/02;2021;2;57526
Kragerø;2021/02;2021;2;24510
Kviteseid;2021/02;2021;2;3051
Larvik;2021/02;2021;2;82288
Midt-Telemark;2021/02;2021;2;11143
Nissedal;2021/02;2021;2;1573
Nome;2021/02;2021;2;8012
Notodden;2021/02;2021;2;13444
Porsgrunn;2021/02;2021;2;88237
Sandefjord;2021/02;2021;2;99795
Seljord;2021/02;2021;2;2455
Siljan;2021/02;2021;2;2952
Skien;2021/02;2021;2;128685
Tinn;2021/02;2021;2;8415
Tokke;2021/02;2021;2;3478
Tønsberg;2021/02;2021;2;232870
Vinje;2021/02;2021;2;5085
Bamble;2021/01;2021;1;22540
Drangedal;2021/01;2021;1;6626
Fyresdal;2021/01;2021;1;1702
Færder;2021/01;2021;1;58742
Hjartdal;2021/01;2021;1;1525
Holmestrand;2021/01;2021;1;44129
Horten;2021/01;2021;1;50103
Kragerø;2021/01;2021;1;21979
Kviteseid;2021/01;2021;1;3677
Larvik;2021/01;2021;1;75357
Midt-Telemark;2021/01;2021;1;12543
Nissedal;2021/01;2021;1;2126
Nome;2021/01;2021;1;8744
Notodden;2021/01;2021;1;12899
Porsgrunn;2021/01;2021;1;77692
Sandefjord;2021/01;2021;1;110691
Seljord;2021/01;2021;1;2560
Siljan;2021/01;2021;1;3453
Skien;2021/01;2021;1;111431
Tinn;2021/01;2021;1;9242
Tokke;2021/01;2021;1;3878
Tønsberg;2021/01;2021;1;220124
Vinje;2021/01;2021;1;5655
Bamble;2020/12;2020;12;20703
Drangedal;2020/12;2020;12;6232
Fyresdal;2020/12;2020;12;1603
Færder;2020/12;2020;12;58762
Hjartdal;2020/12;2020;12;1249
Holmestrand;2020/12;2020;12;38834
Horten;2020/12;2020;12;54241
Kragerø;2020/12;2020;12;20911
Kviteseid;2020/12;2020;12;3366
Larvik;2020/12;2020;12;70493
Midt-Telemark;2020/12;2020;12;11001
Nissedal;2020/12;2020;12;1718
Nome;2020/12;2020;12;8524
Notodden;2020/12;2020;12;13184
Porsgrunn;2020/12;2020;12;74229
Sandefjord;2020/12;2020;12;102573
Seljord;2020/12;2020;12;2607
Siljan;2020/12;2020;12;1695
Skien;2020/12;2020;12;97385
Tinn;2020/12;2020;12;8046
Tokke;2020/12;2020;12;3573
Tønsberg;2020/12;2020;12;217704
Vinje;2020/12;2020;12;5433
Bamble;2020/11;2020;11;28369
Drangedal;2020/11;2020;11;8203
Fyresdal;2020/11;2020;11;2076
Færder;2020/11;2020;11;68907
Hjartdal;2020/11;2020;11;1869
Holmestrand;2020/11;2020;11;49077
Horten;2020/11;2020;11;66537
Kragerø;2020/11;2020;11;27544
Kviteseid;2020/11;2020;11;4299
Larvik;2020/11;2020;11;89972
Midt-Telemark;2020/11;2020;11;14252
Nissedal;2020/11;2020;11;2308
Nome;2020/11;2020;11;12000
Notodden;2020/11;2020;11;15461
Porsgrunn;2020/11;2020;11;111609
Sandefjord;2020/11;2020;11;123229
Seljord;2020/11;2020;11;2714
Siljan;2020/11;2020;11;4163
Skien;2020/11;2020;11;164737
Tinn;2020/11;2020;11;10319
Tokke;2020/11;2020;11;4426
Tønsberg;2020/11;2020;11;254817
Vinje;2020/11;2020;11;6594
Bamble;2020/10;2020;10;32525
Drangedal;2020/10;2020;10;7262
Fyresdal;2020/10;2020;10;1811
Færder;2020/10;2020;10;73187
Hjartdal;2020/10;2020;10;1522
Holmestrand;2020/10;2020;10;49573
Horten;2020/10;2020;10;75051
Kragerø;2020/10;2020;10;28988
Kviteseid;2020/10;2020;10;3630
Larvik;2020/10;2020;10;94556
Midt-Telemark;2020/10;2020;10;12749
Nissedal;2020/10;2020;10;1913
Nome;2020/10;2020;10;10007
Notodden;2020/10;2020;10;14187
Porsgrunn;2020/10;2020;10;137428
Sandefjord;2020/10;2020;10;131815
Seljord;2020/10;2020;10;2298
Siljan;2020/10;2020;10;4166
Skien;2020/10;2020;10;196722
Tinn;2020/10;2020;10;8981
Tokke;2020/10;2020;10;4101
Tønsberg;2020/10;2020;10;279028
Vinje;2020/10;2020;10;5685
Bamble;2020/09;2020;9;34742
Drangedal;2020/09;2020;9;9001
Fyresdal;2020/09;2020;9;2214
Færder;2020/09;2020;9;79175
Hjartdal;2020/09;2020;9;2082
Holmestrand;2020/09;2020;9;50453
Horten;2020/09;2020;9;76528
Kragerø;2020/09;2020;9;33469
Kviteseid;2020/09;2020;9;4684
Larvik;2020/09;2020;9;101669
Midt-Telemark;2020/09;2020;9;15512
Nissedal;2020/09;2020;9;2319
Nome;2020/09;2020;9;12013
Notodden;2020/09;2020;9;15587
Porsgrunn;2020/09;2020;9;144322
Sandefjord;2020/09;2020;9;136919
Seljord;2020/09;2020;9;2720
Siljan;2020/09;2020;9;4697
Skien;2020/09;2020;9;203628
Tinn;2020/09;2020;9;9868
Tokke;2020/09;2020;9;5446
Tønsberg;2020/09;2020;9;296818
Vinje;2020/09;2020;9;7309
Bamble;2020/08;2020;8;26189
Drangedal;2020/08;2020;8;4657
Fyresdal;2020/08;2020;8;1280
Færder;2020/08;2020;8;68325
Hjartdal;2020/08;2020;8;1418
Holmestrand;2020/08;2020;8;32509
Horten;2020/08;2020;8;59585
Kragerø;2020/08;2020;8;37351
Kviteseid;2020/08;2020;8;2494
Larvik;2020/08;2020;8;75245
Midt-Telemark;2020/08;2020;8;9169
Nissedal;2020/08;2020;8;1180
Nome;2020/08;2020;8;5561
Notodden;2020/08;2020;8;9124
Porsgrunn;2020/08;2020;8;112023
Sandefjord;2020/08;2020;8;90755
Seljord;2020/08;2020;8;1251
Siljan;2020/08;2020;8;2851
Skien;2020/08;2020;8;152405
Tinn;2020/08;2020;8;6310
Tokke;2020/08;2020;8;3249
Tønsberg;2020/08;2020;8;235350
Vinje;2020/08;2020;8;3747
Bamble;2020/07;2020;7;20315
Drangedal;2020/07;2020;7;453
Fyresdal;2020/07;2020;7;131
Færder;2020/07;2020;7;55775
Hjartdal;2020/07;2020;7;967
Holmestrand;2020/07;2020;7;16507
Horten;2020/07;2020;7;42353
Kragerø;2020/07;2020;7;62988
Kviteseid;2020/07;2020;7;403
Larvik;2020/07;2020;7;59911
Midt-Telemark;2020/07;2020;7;3830
Nissedal;2020/07;2020;7;101
Nome;2020/07;2020;7;2267
Notodden;2020/07;2020;7;4580
Porsgrunn;2020/07;2020;7;90141
Sandefjord;2020/07;2020;7;63274
Seljord;2020/07;2020;7;372
Siljan;2020/07;2020;7;1124
Skien;2020/07;2020;7;112177
Tinn;2020/07;2020;7;4729
Tokke;2020/07;2020;7;1029
Tønsberg;2020/07;2020;7;170638
Vinje;2020/07;2020;7;524
Bamble;2020/06;2020;6;24982
Drangedal;2020/06;2020;6;4151
Fyresdal;2020/06;2020;6;1137
Færder;2020/06;2020;6;64495
Hjartdal;2020/06;2020;6;696
Holmestrand;2020/06;2020;6;31761
Horten;2020/06;2020;6;50215
Kragerø;2020/06;2020;6;36177
Kviteseid;2020/06;2020;6;2411
Larvik;2020/06;2020;6;72895
Midt-Telemark;2020/06;2020;6;7167
Nissedal;2020/06;2020;6;1255
Nome;2020/06;2020;6;4136
Notodden;2020/06;2020;6;8747
Porsgrunn;2020/06;2020;6;107321
Sandefjord;2020/06;2020;6;88242
Seljord;2020/06;2020;6;1740
Siljan;2020/06;2020;6;2669
Skien;2020/06;2020;6;133596
Tinn;2020/06;2020;6;5199
Tokke;2020/06;2020;6;2475
Tønsberg;2020/06;2020;6;201303
Vinje;2020/06;2020;6;3694
Bamble;2020/05;2020;5;19780
Drangedal;2020/05;2020;5;4394
Fyresdal;2020/05;2020;5;961
Færder;2020/05;2020;5;50193
Hjartdal;2020/05;2020;5;793
Holmestrand;2020/05;2020;5;25707
Horten;2020/05;2020;5;40803
Kragerø;2020/05;2020;5;27402
Kviteseid;2020/05;2020;5;2114
Larvik;2020/05;2020;5;59654
Midt-Telemark;2020/05;2020;5;6159
Nissedal;2020/05;2020;5;1215
Nome;2020/05;2020;5;3697
Notodden;2020/05;2020;5;7391
Porsgrunn;2020/05;2020;5;80556
Sandefjord;2020/05;2020;5;68977
Seljord;2020/05;2020;5;1727
Siljan;2020/05;2020;5;2652
Skien;2020/05;2020;5;103866
Tinn;2020/05;2020;5;4679
Tokke;2020/05;2020;5;2236
Tønsberg;2020/05;2020;5;159966
Vinje;2020/05;2020;5;3523
Bamble;2020/04;2020;4;9220
Drangedal;2020/04;2020;4;415
Fyresdal;2020/04;2020;4;130
Færder;2020/04;2020;4;23448
Hjartdal;2020/04;2020;4;42
Holmestrand;2020/04;2020;4;8734
Horten;2020/04;2020;4;21659
Kragerø;2020/04;2020;4;8989
Kviteseid;2020/04;2020;4;151
Larvik;2020/04;2020;4;27693
Midt-Telemark;2020/04;2020;4;1355
Nissedal;2020/04;2020;4;177
Nome;2020/04;2020;4;797
Notodden;2020/04;2020;4;2341
Porsgrunn;2020/04;2020;4;45324
Sandefjord;2020/04;2020;4;32332
Seljord;2020/04;2020;4;218
Siljan;2020/04;2020;4;649
Skien;2020/04;2020;4;56948
Tinn;2020/04;2020;4;1235
Tokke;2020/04;2020;4;143
Tønsberg;2020/04;2020;4;73194
Vinje;2020/04;2020;4;338
Bamble;2020/03;2020;3;21220
Drangedal;2020/03;2020;3;3725
Fyresdal;2020/03;2020;3;991
Færder;2020/03;2020;3;49694
Hjartdal;2020/03;2020;3;942
Holmestrand;2020/03;2020;3;32745
Horten;2020/03;2020;3;52623
Kragerø;2020/03;2020;3;15013
Kviteseid;2020/03;2020;3;2192
Larvik;2020/03;2020;3;66207
Midt-Telemark;2020/03;2020;3;8025
Nissedal;2020/03;2020;3;993
Nome;2020/03;2020;3;4963
Notodden;2020/03;2020;3;9662
Porsgrunn;2020/03;2020;3;96174
Sandefjord;2020/03;2020;3;85704
Seljord;2020/03;2020;3;1639
Siljan;2020/03;2020;3;2779
Skien;2020/03;2020;3;136628
Tinn;2020/03;2020;3;6284
Tokke;2020/03;2020;3;2060
Tønsberg;2020/03;2020;3;175866
Vinje;2020/03;2020;3;2902
Bamble;2020/02;2020;2;35311
Drangedal;2020/02;2020;2;6312
Fyresdal;2020/02;2020;2;1591
Færder;2020/02;2020;2;88000
Hjartdal;2020/02;2020;2;1711
Holmestrand;2020/02;2020;2;54262
Horten;2020/02;2020;2;92395
Kragerø;2020/02;2020;2;25008
Kviteseid;2020/02;2020;2;3519
Larvik;2020/02;2020;2;108131
Midt-Telemark;2020/02;2020;2;13644
Nissedal;2020/02;2020;2;1741
Nome;2020/02;2020;2;8071
Notodden;2020/02;2020;2;17293
Porsgrunn;2020/02;2020;2;159253
Sandefjord;2020/02;2020;2;143245
Seljord;2020/02;2020;2;2952
Siljan;2020/02;2020;2;4995
Skien;2020/02;2020;2;228943
Tinn;2020/02;2020;2;11972
Tokke;2020/02;2020;2;3497
Tønsberg;2020/02;2020;2;321379
Vinje;2020/02;2020;2;4995
Bamble;2020/01;2020;1;41734
Drangedal;2020/01;2020;1;9063
Fyresdal;2020/01;2020;1;2077
Færder;2020/01;2020;1;100840
Hjartdal;2020/01;2020;1;2180
Holmestrand;2020/01;2020;1;67421
Horten;2020/01;2020;1;106230
Kragerø;2020/01;2020;1;30110
Kviteseid;2020/01;2020;1;5008
Larvik;2020/01;2020;1;126670
Midt-Telemark;2020/01;2020;1;18138
Nissedal;2020/01;2020;1;2412
Nome;2020/01;2020;1;11067
Notodden;2020/01;2020;1;22586
Porsgrunn;2020/01;2020;1;182238
Sandefjord;2020/01;2020;1;171215
Seljord;2020/01;2020;1;3935
Siljan;2020/01;2020;1;6426
Skien;2020/01;2020;1;264877
Tinn;2020/01;2020;1;14138
Tokke;2020/01;2020;1;4535
Tønsberg;2020/01;2020;1;368949
Vinje;2020/01;2020;1;6221
Bamble;2019/12;2019;12;34445
Drangedal;2019/12;2019;12;6343
Fyresdal;2019/12;2019;12;1700
Færder;2019/12;2019;12;83819
Hjartdal;2019/12;2019;12;1629
Holmestrand;2019/12;2019;12;54403
Horten;2019/12;2019;12;82850
Kragerø;2019/12;2019;12;24386
Kviteseid;2019/12;2019;12;4030
Larvik;2019/12;2019;12;100261
Midt-Telemark;2019/12;2019;12;13566
Nissedal;2019/12;2019;12;1590
Nome;2019/12;2019;12;9727
Notodden;2019/12;2019;12;15561
Porsgrunn;2019/12;2019;12;145216
Sandefjord;2019/12;2019;12;133616
Seljord;2019/12;2019;12;2679
Siljan;2019/12;2019;12;4683
Skien;2019/12;2019;12;218669
Tinn;2019/12;2019;12;10190
Tokke;2019/12;2019;12;3731
Tønsberg;2019/12;2019;12;308910
Vinje;2019/12;2019;12;4670
Bamble;2019/11;2019;11;42822
Drangedal;2019/11;2019;11;8365
Fyresdal;2019/11;2019;11;2032
Færder;2019/11;2019;11;105894
Hjartdal;2019/11;2019;11;2264
Holmestrand;2019/11;2019;11;73730
Horten;2019/11;2019;11;108018
Kragerø;2019/11;2019;11;30118
Kviteseid;2019/11;2019;11;4869
Larvik;2019/11;2019;11;128667
Midt-Telemark;2019/11;2019;11;19194
Nissedal;2019/11;2019;11;2279
Nome;2019/11;2019;11;13702
Notodden;2019/11;2019;11;20088
Porsgrunn;2019/11;2019;11;182411
Sandefjord;2019/11;2019;11;177014
Seljord;2019/11;2019;11;3890
Siljan;2019/11;2019;11;5962
Skien;2019/11;2019;11;276544
Tinn;2019/11;2019;11;13269
Tokke;2019/11;2019;11;4773
Tønsberg;2019/11;2019;11;387068
Vinje;2019/11;2019;11;5750
Bamble;2019/10;2019;10;39469
Drangedal;2019/10;2019;10;8248
Fyresdal;2019/10;2019;10;1847
Færder;2019/10;2019;10;100449
Hjartdal;2019/10;2019;10;2094
Holmestrand;2019/10;2019;10;69021
Horten;2019/10;2019;10;103852
Kragerø;2019/10;2019;10;28843
Kviteseid;2019/10;2019;10;4401
Larvik;2019/10;2019;10;122849
Midt-Telemark;2019/10;2019;10;16663
Nissedal;2019/10;2019;10;2279
Nome;2019/10;2019;10;12428
Notodden;2019/10;2019;10;17753
Porsgrunn;2019/10;2019;10;175769
Sandefjord;2019/10;2019;10;161413
Seljord;2019/10;2019;10;3691
Siljan;2019/10;2019;10;5233
Skien;2019/10;2019;10;257146
Tinn;2019/10;2019;10;11807
Tokke;2019/10;2019;10;4371
Tønsberg;2019/10;2019;10;360384
Vinje;2019/10;2019;10;5585
Bamble;2019/09;2019;9;41242
Drangedal;2019/09;2019;9;9445
Fyresdal;2019/09;2019;9;2195
Færder;2019/09;2019;9;95417
Hjartdal;2019/09;2019;9;2551
Holmestrand;2019/09;2019;9;64961
Horten;2019/09;2019;9;98171
Kragerø;2019/09;2019;9;30938
Kviteseid;2019/09;2019;9;5122
Larvik;2019/09;2019;9;116592
Midt-Telemark;2019/09;2019;9;18197
Nissedal;2019/09;2019;9;2379
Nome;2019/09;2019;9;13666
Notodden;2019/09;2019;9;19031
Porsgrunn;2019/09;2019;9;173762
Sandefjord;2019/09;2019;9;147681
Seljord;2019/09;2019;9;3618
Siljan;2019/09;2019;9;5238
Skien;2019/09;2019;9;247599
Tinn;2019/09;2019;9;12369
Tokke;2019/09;2019;9;5103
Tønsberg;2019/09;2019;9;338928
Vinje;2019/09;2019;9;6382
Bamble;2019/08;2019;8;32519
Drangedal;2019/08;2019;8;4264
Fyresdal;2019/08;2019;8;1287
Færder;2019/08;2019;8;80956
Hjartdal;2019/08;2019;8;1348
Holmestrand;2019/08;2019;8;42986
Horten;2019/08;2019;8;82137
Kragerø;2019/08;2019;8;34759
Kviteseid;2019/08;2019;8;2024
Larvik;2019/08;2019;8;90584
Midt-Telemark;2019/08;2019;8;11047
Nissedal;2019/08;2019;8;1163
Nome;2019/08;2019;8;7451
Notodden;2019/08;2019;8;16789
Porsgrunn;2019/08;2019;8;144109
Sandefjord;2019/08;2019;8;110046
Seljord;2019/08;2019;8;1685
