Alle kommuner;Alle kommunenummer;Alle kommunenummer 4 siffer;Alle kommuner navn;Alle kommuner navn uten parentes;Kommuner 2020;Kommunenummer 2020;Kommunenavn 2020;Region;Region rekkefølge;Fylke
3808 Notodden;3808;3808;Notodden;Notodden;K-3808 Notodden;3808;Notodden;Øst-Telemark;8;Telemark
3811 Færder;3811;3811;Færder;Færder;K-3811 Færder;3811;Færder;Tønsberg og Færder;3;Vestfold
3812 Siljan;3812;3812;Siljan;Siljan;K-3812 Siljan;3812;Siljan;Grenland;6;Telemark
3813 Bamble;3813;3813;Bamble;Bamble;K-3813 Bamble;3813;Bamble;Grenland;6;Telemark
3814 Kragerø;3814;3814;Kragerø;Kragerø;K-3814 Kragerø;3814;Kragerø;Grenland;6;Telemark
3815 Drangedal;3815;3815;Drangedal;Drangedal;K-3815 Drangedal;3815;Drangedal;Grenland;6;Telemark
3816 Nome;3816;3816;Nome;Nome;K-3816 Nome;3816;Nome;Nome og Midt-Telemark;7;Telemark
3817 Midt-Telemark;3817;3817;Midt-Telemark;Midt-Telemark;K-3817 Midt-Telemark;3817;Midt-Telemark;Nome og Midt-Telemark;7;Telemark
3818 Tinn;3818;3818;Tinn;Tinn;K-3818 Tinn;3818;Tinn;Øst-Telemark;8;Telemark
3819 Hjartdal;3819;3819;Hjartdal;Hjartdal;K-3819 Hjartdal;3819;Hjartdal;Øst-Telemark;8;Telemark
3820 Seljord;3820;3820;Seljord;Seljord;K-3820 Seljord;3820;Seljord;Vest-Telemark;9;Telemark
3821 Kviteseid;3821;3821;Kviteseid;Kviteseid;K-3821 Kviteseid;3821;Kviteseid;Vest-Telemark;9;Telemark
3822 Nissedal;3822;3822;Nissedal;Nissedal;K-3822 Nissedal;3822;Nissedal;Vest-Telemark;9;Telemark
3823 Fyresdal;3823;3823;Fyresdal;Fyresdal;K-3823 Fyresdal;3823;Fyresdal;Vest-Telemark;9;Telemark
3824 Tokke;3824;3824;Tokke;Tokke;K-3824 Tokke;3824;Tokke;Vest-Telemark;9;Telemark
3825 Vinje;3825;3825;Vinje;Vinje;K-3825 Vinje;3825;Vinje;Vest-Telemark;9;Telemark
