Navn,Org. nr.,Overordnet enhet,Antall ansatte,Dataset,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje,Organisasjonsform - Kode,Beliggenhetsadresse - Kommune,Parent in Telemark,Employees,Org. nr._str
Manpower as avd Telemark,980095363,920968201,111.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,78.2,Utleie av arbeidskraft og andre personaladministrative tjenester,,,,,BEDR,Porsgrunn,False,111.0,980095363
Telenor Norge as kundesenter Skien,977170389,976967631,110.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,61.1,"Kabelbasert, satellittbasert og trådløs telekommunikasjon",,,,,BEDR,Skien,False,110.0,977170389
Halliburton as avd Notodden,988881554,968967983,107.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,9.109,Andre tjenester tilknyttet utvinning av råolje og naturgass,,,,,BEDR,Notodden,False,107.0,988881554
Sweco Norge as Porsgrunn,971655550,967032271,95.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,71.121,Byggeteknisk konsulentvirksomhet,,,,,BEDR,Porsgrunn,False,95.0,971655550
Statkraft energi as avd region sør-norge dalen,874798932,987059729,88.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,35.121,Produksjon av elektrisitet fra vannkraft,,,,,BEDR,Tokke,False,88.0,874798932
Posten bring as Skien,979852444,984661185,88.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,53.1,Landsdekkende posttjenester,,,,,BEDR,Skien,False,88.0,979852444
Stendi as regionskontor sør,985530033,985194653,88.0,Underenhet,,,,,Bærum,Underenhet til næringsdrivende og offentlig forvaltning,88.991,Barneverntjenester,,,,,BEDR,Skien,False,88.0,985530033
Securitas as avd Skien,973110438,920144950,85.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,80.01,Etterforskningstjenester og private vakttjenester,,,,,BEDR,Skien,False,85.0,973110438
Elis Norge as avd Skien,973114913,930151246,85.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,96.1,Vaskeri- og renserivirksomhet,,,,,BEDR,Skien,False,85.0,973114913
Vianode as avd Porsgrunn,929387457,925971154,84.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,23.99,Produksjon av andre ikke-metalliske mineralprodukter ikke nevnt annet sted,,,,,BEDR,Porsgrunn,False,84.0,929387457
Ecura bpa as avd Porsgrunn,986083561,916122128,83.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,88.104,Brukerstyrt personlig assistanse (bpa),,,,,BEDR,Porsgrunn,False,83.0,986083561
Pipelife Norge as avd stathelle,973130889,980457575,80.0,Underenhet,,,,,Surnadal,Underenhet til næringsdrivende og offentlig forvaltning,22.21,"Produksjon av plater, film, rør og profiler av plast",,,,,BEDR,Bamble,False,80.0,973130889
Bufetat sør klokkerhuset,931229842,986128433,80.0,Underenhet,,,,,Tønsberg,Underenhet til næringsdrivende og offentlig forvaltning,87.991,Tjenester i barneverninstitusjoner,,,,,BEDR,Skien,False,80.0,931229842
Vy buss as avd Notodden,971793937,976948394,79.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,49.31,Passasjertransport med rutebil,,,,,BEDR,Notodden,False,79.0,971793937
Skandinavisk kompetensservice ab,997709438,998534771,79.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,78.2,Utleie av arbeidskraft og andre personaladministrative tjenester,,,,,BEDR,Skien,False,79.0,997709438
Vygruppen as Skien,974710536,984661177,77.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,49.11,Passasjertransport med jernbane,,,,,BEDR,Skien,False,77.0,974710536
Mental helse avd Skien,973628569,971322926,76.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,88.996,Andre sosialtjenester uten botilbud ellers,,,,,BEDR,Skien,False,76.0,973628569
Nav familie- og pensjonsytelser Porsgrunn avd frednesøya,934619110,993110469,75.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,84.3,Administrasjon av trygdeordninger underlagt offentlig forvaltning,,,,,BEDR,Porsgrunn,False,75.0,934619110
Metrostav Norge as avd Porsgrunn,931414259,924549092,73.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,42.11,Bygging av veier og motorveier,,,,,BEDR,Porsgrunn,False,73.0,931414259
Customer link as avd Porsgrunn,982584434,994460242,73.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,82.2,Telefonvakttjenester og telefonsalg,,,,,BEDR,Porsgrunn,False,73.0,982584434
Nor tekstil as avd Skien,971773936,988023868,73.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,96.1,Vaskeri- og renserivirksomhet,,,,,BEDR,Skien,False,73.0,971773936
Caverion Norge as avd herøya prosjekt,917503168,959069743,71.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,43.21,Elektrisk installasjonsarbeid,,,,,BEDR,Porsgrunn,False,71.0,917503168
Vistin pharma as avd Kragerø fikkjebakke,996675432,813120232,70.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,21.2,Produksjon av farmasøytiske preparater,,,,,BEDR,Kragerø,False,70.0,996675432
Hydro energi as Telemark,974840871,930187240,70.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,35.121,Produksjon av elektrisitet fra vannkraft,,,,,BEDR,Tinn,False,70.0,974840871
Sykehusapoteket Skien,974633175,992281618,69.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,46.46,Engroshandel med apotekvarer og medisinske varer,,,,,BEDR,Skien,False,69.0,974633175
Statsforvalteren i Vestfold og Telemark avd Skien,974730677,974762501,69.0,Underenhet,,,,,Tønsberg,Underenhet til næringsdrivende og offentlig forvaltning,84.11,Generell offentlig administrasjon,,,,,BEDR,Skien,False,69.0,974730677
Læringsverkstedet maurtua Skien barnehage,890182852,930874620,69.0,Underenhet,,,,,Ullensaker,Underenhet til næringsdrivende og offentlig forvaltning,85.1,Førskoleundervisning og drift av barnehager,,,,,BEDR,Skien,False,69.0,890182852
Toyota bilia as avd Porsgrunn,927640716,980648915,67.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.81,Detaljhandel med motorvogner,,,,,BEDR,Porsgrunn,False,67.0,927640716
Visma enterprise as avd Porsgrunn,920484697,982410339,66.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,58.29,Utgivelse av annen programvare,,,,,BEDR,Porsgrunn,False,66.0,920484697
Mesta as åmot,986909656,992804440,65.0,Underenhet,,,,,Bærum,Underenhet til næringsdrivende og offentlig forvaltning,42.11,Bygging av veier og motorveier,,,,,BEDR,Vinje,False,65.0,986909656
Bravida Norge as Skien elektro,975041794,987582561,64.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,43.21,Elektrisk installasjonsarbeid,,,,,BEDR,Skien,False,64.0,975041794
Bane nor eidanger,932303302,917082308,63.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,42.12,Bygging av jernbaner og undergrunnsbaner,,,,,BEDR,Porsgrunn,False,63.0,932303302
Stendi as omsorgstjenester sør ot nenset,914443180,985194653,61.0,Underenhet,,,,,Bærum,Underenhet til næringsdrivende og offentlig forvaltning,87.201,Omsorgstjenester i botilbud for personer med psykiske helseproblemer og/eller rusmiddelproblemer,,,,,BEDR,Skien,False,61.0,914443180
Hydro aluminium as avd Porsgrunn,983851908,917537534,60.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,72.1,Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk,,,,,BEDR,Porsgrunn,False,60.0,983851908
Sats vest as avd klosterøya,916539711,948942003,58.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,93.13,Treningssentervirksomhet,,,,,BEDR,Skien,False,58.0,916539711
Sparebank 1 sør-norge asa avd Skien,994329499,937895321,57.0,Underenhet,,,,,Sandefjord,Underenhet til næringsdrivende og offentlig forvaltning,64.19,Banker og kredittforetak,,,,,BEDR,Skien,False,57.0,994329499
Tyrilisenteret i Skien,987977205,961025311,57.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,86.103,Spesialisert rusbehandling,,,,,BEDR,Skien,False,57.0,987977205
Aider as avd Skien regnskap,972194220,922633452,56.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,69.202,Regnskapsføring og bokføring,,,,,BEDR,Skien,False,56.0,972194220
Haukeliseter fjellstue,973154451,946846856,55.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,55.1,Drift av hoteller,,,,,BEDR,Vinje,False,55.0,973154451
Hasås as avd produksjon telemarksbruket,974090104,934995953,54.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,16.11,Saging og høvling av tre,,,,,BEDR,Midt-Telemark,False,54.0,974090104
Nippon gases Norge as avd luftgassfabrikk rjukan,973083481,945772042,54.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,20.11,Produksjon av industrigasser,,,,,BEDR,Tinn,False,54.0,973083481
Asplan viak as avd Skien,873122722,910209205,54.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,71.121,Byggeteknisk konsulentvirksomhet,,,,,BEDR,Skien,False,54.0,873122722
Bravida Norge as Skien vvs,973207245,987582561,53.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,43.22,VVS-arbeid,,,,,BEDR,Skien,False,53.0,973207245
Hima seafood management as avd rjukan,932194287,928734412,52.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,3.221,"Produksjon av fisk, bløtdyr, krepsdyr og andre dyr som lever i ferskvann",,,,,BEDR,Tinn,False,52.0,932194287
Universitetet i stavanger læringsmiljø og adferdsforskning avd Porsgrunn,874730262,971564679,51.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,85.202,Spesialskoleundervisning på grunnskolenivå,,,,,BEDR,Porsgrunn,False,51.0,874730262
Bufetat sør Telemark ungdomssenter kjørbekk,974568284,986128433,51.0,Underenhet,,,,,Tønsberg,Underenhet til næringsdrivende og offentlig forvaltning,87.991,Tjenester i barneverninstitusjoner,,,,,BEDR,Skien,False,51.0,974568284
Læringsverkstedet klyveskogen barnehage,983509347,930872962,50.0,Underenhet,,,,,Ullensaker,Underenhet til næringsdrivende og offentlig forvaltning,85.1,Førskoleundervisning og drift av barnehager,,,,,BEDR,Skien,False,50.0,983509347
Sats vest as avd porselensfabrikken,998054184,948942003,50.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,93.13,Treningssentervirksomhet,,,,,BEDR,Porsgrunn,False,50.0,998054184
Bufetat sør Telemark ungdomssenter miljøheimen,976246578,986128433,49.0,Underenhet,,,,,Tønsberg,Underenhet til næringsdrivende og offentlig forvaltning,87.991,Tjenester i barneverninstitusjoner,,,,,BEDR,Vinje,False,49.0,976246578
Peab bygg as avd Telemark,975865061,943672520,46.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Skien,False,46.0,975865061
Biltema Norge as avd 213 Skien,984741359,882692302,46.0,Underenhet,,,,,Ullensaker,Underenhet til næringsdrivende og offentlig forvaltning,47.52,"Detaljhandel med jernvarer, byggevarer, fargevarer og glass",,,,,BEDR,Skien,False,46.0,984741359
Elkjøp Skien,971844493,947054600,46.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.54,Detaljhandel med elektriske husholdningsapparater,,,,,BEDR,Skien,False,46.0,971844493
Thon hotel høyers,974284235,938050732,46.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,55.1,Drift av hoteller,,,,,BEDR,Skien,False,46.0,974284235
Mcdonald's stathelle avd 91 rugtvedt,927716186,929910737,46.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Bamble,False,46.0,927716186
Norgesmøllene as avd Skien,973143581,885719422,45.0,Underenhet,,,,,Bergen,Underenhet til næringsdrivende og offentlig forvaltning,10.61,Produksjon av kornvarer,,,,,BEDR,Skien,False,45.0,973143581
Sts-isonor as avd Skien,971928131,991750282,45.0,Underenhet,,,,,Bergen,Underenhet til næringsdrivende og offentlig forvaltning,43.23,Installasjon av isoleringsmateriale,,,,,BEDR,Skien,False,45.0,971928131
Brastad solutions as avd Porsgrunn,921560982,967773778,44.0,Underenhet,,,,,Vestnes,Underenhet til næringsdrivende og offentlig forvaltning,33.15,Reparasjon og vedlikehold av sivile skip og båter,,,,,BEDR,Porsgrunn,False,44.0,921560982
Servicealliansen as Skien & Seljord,923778632,957246575,44.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Porsgrunn,False,44.0,923778632
Bertel o. steen Vestfold og Telemark as avd Telemark,873143312,918707565,44.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,47.81,Detaljhandel med motorvogner,,,,,BEDR,Skien,False,44.0,873143312
Veidekke industri as dv Vestfold og Telemark,931665510,913536770,43.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,42.11,Bygging av veier og motorveier,,,,,BEDR,Skien,False,43.0,931665510
Sweco Norge as Seljord,973288504,967032271,43.0,Underenhet,,,,,Seljord,Underenhet til næringsdrivende og offentlig forvaltning,71.121,Byggeteknisk konsulentvirksomhet,,,,,BEDR,Seljord,False,43.0,973288504
Ibka Norge as avd herøya,992388439,952070533,42.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,38.11,Innsamling av ikke-farlig avfall,,,,,BEDR,Porsgrunn,False,42.0,992388439
Læringsverkstedet kongerød barnehage,992471174,930871834,42.0,Underenhet,,,,,Ullensaker,Underenhet til næringsdrivende og offentlig forvaltning,85.1,Førskoleundervisning og drift av barnehager,,,,,BEDR,Skien,False,42.0,992471174
Mova Skien fridtjof nansens gate,922749132,994588117,42.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,93.13,Treningssentervirksomhet,,,,,BEDR,Skien,False,42.0,922749132
Volmax as avd grenland,971983892,984674104,42.0,Underenhet,,,,,Sandefjord,Underenhet til næringsdrivende og offentlig forvaltning,95.31,Reparasjon og vedlikehold av motorvogner,,,,,BEDR,Porsgrunn,False,42.0,971983892
Norsk rikskringkasting as avd Porsgrunn,974825198,976390512,41.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,60.2,"Fjernsynsprogramvirksomhet, kringkasting og distribuering av audiovisuelle medier",,,,,BEDR,Porsgrunn,False,41.0,974825198
Norconsult Norge as avd Porsgrunn,973105426,962392687,41.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,71.121,Byggeteknisk konsulentvirksomhet,,,,,BEDR,Porsgrunn,False,41.0,973105426
Goodtech as avd Porsgrunn,971992034,984892071,41.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,71.129,Annen teknisk konsulentvirksomhet,,,,,BEDR,Porsgrunn,False,41.0,971992034
Læringsverkstedet harmonien doremi barnehage,995370530,930861510,41.0,Underenhet,,,,,Ullensaker,Underenhet til næringsdrivende og offentlig forvaltning,85.1,Førskoleundervisning og drift av barnehager,,,,,BEDR,Skien,False,41.0,995370530
Læringsverkstedet gvarv barnehage,998175976,930861634,41.0,Underenhet,,,,,Ullensaker,Underenhet til næringsdrivende og offentlig forvaltning,85.1,Førskoleundervisning og drift av barnehager,,,,,BEDR,Midt-Telemark,False,41.0,998175976
Vy buss as avd vest-telemark,822920632,976948394,39.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,49.31,Passasjertransport med rutebil,,,,,BEDR,Kviteseid,False,39.0,822920632
Ernst & young as avd Porsgrunn,973076736,976389387,39.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,69.201,Revisjon,,,,,BEDR,Porsgrunn,False,39.0,973076736
Norlandia akrobaten idrettsbarnehage,996140172,930202258,39.0,Underenhet,,,,,Moss,Underenhet til næringsdrivende og offentlig forvaltning,85.1,Førskoleundervisning og drift av barnehager,,,,,BEDR,Porsgrunn,False,39.0,996140172
Meny klosterfoss,973142852,879447232,38.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Skien,False,38.0,973142852
Kystverket brevik,974732211,874783242,37.0,Underenhet,,,,,Ålesund,Underenhet til næringsdrivende og offentlig forvaltning,52.22,Andre tjenester tilknyttet sjøtransport,,,,,BEDR,Porsgrunn,False,37.0,974732211
Posten bring as stathelle,979852460,984661185,37.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,53.1,Landsdekkende posttjenester,,,,,BEDR,Bamble,False,37.0,979852460
Mcdonald's Porsgrunn avd 4,974381281,929910737,37.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Porsgrunn,False,37.0,974381281
Sparebank 1 sør-norge asa avd Porsgrunn,994560492,937895321,37.0,Underenhet,,,,,Sandefjord,Underenhet til næringsdrivende og offentlig forvaltning,64.19,Banker og kredittforetak,,,,,BEDR,Porsgrunn,False,37.0,994560492
Iss facility services as avd renhold rjukan,971838779,914791723,37.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,81.21,Rengjøring av bygninger,,,,,BEDR,Tinn,False,37.0,971838779
Wood group Norway as avd herøya,998632722,976802357,36.0,Underenhet,,,,,Sandefjord,Underenhet til næringsdrivende og offentlig forvaltning,9.109,Andre tjenester tilknyttet utvinning av råolje og naturgass,,,,,BEDR,Porsgrunn,False,36.0,998632722
Meny tuven,979203292,879447232,36.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Notodden,False,36.0,979203292
Bouvet Norge as avd grenland,982598222,996756246,36.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,62.1,Dataprogrammeringstjenester,,,,,BEDR,Porsgrunn,False,36.0,982598222
Heidelberg materials sement Norge as kalkstenbrudd,973142895,934949145,35.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,8.11,"Bryting av dekorstein, kalkstein, gips, skifer og annen stein",,,,,BEDR,Porsgrunn,False,35.0,973142895
Heidelberg materials miljø as avd brevik,980568652,935906865,35.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,38.22,Energigjenvinning,,,,,BEDR,Porsgrunn,False,35.0,980568652
Byggmakker handel as avd Skien,974111721,980656616,35.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,46.83,"Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr",,,,,BEDR,Skien,False,35.0,974111721
Meny hovenga,971686073,879447232,35.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Porsgrunn,False,35.0,971686073
Vy buss as avd Drangedal,922921067,976948394,35.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,49.31,Passasjertransport med rutebil,,,,,BEDR,Drangedal,False,35.0,922921067
Norlandia borgeenga barnehage,891690762,830202722,35.0,Underenhet,,,,,Moss,Underenhet til næringsdrivende og offentlig forvaltning,85.1,Førskoleundervisning og drift av barnehager,,,,,BEDR,Porsgrunn,False,35.0,891690762
Krohne Norway as avd krohne marine,971766808,983350429,34.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,26.51,"Produksjon av måle-, kontroll- og navigasjonsinstrumenter",,,,,BEDR,Porsgrunn,False,34.0,971766808
Meny bø,971979984,879447232,34.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Midt-Telemark,False,34.0,971979984
Max Skien,922750114,917808643,34.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Skien,False,34.0,922750114
Odeon kino as avd Skien,973784668,962277055,34.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,59.14,Filmfremvisning,,,,,BEDR,Skien,False,34.0,973784668
Lyse dialog as avd Porsgrunn,915835937,931310380,34.0,Underenhet,,,,,Stavanger,Underenhet til næringsdrivende og offentlig forvaltning,61.1,"Kabelbasert, satellittbasert og trådløs telekommunikasjon",,,,,BEDR,Porsgrunn,False,34.0,915835937
Bdo as avd Skien,988597767,993606650,34.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,69.201,Revisjon,,,,,BEDR,Skien,False,34.0,988597767
Nøsted & as avd sannidal,973144588,914781213,33.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,25.93,"Produksjon av varer av metalltråd, kjetting og fjærer",,,,,BEDR,Kragerø,False,33.0,973144588
Meny down town,933344045,879447232,33.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Porsgrunn,False,33.0,933344045
Elkjøp Porsgrunn,985003173,947054600,33.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.54,Detaljhandel med elektriske husholdningsapparater,,,,,BEDR,Porsgrunn,False,33.0,985003173
Notodden politihus,974731037,983998178,33.0,Underenhet,,,,,Tønsberg,Underenhet til næringsdrivende og offentlig forvaltning,84.24,Aktiviteter utført av politi- og påtalemyndighet,,,,,BEDR,Notodden,False,33.0,974731037
Stendi as ot tunet,934116372,985194653,33.0,Underenhet,,,,,Bærum,Underenhet til næringsdrivende og offentlig forvaltning,87.202,Omsorgstjenester i botilbud for personer med utviklingshemming eller med tilsvarende funksjonsnedsettelse,,,,,BEDR,Skien,False,33.0,934116372
Norfolier greentec as avd Notodden,974096307,999139124,32.0,Underenhet,,,,,Notodden,Underenhet til næringsdrivende og offentlig forvaltning,22.22,Produksjon av plastemballasje,,,,,BEDR,Notodden,False,32.0,974096307
