Organisasjonsnummer,Navn,Antall_ansatte
835418022,Porsgrunn Kommune Fritidskontaktordningen Kultur,78
973628569,Mental Helse,78
986083561,Ecura Hjemmetjenester og Bpa AS,78
931229842,Bufetat Sør Klokkerhuset,78
997709438,Skandinavisk Kompetensservice Ab,78
926849115,"Telemark Fylkeskommune Opplæring, Kultur og Tannhelse",78
973130889,Pipelife Norge AS,78
812403842,Norner Research AS,77
992871598,Telemark Godslinjer AS,77
974710536,Vygruppen AS Skien,77
934619110,NAV Familie- og Pensjonsytelser Porsgrunn,76
974568187,Nome Videregående Skole,76
975269973,Gransherad Bygdeheim,75
974568063,Nome Videregående Skole,75
974560046,Skien Kommune Administrasjon Byutvikling og Drift,75
872155252,Rehabiliteringssenteret Air AS,74
991412239,Porsgrunn Kommune Psykisk Helse og Rusomsorg,74
992395532,Notodden Kommune Solhaug Boliger PU,74
979782918,Kragerø Kommune Omsorg Administrasjon,74
919963301,SK Armering AS,74
974305860,Erik Tanche Nilssen AS,73
931414259,Metrostav Norge AS,73
974610191,Tokke Kommune Heimetenesta,73
971677570,DNH Den Norske Høyttalerfabr AS,73
982584434,Customer Link AS,72
975277976,Vestsiden Skole,72
926149067,Bluegreen Fusion AS,72
887679282,Nome og Midt-Telemark Barnevern,71
973784072,Odds Ballklubb,71
917503168,Caverion Norge AS,71
984662793,Addcon Nordic AS,71
975278182,Moflata Skole,71
994480227,Drangedal 10-Årige Skole,70
987382015,Nissedal Kommune Kaasa Bustader,70
893851062,Set Linings International S. A.,70
972143790,Bø Varetransport AS,70
975292797,Notodden Ungdomsskole,70
974840871,Hydro Energi AS Telemark,70
996675432,Vistin Pharma AS,70
934851552,W1Eps AS,70
988070637,Vinje Kommune Heimetenester Svingen Bufellesskap,69
916453035,Cura Kompetanse AS,69
976149203,Brødrene Hansen Transport AS,69
975278077,Gjerpen Barneskole,69
974188589,NLI Grenland AS,69
974730677,Statsforvalteren i Vestfold og Telemark,69
993505269,Porsgrunn Kommune Toppen Bofellesskap,69
922893640,Maristien Barnehage,69
974633175,Sykehusapoteket Skien,69
973789880,Bamble Kommune Eiendomsforvaltning,68
892469202,Mathuset Skien AS Avd. Skien,68
890182852,Læringsverkstedet Maurtua Skien Barnehage,68
975278174,Venstøp Skole,68
974608901,Nome Kommune Hjemmetjtenesten Ulefoss Distrikt,68
988952540,Borgehaven Bo- og Rehabiliteringssenter,67
974874377,Bø Hotell AS,67
920275877,Telemark Frukthageservice AS,67
992398027,Notodden Kommune Renholdere og Vaktmestere,67
971798475,Beerenberg Industri AS,67
878629922,Enrx Holding AS,67
973154451,Haukeliseter Fjellstue,66
998396735,Novari Iks,66
972305162,Telemark Toto AS,66
972403652,Telefrukt AS,66
988071102,Vinje Kommune Heimetenester,66
873107812,Palla Pharma AS,66
920484697,Visma Enterprise AS,65
974564645,Porsgrunn Legevakt,65
974548607,Tinn Helsetun,65
888068732,Pors Fotball,65
914443180,Stendi AS Omsorgstjenester Sør Ot Nenset,65
990433305,Aarsleff Fundamentering & Boring AS,65
976824733,Skien Kommune Nav,64
927640716,Toyota Bilia AS,64
974562596,Fyresdal Pleie- og Omsorgssenter,64
989031996,Skien Kommune Einaren,64
922123918,G.T Nordics AS,63
994706187,NAV Vestfold og Telemark,63
933543641,Forces AS,63
975295850,Stigeråsen Skole,63
933547868,Industri Fokus AS,63
971675330,C. Christoffersen AS,63
973784919,Skien Kommune Forebyggende Helse- Tjeneste for Barn Ungdom og Gravide,63
971823194,Westcontrol Berget AS Fine Mechanics,63
975041794,Bravida Norge AS Skien Elektro,63
927382369,Antras Nord AS,63
975278018,Mæla Ungdomsskole,63
988837571,Skien Kommune Søndre Falkumvei 5 og 7,62
982905532,Bamble Kommune Reidunsvei Bofellesskap,62
974568055,Vest-Telemark Vidaregåande Skule,62
974551047,Drangedal Kommune Myrveien Bofellesskap,62
974306301,Fergene Telemark Fkf,62
972132829,Telerør AS,62
975277984,Tveten Ungdomsskole,62
974564831,Grenland Brann og Redning Iks,62
971427418,Skauen Kristelige Skole,61
972026999,Steintransport AS,61
932303302,Bane Nor Eidanger,61
974548577,Tinn Kommune Hjemmetjenesten Distrikt 2,61
973796372,Eiendom,61
971773936,Nor Tekstil AS,61
872163522,Brunvoll Mar-El AS,61
824369062,Duestien Barnehage,60
931521772,Night & Day Security AS,60
921339437,Skien Kommune Avlastning Utenfor Institusjon,60
975289664,Tveit Skule / Nissedal Ungdomsskule,60
927871580,PN Porsgrunn AS,60
975278220,Heddal Barneskole,59
975278093,Kjørbekkhøgda Skole,59
888361332,Stiftelsen Telemark Toppidrett Gymnas,59
986909656,Mesta AS Åmot,59
916539711,Sats Vest AS,59
975300153,Sykehuset Telemark HF DPS Øvre Telemark Notodden,58
979352549,Fyresdal Kommune Heimebaserte Tjen,58
930811173,Nel Hydrogen Electrolyser AS,58
975277860,Borge Skole,58
979224192,Frode Bjønnes Transport AS,57
994329499,Sparebank 1 Sør-Norge ASA,57
971777362,Telemark Transportservice AS,57
971823178,Lie Center AS,57
974608650,Lunde 10-Årige Skole,57
974610078,Nissedal Omsorgsenter,57
972194220,Aider AS,56
976668367,Grauteknapp Omsorgsboliger,56
975278646,Kviteseid Skule,56
985617031,Solberg Bil AS,56
975290301,Bø Ungdomsskule,56
973784862,Skien Kommune Tamburlund 1,56
974600161,Kragerø Kommune Teknisk Driftsavd,56
932525801,RTC Renewables AS,56
873122722,Asplan Viak AS,56
975278271,Langesund Barneskole,55
971678933,Kranringen AS,55
922160945,Himmelblå Helse og Omsorg AS,55
815520092,Porsgrunn Kommune Blåveiskroken Bofellesskap,55
976824911,Skien Interkommunale Legevakt,55
976825780,Kviteseid Kommune Lundenjordet,55
976824989,Notodden Kommune Brann- og Feiervesen,55
987977205,Tyrilisenteret i Skien,55
983851908,Hydro Aluminium AS,54
976825152,Barnevernstjenesten i Øvre Telemark,54
976824466,Gimsøy Skole,54
874600032,Kragerø Kommune Støtte og Utvikling,54
993621099,Skien Tannklinikk,54
973207245,Bravida Norge AS Skien VVS,53
988355941,Vinje Kommune Helse og Omsorg,53
973791524,Kragerø Kommune Kalstadveien 16-18 Bofellesskap,53
987956410,Kragerø Kommune Sannidal Bokollektiv,53
980093867,Bamble Kommune Nustadjordet Bofellesskap,53
874568112,Fagskolen Vestfold og Telemark,53
991673903,Flåtten Barnehage,53
875278002,Heistadskolene,53
992437111,Bamble Kommune Stabene Hr og Økonomi,53
974567997,Bø Vidaregåande Skule,53
971863854,L Grønaasen Transport AS,53
974551071,Drangedal Kommune Heimesjukepleien,53
976571622,Hauk Sveinsson AS,52
816963192,Sjøgløtt Omsorgssenter AS,52
971774568,Straand Hotel AS,52
973778447,Porsgrunn Kommune Leger,52
973083481,Nippon Gases Norge AS,52
975278727,Gimle Skule,52
977007844,Porsgrunn Kirkelige Fellesråd,52
987956305,Kragerø Kommune Sjådamveien 1 Omsorgsboliger,52
975277887,Grønli Skole,52
932194287,Hima Seafood Management AS,52
928197336,Litana Ir Ko Nuf,52
975278026,Bratsbergkleiva Skole,52
924537108,Sprek Fritid Porsgrunn AS,52
921560982,Brastad Solutions AS,52
912582280,Park Event AS,52
992397292,Notodden Mangfolds- og Læringssenter Voksenopplæring,52
874730262,Universitetet i Stavanger Læringsmiljø og Adferdsforskning,51
973208004,Grenland Taxi AS,51
975278816,Åmot Skule,51
872269762,Grep Arbeid AS,51
974730502,Agder Lagmannsrett Skien,51
987967439,Vestmar Barnevern,51
982991986,Barnevernssamarbeidet i Vest- Telemark,51
988837539,Skien Kommune Røymyr og Vestre Gulset,51
873480122,Norsk Industriarbeidermuseum,51
971882603,Bø Installasjon AS,51
884921112,Vinje Kommune Reinhald og Tekstil,50
988086657,Porsgrunn Kommune Røyskattlia Botiltak,50
999083838,Villa Mat AS,50
975277925,Myrene Skole,50
986653244,Nextcall AS,50
975278824,Rauland Skule,50
973489259,Villamoen Barnehage AS,50
988952281,Borgehaven Bo- og Rehabiliteringssenter,50
974090104,Hasås AS,50
974100371,Romnes AS,49
974609444,Kviteseid Kommune Heimebaserte Tenester,49
971932627,Holte Gård Drangedal AS,49
977008018,Notodden Kirkelig Fellesråd,49
984634080,Kåsa & Ringhus Entreprenør AS,49
887674612,Midt-Telemark Kommune Tjeneste for Tilrettelagt Aktivitet,49
974568284,Bufetat Sør Telemark Ungdomssenter Kjørbekk,49
919565152,Telemark Vei- og Trafikksikring AS,49
998054184,Sats Vest AS,48
975307131,Loppedåpan Barnehage,48
973143581,Norgesmøllene AS,48
987983221,Bamble Kommune Stathelle Bokollektiv,48
876467992,Dyrsku'N Arrangement AS,48
987956313,Kragerø Kommune Symreveien Bofelleskap,47
871828652,Alseth Brødrene AS,47
873142472,Isola AS Fabrikk Platon,47
974609363,Pleie- og Omsorgstenesta i Seljord Heimebaserte Tenester,47
871719322,Malermester Kjellsen & Tufte AS,47
982650577,Sunde Renovasjon & Gjenvinning AS,47
997346459,Porsgrunn Kommune Rolandsvei Botiltak,47
973042912,Flåtten Supermarked AS,47
975278204,Menstad Ungdomsskole,47
975865061,Peab Bygg AS,47
983509347,Læringsverkstedet Klyveskogen Barnehage,47
975297497,Åfoss Skole,47
913647270,Skien Kommune Maribakkane 3,47
991466916,Bilfinger Norway AS,47
976825578,Heirekshaug Barnehage,46
977485479,Family Fitness AS,46
976246578,Bufetat Sør Telemark Ungdomssenter Miljøheimen,46
922273863,Merci AS,46
976825330,Grenland Brann og Redning Iks,46
974305410,Isola AS Administrasjon,46
915854621,Controlpartner AS,46
973789813,Mathuset Sjøbua AS,46
989306227,BO- og Miljøtjenesten Tyrivegen,46
927716186,Mcdonald's Stathelle,46
972705950,Hella Maskin AS,46
917942412,Eek Logistikk AS,46
975277992,Kjølnes Ungdomsskole,46
972298026,Bandak Nct AS,46
974305844,Erik Tanche Nilssen AS,46
971844493,Elkjøp Skien,46
998175976,Læringsverkstedet Gvarv Barnehage,45
973801317,Rjukan Barneskole,45
931665510,Veidekke Industri AS Dv Vestfold og Telemark,45
975278190,Gjerpen Ungdomsskole,45
976825438,Bamble Kommune Tjenestetildeling og Digit. Velferd,45
918812490,Eltera Skagerrak AS,45
971676043,G Coward AS,45
988086614,Porsgrunn Kommune Hestehoven Botiltak,45
923778632,Servicealliansen AS,45
932994275,Norsk Fiskeeksport AS,45
999491642,KPS Drift & Personell AS,45
915132189,Skien Helsehus Lindrende,45
975278247,Midtbygda Skole,45
974609150,Hjartdal Kommune Heimebaserte Tenester,45
987956380,Kragerø Kommune Furubo Bokollektiv,45
978656056,Entreprenør Ulf Solbakken AS,45
935068320,Premator Surface Pro AS,45
914928567,GS Dagligvaredrift AS,45
932231085,Novita Omsorg AS,44
988071099,Vinje Kommune Heimetenester,44
873143312,Bertel O. Steen Vestfold og Telemark AS,44
986429301,Samtun AS,44
922749132,Mova Skien Fridtjof Nansens Gate,44
974284235,Thon Hotel Høyers,44
974559803,Marensro Dag- og Habiliteringssenter,44
988837431,Skien Kommune Natttjenesten,44
992183705,Nystrand Barnehage AS,44
976231066,Tor Entreprenør AS,44
920631630,Morgan AS Avdeling Drangedal,44
875298852,Åmot Barnehage,44
974107732,Vafos Pulp AS,44
874568082,Rjukan Videregående Skole,44
983165540,Home Hotel Bryggeparken,44
976668359,Grivihaugen og Hagestad Omsorgsboliger,43
971928131,Sts-Isonor AS,43
987983450,Stathelle SFO,43
925812242,Tipp Frakt AS,43
971983892,Volmax AS,43
980765229,Kvam Transport AS,43
992471174,Læringsverkstedet Kongerød Barnehage,43
925252948,Skien Kommune Kvalifiserings- og Integreringsenhet (Kie),43
976307321,Telemarksporten Dagligvare AS,43
916602413,Telemark Byggentreprenør AS,43
983380255,Valhall Barnehage,43
975289958,Sauland Skule,43
974564661,Porsgrunn Kommune Sosial- og Flyktningetjenesten,43
987956445,Kragerø Kommune Helle Omsorgsboliger,43
973288504,Sweco Norge AS Seljord,43
929268946,SØR Entreprenør AS,43
935685877,DEN Røde Skolen,42
971971460,Bakke Svein Harry,42
971816015,Årnes Kafeteria,42
917265690,Univers AS,42
989421166,It-Samarbeidet i Grenland (Itg),42
991357122,NAV Vestfold og Telemark Torggata 18 Skien,42
984741359,Biltema Norge AS,42
873207922,Drangedal Bilruter AS,42
974564785,Porsgrunn Kommune Kulturutvikling og Formidling,42
988086568,Gartnerløkka Dagsenter,42
988086592,Porsgrunn Kommune Granlia Botiltak,42
974836351,Tinfos AS,42
913583353,Renovasjon i Grenland Iks,42
975315770,Gullbring Barnehage,42
987955996,Kragerø Kommune Tangeheia Omsorgsboliger,42
974548690,Brannvesenet i Tinn,42
975298566,Gulset Ungdomsskole,42
974825198,Norsk Rikskringkasting AS,41
974548410,Atrå Barne- og Ungdomsskole,41
913647343,Skien Kommune Findal,41
913647327,Skien Kommune Solbergtun,41
989899899,Skien Kommune Skottekroken,41
988086584,Porsgrunn Kommune Amundajordet Bofellesskap,41
911764512,Strøm Mat & Bar AS,41
995245175,Skien Kommune Samba,41
975278042,Bølehøgda Skole,41
973795066,BO- og Miljøtjenesten Olastua,41
974156261,Preg Barnehager Tinnesmoen AS,41
973076736,Ernst & Young AS,41
974633345,Tokke Skule,41
821978742,Skien Kommune Psykisk Helse og Livsmestring,41
875277952,Tveten Skole,41
974108402,Hotell Vic,41
972076511,Telesenteret Seljord AS,41
997619250,Skien Kommune Meensveien,41
871735182,Maxeta AS,41
974597810,Midt-Telemark Kulturkontor,41
875298682,Kollmyr Skole,41
988837601,Skien Kommune Halvdansgate,40
975292800,Tveiten Skole,40
987930357,BO- og Miljøtjenesten Vesleheimen,40
971992034,Goodtech AS,40
973805142,Omsorg for Psykisk Utviklingshemmede (PU) i Tokke,40
987918187,Tinn Kommune Renhold,40
976328604,Telemark-Svingen AS,40
915521274,Brotorvet Mat AS,40
912426955,Brevik Engineering AS,39
997619269,Skien Kommune Ilen,39
973805347,Heia! AS,39
983157920,Kragerø Golf AS,39
979852460,Posten Bring AS Stathelle,39
976825632,Tinn Kommune Tveito Alle 19,39
971759178,Spar Rugtvedt,39
986899715,Eigedomsforvaltninga i Tokke Vaktmeistarar/Reinhald,39
913647211,Skien Kommune Maribakkane 2,39
972718572,Stiftelsen Telemarksforsking,39
992388439,Ibka Norge AS,39
822920632,Vy Buss AS,39
972202665,Stiftinga Vest-Telemark Museum,39
973105426,Norconsult Norge AS,39
981080386,Brevik Oppvekstsenter,39
973784935,Skien Kulturskole,39
973142852,Meny Klosterfoss,39
898588262,Spire & Gro Melkeveien Barnehage AS,39
996988864,Inflowcontrol AS,39
997374819,Norsk Områdesikring AS,39
974556243,Notodden Kommune Sentraladministrasjon,39
995370530,Læringsverkstedet Harmonien Doremi Barnehage,39
922921067,Vy Buss AS,38
971838779,ISS Facility Services AS,38
971741929,Qmatec Drilling AS,38
980860302,Elektropluss Telemark AS,38
925665800,Anlegg og Tunnel Support AS,38
922959765,SØR Entreprenør AS,38
974568217,Sykehuset Telemark HF DPS Øvre Telemark,38
926406264,Morgedal Hotel AS,38
976598245,Drangedal Produkter AS,38
971781262,Thorsen Arne Transport AS,38
975278301,Rugtvedt Skole,38
971862238,Haugsjå Knut AS,38
995695723,Folkestad Barnehage,38
917633525,Comfort Hotel Porsgrunn AS,38
996140172,Norlandia Akrobaten Idrettsbarnehage,38
914593026,Green Mountain AS Avdeling Rjukan,38
975307328,Rauland Barnehage,38
995553279,Star Bil AS,38
984001746,Notodden Kommune Helsestasjonen,38
971864052,Dalen Mekaniske Produksjon AS,38
974564629,Porsgrunn Kommune Familiehelsetjenester,38
971847824,Eckholdt AS,38
971877170,Nicro AS,38
888086722,Porsgrunn Kommune Vanntårnet Omsorgsboliger,38
974610086,Nissedal Kommune Heimehjelp og Heimesjukepleie,38
986171487,Stiftelsen International School Telemark,38
924378891,Skien Kommune Ambulant Tjeneste Rus og Psykisk Helse,37
874633232,Telemark Nett AS,37
974381281,Mcdonald's Porsgrunn,37
976172183,A Til Å Entreprenør AS,37
971864036,Mustad Bygg AS,37
974564823,Porsgrunn Kommune Bygg- og Eiendomsdrift,37
925012920,Skien Kommune Tyrisvingen,37
994560492,Sparebank 1 Sør-Norge ASA,37
972280291,Star Bilskade Vestfold og Telemark AS,37
881971232,Skien Kommune Scheen Produksjon,37
974732211,Kystverket Brevik,37
913659651,Idea Kompetanse Arbeid og Inkludering AS,37
971785047,Tveito Maskin AS,37
971732962,Hybeko AS,37
988086606,Porsgrunn Kommune Junovegen Botiltak,36
871960402,Tata Steel Norway Byggsystemer AS,36
982598222,Bouvet Norge AS,36
974281996,Aasmundsens Bakeri Telemarksbakern Efft AS,36
992576421,Batne AS,36
975307239,Seljord Barnehage,36
933344045,Meny Down Town,36
988837563,Skien Kommune Sportsplassen,36
897457962,Oasen Skole Grenland AS,36
918143580,Porsgrunn Kommune Kommunal Teknikk,36
991708650,Baze Technology AS,36
974597721,Stab Midt-Telemark Kommune,36
979857543,Jimmys Porsgrunn,36
980568652,Heidelberg Materials Miljø AS,36
975290522,Heddal Ungdomsskole,36
989691430,Nc-Spectrum AS,36
974111721,Byggmakker Handel AS,36
975323153,Bøhamna Barnehage,36
987881224,Skien Kommune Ergo- og Fysioterapitjeneste,36
922786089,Barnevernvakta i Telemark,36
871767432,Skiens Rustfri Industri AS,36
928043320,Porsgrunn Kommune Psykisk Helsetjeneste og Rusomsorg,36
913034678,Vestsiden Barnehage,36
972384151,Telemark Kildevann AS,36
979203292,Meny Tuven,36
998632722,Wood Group Norway AS,36
974305356,Brubakken AS Hovedkontor,36
974610264,Vinje Kommune Sentraladministrasjonen,35
979525222,Kroken Barnehage,35
987918527,Tinn Kommune Perrongen,35
991466819,Bilfinger Norway AS,35
928599906,Gruszecki Profesjonelt Hagearbeid,35
973549529,Maurtuva Barnehage Sa,35
919973676,Kulturformidling Barn og Unge,35
976802896,Ksm,35
988734748,Sykehuset Telemark HF Ambulansetjenesten Porsgrunn,35
876824922,Høgås Skole,35
973142895,Heidelberg Materials Sement Norge AS Kalkstenbrudd,35
974608944,Nome Kommune Etat for Sammfunnsutvikling Renhold og Vaktmestertjeneste,35
871855242,Brukås Sport AS,35
928385027,Hvite Busser Sti,35
935071615,Industri Fokus AS,35
979525052,Bamble Kommune Nustadbakken Bofellesskap,35
975307069,Rønningen Barnehage,35
992583282,Tinn Kommune Organisasjon,35
974548232,Siljan Kommune Hjemmebaserte Tjen,35
971686073,Meny Hovenga,35
929785606,Hågålia Botjeneste Psykisk Helse og Rus,35
988597767,BDO AS,35
987891661,Skorve Entreprenør AS,35
994349864,Læringsverkstedet Limi Naturbarnehage,35
971979984,Meny Bø,34
971852887,Tellefsen AS,34
994057103,KTS Bygg AS,34
914360684,Bjorstaddalen Næring AS,34
994480197,Helle Skole,34
928422704,Keops Utvikling Porsgrunn KF,34
987130008,Grasmyr Naturbarnehage,34
913647416,Skien Helsehus Øyeblikkelig Hjelp,34
988081582,Vinje Kommune Helse,34
974608723,Skoemyra Barnehage,34
975278034,Buer Skole,34
971766808,Krohne Norway AS,34
980032876,Granvin Kulturhus AS,34
922750114,Max Skien,34
812317652,Hydrogenpro ASA,34
891690762,Norlandia Borgeenga Barnehage,34
892395462,Notodden Kommune Lienveien 51 Botilbud,34
986083081,Barnehagen Gregorius AS,34
873143932,Hjem og Industrirenhold AS,34
920527604,Skien Sportsbar AS,34
983796915,Bohus Interiør Down Town,34
996749770,Spar Kjørbekk,34
971811781,Skarpenord AS,34
973778323,Porsgrunn Kommune Nystrand Omsorgsboliger,34
992395427,Notodden Kommune Gulltun Boenhet,34
922324026,GS Maskin AS,34
984000685,Maribakkane Barnehage,34
973358413,AT Skog Sa,34
971746491,Nutheim Gjestgiveri AS,34
990256616,Universitetet i Sørøst-Norge Campus Rauland,34
915595235,Mandheimen Bo og Avlastning,34
985063540,Porsgrunn Voksenopplæringssenter,34
975294994,Kongerød Ungdomsskole,34
915835937,Lyse Dialog AS,34
915521983,Porsgrunn Kommune Osebro Bofellesskap,34
915673147,Tinneberget Legesenter,34
975290662,Tinnesmoen Skole,33
995110997,Ragnars AS,33
973784870,Skien Kommune Dagavdeling Klyvetunet og Kverndalen,33
974608677,Herregårdshavna Barnehage,33
988087505,Porsgrunn Kommune Byutvikling,33
987965703,Kragerø Kommune Renhold,33
987881909,Venstøp Skole SFO,33
