Organisasjonsnummer,Navn,Antall_ansatte
989383167,Bypost AS,129
979326416,Tipp transport AS,128
Skien kommune gulset hjemmetjeneste,976824652,128
Tipp transport as avd Porsgrunn,979329865,128
918695079,Pasientreiser HF,127
Nel hydrogen electrolyser as avd Notodden,974110849,127
Sykehuspartner avd Porsgrunn,995671190,126
Gaustablikk høyfjellshotell,973145665,126
891680422,Gausta ski & resort AS,126
Yara international asa avd Porsgrunn,986625925,124
Notodden videregående skole,974568012,124
Skien kommune barneverntjenesten,976824741,124
Klyve skole,975278115,124
Skien kommune ytre gjerpen hjemmetjeneste,976824709,123
Insider facility solutions as Skien,986854274,121
819075832,Erik tanche nilssen AS,121
974636344,Hjartdal kommune kultur og oppvekst,121
Skien kommune klyve hjemmetjeneste,988837512,121
Gjensidige forsikring avd Skien,974145383,121
946054224,Håkanes maskin a/s,120
Drangedal sjukeheim,974551055,120
Håkanes maskin AS,973391895,120
948310716,Emerson automation solutions AS,119
974636360,Kviteseid kommune sektor for skule og barnehage,119
Emerson automation solutions as avd engrossalg,971964715,119
993880787,Kragerø resort drift AS,118
Inovyn Norge as avd pvc fabrikk Porsgrunn,973142844,118
Kragerø resort drift AS,988080551,118
Iss facility services as avd renhold Porsgrunn,973102052,118
Porsgrunn kommune hjemmetjenesten sentrum,988086711,118
913936175,Höganäs borgestad AS,117
St hansåsen sykehjem,974564696,117
Sykehuset Telemark hf dps nedre Telemark avd Skien,987582480,116
Sykehuset Telemark hf bup grenland nord,975326217,116
Porsgrunn kommune miljøarbeidertjenesten avd saturnvegen,987419466,115
Nav arbeid og ytelser avd Skien,992259930,114
974636387,Fyresdal kommune sektor for kultur og oppvekst,113
Bamble kommune vest - Bamble boliger,976825446,113
991589767,Aasmundsens bakeri telemarksbakern efft. AS,112
Haugsåsen bokollektiv,988837377,112
918506519,Gumpens auto grenland AS,111
Manpower as avd Telemark,980095363,111
915617344,Seltor AS,110
830036032,Grenland rail AS,110
Seltor AS,971868333,110
Telenor Norge as kundesenter Skien,977170389,110
Notevarp omsorgsboliger,874609072,109
Sætre skole,975297411,108
Halliburton as avd Notodden,988881554,107
Bandak AS,871773122,107
Höganäs borgestad as avd Skien,973225898,107
916242220,Bandak AS,107
Systemblokk AS,872049142,105
Vinje sjukeheim,974610302,105
913289951,Systemblokk AS,105
Sandvik transport AS,974512181,104
Rjukan alders- og sykehjem,976825640,104
995203707,Sandvik transport AS,104
Bamble ungdomsskole,925959146,103
933392414,Industri fokus AS,98
Skagerak kraft as avd Porsgrunn,979611374,97
Sykehuset Telemark hf Porsgrunn - somatikk,974633221,97
Skien kommune administrasjonen helse og velferd,976824687,96
"Skien helsehus avd a, 3/4 etg",992308001,96
Porsgrunn kommune barnevern,983884040,96
Nesbukti pleie- og omsorgssenter,973802356,95
Laugstol as avd Telemark,971797673,95
Grenland rail as avd Skien,988738891,95
Sweco Norge as Porsgrunn,971655550,95
976991273,Skien kirkelige fellesråd,94
989086642,At skog sa,94
982732638,Agility AS,94
Agility as avd røra,971955589,94
Borgehaven bo- og rehabiliteringssenter avd omsorgsboliger,988952486,94
Notodden kommune nos avlastningssenter,986579125,93
Dnv imatis AS,972328847,92
910402722,Alf johansen AS,92
919767367,Sac drift AS,92
Forbrukertilsynet Porsgrunn,974720728,92
Stridsklev skole,975292789,92
963310439,Dnv imatis AS,92
Tinn kommune hjemmetjenesten distrikt 1,974548542,91
Porsgrunn kommune renholdsavdelingen,988089583,90
Lunde barneskole,975278123,90
Kragerø kommune hjemmesykepleien,974600099,90
974640708,Notodden kommune seksjon for kultur og stedsutvikling,89
Posten bring as Skien,979852444,88
Seljord barne- og ungdomsskule skole 1-10,975320499,88
Pasientreiser hf avd Skien,994306510,88
Stendi as regionskontor sør,985530033,88
970946047,Telemark museum sti,88
Telemark museum sti,971911859,88
Bamble kommune krogshavn omsorgsboliger,987983256,88
Statkraft energi as avd region sør-norge dalen,874798932,88
Gumpens auto grenland as avd verksted langmyrvegen,975038726,87
953069466,Kranringen AS,87
Melum bo- og servicesenter,974559951,87
988982857,Kvitsund gymnas AS,86
Norner AS,991643710,86
Isola as fabrikk eidanger,974305402,86
898736032,Norner AS,86
Holla 10-årige skole,974608642,86
Heistadskolene avd barn,975277895,86
Kvitsund gymnas,974085062,86
Grep arbeid as avd floodmyrvegen,972270148,86
Elis Norge as avd Skien,973114913,85
987259760,Hrl entreprenør AS,85
993823317,Set linings international s. a.,85
825886842,Idea kompetanse arbeid og inkludering AS,85
Solbakken omsorgsboliger,996763366,85
Kviteseid omsorgssenter,975269957,85
Stathelle barneskole,875278312,85
Securitas as avd Skien,973110438,85
Set linings international s. a.,893851062,85
Hrl entreprenør AS,974162040,85
Grenland brann og redning iks avd Skien,974560089,85
Vianode as avd Porsgrunn,929387457,84
Porsgrunn kommune fritidskontaktordningen kultur,835418022,83
Ecura bpa as avd Porsgrunn,986083561,83
Bø skule,975278492,82
Nome kommune etat for sammfunnsutvikling administrasjon,974608995,82
Bamble videregående skole,974568098,82
Notodden interkommunale legevakt,992467029,81
Nav Skien,994706233,81
997851757,Notodden interkommunale legevakt,81
974643928,Kviteseid kommune sentraladministrasjon,81
Hjartdal omsorgssenter,974609142,81
Siljan sykehjem,975269981,81
934452011,Rehabiliteringssenteret air AS,81
928103277,Solberg bil AS,80
Sauherad bygdeheim,975269949,80
922846278,Sør entreprenør AS,80
999080669,Trosvik AS,80
Pipelife Norge as avd stathelle,973130889,80
Trosvik AS,971829095,80
Kragerø videregående skole,974568004,80
Skien kommune tamburlund 2,988837482,80
Bufetat sør klokkerhuset,931229842,80
Vestsiden skole,975277976,79
"Telemark fylkeskommune opplæring, kultur og tannhelse",926849115,79
Skien kirkelige fellesråd,977007968,79
Skandinavisk kompetensservice ab,997709438,79
Vy buss as avd Notodden,971793937,79
Saga mat AS,974101157,78
882963632,Saga mat AS,78
Doktorløkka bosenter,983796346,78
815008502,Himmelblå barnevern AS,77
Norner research AS,812403842,77
992840455,Telemark transportservice AS,77
Himmelblå barnevern AS,891227442,77
Telemark transportservice AS,992871598,77
Vygruppen as Skien,974710536,77
912372200,Norner research AS,77
892421722,Mathuset Skien AS,76
Mental helse avd Skien,973628569,76
Tokke helsesenter,974610167,76
Nome videregående skole avd søve,974568187,76
Gvarv skole,912076512,76
Porsgrunn kommune sentraladministrasjon,974564467,76
Mathuset Skien as avd. Skien,892469202,76
816201802,Wimp AS,76
Skien kommune administrasjon byutvikling og drift,974560046,75
Nav familie- og pensjonsytelser Porsgrunn avd frednesøya,934619110,75
Nome videregående skole avd lunde,974568063,75
Drangedal 10-årige skole,994480227,75
Porsgrunn kommune psykisk helse og rusomsorg,991412239,75
Rehabiliteringssenteret air AS,872155252,75
Gransherad bygdeheim,975269973,75
911169037,Dnh a/s den norske høyttalerfabrikk a/s,74
Dnh den norske høyttalerfabr AS,971677570,74
Erik tanche nilssen as avd engros Skien,974305860,74
Skien kommune haugesgate,998854024,74
991729380,Hybeko AS,73
926128736,Bluegreen fusion AS,73
Bluegreen fusion AS,926149067,73
932890100,Tokke kommune teknisk,73
Metrostav Norge as avd Porsgrunn,931414259,73
Customer link as avd Porsgrunn,982584434,73
Kragerø kommune omsorg administrasjon,979782918,73
Notodden kommune solhaug boliger pu,992395532,73
Nor tekstil as avd Skien,971773936,73
982732662,Nli grenland AS,72
Nli grenland as avd brevik,974188589,72
Moflata skole,975278182,72
Porsgrunn kommune toppen bofellesskap,993505269,72
932421399,W1eps AS,71
Caverion Norge as avd herøya prosjekt,917503168,71
988774677,Addcon nordic AS,71
918275452,Palla pharma Norway AS,71
947717103,Bø varetransport AS,71
Addcon nordic AS,984662793,71
Palla pharma AS,873107812,71
Bø varetransport AS,972143790,71
W1eps AS,934851552,71
Notodden ungdomsskole,975292797,71
Tokke kommune heimetenesta,974610191,71
Borgehaven bo- og rehabiliteringssenter avd døgnrehabilitering,988952540,71
Nome og Midt-Telemark barnevern,887679282,71
945650885,Odds ballklubb,70
Gjerpen barneskole,975278077,70
Vistin pharma as avd Kragerø fikkjebakke,996675432,70
988010626,Pors fotball,70
Odds ballklubb,973784072,70
Pors fotball,888068732,70
Nissedal kommune kaasa bustader,987382015,70
Hydro energi as Telemark,974840871,70
Porsgrunn legevakt,974564645,70
Maristien barnehage,922893640,69
Læringsverkstedet maurtua Skien barnehage,890182852,69
Statsforvalteren i Vestfold og Telemark avd Skien,974730677,69
Notodden kommune renholdere og vaktmestere,992398027,69
Bamble kommune eiendomsforvaltning,973789880,69
Sykehusapoteket Skien,974633175,69
Vinje kommune heimetenester svingen bufellesskap,988070637,69
Sk armering AS,919963301,69
985174431,C. christoffersen AS,69
919931981,Sk armering AS,69
920997082,Norsk skogrydding AS,69
971492414,Norsk industriarbeidermuseum sti,68
916366779,Cura kompetanse AS,68
918606777,Aarnesgruppen AS,68
922704619,Porsgrunn retail AS,68
955706137,Enrx holding AS,68
Enrx holding AS,878629922,68
Venstøp skole,975278174,68
Cura kompetanse AS,916453035,68
998283914,Novari iks,67
972414972,Bø hotell AS,67
974472902,Beerenberg industri AS,67
Toyota bilia as avd Porsgrunn,927640716,67
Bø hotell AS,974874377,67
Novari iks,998396735,67
Nome kommune hjemmetjtenesten ulefoss distrikt,974608901,67
Brødrene hansen transport AS,976149203,66
979803672,Brødrene hansen transport AS,66
Visma enterprise as avd Porsgrunn,920484697,66
Aarsleff fundamentering & boring AS,990433305,66
Tinn helsetun,974548607,66
Skien kommune einaren,989031996,66
990405700,Aarsleff fundamentering & boring AS,66
Beerenberg industri as avd Skien,971798475,66
Mesta as åmot,986909656,65
977557658,Telemark toto AS,64
931505068,Night & day security AS,64
995509970,Skien kommune - NAV,64
Bravida Norge as Skien elektro,975041794,64
Westcontrol berget as fine mechanics,971823194,64
C. christoffersen as avd fargerike Skien,971675330,64
Night & day security AS,931521772,64
Tinn kommune hjemmetjenesten distrikt 2,974548577,64
Vinje kommune heimetenester avd rauland heimetenester,988071102,64
Drangedal kommune myrveien bofellesskap,974551047,64
Skien kommune NAV,976824733,64
Telemark toto AS,972305162,64
Bane nor eidanger,932303302,63
Telerør AS,972132829,63
Industri fokus as avd el & it,933547868,63
Skien kommune søndre falkumvei 5 og 7,988837571,63
Fyresdal pleie- og omsorgssenter,974562596,63
Skien kommune forebyggende helse- tjeneste for barn ungdom og gravide,973784919,63
Vest-telemark vidaregåande skule,974568055,63
Stigeråsen skole,975295850,63
Borge skole,975277860,63
822096212,G.t nordics AS,63
946858021,Telerør a/s,63
925750638,Nk energi AS,63
G.t nordics AS,922123918,63
934448960,Fergene Telemark fkf,62
932496135,Rtc renewables AS,62
Skien kommune avlastning utenfor institusjon,921339437,62
Fergene Telemark fkf avd Kragerø,974306301,62
Rtc renewables AS,932525801,62
Grenland brann og redning iks avd Porsgrunn,974564831,62
Nav Vestfold og Telemark,994706187,62
Tveten ungdomsskole,975277984,62
Eiendom,973796372,62
977456436,Skauen kristelige skole,61
Brunvoll mar-el AS,872163522,61
Steintransport AS,972026999,61
Stendi as omsorgstjenester sør ot nenset,914443180,61
Mæla ungdomsskole,975278018,61
Skauen kristelige skole,971427418,61
914192137,Brunvoll mar-el AS,61
927106426,Steintransport AS,61
Hydro aluminium as avd Porsgrunn,983851908,60
Duestien barnehage,824369062,60
Kjørbekkhøgda skole,975278093,60
Bamble kommune reidunsvei bofellesskap,982905532,60
Pn Porsgrunn AS,927871580,60
Litana ir ko nuf,928197336,60
999301452,Litana ir ko nuf,60
927855526,Pn Porsgrunn AS,60
Telemark transportservice AS,971777362,59
Gimle skule,975278727,59
Tveit skule / Nissedal ungdomsskule,975289664,59
974644037,Notodden kommune sentraladministrasjon,59
937698461,Telemark transportservice AS,59
Fyresdal kommune heimebaserte tjen,979352549,59
Heddal barneskole,975278220,59
988113107,Stiftelsen Telemark toppidrett gymnas,58
Solberg bil as avd Skien,985617031,58
Frode bjønnes transport AS,979224192,58
Kviteseid skule,975278646,58
Nel hydrogen electrolyser as avd Porsgrunn,930811173,58
983439977,Aspit AS,58
922742103,Frode bjønnes transport AS,58
Sats vest as avd klosterøya,916539711,58
Sykehuset Telemark hf dps øvre Telemark Notodden,975300153,58
Stiftelsen Telemark toppidrett gymnas,888361332,58
Tyrilisenteret i Skien,987977205,57
Lunde 10-årige skole,974608650,57
Sparebank 1 sør-norge asa avd Skien,994329499,57
Himmelblå helse og omsorg AS,922160945,56
Bø ungdomsskule,975290301,56
922127212,Himmelblå helse og omsorg AS,56
927250896,Antras nord AS,56
Bratsbergkleiva skole,975278026,56
Porsgrunn kommune blåveiskroken bofellesskap,815520092,56
Grauteknapp omsorgsboliger,976668367,56
Aider as avd Skien regnskap,972194220,56
Antras nord AS,927382369,56
Kviteseid kommune lundenjordet,976825780,56
Langesund barneskole,975278271,55
Grønli skole,975277887,55
Heistadskolene avd ungdom,875278002,55
Nissedal omsorgsenter,974610078,55
Premator surface pro AS,935068320,55
Lie center AS,971823178,55
Kranringen as avd Skien,971678933,55
Haukeliseter fjellstue,973154451,55
Kragerø kommune støtte og utvikling,874600032,55
Notodden kommune brann- og feiervesen,976824989,55
974643979,Kragerø kommune støtte og utvikling,55
Barnevernstjenesten i øvre Telemark,976825152,55
984971109,Bø installasjon AS,55
934353854,Premator surface pro AS,55
Kragerø kommune sjådamveien 1 omsorgsboliger,987956305,55
992028513,Lie center AS,55
Nippon gases Norge as avd luftgassfabrikk rjukan,973083481,54
Kragerø kommune teknisk driftsavd,974600161,54
L grønaasen transport AS,971863854,54
Asplan viak as avd Skien,873122722,54
Gimsøy skole,976824466,54
Bø vidaregåande skule,974567997,54
Skien tannklinikk,993621099,54
Kragerø kommune kalstadveien 16-18 bofellesskap,973791524,54
Kragerø kommune sannidal bokollektiv,987956410,54
937891512,Sparebanken din Telemark,54
950948906,L grønaasen transport AS,54
Hasås as avd produksjon telemarksbruket,974090104,54
Fagskolen Vestfold og Telemark avd Porsgrunn,874568112,53
Rauland skule avd skule,975278824,53
Bamble kommune stabene hr og økonomi,992437111,53
Nextcall AS,986653244,53
Nis consulting AS,919258772,53
Bravida Norge as Skien vvs,973207245,53
Flåtten barnehage,991673903,53
Sjøgløtt omsorgssenter AS,816963192,53
Notodden mangfolds- og læringssenter voksenopplæring,992397292,53
919160608,Nis consulting AS,53
915590292,Nextcall AS,53
996118525,Bamble kommune stabene hr og økonomi,53
916914857,Sjøgløtt omsorgssenter AS,53
Bamble kommune nustadjordet bofellesskap,980093867,53
Drangedal kommune heimesjukepleien,974551071,53
912547906,Park event AS,52
976252713,Hauk sveinsson AS,52
970983503,Telefrukt AS,52
947173219,Grenland boligbyggelag,52
931045504,Villamoen barnehage AS,52
Grep arbeid as avd Bamble,872269762,52
Skien kommune røymyr og vestre gulset,988837539,52
Porsgrunn kommune leger,973778447,52
Åmot skule avd skule,975278816,52
Villamoen barnehage AS,973489259,52
Vinje kommune helse og omsorg,988355941,52
Park event AS,912582280,52
Telefrukt AS,972403652,52
Hauk sveinsson AS,976571622,52
Hima seafood management as avd rjukan,932194287,52
926720988,Agder lagmannsrett,51
Bø installasjon AS,971882603,51
Straand hotel AS,971774568,51
Grenland taxi AS,973208004,51
978692389,Grenland taxi AS,51
945805013,Straand hotel AS,51
Stathelle sfo,987983450,51
Bufetat sør Telemark ungdomssenter kjørbekk,974568284,51
Universitetet i stavanger læringsmiljø og adferdsforskning avd Porsgrunn,874730262,51
Myrene skole,975277925,51
Agder lagmannsrett Skien,974730502,51
Barnevernssamarbeidet i vest- Telemark,982991986,50
Porsgrunn kirkelige fellesråd,977007844,50
Skien interkommunale legevakt,976824911,50
Pleie- og omsorgstenesta i Seljord heimebaserte tenester,974609363,50
Kviteseid kommune heimebaserte tenester,974609444,50
Porsgrunn kommune røyskattlia botiltak,988086657,50
Borgehaven bo- og rehabiliteringssenter avd trygghet,988952281,50
Læringsverkstedet klyveskogen barnehage,983509347,50
Holte gård Drangedal AS,971932627,50
976820991,Skien kommune - Skien interkommunale legevakt,50
976991141,Porsgrunn kirkelige fellesråd,50
Sats vest as avd porselensfabrikken,998054184,50
864425402,Maxeta AS,50
913826639,Holte gård Drangedal AS,50
Midt-Telemark kommune tjeneste for tilrettelagt aktivitet,887674612,49
919502614,Telemark vei- og trafikksikring AS,49
Notodden kirkelig fellesråd,977008018,49
Telemark vei- og trafikksikring AS,919565152,49
Vinje kommune reinhald og tekstil,884921112,49
Heirekshaug barnehage,976825578,49
Vestmar barnevern,987967439,49
Skien kommune tamburlund 1,973784862,49
Bufetat sør Telemark ungdomssenter miljøheimen,976246578,49
930730556,Brubakken AS,49
976991338,Notodden kirkelig fellesråd,49
Åfoss skole,975297497,48
919031808,Bandak nct AS,48
966405074,Sunde renovasjon & gjenvinning AS,48
891336802,Kåsa & ringhus entreprenør AS,48
Menstad ungdomsskole,975278204,48
Norsk industriarbeidermuseum,873480122,48
Bandak nct AS,972298026,48
Loppedåpan barnehage,975307131,48
Kåsa & ringhus entreprenør AS,984634080,48
Sunde renovasjon & gjenvinning AS,982650577,48
Bamble kommune stathelle bokollektiv,987983221,47
964348596,Romnes AS,47
980775747,Autostrada Porsgrunn AS,47
998179327,Morgan AS,47
Erik tanche nilssen as avd trykkeri Skien,974305844,47
Bilfinger Norway as avd rjukan,991466916,47
Romnes AS,974100371,47
Kjølnes ungdomsskole,975277992,47
Kragerø kommune symreveien bofelleskap,987956313,47
Morgan as avdeling Drangedal,920631630,46
Isola as administrasjon,974305410,46
Isola as fabrikk platon,873142472,46
919908254,Brødrene alseth a/s,46
982744504,Malermester kjellsen & tufte AS,46
968658999,Hella maskin AS,46
915828248,Controlpartner AS,46
917870837,Eek logistikk AS,46
914908221,Gs dagligvaredrift AS,46
924390778,Sprek fritid Porsgrunn AS,46
Sprek fritid Porsgrunn AS,924537108,46
Hjartdal kommune heimebaserte tenester,974609150,46
Midtbygda skole,975278247,46
Gjerpen ungdomsskole,975278190,46
Grenland brann og redning iks avd Bamble,976825330,46
977466407,Family fitness AS,46
Bamble kommune tjenestetildeling og digit. velferd,976825438,46
Family fitness AS,977485479,46
Controlpartner AS,915854621,46
Alseth brødrene AS,871828652,46
Mcdonald's stathelle avd 91 rugtvedt,927716186,46
Thon hotel høyers,974284235,46
Eek logistikk AS,917942412,46
Elkjøp Skien,971844493,46
Biltema Norge as avd 213 Skien,984741359,46
Gs dagligvaredrift AS,914928567,46
Hella maskin AS,972705950,46
Malermester kjellsen & tufte AS,871719322,46
Peab bygg as avd Telemark,975865061,46
Kragerø kommune tangeheia omsorgsboliger,987955996,45
929683943,G. coward AS,45
Porsgrunn kommune granlia botiltak,988086592,45
970982701,Flåtten supermarked AS,45
994971425,Drangedal kommune sektor for bygg eiendom og kommunalteknikk,45
Skien helsehus lindrende avd d,915132189,45
Skien kommune maribakkane 3,913647270,45
Bo- og miljøtjenesten tyrivegen,989306227,45
Norgesmøllene as avd Skien,973143581,45
832459372,Norsk fiskeeksport AS,45
Marensro dag- og habiliteringssenter,974559803,45
Sauland skule,975289958,45
Flåtten supermarked AS,973042912,45
G coward AS,971676043,45
Norsk fiskeeksport AS,932994275,45
Sts-isonor as avd Skien,971928131,45
Rjukan videregående skole,874568082,45
878653572,Entreprenør ulf solbakken AS,45
Entreprenør ulf solbakken AS,978656056,45
925271586,Kvam transport AS,44
991377735,Kps drift & personell AS,44
974641046,Kviteseid kommune samfunnsutvikling og teknisk drift,44
892151172,Nystrand barnehage AS,44
986395865,Samtun AS,44
861151972,Mobile Skien AS,44
Brastad solutions as avd Porsgrunn,921560982,44
Telemark byggentreprenør AS,916602413,44
Servicealliansen as Skien & Seljord,923778632,44
Tor entreprenør AS,976231066,44
Eltera skagerrak AS,918812490,44
Bertel o. steen Vestfold og Telemark as avd Telemark,873143312,44
Kvam transport AS,980765229,44
Kps drift & personell as avd Skien,999491642,44
Åmot barnehage,875298852,44
Nystrand barnehage as avd nystrandvegen,992183705,44
Gulset ungdomsskole,975298566,44
Kragerø kommune furubo bokollektiv,987956380,44
Porsgrunn kommune hestehoven botiltak,988086614,44
Porsgrunn kommune rolandsvei botiltak,997346459,44
Samtun AS,986429301,44
Porsgrunn kommune sosial- og flyktningetjenesten,974564661,44
Vinje kommune heimetenester avd øvre Vinje heimetenester,988071099,44
916561725,Telemark byggentreprenør AS,44
982845475,Tor entreprenør AS,44
918672567,Eltera skagerrak AS,44
970314083,Svein harry bakke transport,43
925793701,Tipp frakt AS,43
976304217,Telemarksporten dagligvare AS,43
937773609,Skarpenord AS,43
883168232,Urdarbrønnen sa,43
Sør entreprenør AS,929268946,43
983155324,Hotel bryggeparken AS,43
Veidekke industri as dv Vestfold og Telemark,931665510,43
Telemarksporten dagligvare AS,976307321,43
Tipp frakt AS,925812242,43
Bakke svein harry,971971460,43
Home hotel bryggeparken,983165540,43
Sweco Norge as Seljord,973288504,43
Grivihaugen og hagestad omsorgsboliger,976668359,43
Valhall barnehage,983380255,43
Atrå barne- og ungdomsskole,974548410,43
Tokke skule,974633345,43
Skien kommune natttjenesten,988837431,43
Volmax as avd grenland,971983892,42
999256813,Vafos pulp AS,42
959807949,Tata steel Norway byggsystemer AS,42
