Nivå,Geografisk enhet,Arbeidsmarkedsstatus,Kjønn,Antall personer,Andel av arbeidsstyrken,Dato
Fylker,Finnmark,Arbeidssøkere på tiltak,Begge kjønn,242,0.006,2011-01-01
Fylker,Finnmark,Arbeidssøkere på tiltak,Kvinner,77,0.004,2011-01-01
Fylker,Finnmark,Arbeidssøkere på tiltak,Menn,165,0.008,2011-01-01
Fylker,Finnmark,Delvis ledige,Begge kjønn,728,0.019,2011-01-01
Fylker,Finnmark,Delvis ledige,Kvinner,388,0.022,2011-01-01
Fylker,Finnmark,Delvis ledige,Menn,340,0.017,2011-01-01
Fylker,Finnmark,Helt ledige,Begge kjønn,1361,0.036,2011-01-01
Fylker,Finnmark,Helt ledige,Kvinner,414,0.023,2011-01-01
Fylker,Finnmark,Helt ledige,Menn,947,0.047,2011-01-01
Fylker,Innlandet,Arbeidssøkere på tiltak,Begge kjønn,733,0.004,2011-01-01
Fylker,Innlandet,Arbeidssøkere på tiltak,Kvinner,323,0.004,2011-01-01
Fylker,Innlandet,Arbeidssøkere på tiltak,Menn,410,0.004,2011-01-01
Fylker,Innlandet,Delvis ledige,Begge kjønn,2286,0.012,2011-01-01
Fylker,Innlandet,Delvis ledige,Kvinner,1206,0.014,2011-01-01
Fylker,Innlandet,Delvis ledige,Menn,1080,0.011,2011-01-01
Fylker,Innlandet,Helt ledige,Begge kjønn,5534,0.03,2011-01-01
Fylker,Innlandet,Helt ledige,Kvinner,1880,0.022,2011-01-01
Fylker,Innlandet,Helt ledige,Menn,3654,0.038,2011-01-01
Fylker,Møre og Romsdal,Arbeidssøkere på tiltak,Begge kjønn,544,0.004,2011-01-01
Fylker,Møre og Romsdal,Arbeidssøkere på tiltak,Kvinner,263,0.004,2011-01-01
Fylker,Møre og Romsdal,Arbeidssøkere på tiltak,Menn,281,0.004,2011-01-01
Fylker,Møre og Romsdal,Delvis ledige,Begge kjønn,1482,0.011,2011-01-01
Fylker,Møre og Romsdal,Delvis ledige,Kvinner,808,0.013,2011-01-01
Fylker,Møre og Romsdal,Delvis ledige,Menn,674,0.009,2011-01-01
Fylker,Møre og Romsdal,Helt ledige,Begge kjønn,3511,0.027,2011-01-01
Fylker,Møre og Romsdal,Helt ledige,Kvinner,1219,0.02,2011-01-01
Fylker,Møre og Romsdal,Helt ledige,Menn,2292,0.032,2011-01-01
Fylker,Nordland,Arbeidssøkere på tiltak,Begge kjønn,605,0.005,2011-01-01
Fylker,Nordland,Arbeidssøkere på tiltak,Kvinner,253,0.004,2011-01-01
Fylker,Nordland,Arbeidssøkere på tiltak,Menn,352,0.006,2011-01-01
Fylker,Nordland,Delvis ledige,Begge kjønn,1871,0.016,2011-01-01
Fylker,Nordland,Delvis ledige,Kvinner,1030,0.018,2011-01-01
Fylker,Nordland,Delvis ledige,Menn,841,0.013,2011-01-01
Fylker,Nordland,Helt ledige,Begge kjønn,3889,0.033,2011-01-01
Fylker,Nordland,Helt ledige,Kvinner,1365,0.024,2011-01-01
Fylker,Nordland,Helt ledige,Menn,2524,0.04,2011-01-01
Fylker,Oslo,Arbeidssøkere på tiltak,Kvinner,1539,0.01,2011-01-01
Fylker,Oslo,Arbeidssøkere på tiltak,Begge kjønn,2742,0.008,2011-01-01
Fylker,Oslo,Arbeidssøkere på tiltak,Menn,1203,0.007,2011-01-01
Fylker,Oslo,Delvis ledige,Begge kjønn,3141,0.009,2011-01-01
Fylker,Oslo,Delvis ledige,Kvinner,1394,0.009,2011-01-01
Fylker,Oslo,Delvis ledige,Menn,1747,0.01,2011-01-01
Fylker,Oslo,Helt ledige,Begge kjønn,13059,0.039,2011-01-01
Fylker,Oslo,Helt ledige,Kvinner,5199,0.032,2011-01-01
Fylker,Oslo,Helt ledige,Menn,7860,0.045,2011-01-01
Fylker,Rogaland,Arbeidssøkere på tiltak,Begge kjønn,997,0.004,2011-01-01
Fylker,Rogaland,Arbeidssøkere på tiltak,Kvinner,445,0.004,2011-01-01
Fylker,Rogaland,Arbeidssøkere på tiltak,Menn,552,0.004,2011-01-01
Fylker,Rogaland,Delvis ledige,Begge kjønn,1876,0.008,2011-01-01
Fylker,Rogaland,Delvis ledige,Kvinner,955,0.009,2011-01-01
Fylker,Rogaland,Delvis ledige,Menn,921,0.007,2011-01-01
Fylker,Rogaland,Helt ledige,Begge kjønn,6057,0.026,2011-01-01
Fylker,Rogaland,Helt ledige,Kvinner,2142,0.02,2011-01-01
Fylker,Rogaland,Helt ledige,Menn,3915,0.031,2011-01-01
Fylker,Telemark,Arbeidssøkere på tiltak,Begge kjønn,423,0.005,2011-01-01
Fylker,Telemark,Arbeidssøkere på tiltak,Kvinner,167,0.004,2011-01-01
Fylker,Telemark,Arbeidssøkere på tiltak,Menn,256,0.006,2011-01-01
Fylker,Telemark,Delvis ledige,Begge kjønn,1255,0.015,2011-01-01
Fylker,Telemark,Delvis ledige,Kvinner,693,0.017,2011-01-01
Fylker,Telemark,Delvis ledige,Menn,562,0.012,2011-01-01
Fylker,Telemark,Helt ledige,Begge kjønn,3212,0.037,2011-01-01
Fylker,Telemark,Helt ledige,Kvinner,1153,0.028,2011-01-01
Fylker,Telemark,Helt ledige,Menn,2059,0.045,2011-01-01
Fylker,Troms ,Arbeidssøkere på tiltak,Begge kjønn,327,0.004,2011-01-01
Fylker,Troms ,Arbeidssøkere på tiltak,Kvinner,105,0.003,2011-01-01
Fylker,Troms ,Arbeidssøkere på tiltak,Menn,222,0.005,2011-01-01
Fylker,Troms ,Delvis ledige,Begge kjønn,978,0.012,2011-01-01
Fylker,Troms ,Delvis ledige,Kvinner,477,0.012,2011-01-01
Fylker,Troms ,Delvis ledige,Menn,501,0.011,2011-01-01
Fylker,Troms ,Helt ledige,Begge kjønn,2217,0.026,2011-01-01
Fylker,Troms ,Helt ledige,Kvinner,706,0.018,2011-01-01
Fylker,Troms ,Helt ledige,Menn,1511,0.034,2011-01-01
Fylker,Trøndelag,Arbeidssøkere på tiltak,Begge kjønn,956,0.004,2011-01-01
Fylker,Trøndelag,Arbeidssøkere på tiltak,Kvinner,485,0.005,2011-01-01
Fylker,Trøndelag,Arbeidssøkere på tiltak,Menn,471,0.004,2011-01-01
Fylker,Trøndelag,Delvis ledige,Begge kjønn,3166,0.014,2011-01-01
Fylker,Trøndelag,Delvis ledige,Kvinner,1753,0.017,2011-01-01
Fylker,Trøndelag,Delvis ledige,Menn,1413,0.012,2011-01-01
Fylker,Trøndelag,Helt ledige,Begge kjønn,7166,0.032,2011-01-01
Fylker,Trøndelag,Helt ledige,Kvinner,2655,0.025,2011-01-01
Fylker,Trøndelag,Helt ledige,Menn,4511,0.038,2011-01-01
Fylker,Vestfold,Arbeidssøkere på tiltak,Begge kjønn,999,0.009,2011-01-01
Fylker,Vestfold,Arbeidssøkere på tiltak,Kvinner,434,0.008,2011-01-01
Fylker,Vestfold,Arbeidssøkere på tiltak,Menn,565,0.009,2011-01-01
Fylker,Vestfold,Delvis ledige,Begge kjønn,1501,0.013,2011-01-01
Fylker,Vestfold,Delvis ledige,Kvinner,785,0.014,2011-01-01
Fylker,Vestfold,Delvis ledige,Menn,716,0.012,2011-01-01
Fylker,Vestfold,Helt ledige,Begge kjønn,4182,0.036,2011-01-01
Fylker,Vestfold,Helt ledige,Kvinner,1617,0.029,2011-01-01
Fylker,Vestfold,Helt ledige,Menn,2565,0.042,2011-01-01
Fylker,Vestland,Arbeidssøkere på tiltak,Begge kjønn,1515,0.005,2011-01-01
Fylker,Vestland,Arbeidssøkere på tiltak,Kvinner,827,0.006,2011-01-01
Fylker,Vestland,Arbeidssøkere på tiltak,Menn,688,0.004,2011-01-01
Fylker,Vestland,Delvis ledige,Begge kjønn,3305,0.011,2011-01-01
Fylker,Vestland,Delvis ledige,Kvinner,1702,0.012,2011-01-01
Fylker,Vestland,Delvis ledige,Menn,1603,0.01,2011-01-01
Fylker,Vestland,Helt ledige,Begge kjønn,8791,0.028,2011-01-01
Fylker,Vestland,Helt ledige,Kvinner,3129,0.021,2011-01-01
Fylker,Vestland,Helt ledige,Menn,5662,0.034,2011-01-01
Fylker,Østfold,Arbeidssøkere på tiltak,Begge kjønn,729,0.005,2011-01-01
Fylker,Østfold,Arbeidssøkere på tiltak,Kvinner,360,0.006,2011-01-01
Fylker,Østfold,Arbeidssøkere på tiltak,Menn,369,0.005,2011-01-01
Fylker,Østfold,Delvis ledige,Begge kjønn,1755,0.013,2011-01-01
Fylker,Østfold,Delvis ledige,Kvinner,976,0.015,2011-01-01
Fylker,Østfold,Delvis ledige,Menn,779,0.011,2011-01-01
Fylker,Østfold,Helt ledige,Begge kjønn,5415,0.039,2011-01-01
Fylker,Østfold,Helt ledige,Kvinner,2172,0.033,2011-01-01
Fylker,Østfold,Helt ledige,Menn,3243,0.045,2011-01-01
Landet,Landet,Arbeidssøkere på tiltak,Kvinner,6854,0.006,2011-01-01
Landet,Landet,Arbeidssøkere på tiltak,Begge kjønn,14049,0.005,2011-01-01
Landet,Landet,Arbeidssøkere på tiltak,Menn,7195,0.005,2011-01-01
Landet,Landet,Delvis ledige,Begge kjønn,28932,0.011,2011-01-01
Landet,Landet,Delvis ledige,Kvinner,14975,0.012,2011-01-01
Landet,Landet,Delvis ledige,Menn,13957,0.01,2011-01-01
Landet,Landet,Helt ledige,Begge kjønn,81281,0.031,2011-01-01
Landet,Landet,Helt ledige,Kvinner,30132,0.025,2011-01-01
Landet,Landet,Helt ledige,Menn,51149,0.037,2011-01-01
Telemark kommuner,Bamble,Arbeidssøkere på tiltak,Begge kjønn,39,0.005,2011-01-01
Telemark kommuner,Bamble,Arbeidssøkere på tiltak,Kvinner,19,0.006,2011-01-01
Telemark kommuner,Bamble,Arbeidssøkere på tiltak,Menn,20,0.005,2011-01-01
Telemark kommuner,Bamble,Delvis ledige,Begge kjønn,108,0.015,2011-01-01
Telemark kommuner,Bamble,Delvis ledige,Kvinner,57,0.017,2011-01-01
Telemark kommuner,Bamble,Delvis ledige,Menn,51,0.013,2011-01-01
Telemark kommuner,Bamble,Helt ledige,Begge kjønn,276,0.038,2011-01-01
Telemark kommuner,Bamble,Helt ledige,Kvinner,106,0.031,2011-01-01
Telemark kommuner,Bamble,Helt ledige,Menn,170,0.044,2011-01-01
Telemark kommuner,Drangedal,Arbeidssøkere på tiltak,Begge kjønn,6,0.003,2011-01-01
Telemark kommuner,Drangedal,Arbeidssøkere på tiltak,Kvinner,0,0.003,2011-01-01
Telemark kommuner,Drangedal,Arbeidssøkere på tiltak,Menn,0,0.003,2011-01-01
Telemark kommuner,Drangedal,Delvis ledige,Begge kjønn,26,0.013,2011-01-01
Telemark kommuner,Drangedal,Delvis ledige,Kvinner,10,0.011,2011-01-01
Telemark kommuner,Drangedal,Delvis ledige,Menn,16,0.015,2011-01-01
Telemark kommuner,Drangedal,Helt ledige,Begge kjønn,79,0.039,2011-01-01
Telemark kommuner,Drangedal,Helt ledige,Kvinner,22,0.023,2011-01-01
Telemark kommuner,Drangedal,Helt ledige,Menn,57,0.052,2011-01-01
Telemark kommuner,Fyresdal,Arbeidssøkere på tiltak,Begge kjønn,5,0.007,2011-01-01
Telemark kommuner,Fyresdal,Arbeidssøkere på tiltak,Kvinner,0,0.006,2011-01-01
Telemark kommuner,Fyresdal,Arbeidssøkere på tiltak,Menn,0,0.008,2011-01-01
Telemark kommuner,Fyresdal,Delvis ledige,Begge kjønn,5,0.007,2011-01-01
Telemark kommuner,Fyresdal,Delvis ledige,Kvinner,4,0.012,2011-01-01
Telemark kommuner,Fyresdal,Delvis ledige,Menn,0,0.003,2011-01-01
Telemark kommuner,Fyresdal,Helt ledige,Begge kjønn,23,0.032,2011-01-01
Telemark kommuner,Fyresdal,Helt ledige,Kvinner,4,0.012,2011-01-01
Telemark kommuner,Fyresdal,Helt ledige,Menn,19,0.048,2011-01-01
Telemark kommuner,Hjartdal,Arbeidssøkere på tiltak,Begge kjønn,0,0.001,2011-01-01
Telemark kommuner,Hjartdal,Arbeidssøkere på tiltak,Menn,0,0.002,2011-01-01
Telemark kommuner,Hjartdal,Delvis ledige,Begge kjønn,8,0.01,2011-01-01
Telemark kommuner,Hjartdal,Delvis ledige,Kvinner,0,0.008,2011-01-01
Telemark kommuner,Hjartdal,Delvis ledige,Menn,5,0.012,2011-01-01
Telemark kommuner,Hjartdal,Helt ledige,Begge kjønn,30,0.038,2011-01-01
Telemark kommuner,Hjartdal,Helt ledige,Kvinner,7,0.019,2011-01-01
Telemark kommuner,Hjartdal,Helt ledige,Menn,23,0.055,2011-01-01
Telemark kommuner,Kragerø,Arbeidssøkere på tiltak,Begge kjønn,26,0.005,2011-01-01
Telemark kommuner,Kragerø,Arbeidssøkere på tiltak,Kvinner,8,0.003,2011-01-01
Telemark kommuner,Kragerø,Arbeidssøkere på tiltak,Menn,18,0.006,2011-01-01
Telemark kommuner,Kragerø,Delvis ledige,Begge kjønn,90,0.017,2011-01-01
Telemark kommuner,Kragerø,Delvis ledige,Kvinner,54,0.022,2011-01-01
Telemark kommuner,Kragerø,Delvis ledige,Menn,36,0.013,2011-01-01
Telemark kommuner,Kragerø,Helt ledige,Begge kjønn,220,0.042,2011-01-01
Telemark kommuner,Kragerø,Helt ledige,Kvinner,66,0.027,2011-01-01
Telemark kommuner,Kragerø,Helt ledige,Menn,154,0.055,2011-01-01
Telemark kommuner,Kviteseid,Arbeidssøkere på tiltak,Begge kjønn,0,0.002,2011-01-01
Telemark kommuner,Kviteseid,Arbeidssøkere på tiltak,Kvinner,0,0.003,2011-01-01
Telemark kommuner,Kviteseid,Arbeidssøkere på tiltak,Menn,0,0.001,2011-01-01
Telemark kommuner,Kviteseid,Delvis ledige,Begge kjønn,19,0.014,2011-01-01
Telemark kommuner,Kviteseid,Delvis ledige,Kvinner,9,0.015,2011-01-01
Telemark kommuner,Kviteseid,Delvis ledige,Menn,10,0.014,2011-01-01
Telemark kommuner,Kviteseid,Helt ledige,Begge kjønn,57,0.043,2011-01-01
Telemark kommuner,Kviteseid,Helt ledige,Kvinner,14,0.023,2011-01-01
Telemark kommuner,Kviteseid,Helt ledige,Menn,43,0.059,2011-01-01
Telemark kommuner,Midt-Telemark,Arbeidssøkere på tiltak,Begge kjønn,21,0.004,2011-01-01
Telemark kommuner,Midt-Telemark,Arbeidssøkere på tiltak,Kvinner,4,0.002,2011-01-01
Telemark kommuner,Midt-Telemark,Arbeidssøkere på tiltak,Menn,17,0.006,2011-01-01
Telemark kommuner,Midt-Telemark,Delvis ledige,Begge kjønn,55,0.011,2011-01-01
Telemark kommuner,Midt-Telemark,Delvis ledige,Kvinner,32,0.013,2011-01-01
Telemark kommuner,Midt-Telemark,Delvis ledige,Menn,23,0.009,2011-01-01
Telemark kommuner,Midt-Telemark,Helt ledige,Begge kjønn,167,0.033,2011-01-01
Telemark kommuner,Midt-Telemark,Helt ledige,Kvinner,64,0.027,2011-01-01
Telemark kommuner,Midt-Telemark,Helt ledige,Menn,103,0.039,2011-01-01
Telemark kommuner,Nissedal,Arbeidssøkere på tiltak,Begge kjønn,0,0.0,2011-01-01
Telemark kommuner,Nissedal,Arbeidssøkere på tiltak,Kvinner,0,0.0,2011-01-01
Telemark kommuner,Nissedal,Arbeidssøkere på tiltak,Menn,0,0.0,2011-01-01
Telemark kommuner,Nissedal,Delvis ledige,Begge kjønn,13,0.018,2011-01-01
Telemark kommuner,Nissedal,Delvis ledige,Kvinner,10,0.03,2011-01-01
Telemark kommuner,Nissedal,Delvis ledige,Menn,0,0.008,2011-01-01
Telemark kommuner,Nissedal,Helt ledige,Begge kjønn,24,0.033,2011-01-01
Telemark kommuner,Nissedal,Helt ledige,Kvinner,6,0.018,2011-01-01
Telemark kommuner,Nissedal,Helt ledige,Menn,18,0.045,2011-01-01
Telemark kommuner,Nome,Arbeidssøkere på tiltak,Begge kjønn,18,0.005,2011-01-01
Telemark kommuner,Nome,Arbeidssøkere på tiltak,Kvinner,5,0.003,2011-01-01
Telemark kommuner,Nome,Arbeidssøkere på tiltak,Menn,13,0.007,2011-01-01
Telemark kommuner,Nome,Delvis ledige,Begge kjønn,39,0.012,2011-01-01
Telemark kommuner,Nome,Delvis ledige,Kvinner,23,0.015,2011-01-01
Telemark kommuner,Nome,Delvis ledige,Menn,16,0.009,2011-01-01
Telemark kommuner,Nome,Helt ledige,Begge kjønn,125,0.038,2011-01-01
Telemark kommuner,Nome,Helt ledige,Kvinner,36,0.023,2011-01-01
Telemark kommuner,Nome,Helt ledige,Menn,89,0.051,2011-01-01
Telemark kommuner,Notodden,Arbeidssøkere på tiltak,Begge kjønn,35,0.006,2011-01-01
Telemark kommuner,Notodden,Arbeidssøkere på tiltak,Kvinner,15,0.005,2011-01-01
Telemark kommuner,Notodden,Arbeidssøkere på tiltak,Menn,20,0.006,2011-01-01
Telemark kommuner,Notodden,Delvis ledige,Begge kjønn,78,0.013,2011-01-01
Telemark kommuner,Notodden,Delvis ledige,Kvinner,31,0.01,2011-01-01
Telemark kommuner,Notodden,Delvis ledige,Menn,47,0.014,2011-01-01
Telemark kommuner,Notodden,Helt ledige,Begge kjønn,162,0.026,2011-01-01
Telemark kommuner,Notodden,Helt ledige,Kvinner,48,0.016,2011-01-01
Telemark kommuner,Notodden,Helt ledige,Menn,114,0.035,2011-01-01
Telemark kommuner,Porsgrunn,Arbeidssøkere på tiltak,Kvinner,37,0.004,2011-01-01
Telemark kommuner,Porsgrunn,Arbeidssøkere på tiltak,Begge kjønn,90,0.005,2011-01-01
Telemark kommuner,Porsgrunn,Arbeidssøkere på tiltak,Menn,53,0.006,2011-01-01
Telemark kommuner,Porsgrunn,Delvis ledige,Begge kjønn,269,0.015,2011-01-01
Telemark kommuner,Porsgrunn,Delvis ledige,Kvinner,152,0.018,2011-01-01
Telemark kommuner,Porsgrunn,Delvis ledige,Menn,117,0.012,2011-01-01
Telemark kommuner,Porsgrunn,Helt ledige,Begge kjønn,736,0.041,2011-01-01
Telemark kommuner,Porsgrunn,Helt ledige,Kvinner,287,0.034,2011-01-01
Telemark kommuner,Porsgrunn,Helt ledige,Menn,449,0.047,2011-01-01
Telemark kommuner,Seljord,Arbeidssøkere på tiltak,Begge kjønn,9,0.006,2011-01-01
Telemark kommuner,Seljord,Arbeidssøkere på tiltak,Kvinner,4,0.005,2011-01-01
Telemark kommuner,Seljord,Arbeidssøkere på tiltak,Menn,5,0.006,2011-01-01
Telemark kommuner,Seljord,Delvis ledige,Begge kjønn,23,0.015,2011-01-01
Telemark kommuner,Seljord,Delvis ledige,Kvinner,13,0.018,2011-01-01
Telemark kommuner,Seljord,Delvis ledige,Menn,10,0.012,2011-01-01
Telemark kommuner,Seljord,Helt ledige,Begge kjønn,52,0.034,2011-01-01
Telemark kommuner,Seljord,Helt ledige,Kvinner,12,0.016,2011-01-01
Telemark kommuner,Seljord,Helt ledige,Menn,40,0.05,2011-01-01
Telemark kommuner,Siljan,Arbeidssøkere på tiltak,Begge kjønn,0,0.002,2011-01-01
Telemark kommuner,Siljan,Arbeidssøkere på tiltak,Kvinner,0,0.002,2011-01-01
Telemark kommuner,Siljan,Arbeidssøkere på tiltak,Menn,0,0.001,2011-01-01
Telemark kommuner,Siljan,Delvis ledige,Begge kjønn,18,0.014,2011-01-01
Telemark kommuner,Siljan,Delvis ledige,Kvinner,10,0.017,2011-01-01
Telemark kommuner,Siljan,Delvis ledige,Menn,8,0.012,2011-01-01
Telemark kommuner,Siljan,Helt ledige,Begge kjønn,44,0.034,2011-01-01
Telemark kommuner,Siljan,Helt ledige,Kvinner,22,0.037,2011-01-01
Telemark kommuner,Siljan,Helt ledige,Menn,22,0.032,2011-01-01
Telemark kommuner,Skien,Arbeidssøkere på tiltak,Begge kjønn,152,0.006,2011-01-01
Telemark kommuner,Skien,Arbeidssøkere på tiltak,Kvinner,63,0.005,2011-01-01
Telemark kommuner,Skien,Arbeidssøkere på tiltak,Menn,89,0.006,2011-01-01
Telemark kommuner,Skien,Delvis ledige,Begge kjønn,424,0.016,2011-01-01
Telemark kommuner,Skien,Delvis ledige,Kvinner,246,0.019,2011-01-01
Telemark kommuner,Skien,Delvis ledige,Menn,178,0.013,2011-01-01
Telemark kommuner,Skien,Helt ledige,Begge kjønn,1073,0.04,2011-01-01
Telemark kommuner,Skien,Helt ledige,Kvinner,428,0.033,2011-01-01
Telemark kommuner,Skien,Helt ledige,Menn,645,0.046,2011-01-01
Telemark kommuner,Tinn,Arbeidssøkere på tiltak,Begge kjønn,4,0.001,2011-01-01
Telemark kommuner,Tinn,Arbeidssøkere på tiltak,Kvinner,0,0.0,2011-01-01
Telemark kommuner,Tinn,Arbeidssøkere på tiltak,Menn,4,0.003,2011-01-01
Telemark kommuner,Tinn,Delvis ledige,Begge kjønn,43,0.014,2011-01-01
Telemark kommuner,Tinn,Delvis ledige,Kvinner,24,0.016,2011-01-01
Telemark kommuner,Tinn,Delvis ledige,Menn,19,0.013,2011-01-01
Telemark kommuner,Tinn,Helt ledige,Begge kjønn,67,0.023,2011-01-01
Telemark kommuner,Tinn,Helt ledige,Kvinner,18,0.012,2011-01-01
Telemark kommuner,Tinn,Helt ledige,Menn,49,0.032,2011-01-01
Telemark kommuner,Tokke,Arbeidssøkere på tiltak,Begge kjønn,6,0.005,2011-01-01
Telemark kommuner,Tokke,Arbeidssøkere på tiltak,Kvinner,0,0.004,2011-01-01
Telemark kommuner,Tokke,Arbeidssøkere på tiltak,Menn,4,0.006,2011-01-01
Telemark kommuner,Tokke,Delvis ledige,Begge kjønn,10,0.008,2011-01-01
Telemark kommuner,Tokke,Delvis ledige,Kvinner,0,0.005,2011-01-01
Telemark kommuner,Tokke,Delvis ledige,Menn,7,0.011,2011-01-01
Telemark kommuner,Tokke,Helt ledige,Begge kjønn,32,0.027,2011-01-01
Telemark kommuner,Tokke,Helt ledige,Kvinner,8,0.015,2011-01-01
Telemark kommuner,Tokke,Helt ledige,Menn,24,0.038,2011-01-01
Telemark kommuner,Vinje,Arbeidssøkere på tiltak,Begge kjønn,6,0.003,2011-01-01
Telemark kommuner,Vinje,Arbeidssøkere på tiltak,Kvinner,0,0.002,2011-01-01
Telemark kommuner,Vinje,Arbeidssøkere på tiltak,Menn,4,0.004,2011-01-01
Telemark kommuner,Vinje,Delvis ledige,Begge kjønn,27,0.013,2011-01-01
Telemark kommuner,Vinje,Delvis ledige,Kvinner,12,0.012,2011-01-01
Telemark kommuner,Vinje,Delvis ledige,Menn,15,0.014,2011-01-01
Telemark kommuner,Vinje,Helt ledige,Begge kjønn,45,0.022,2011-01-01
Telemark kommuner,Vinje,Helt ledige,Kvinner,5,0.005,2011-01-01
Telemark kommuner,Vinje,Helt ledige,Menn,40,0.039,2011-01-01
Fylker,Agder,Arbeidssøkere på tiltak,Begge kjønn,916,0.006,2011-02-01
Fylker,Agder,Arbeidssøkere på tiltak,Kvinner,403,0.006,2011-02-01
Fylker,Agder,Arbeidssøkere på tiltak,Menn,513,0.007,2011-02-01
Fylker,Agder,Delvis ledige,Begge kjønn,1947,0.013,2011-02-01
Fylker,Agder,Delvis ledige,Kvinner,894,0.013,2011-02-01
Fylker,Agder,Delvis ledige,Menn,1053,0.014,2011-02-01
Fylker,Agder,Helt ledige,Begge kjønn,4788,0.033,2011-02-01
Fylker,Agder,Helt ledige,Kvinner,1628,0.024,2011-02-01
Fylker,Agder,Helt ledige,Menn,3160,0.041,2011-02-01
Fylker,Akershus,Arbeidssøkere på tiltak,Begge kjønn,1882,0.006,2011-02-01
Fylker,Akershus,Arbeidssøkere på tiltak,Kvinner,954,0.006,2011-02-01
Fylker,Akershus,Arbeidssøkere på tiltak,Menn,928,0.006,2011-02-01
Fylker,Akershus,Delvis ledige,Begge kjønn,2602,0.008,2011-02-01
Fylker,Akershus,Delvis ledige,Kvinner,1408,0.009,2011-02-01
Fylker,Akershus,Delvis ledige,Menn,1194,0.007,2011-02-01
Fylker,Akershus,Helt ledige,Begge kjønn,7717,0.025,2011-02-01
Fylker,Akershus,Helt ledige,Kvinner,3005,0.02,2011-02-01
Fylker,Akershus,Helt ledige,Menn,4712,0.029,2011-02-01
Fylker,Buskerud,Arbeidssøkere på tiltak,Begge kjønn,900,0.007,2011-02-01
Fylker,Buskerud,Arbeidssøkere på tiltak,Kvinner,452,0.007,2011-02-01
Fylker,Buskerud,Arbeidssøkere på tiltak,Menn,448,0.007,2011-02-01
Fylker,Buskerud,Delvis ledige,Begge kjønn,1383,0.011,2011-02-01
Fylker,Buskerud,Delvis ledige,Kvinner,719,0.012,2011-02-01
Fylker,Buskerud,Delvis ledige,Menn,664,0.01,2011-02-01
Fylker,Buskerud,Helt ledige,Begge kjønn,3682,0.029,2011-02-01
Fylker,Buskerud,Helt ledige,Kvinner,1487,0.025,2011-02-01
Fylker,Buskerud,Helt ledige,Menn,2195,0.033,2011-02-01
Fylker,Finnmark,Arbeidssøkere på tiltak,Begge kjønn,270,0.007,2011-02-01
Fylker,Finnmark,Arbeidssøkere på tiltak,Kvinner,80,0.005,2011-02-01
Fylker,Finnmark,Arbeidssøkere på tiltak,Menn,190,0.009,2011-02-01
Fylker,Finnmark,Delvis ledige,Begge kjønn,837,0.022,2011-02-01
Fylker,Finnmark,Delvis ledige,Kvinner,404,0.023,2011-02-01
Fylker,Finnmark,Delvis ledige,Menn,433,0.021,2011-02-01
Fylker,Finnmark,Helt ledige,Begge kjønn,1234,0.032,2011-02-01
Fylker,Finnmark,Helt ledige,Kvinner,374,0.021,2011-02-01
Fylker,Finnmark,Helt ledige,Menn,860,0.042,2011-02-01
