Navn,Org. nr.,Overordnet enhet,Antall ansatte,firfirmaid,Bedriftsstatus,Organisasjonsform,konsernopporgnr,Navn på overliggende enhet,Orgnr til toppenhet,Fylkesnavn,fylkesnavn,kommune_id,Kommunenummer,kommunenavn,Kommunenavn,Intervallkode antall ansatte,Omsetning i hele tusen,Driftsresultat i hele tusen,Dato for etablering,Sektorkode fra SSB,Privat eller offentlig,Nace_1_navn,Nace_5_navn,Nace_5_nr,Y (UTM33),X (UTM33),load_date,Lon,Lat
Aaland Bath House Books,938166056,938166048,,18102667,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,,,2026-07-27,,,"Kulturell virksomhet, idrett og fritidsaktiviteter",Skapende kunstnerisk virksomhet innenfor litteratur,90.111,6585989.220000001,171803.5599999996,2026-08-05 03:37:01,"9,235182939135035","59,284898746520625"
Inger-Lise Rasmussen Familieveiledning AS,938165378,,,18102532,1,Aksjeselskap,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2026-07-12,Private aksjeselskaper mv.,Privat sektor,Helse- og sosialtjenester,"Psykolog- og psykoterapitjenester, unntatt legetjenester innenfor psykiatri",86.930,6567365.699999999,194459.5499999998,2026-08-05 03:37:01,"9,65720047220179","59,13535339655998"
Norgeslektern AS,938164487,,,18102515,1,Aksjeselskap,,,,Telemark,Telemark,4012,4012,Bamble,BAMBLE,0-1,,,2026-07-10,Private aksjeselskaper mv.,Privat sektor,Eiendomsvirksomhet,Kjøp og salg av egen fast eiendom,68.110,6557024.76,195647.04000000004,2026-08-05 03:37:01,"9,692203796769514","59,043736567890484"
Marianne Vrålstad,938164495,,,18102449,1,Enkeltpersonforetak,,,,Telemark,Telemark,4030,4030,Nissedal,NISSEDAL,0-1,,,2026-07-27,Personlig næringsdrivende,Privat sektor,,,00.000,6559258.76,129058.65000000037,2026-08-05 03:37:01,"8,534949123673375","59,01110685886728"
Nordfelt AS,938161054,,,18102363,1,Aksjeselskap,,,,Telemark,Telemark,4028,4028,Kviteseid,KVITESEID,0-1,,,2026-07-02,Private aksjeselskaper mv.,Privat sektor,,,00.000,6594287.109999999,128460.76999999955,2026-08-05 03:37:01,"8,46500512365174","59,32313101036181"
Pocket Memories Olsen,938158703,,,18102272,1,Enkeltpersonforetak,,,,Telemark,Telemark,4012,4012,Bamble,BAMBLE,0-1,,,2026-07-27,Personlig næringsdrivende,Privat sektor,,,00.000,6563656.050000001,189323.20999999996,2026-08-05 03:37:01,"9,573108522740064","59,098471006571955"
HG Service AS,938157278,837828872,,18102155,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4012,4012,Bamble,BAMBLE,0-1,,,2026-05-20,,,Forretningsmessig tjenesteyting,Utleie og leasing av bygge- og anleggsmaskiner og -utstyr,77.320,6555880.3100000005,193735.7999999998,2026-08-05 03:37:01,"9,660630908752783","59,032137506347304"
Jehco Holding AS,938155453,938000867,,18102105,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2026-06-06,,,,,00.000,6565863.17,196318.3200000003,2026-08-05 03:37:01,"9,691626652533543","59,12324808585039"
FH Maritim AS,938155135,838153992,,18102097,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2026-07-25,,,Undervisning,Undervisning innenfor idrett og rekreasjon,85.510,6567332.039999999,192247.08000000007,2026-08-05 03:37:01,"9,618756451013727","59,13345867112804"
Dyrskuvegen 4 AS Konkursbo,938156123,938156107,,18101879,9,,,,,Telemark,Telemark,4022,4022,Seljord,SELJORD,0-1,,,2026-07-24,,,Eiendomsvirksomhet,Utleie av egen eller leid fast eiendom,68.200,6610232.4399999995,137685.71999999974,2026-08-05 03:37:01,"8,599193005535817","59,47344187135896"
Telemark Ved AS Konkursbo,938156093,938156085,,18101878,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2026-07-24,,,Varehandel,Annen detaljhandel med andre nye varer,47.780,6568763.52,194732.1200000001,2026-08-05 03:37:01,"9,659991346139902","59,14804752120716"
Varmehandel AS Konkursbo,938156212,938156204,,18101875,9,,,,,Telemark,Telemark,4022,4022,Seljord,SELJORD,0-1,,,2026-07-24,,,Varehandel,Annen detaljhandel med andre nye varer,47.780,6610232.4399999995,137685.71999999974,2026-08-05 03:37:01,"8,599193005535817","59,47344187135896"
Harvest Trading & Adventure AS Konkursbo,938155003,838154972,,18101820,9,,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2026-07-24,,,Varehandel,Detaljhandel med motorvogner,47.810,6567875.710000001,194465.33000000007,2026-08-05 03:37:01,"9,656588611674312","59,13991775666989"
Rjukan Klatrepark AS Konkursbo,938153841,938153833,,18101766,9,,,,,Telemark,Telemark,4026,4026,Tinn,TINN,0-1,,,2026-07-24,,,"Kulturell virksomhet, idrett og fritidsaktiviteter",Opplevelsesaktiviteter,93.291,6655535.470000001,139655.84999999963,2026-08-05 03:37:01,"8,556290191105685","59,87940397161429"
Avilla Invest AS,938153094,938149968,,18101722,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-07-01,,,,,00.000,6574930.99,191754.6799999997,2026-08-05 03:37:01,"9,599460018740077","59,20104167051734"
Erling & Hege Invest AS,938153086,938149941,,18101721,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-07-01,,,,,00.000,6572746.32,192532.0,2026-08-05 03:37:01,"9,616091567752614","59,18207278932195"
RUK og Kruk Holding AS,938152926,938145385,,18101707,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4016,4016,Drangedal,DRANGEDAL,0-1,,,2026-07-13,,,,,00.000,6569088.890000001,151425.1299999999,2026-08-05 03:37:01,"8,90656024930233","59,117701411103035"
Wirgenes Vei 5A AS,938151318,937822731,,18101673,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-05-30,,,Eiendomsvirksomhet,Utleie av egen eller leid fast eiendom,68.200,6571851.67,191409.34999999963,2026-08-05 03:37:01,"9,597800100910607","59,17326032180333"
Mcneill Holding AS,938150605,938148589,,18101640,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-06-24,,,,,00.000,6570776.890000001,194642.6200000001,2026-08-05 03:37:01,"9,655619056767701","59,16598562116999"
Aafos Eventutleie,938150354,937733356,,18101628,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-05-19,,,Forretningsmessig tjenesteyting,Utleie og leasing av andre husholdningsvarer og varer til personlig bruk,77.220,6574260.93,193343.96999999974,2026-08-05 03:37:01,"9,628106101043223","59,196201630009"
Star-Grit Gumpen,938148627,937723830,,18101578,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2026-05-17,,,"Kulturell virksomhet, idrett og fritidsaktiviteter",Skapende kunstnerisk virksomhet innenfor visuell kunst,90.120,6567641.380000001,193765.7000000002,2026-08-05 03:37:01,"9,644742856402095","59,13731972102877"
Krontveit-Sameie,938148503,938148481,,18101571,9,,,,,Telemark,Telemark,4036,4036,Vinje,VINJE,0-1,,,2026-07-23,,,Lønnet arbeid i private husholdninger og annen vareproduksjon og tjenesteyting i private husholdning,Aktiviteter i borettslag og boligsameier,97.001,6637480.41,109242.11000000034,2026-08-05 03:37:01,"8,05063723619694","59,690863031195626"
Maqsood Fl,938147418,937814054,,18101561,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-06-20,,,Helse- og sosialtjenester,Allmennlegetjenester,86.210,6574339.83,192356.54000000004,2026-08-05 03:37:01,"9,61078566918146","59,196192852584765"
Nordicg AS,938146640,937731957,,18101520,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-05-26,,,"Telekommunikasjon, dataprogrammering, konsulentvirksomhet, datainfrastruktur og andre tjenester tilk",Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av IT-systemer,62.200,6573801.779999999,191933.1299999999,2026-08-05 03:37:01,"9,60416728089437","59,191075433628576"
FPF Skien AS,938146551,937698682,,18101519,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-04-28,,,"Kulturell virksomhet, idrett og fritidsaktiviteter",Fritidsvirksomhet ellers,93.292,6575567.32,192307.59999999963,2026-08-05 03:37:01,"9,608198374256126","59,20713192222843"
Discfront Bjaarstad,838146732,937714572,,18101497,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2026-05-15,,,"Telekommunikasjon, dataprogrammering, konsulentvirksomhet, datainfrastruktur og andre tjenester tilk",Dataprogrammeringstjenester,62.100,6559794.6899999995,195492.90000000037,2026-08-05 03:37:01,"9,685694284320817","59,06839537217766"
Andersen Utemiljø,938150206,937821468,,18101461,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,,,2026-06-03,,,Industri,Produksjon av møbler,31.000,6603393.279999999,162566.3799999999,2026-08-05 03:37:01,"9,046670906983659","59,43308748210593"
Amalie Jahnsen Graver,938146039,938146020,,18101391,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-07-22,,,"Kulturell virksomhet, idrett og fritidsaktiviteter",Skapende kunstnerisk virksomhet innenfor visuell kunst,90.120,6588277.42,178702.0599999996,2026-08-05 03:37:01,"9,352268719638307","59,31064170088718"
Bugbiscuit Hanssen,838152422,,,18101256,1,Enkeltpersonforetak,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-07-23,Personlig næringsdrivende,Privat sektor,,,00.000,6576532.109999999,189615.23000000045,2026-08-05 03:37:01,"9,559888235046515","59,213796933964005"
Nobygg AS Tvangsavviklingsbo,938147922,938147914,,18101090,9,,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,,,2026-07-23,,,Bygge- og anleggsvirksomhet,Oppføring av bygninger,41.000,6615644.199999999,176936.74000000022,2026-08-05 03:37:01,"9,280167589637893","59,55383605558452"
Prosessdrift AS,938146071,,,18101062,1,Aksjeselskap,,,,Telemark,Telemark,4012,4012,Bamble,BAMBLE,0-1,,,2026-07-14,Private aksjeselskaper mv.,Privat sektor,,,00.000,6557010.449999999,192990.66000000015,2026-08-05 03:37:01,"9,646130365810041","59,04170796473273"
Mt-Hytter & Hus AS Tvangsavviklingsbo,838146422,938146411,,18100998,9,,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,,,2026-07-23,,,Eiendomsvirksomhet,Utvikling og salg av byggeprosjekter,68.120,6597842.869999999,168291.4400000004,2026-08-05 03:37:01,"9,155639042631526","59,38805681602656"
H2O Solutions AS Tvangsavviklingsbo,938146403,938146381,,18100997,9,,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,,,2026-07-23,,,"Faglig, vitenskapelig og teknisk tjenesteyting",Annen teknisk konsulentvirksomhet,71.129,6616301.85,175648.09999999963,2026-08-05 03:37:01,"9,256481287010683","59,55871578875081"
Bjålid Holding AS Konkursbo,938146373,938146365,,18100996,9,,,,,Telemark,Telemark,4036,4036,Vinje,VINJE,0-1,,,2026-07-23,,,Bygge- og anleggsvirksomhet,Grunnarbeid,43.120,6637237.800000001,109893.37000000011,2026-08-05 03:37:01,"8,062570077929045","59,68931078908129"
Moen Bygg og Vedlikehold,838144152,,,18100993,1,Enkeltpersonforetak,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,,,2026-07-23,Personlig næringsdrivende,Privat sektor,,,00.000,6610807.42,178567.66999999993,2026-08-05 03:37:01,"9,316181890005984","59,5118713657337"
Sandvassbu AS,938141568,937808844,,18100913,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2026-06-05,,,Eiendomsvirksomhet,Kjøp og salg av egen fast eiendom,68.110,6563037.98,197652.29000000004,2026-08-05 03:37:01,"9,718727850450117","59,098933500872036"
Borgar Vassbotten,938141002,937697791,,18100897,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4036,4036,Vinje,VINJE,0-1,,,2026-05-12,,,"Jordbruk, skogbruk og fiske",Skogskjøtsel og andre skogbruksaktiviteter,02.100,6645881.73,82977.37999999989,2026-08-05 03:37:01,"7,571289335565727","59,74022368551269"
DMK Bolig AS,938140928,937808526,,18100895,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,,,2026-06-01,,,Eiendomsvirksomhet,Utleie av egen eller leid fast eiendom,68.200,6582229.73,178886.5700000003,2026-08-05 03:37:01,"9,364461524106138","59,25673514970425"
Tubaas Gård,838141242,937656890,,18100873,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,,,2026-05-04,,,"Jordbruk, skogbruk og fiske",Sauehold,01.451,6620470.789999999,167233.45999999996,2026-08-05 03:37:01,"9,101846337307254","59,589351117549356"
Gk-Holdco AS,938144656,938138540,,18100868,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2026-06-23,,,,,00.000,6567618.43,194067.41000000015,2026-08-05 03:37:01,"9,650024465347474","59,1373314838072"
Odin Mostervik-Ålandsli,938144370,938144362,,18100856,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4032,4032,Fyresdal,FYRESDAL,0-1,,,2026-07-22,,,Forretningsmessig tjenesteyting,Kombinerte tjenester tilknyttet eiendomsdrift,81.100,6577076.27,103037.5,2026-08-05 03:37:01,"8,05295981120645","59,146612684391414"
Lykkeleie Kristensen,938139776,937696272,,18100827,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2026-05-15,,,Forretningsmessig tjenesteyting,Utleie og leasing av andre husholdningsvarer og varer til personlig bruk,77.220,6558772.300000001,195475.00999999978,2026-08-05 03:37:01,"9,686799865640332","59,05924045528438"
Disch Lindvig Totalservice,938138850,938138842,,18100794,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,,,2026-07-21,,,Forretningsmessig tjenesteyting,Kombinerte tjenester tilknyttet eiendomsdrift,81.100,6569784.220000001,194771.1900000004,2026-08-05 03:37:01,"9,659245516330882","59,15720207900008"
Nordic Kitchen Consulting Rodenbeck,938138818,932233002,,18100792,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2023-09-16,,,"Faglig, vitenskapelig og teknisk tjenesteyting","All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted",74.990,6575038.210000001,192345.79000000004,2026-08-05 03:37:01,"9,609611830544615","59,2024290309525"
Paulsen Rådgivning,938144125,937714351,,18100742,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4014,4014,Kragerø,KRAGERØ,0-1,,,2026-05-01,,,Undervisning,Undervisning innenfor idrett og rekreasjon,85.510,6538648.630000001,178423.74000000022,2026-08-05 03:37:01,"9,420122296167792","58,86687798506579"
Different Breed Hakobkjochwjan,938143994,826957352,,18100737,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-03-15,,,Varehandel,Detaljhandel med klær,47.710,6574883.539999999,191196.4299999997,2026-08-05 03:37:01,"9,58979705014477","59,20021179193567"
Anette Lund Blomar & Dekor,938143749,837713722,,18100724,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4032,4032,Fyresdal,FYRESDAL,0-1,,,2026-05-01,,,Varehandel,"Detaljhandel med blomster, planter, gjødsel og plantevernmidler",47.761,6581069.859999999,106200.0,2026-08-05 03:37:01,"8,10063891578772","59,18515466226817"
Trovi Betonginjeksjon,938142785,937706421,,18100677,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-05-12,,,Bygge- og anleggsvirksomhet,Annen spesialisert bygge- og anleggsvirksomhet ikke nevnt annet sted,43.990,6571976.779999999,194289.5,2026-08-05 03:37:01,"9,647788975347204","59,17646036972576"
Prestasjon AS,938137315,,,18100631,1,Aksjeselskap,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-05-11,Private aksjeselskaper mv.,Privat sektor,,,00.000,6574856.460000001,192342.9500000002,2026-08-05 03:37:01,"9,609819097819912","59,20080201268503"
Eleven Points AS Tvangsavviklingsbo,938143625,938143617,,18100575,9,,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-07-22,,,Varehandel,Detaljhandel med klær,47.710,6572060.359999999,192405.25,2026-08-05 03:37:01,"9,614850863945426","59,17584806295697"
Xtragas AS Tvangsavviklingsbo,838143652,938143633,,18100573,9,,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,,,2026-07-22,,,"Faglig, vitenskapelig og teknisk tjenesteyting",Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk,72.100,6574592.58,192535.8200000003,2026-08-05 03:37:01,"9,61355342408349","59,19858245767145"
Hagetjenester Haugan,938143072,,,18100547,1,Enkeltpersonforetak,,,,Telemark,Telemark,4010,4010,Siljan,SILJAN,0-1,,,2026-07-22,Personlig næringsdrivende,Privat sektor,,,00.000,6581693.289999999,200173.16000000015,2026-08-05 03:37:01,"9,736892294536753","59,267542860658345"
