Org. nr.,Navn,Overordnet enhet,Antall ansatte,Organisasjonsform - Kode,Organisasjonsform,NACE 1,NACE 1 - Bransje,Beliggenhetsadresse - Kommune,Postadresse - Kommune
974559811,Gulset sykehjem,986433007,307.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Skien,Skien
931191764,Kverndalen bo- og dagsenter,986433007,303.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Skien,Skien
974730642,Grenland politihus og namsfogden i sør-øst,983998178,286.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,84.240,Aktiviteter utført av politi- og påtalemyndighet,Skien,Tønsberg
986221271,Ts group as avd Porsgrunn,988251399,285.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,Porsgrunn,
979611404,Lede as avd Porsgrunn,979422679,268.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,35.140,Distribusjon av elektrisitet,Porsgrunn,Porsgrunn
917620601,Grep arbeid as avd grep rødmyr,928214311,263.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.993,Arbeidstrening og varig tilrettelagt arbeid,Skien,Porsgrunn
974798239,Universitetet i sørøst-norge campus bø i Telemark,911770709,262.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,85.401,Undervisning ved universiteter,Midt-Telemark,
874305812,Vy buss as avd Telemark,976948394,261.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,49.310,Passasjertransport med rutebil,Skien,Skien
975012301,Inovyn Norge as avd rafnes,981701046,248.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,20.130,Produksjon av andre uorganiske kjemiske råvarer,Bamble,Bamble
975108155,Ineos rafnes as avd produksjon,982726387,235.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,20.140,Produksjon av andre organiske kjemiske råvarer,Bamble,Bamble
973784986,Skien kommune organisasjon og utvikling,974644002,227.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,84.110,Generell offentlig administrasjon,Skien,Skien
933631257,Vivaserve AS,933603628,222.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,43.320,Snekkerarbeid,Bamble,
974568829,Bamble helsehus,976821106,218.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Bamble,Bamble
991689982,Bakkane bo- og behandlingssenter,986433007,212.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Skien,Skien
975300641,Haugmotun sjukeheim,876821052,211.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Notodden,
973095358,Eramet Norway as avd Porsgrunn,980518647,206.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,24.100,"Produksjon av jern og stål, samt ferrolegeringer",Porsgrunn,Porsgrunn
974305461,Heidelberg materials sement Norge as sementfabrikk dalen,934949145,204.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,23.510,Produksjon av sement,Porsgrunn,Porsgrunn
976825063,Notodden kommune by/heddal hjemmetjeneste,876821052,202.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.941,Sykepleietjenester og andre helsetjenester i hjemmet,Notodden,
974568152,Skogmo videregående skole,929882989,201.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,85.310,Videregående opplæring innenfor studieforberedende utdanningsprogram,Skien,Skien
980837076,Millba AS,980786706,200.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,10.710,Produksjon av brød og ferske konditorvarer,Skien,
975269965,Bø sjukeheim,920297293,199.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Midt-Telemark,
988087483,Porsgrunn kommune hjemmetjenesten øst/vest,939991034,195.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.941,Sykepleietjenester og andre helsetjenester i hjemmet,Porsgrunn,
974798220,Universitetet i sørøst-norge campus Notodden,911770709,191.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,85.401,Undervisning ved universiteter,Notodden,Notodden
973347527,Blå kors borgestadklinikken sa avd borgestad,971450231,191.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.103,Spesialisert rusbehandling,Skien,Skien
973784978,Skien kommune eiendomsforvaltning,974640686,189.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,81.100,Kombinerte tjenester tilknyttet eiendomsdrift,Skien,Skien
919132493,Vestsiden sykehjem,939991034,189.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Porsgrunn,Porsgrunn
913284410,Lyngbakken bo- og behandlingssenter,986433007,184.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Skien,Skien
874559792,"Skien helsehus avd b, avd c, avd e og terapeutene",986433007,182.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.101,Tjenester i spesialinstitusjon innenfor helse- og omsorg,Skien,Skien
974608898,Nome sjukeheim,974640848,176.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Nome,Nome
976927621,Sykehuset Telemark hf ambulansetjenesten Skien,983975267,175.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.921,Ambulansetransport unntatt luftambulanse,Skien,Skien
984042442,Equinor asa avd tne rd forskningssenter,923609016,172.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,72.100,Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk,Porsgrunn,Porsgrunn
926848984,Telemark fylkeskommune administrasjon,929882989,168.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,84.110,Generell offentlig administrasjon,Skien,Skien
974632748,Skagerak energi as avd Porsgrunn,980495302,165.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,35.121,Produksjon av elektrisitet fra vannkraft,Porsgrunn,Porsgrunn
974568020,Porsgrunn videregående skole,929882989,164.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,85.310,Videregående opplæring innenfor studieforberedende utdanningsprogram,Porsgrunn,Skien
976644069,Hjemmetjenester Midt-Telemark kommune,920297293,162.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.106,"Helse- og omsorgstjenester i bofelleskap, samlokaliserte omsorgsboliger og lignende",Midt-Telemark,Midt-Telemark
873255102,Betanien hospital,981275721,160.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.101,Somatiske sykehustjenester,Skien,
986139524,Marienlyst sykehjem,974640783,160.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Kragerø,Kragerø
974568039,Skien videregående skole,929882989,158.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,85.310,Videregående opplæring innenfor studieforberedende utdanningsprogram,Skien,Skien
872383352,Ineos Bamble AS,968144405,157.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,20.160,Produksjon av basisplast,Bamble,
925512117,Prima assistanse as avd Telemark,989748319,157.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.104,Brukerstyrt personlig assistanse (bpa),Bamble,
874153842,Enrx AS,930400580,155.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,27.110,"Produksjon av elektromotorer, generatorer og transformatorer",Skien,Skien
988080551,Kragerø resort drift AS,993880787,155.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,55.100,Drift av hoteller,Kragerø,Kragerø
924953020,4service eir renhold as avd 461 vestfold/telemark,917719993,155.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,81.210,Rengjøring av bygninger,Porsgrunn,Oslo
976824598,Skien fritidspark kf avd Skien fritidspark,990522839,155.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,93.110,Drift av idrettsanlegg,Skien,
872081682,Quality hotel skjærgården,959310459,153.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,55.100,Drift av hoteller,Bamble,Bamble
992171952,Haugmotun omsorgshjem,876821052,153.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.106,"Helse- og omsorgstjenester i bofelleskap, samlokaliserte omsorgsboliger og lignende",Notodden,
926849212,Telemark fylkeskommune samferdsel og samfunnsutvikling,929882989,147.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,Skien,Skien
974730138,Telemark fengsel Skien avdeling,911830868,147.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,84.230,Aktiviteter i rettsvesen og kriminalomsorg,Skien,Sandnes
974564769,Porsgrunn kommune nystrand hjemmetjenester,939991034,147.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.941,Sykepleietjenester og andre helsetjenester i hjemmet,Porsgrunn,Porsgrunn
973144421,Skagerrak sparebank,937891245,146.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,64.190,Banker og kredittforetak,Porsgrunn,Bamble
995803941,Maskineriet as avd Skien,912580202,146.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,82.200,Telefonvakttjenester og telefonsalg,Skien,Skien
982930510,Sykehuset Telemark hf dps nedre Telemark avd Porsgrunn,983975267,146.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.102,Psykiatriske sykehustjenester for voksne,Porsgrunn,Skien
972424978,Ulefos as avd ulefoss,981083032,145.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,24.510,Støping av jern,Nome,Nome
971773553,Elektro 4 AS,881489392,145.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,43.210,Elektrisk installasjonsarbeid,Skien,Skien
917088187,Westcontrol berget as cable & harness,945662506,141.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,27.320,Produksjon av andre elektroniske og elektriske ledninger og kabler,Notodden,Notodden
974564734,Brevik sykehjem,939991034,136.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Porsgrunn,Porsgrunn
998854083,Skien kommune stigertun,986433007,136.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.202,Omsorgstjenester i botilbud for personer med utviklingshemming eller med tilsvarende funksjonsnedsettelse,Skien,Skien
992132663,Bakeverket AS,992126191,135.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,10.710,Produksjon av brød og ferske konditorvarer,Porsgrunn,Bærum
974568071,Hjalmar johansen videregående skole,929882989,135.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,85.320,Videregående opplæring innenfor yrkesfaglige utdanningsprogram,Skien,Skien
874564702,Frednes sykehjem,939991034,135.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Porsgrunn,Porsgrunn
974730359,Statens vegvesen Skien kontorsted,971032081,134.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,Skien,Arendal
976824652,Skien kommune gulset hjemmetjeneste,986433007,133.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.941,Sykepleietjenester og andre helsetjenester i hjemmet,Skien,Skien
973145665,Gaustablikk høyfjellshotell,891680422,132.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,55.100,Drift av hoteller,Tinn,
974730707,Skatteetaten Skien,974761076,131.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,84.110,Generell offentlig administrasjon,Skien,Oslo
976824679,Skien kommune sentrum hjemmetjeneste,986433007,131.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.941,Sykepleietjenester og andre helsetjenester i hjemmet,Skien,Skien
974564726,Mule sykehjem,939991034,131.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Porsgrunn,Porsgrunn
919258772,Nis consulting AS,919160608,130.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,Porsgrunn,
974110849,Nel hydrogen electrolyser as avd Notodden,912185877,128.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,27.110,"Produksjon av elektromotorer, generatorer og transformatorer",Notodden,Notodden
988837512,Skien kommune klyve hjemmetjeneste,986433007,128.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.941,Sykepleietjenester og andre helsetjenester i hjemmet,Skien,Skien
986625925,Yara international asa avd Porsgrunn,986228608,126.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,20.150,Produksjon av gjødsel og nitrogenforbindelser,Porsgrunn,Porsgrunn
979329865,Tipp transport as avd Porsgrunn,979326416,126.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,49.410,Godstransport på vei,Porsgrunn,Porsgrunn
973391895,Håkanes maskin AS,946054224,125.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,43.120,Grunnarbeid,Tinn,
976824709,Skien kommune ytre gjerpen hjemmetjeneste,986433007,125.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.941,Sykepleietjenester og andre helsetjenester i hjemmet,Skien,Skien
973142844,Inovyn Norge as avd pvc fabrikk Porsgrunn,981701046,124.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,20.160,Produksjon av basisplast,Porsgrunn,Bamble
974145383,Gjensidige forsikring avd Skien,995568217,124.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,65.120,Skadeforsikring,Skien,Skien
876825422,Bamble kommune hjemmetjeneste,976821106,124.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.941,Sykepleietjenester og andre helsetjenester i hjemmet,Bamble,Bamble
986854274,Insider facility solutions as Skien,834327082,123.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,81.210,Rengjøring av bygninger,Skien,
995671190,Sykehuspartner avd Porsgrunn,914637651,123.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.101,Somatiske sykehustjenester,Porsgrunn,Drammen
974564696,St hansåsen sykehjem,939991034,123.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Porsgrunn,Porsgrunn
976824741,Skien kommune barneverntjenesten,974636247,121.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.991,Barneverntjenester,Skien,Skien
971964715,Emerson automation solutions as avd engrossalg,948310716,120.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,46.630,"Engroshandel med maskiner og utstyr til bergverksdrift, olje- og gassutvinning og bygge- og anleggsvirksomhet",Porsgrunn,Porsgrunn
975278115,Klyve skole,974636247,120.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,85.201,Ordinær grunnskoleundervisning,Skien,Skien
976825446,Bamble kommune vest - Bamble boliger,976821106,120.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.106,"Helse- og omsorgstjenester i bofelleskap, samlokaliserte omsorgsboliger og lignende",Bamble,Bamble
971911859,Telemark museum sti,970946047,120.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,91.212,Drift av kulturhistoriske museer,Skien,
974568012,Notodden videregående skole,929882989,118.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,85.310,Videregående opplæring innenfor studieforberedende utdanningsprogram,Notodden,Skien
975326217,Sykehuset Telemark hf bup grenland nord,983975267,117.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.104,Psykiatriske sykehustjenester for barn og ungdom,Skien,Skien
973102052,Iss facility services as avd renhold Porsgrunn,914791723,116.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,81.210,Rengjøring av bygninger,Porsgrunn,Porsgrunn
980095363,Manpower as avd Telemark,920968201,115.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,Porsgrunn,
992259930,Nav arbeid og ytelser avd Skien,999263550,115.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,84.300,Administrasjon av trygdeordninger underlagt offentlig forvaltning,Skien,Skien
974551055,Drangedal sjukeheim,994971395,115.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Drangedal,Drangedal
988837377,Haugsåsen bokollektiv,986433007,115.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.106,"Helse- og omsorgstjenester i bofelleskap, samlokaliserte omsorgsboliger og lignende",Skien,Skien
975278328,Kragerø skole,874636282,113.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,85.201,Ordinær grunnskoleundervisning,Kragerø,Kragerø
987582480,Sykehuset Telemark hf dps nedre Telemark avd Skien,983975267,111.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.102,Psykiatriske sykehustjenester for voksne,Skien,Skien
988086711,Porsgrunn kommune hjemmetjenesten sentrum,939991034,111.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.941,Sykepleietjenester og andre helsetjenester i hjemmet,Porsgrunn,Porsgrunn
977170389,Telenor Norge as kundesenter Skien,976967631,110.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,61.100,"Kabelbasert, satellittbasert og trådløs telekommunikasjon",Skien,
987419466,Porsgrunn kommune miljøarbeidertjenesten avd saturnvegen,939991034,110.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.104,Tjenester i avlastningsboliger/-institusjoner,Porsgrunn,Porsgrunn
971868333,Seltor AS,915617344,109.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,41.000,Oppføring av bygninger,Porsgrunn,
975297411,Sætre skole,974636255,109.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,85.201,Ordinær grunnskoleundervisning,Notodden,
872049142,Systemblokk AS,913289951,108.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,23.610,Produksjon av betongprodukter for bygge- og anleggsvirksomhet,Midt-Telemark,
871773122,Bandak AS,916242220,104.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,25.530,Bearbeiding av metaller,Nome,
971655550,Sweco Norge as Porsgrunn,967032271,104.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,71.121,Byggeteknisk konsulentvirksomhet,Porsgrunn,
974610302,Vinje sjukeheim,964964610,104.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Vinje,
992308001,"Skien helsehus avd a, 3/4 etg",986433007,103.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Skien,Skien
921258720,Spot AS,821116422,102.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,43.220,VVS-arbeid,Skien,
974512181,Sandvik transport AS,995203707,102.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,46.310,Engroshandel med frukt og grønnsaker,Notodden,Oslo
974564467,Porsgrunn kommune sentraladministrasjon,939991034,101.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,84.110,Generell offentlig administrasjon,Porsgrunn,Porsgrunn
976825640,Rjukan alders- og sykehjem,864963552,101.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Tinn,Tinn
874609072,Notevarp omsorgsboliger,920297293,101.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.106,"Helse- og omsorgstjenester i bofelleskap, samlokaliserte omsorgsboliger og lignende",Midt-Telemark,Midt-Telemark
974633221,Sykehuset Telemark hf Porsgrunn - somatikk,983975267,99.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.101,Somatiske sykehustjenester,Porsgrunn,Skien
988952486,Borgehaven bo- og rehabiliteringssenter avd omsorgsboliger,939991034,99.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.202,Omsorgstjenester i botilbud for personer med utviklingshemming eller med tilsvarende funksjonsnedsettelse,Porsgrunn,Porsgrunn
974600099,Kragerø kommune hjemmesykepleien,974640783,97.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.941,Sykepleietjenester og andre helsetjenester i hjemmet,Kragerø,Kragerø
983884040,Porsgrunn kommune barnevern,939991034,97.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.991,Barneverntjenester,Porsgrunn,Porsgrunn
979852444,Posten bring as Skien,984661185,96.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,53.100,Landsdekkende posttjenester,Skien,
971955589,Agility as avd røra,982732638,95.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,30.110,Bygging av sivile skip og flytende materiell,Skien,
979611374,Skagerak kraft as avd Porsgrunn,979563531,95.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,35.121,Produksjon av elektrisitet fra vannkraft,Porsgrunn,Porsgrunn
971797673,Laugstol as avd Telemark,964715378,95.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,43.210,Elektrisk installasjonsarbeid,Porsgrunn,Porsgrunn
988738891,Grenland rail as avd Skien,830036032,95.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,49.200,Godstransport med jernbane,Skien,
986579125,Notodden kommune nos avlastningssenter,876821052,95.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.104,Tjenester i avlastningsboliger/-institusjoner,Notodden,Notodden
988089583,Porsgrunn kommune renholdsavdelingen,939991034,94.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,81.100,Kombinerte tjenester tilknyttet eiendomsdrift,Porsgrunn,Porsgrunn
974720728,Forbrukertilsynet Porsgrunn,974761335,94.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,Porsgrunn,Skien
925959146,Bamble ungdomsskole,974636271,94.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,85.201,Ordinær grunnskoleundervisning,Bamble,Bamble
974559951,Melum bo- og servicesenter,986433007,93.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Skien,Skien
985530033,Stendi as regionskontor sør,985194653,93.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.991,Barneverntjenester,Skien,Bærum
874798932,Statkraft energi as avd region sør-norge dalen,987059729,92.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,35.121,Produksjon av elektrisitet fra vannkraft,Tokke,Oslo
972328847,Dnv imatis AS,963310439,92.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,62.100,Dataprogrammeringstjenester,Porsgrunn,
973802356,Nesbukti pleie- og omsorgssenter,974640996,90.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.102,Sykehjemstjenester,Seljord,
835418022,Porsgrunn kommune fritidskontaktordningen kultur,939991034,90.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.996,Andre sosialtjenester uten botilbud ellers,Porsgrunn,
974162040,Hrl entreprenør AS,987259760,89.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,41.000,Oppføring av bygninger,Porsgrunn,
975038726,Gumpens auto grenland as avd verksted langmyrvegen,918506519,89.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,95.310,Reparasjon og vedlikehold av motorvogner,Porsgrunn,Kristiansand
994306510,Pasientreiser hf avd Skien,918695079,88.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.101,Somatiske sykehustjenester,Skien,Skien
891227442,Himmelblå barnevern AS,815008502,88.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.991,Barneverntjenester,Skien,
972270148,Grep arbeid as avd floodmyrvegen,928214311,88.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,88.993,Arbeidstrening og varig tilrettelagt arbeid,Porsgrunn,
929387457,Vianode as avd Porsgrunn,925971154,87.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,23.990,Produksjon av andre ikke-metalliske mineralprodukter ikke nevnt annet sted,Porsgrunn,Porsgrunn
975278123,Lunde barneskole,974636247,87.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,85.201,Ordinær grunnskoleundervisning,Skien,Skien
974548542,Tinn kommune hjemmetjenesten distrikt 1,864963552,87.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.941,Sykepleietjenester og andre helsetjenester i hjemmet,Tinn,Tinn
973114913,Elis Norge as avd Skien,930151246,87.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,96.100,Vaskeri- og renserivirksomhet,Skien,Oslo
974305402,Isola as fabrikk eidanger,928764745,86.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,23.990,Produksjon av andre ikke-metalliske mineralprodukter ikke nevnt annet sted,Porsgrunn,
974188589,Nli grenland as avd brevik,982732662,86.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,25.530,Bearbeiding av metaller,Porsgrunn,
991643710,Norner AS,898736032,86.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,72.100,Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk,Porsgrunn,
987983256,Bamble kommune krogshavn omsorgsboliger,976821106,86.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,87.106,"Helse- og omsorgstjenester i bofelleskap, samlokaliserte omsorgsboliger og lignende",Bamble,Bamble
