Navn,Org. nr.,Overordnet enhet,Antall ansatte,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje
Flis og murmester AS,913817397,,10,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Murmester hansen & henriksen AS,925855545,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Kars klyve AS,911855461,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",,,,
Lassen auto AS,968389556,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",,,,
Stathelle auto AS,984152329,,10,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",,
Eurobus nordic AS,921025653,,10,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler",,,,
Bø bil og karosseri AS,926610430,,10,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",,,,
Slåtta bil AS,934215001,,10,2100,Private aksjeselskaper mv.,,Hjartdal,,Aksjeselskap,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",,,,
Kontram AS,984227949,,10,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,46.520,Engroshandel med elektronikkutstyr og telekommunikasjonsutstyr samt deler,,,,
Vinje motorsenter AS,918120238,,10,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,46.610,Engroshandel med maskiner og utstyr til jordbruk og skogbruk,,,,
Flom kjetting AS,938202222,,10,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,46.694,"Engroshandel med maskiner og utstyr til handel, transport og tjenesteyting ellers",,,,
Doormax AS,994829661,,10,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,46.739,Engroshandel med byggevarer ikke nevnt annet sted,,,,
Kng 18 AS,931210270,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Helsekost stathelle AS,926419021,,10,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,47.291,Butikkhandel med helsekost,,,,
K-konsult bensindrift AS,991693386,,10,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Stasjonsdrift blandkjenn AS,932291746,,10,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Vaa diesel auto AS,993500526,,10,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Øygarden 2 skjelsvik AS,928021548,,10,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Husfliden AS,847939222,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.510,Butikkhandel med tekstiler og utstyrsvarer,,,,
Husfliden AS,986367780,,10,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.510,Butikkhandel med tekstiler og utstyrsvarer,,,,
Frithjof johnsens eftf AS,913218981,,10,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,47.521,"Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre byggevarer",,,,
Nordbygdi handel AS,928026752,,10,2100,Private aksjeselskaper mv.,,Seljord,,Aksjeselskap,47.529,Butikkhandel med byggevarer ikke nevnt annet sted,,,,
Bo-senteret a/s,947570986,,10,2100,Private aksjeselskaper mv.,,Seljord,Seljord,Aksjeselskap,47.591,Butikkhandel med møbler,,,,
Intersport rjukan AS,943486220,,10,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,47.641,Butikkhandel med sportsutstyr,,,,
Skoies AS,824447012,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.641,Butikkhandel med sportsutstyr,,,,
Sport 1 Porsgrunn AS,924035838,,10,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.641,Butikkhandel med sportsutstyr,,,,
Motor huset AS,837954282,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.642,Butikkhandel med fritidsbåter og -utstyr,,,,
Paa hjørnet AS,988463000,,10,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,47.710,Butikkhandel med klær,,,,
Rafinique AS,947564285,,10,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,47.710,Butikkhandel med klær,,,,
Blomsterbutikken rjukan AS,998825660,,10,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,47.761,Butikkhandel med blomster og planter,,,,
Blomsterstemning AS,990118558,,10,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,47.761,Butikkhandel med blomster og planter,,,,
Lietorvet blomster AS,881126192,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.761,Butikkhandel med blomster og planter,,,,
Espen nilsen transport,996889823,,10,8200,Personlig næringsdrivende,,Tinn,,Enkeltpersonforetak,49.320,Drosjebiltransport,,,,
Jamaa taxi,920878067,,10,8200,Personlig næringsdrivende,,Porsgrunn,,Enkeltpersonforetak,49.320,Drosjebiltransport,,,,
Osman malik taxi,988791334,,10,8200,Personlig næringsdrivende,,Skien,,Enkeltpersonforetak,49.320,Drosjebiltransport,,,,
Halvorsen frakt & flytting AS,998432499,,10,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,49.420,Flyttetransport,,,,
Trond a kittilsen shipping AS,964922470,,10,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,50.203,Slepebåter,,,,
Høyergruppen AS,918560203,,10,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,52.292,Skipsmegling,,,,
Herkules kafe AS,988043877,,10,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
La bodega Skien AS,927181452,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Mr. wok Skien AS,993361747,,10,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
New agra AS,913086376,,10,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
New agra Skien AS,920363342,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Pizzeria seval AS,988270954,,10,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Hk handel AS,914058961,,10,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,56.102,Drift av gatekjøkken,,,,
Kragerø blad AS,978692362,,10,2100,Private aksjeselskaper mv.,,Kragerø,Kragerø,Aksjeselskap,58.140,Utgivelse av blader og tidsskrifter,,,,
Getonnet AS,998580706,,10,2100,Private aksjeselskaper mv.,,Nome,,Aksjeselskap,62.010,Programmeringstjenester,,,,
Mestercamp AS,917710473,,10,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,68.100,Kjøp og salg av egen fast eiendom,,,,
Fyresdal kurs og leirsted AS,997436563,,10,2100,Private aksjeselskaper mv.,,Fyresdal,Fyresdal,Aksjeselskap,68.209,Utleie av egen eller leid fast eiendom ellers,,,,
Kontorbygg AS,830463992,,10,1520,Kommunalt eide aksjeselskaper mv.,,Skien,,Aksjeselskap,68.209,Utleie av egen eller leid fast eiendom ellers,,,,
Telemark eiendomsmegling AS,925590711,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,68.310,Eiendomsmegling,,,,
Columbi regnskap AS,950070137,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,69.201,Regnskap og bokføring,,,,
Hjartdal og gransherad rekneskapskontor AS,971220988,,10,2100,Private aksjeselskaper mv.,,Hjartdal,Hjartdal,Aksjeselskap,69.201,Regnskap og bokføring,,,,
Økoråd Bamble AS,821551692,,10,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,69.201,Regnskap og bokføring,,,,
Telerevisjon AS,990174873,,10,2100,Private aksjeselskaper mv.,,Seljord,,Aksjeselskap,69.202,Revisjon,,,,
Telemark næringshage AS,998060338,,10,1520,Kommunalt eide aksjeselskaper mv.,,Kviteseid,,Aksjeselskap,70.220,Bedriftsrådgivning og annen administrativ rådgivning,,,,
Midtechnology AS,980254364,,10,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,71.129,Annen teknisk konsulentvirksomhet,,,,
Stressman engineering AS,996293955,,10,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,71.129,Annen teknisk konsulentvirksomhet,,,,
Mericon AS,959021740,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,72.190,Annen forskning og annet utviklingsarbeid innen naturvitenskap og teknikk,,,,
Grendrift AS,933455416,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,78.200,Utleie av arbeidskraft,,,,
Lgn renhold AS,986591877,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,81.210,Rengjøring av bygninger,,,,
Blue power AS,927159260,,10,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,81.220,Utvendig rengjøring av bygninger og industriell rengjøring,,,,
Gartner stian rennesund,858956692,,10,8200,Personlig næringsdrivende,,Skien,,Enkeltpersonforetak,81.300,Beplantning av hager og parkanlegg,,,,
Gartner'n AS,919501863,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,81.300,Beplantning av hager og parkanlegg,,,,
Prosales AS,928823687,,10,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted,,,,
Foreldreutvalget for grunnopplæring,989628011,872417842,10,6100,Statsforvaltningen,,Midt-Telemark,Midt-Telemark,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Gulset legekontor da,917094330,,10,2300,Personlige foretak,,Skien,Skien,Ansvarlig selskap med delt ansvar,86.211,Allmenn legetjeneste,,,,
Korvetten tannklinikk AS,989049682,,10,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,86.230,Tannhelsetjenester,,,,
Grep grenland AS,990060460,,10,1520,Kommunalt eide aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,88.993,Arbeidstrening for ordinært arbeidsmarked,,,,
Idea kompetanse AS,960319435,,10,1520,Kommunalt eide aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,88.993,Arbeidstrening for ordinært arbeidsmarked,85.599,Annen undervisning ikke nevnt annet sted,,
Iform treningssenter AS,998765323,,10,2100,Private aksjeselskaper mv.,,Bamble,Bamble,Aksjeselskap,93.130,Treningssentre,,,,
Bø sommarland AS,936387136,,10,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,93.210,Drift av fornøyelses- og temaparker,,,,
Fellesforbundet avdeling 8 Telemark,971100559,,10,7000,Ideelle organisasjoner,,Skien,,Forening/lag/innretning,94.200,Arbeidstakerorganisasjoner,71.121,Byggeteknisk konsulentvirksomhet,,
Der du bor - (ddb),992209208,,200000,7000,Ideelle organisasjoner,,Skien,Skien,Forening/lag/innretning,94.991,Aktiviteter i andre interesseorganisasjoner ikke nevnt annet sted,,,,
Ungt entreprenørskap Vestfold og Telemark,923012451,,100000,7000,Ideelle organisasjoner,,Skien,,Forening/lag/innretning,94.991,Aktiviteter i andre interesseorganisasjoner ikke nevnt annet sted,,,,
