Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Rogaland,5255.0,2.25437927545657,248.0,4.95306570800878,2010,august
Hordaland,6696.0,2.61530199998697,84.0,1.27041742286751,2010,august
Sogn og Fjordane,1324.0,2.36537835012787,182.0,15.936952714535902,2010,august
Møre og Romsdal,3305.0,2.48594231587858,-42.0,-1.25485509411413,2010,august
Sør-Trøndelag,4696.0,3.01784330702055,-461.0,-8.93930579794454,2010,august
Nord-Trøndelag,1874.0,2.80526743599454,-141.0,-6.99751861042183,2010,august
Nordland,3665.0,3.04713345098455,45.0,1.24309392265193,2010,august
Troms,2118.0,2.54749753832113,-228.0,-9.71867007672634,2010,august
Finnmark,1331.0,3.5062501213423305,-102.0,-7.11793440334961,2010,august
Ikke i et fylkesdistrikt,30.0,,1.0,3.44827586206896,2010,august
Riket,76101.0,2.94060038119858,177.0,0.23312786470681,2010,august
Akershus,6594.0,2.2750462538398,281.0,4.45113258355773,2010,desember
Oslo,11626.0,3.47783535829893,79.0,0.68416038797956,2010,desember
Hedmark,2661.0,2.7605035942825302,132.0,5.21945432977461,2010,desember
Oppland,2071.0,2.14734108937174,-61.0,-2.86116322701688,2010,desember
Buskerud,3523.0,2.53780082421402,183.0,5.4790419161676605,2010,desember
Vestfold,3637.0,3.01664209365478,119.0,3.38260375213189,2010,desember
Telemark,2703.0,3.12104882204828,106.0,4.08163265306122,2010,desember
Aust-Agder,1793.0,3.23067230921393,190.0,11.85277604491578,2010,desember
Vest-Agder,2535.0,2.87574746036615,80.0,3.25865580448065,2010,desember
Rogaland,5244.0,2.24966030837188,233.0,4.64977050488924,2010,desember
Hordaland,6419.0,2.50711223684534,580.0,9.93320774105155,2010,desember
Sogn og Fjordane,1062.0,1.89730499081254,77.0,7.81725888324873,2010,desember
Møre og Romsdal,2973.0,2.23621982000213,100.0,3.48068221371388,2010,desember
Sør-Trøndelag,4393.0,2.8231230084628,266.0,6.44535982553913,2010,desember
Nord-Trøndelag,1645.0,2.4624679467508104,-162.0,-8.965135583840619,2010,desember
Nordland,3248.0,2.70043368316448,142.0,4.57179652285898,2010,desember
Troms,1860.0,2.23717914130184,-98.0,-5.005107252298259,2010,desember
Finnmark,1114.0,2.93460753957577,-100.0,-8.23723228995057,2010,desember
Ikke i et fylkesdistrikt,32.0,,13.0,68.42105263157895,2010,desember
Riket,69935.0,2.70234146278134,2585.0,3.83815887156644,2010,desember
Akershus,7780.0,2.68423716331113,646.0,9.05522848331931,2010,juli
Oslo,13716.0,4.10304401982007,688.0,5.2809333742708,2010,juli
Hedmark,2768.0,2.87150467830666,-27.0,-0.96601073345259,2010,juli
Oppland,2164.0,2.2437692503140703,-314.0,-12.67150928167877,2010,juli
Buskerud,4153.0,2.9916227144368,205.0,5.19250253292806,2010,juli
Vestfold,4142.0,3.43550496340888,-166.0,-3.85329619312906,2010,juli
Telemark,2952.0,3.40855942385739,-114.0,-3.71819960861056,2010,juli
Aust-Agder,1991.0,3.58743366851363,86.0,4.51443569553805,2010,juli
Vest-Agder,2610.0,2.9608287461758,28.0,1.0844306738962,2010,juli
Rogaland,5228.0,2.2427963562487,233.0,4.66466466466466,2010,juli
Hordaland,6915.0,2.7008383109184497,175.0,2.59643916913946,2010,juli
Sogn og Fjordane,1363.0,2.43505339216336,185.0,15.70458404074703,2010,juli
Møre og Romsdal,3321.0,2.49797713495697,48.0,1.46654445462878,2010,juli
Sør-Trøndelag,4844.0,3.11295421192665,-304.0,-5.9052059052059,2010,juli
Nord-Trøndelag,2046.0,3.0627412881776,-42.0,-2.01149425287356,2010,juli
Nordland,3491.0,2.90246736081502,-232.0,-6.23153370937416,2010,juli
Troms,2246.0,2.7014539523462,-134.0,-5.63025210084033,2010,juli
Finnmark,1401.0,3.69065095417025,-40.0,-2.77585010409437,2010,juli
Ikke i et fylkesdistrikt,26.0,,1.0,4.0,2010,juli
Riket,78242.0,3.02333024567008,886.0,1.14535394798076,2010,juli
Akershus,7058.0,2.43513443427378,794.0,12.67560664112388,2010,juni
Oslo,12415.0,3.71385910659566,714.0,6.10204256046491,2010,juni
Hedmark,2559.0,2.65468947680157,40.0,1.5879317189360798,2010,juni
Oppland,1970.0,2.04261803286448,-249.0,-11.22127084272194,2010,juni
Buskerud,3860.0,2.78055951787287,328.0,9.28652321630804,2010,juni
Vestfold,3817.0,3.1659397502008004,-32.0,-0.8313847752663001,2010,juni
Telemark,2792.0,3.2238136556266297,73.0,2.68481059212945,2010,juni
Aust-Agder,1814.0,3.26851063520026,156.0,9.40892641737032,2010,juni
Vest-Agder,2496.0,2.83150519174514,-21.0,-0.83432657926102,2010,juni
Rogaland,5055.0,2.16857987391683,599.0,13.44254937163375,2010,juni
Hordaland,6215.0,2.42743457734753,131.0,2.15318869165023,2010,juni
Sogn og Fjordane,1205.0,2.15278014494266,208.0,20.86258776328987,2010,juni
Møre og Romsdal,2936.0,2.20838930088336,105.0,3.70893677145884,2010,juni
Sør-Trøndelag,4349.0,2.79484679349071,-285.0,-6.15019421665947,2010,juni
Nord-Trøndelag,1737.0,2.60018651884873,-139.0,-7.409381663113,2010,juni
Nordland,3216.0,2.6738284252022697,-139.0,-4.14307004470938,2010,juni
Troms,2072.0,2.49216945203087,-112.0,-5.12820512820512,2010,juni
Finnmark,1288.0,3.39297532403375,-2.0,-0.15503875968992,2010,juni
Ikke i et fylkesdistrikt,30.0,,7.0,,2010,juni
Riket,71627.0,2.76772162657666,2397.0,3.46237180413115,2010,juni
Akershus,6986.0,2.41029316489609,1044.0,17.56984180410636,2010,mai
Oslo,12007.0,3.59180880329393,1098.0,10.06508387569896,2010,mai
Hedmark,2543.0,2.6380911838633803,20.0,0.79270709472849,2010,mai
Oppland,2158.0,2.23754807864037,-222.0,-9.32773109243697,2010,mai
Buskerud,3740.0,2.69411725306854,258.0,7.40953475014359,2010,mai
Vestfold,3593.0,2.98014711094353,-46.0,-1.2640835394339098,2010,mai
Telemark,2794.0,3.22612297772952,149.0,5.63327032136105,2010,mai
Aust-Agder,1766.0,3.18202303294579,280.0,18.842530282637952,2010,mai
Vest-Agder,2330.0,2.64319194581978,116.0,5.2393857271906,2010,mai
Rogaland,5207.0,2.23378741908703,951.0,22.34492481203007,2010,mai
Hordaland,6106.0,2.3848617102629097,183.0,3.08965051494175,2010,mai
Sogn og Fjordane,1241.0,2.21709556836004,174.0,16.30740393626991,2010,mai
Møre og Romsdal,3010.0,2.26405033912089,115.0,3.97236614853195,2010,mai
Sør-Trøndelag,4266.0,2.74150756979337,-379.0,-8.15931108719052,2010,mai
Nord-Trøndelag,1835.0,2.74688673695303,-113.0,-5.800821355236129,2010,mai
Nordland,3152.0,2.62061790927784,-325.0,-9.34713833764739,2010,mai
Troms,2038.0,2.45127477955546,-210.0,-9.34163701067615,2010,mai
Finnmark,1355.0,3.5694732640261897,-110.0,-7.50853242320819,2010,mai
Ikke i et fylkesdistrikt,29.0,,7.0,31.818181818181817,2010,mai
Riket,70594.0,2.72780572279382,3052.0,4.51866986467679,2010,mai
Akershus,7632.0,2.6390473122191698,1747.0,29.68564146134239,2010,mars
Oslo,12500.0,3.77309347518522,1669.0,15.409472809528198,2010,mars
Hedmark,2892.0,2.96447224547199,100.0,3.58166189111747,2010,mars
Oppland,2423.0,2.49408555351638,-149.0,-5.793157076205279,2010,mars
Buskerud,4201.0,3.02108807208844,655.0,18.471517202481667,2010,mars
Vestfold,4153.0,3.4336997514565195,215.0,5.45962417470797,2010,mars
Telemark,3238.0,3.70791870126013,312.0,10.66302118933697,2010,mars
Aust-Agder,2040.0,3.65653067401744,419.0,25.84824182603331,2010,mars
Vest-Agder,2873.0,3.2634420217038005,478.0,19.95824634655532,2010,mars
Rogaland,6335.0,2.73483583069749,2031.0,47.18866171003718,2010,mars
Hordaland,7079.0,2.77521956077616,854.0,13.718875502008029,2010,mars
Sogn og Fjordane,1409.0,2.50289093673171,209.0,17.41666666666666,2010,mars
Møre og Romsdal,3478.0,2.6143813056492298,451.0,14.89924017178724,2010,mars
Sør-Trøndelag,5003.0,3.21294460509738,-2.0,-0.03996003996003,2010,mars
Nord-Trøndelag,2183.0,3.23489391600327,-77.0,-3.407079646017689,2010,mars
Nordland,3410.0,2.81069985132222,-175.0,-4.88145048814504,2010,mars
Troms,2269.0,2.70790585705715,-233.0,-9.31254996003197,2010,mars
Finnmark,1466.0,3.794307436270581,-37.0,-2.46174318030605,2010,mars
Ikke i et fylkesdistrikt,32.0,,11.0,52.38095238095239,2010,mars
Riket,79754.0,3.0798352349395297,9019.0,12.750406446596449,2010,mars
Akershus,6605.0,2.2788414477725,276.0,4.36087849581292,2010,november
Oslo,12164.0,3.63877423863308,917.0,8.15328532052992,2010,november
Hedmark,2506.0,2.59970763144382,-51.0,-1.99452483378959,2010,november
Oppland,1946.0,2.0177333461696803,-118.0,-5.71705426356589,2010,november
Buskerud,3465.0,2.4960203962252603,414.0,13.5693215339233,2010,november
Vestfold,3580.0,2.96936450241521,125.0,3.61794500723589,2010,november
Telemark,2679.0,3.09333695681366,253.0,10.42868920032976,2010,november
Aust-Agder,1748.0,3.14959018210036,177.0,11.26670910248249,2010,november
Vest-Agder,2489.0,2.82356427173624,32.0,1.3024013024013,2010,november
Rogaland,5174.0,2.2196305178329703,311.0,6.395229282336,2010,november
Hordaland,6133.0,2.3954072828435,613.0,11.10507246376811,2010,november
Sogn og Fjordane,1040.0,1.85800112094636,98.0,10.40339702760085,2010,november
Møre og Romsdal,2875.0,2.16250655314703,47.0,1.66195190947666,2010,november
Sør-Trøndelag,4369.0,2.8076996184780203,286.0,7.004653441097231,2010,november
Nord-Trøndelag,1588.0,2.37714230969014,-140.0,-8.101851851851851,2010,november
Nordland,3210.0,2.66883993933435,333.0,11.57455683003128,2010,november
Troms,1827.0,2.197487253311,-79.0,-4.14480587618048,2010,november
Finnmark,1112.0,2.92933894435212,-4.0,-0.3584229390681,2010,november
Ikke i et fylkesdistrikt,27.0,,14.0,107.6923076923077,2010,november
Riket,69366.0,2.68035487105584,4081.0,6.2510530749789295,2010,november
Akershus,7000.0,2.41512341171953,586.0,9.13626442157779,2010,oktober
Oslo,12619.0,3.77488425824653,1021.0,8.803241938265211,2010,oktober
Hedmark,2377.0,2.46588389462967,-155.0,-6.1216429699842,2010,oktober
Oppland,1990.0,2.0633552717768,-194.0,-8.88278388278388,2010,oktober
Buskerud,3437.0,2.47585053443758,317.0,10.16025641025641,2010,oktober
Vestfold,3614.0,2.9975651708739,-26.0,-0.71428571428571,2010,oktober
Telemark,2705.0,3.12335814415116,315.0,13.17991631799163,2010,oktober
Aust-Agder,1643.0,2.9603985521687,54.0,3.3983637507866504,2010,oktober
Vest-Agder,2430.0,2.75663366023264,-61.0,-2.44881573665194,2010,oktober
Rogaland,5149.0,2.2089055926405097,245.0,4.995921696574221,2010,oktober
Hordaland,6088.0,2.37783132854252,517.0,9.28020104110572,2010,oktober
Sogn og Fjordane,1013.0,1.80976455338333,82.0,8.80773361976369,2010,oktober
Møre og Romsdal,2899.0,2.1805587817646,-34.0,-1.15922263893624,2010,oktober
Sør-Trøndelag,4335.0,2.78584981599959,218.0,5.29511780422637,2010,oktober
Nord-Trøndelag,1543.0,2.3097799646422503,-151.0,-8.913813459267999,2010,oktober
Nordland,3171.0,2.63641478119291,212.0,7.16458262926664,2010,oktober
Troms,1802.0,2.16741764119673,-133.0,-6.87338501291989,2010,oktober
Finnmark,1162.0,3.0610538249434898,5.0,0.43215211754537,2010,oktober
Ikke i et fylkesdistrikt,30.0,,12.0,66.66666666666666,2010,oktober
Riket,69790.0,2.69673855276342,3364.0,5.06428205823021,2010,oktober
Akershus,7084.0,2.4441048926601603,614.0,9.489953632148367,2010,september
Oslo,12982.0,3.88347313103704,1064.0,8.92767242825977,2010,september
Hedmark,2494.0,2.58725891174018,-37.0,-1.46187277755827,2010,september
Oppland,1941.0,2.0125490364416,-156.0,-7.43919885550786,2010,september
Buskerud,3621.0,2.6083953404709,286.0,8.57571214392803,2010,september
Vestfold,3677.0,3.04981935066501,-49.0,-1.31508319914117,2010,september
Telemark,2735.0,3.15799797569443,259.0,10.460420032310171,2010,september
Aust-Agder,1828.0,3.29373618585782,127.0,7.46619635508524,2010,september
Vest-Agder,2500.0,2.8360428603216503,148.0,6.292517006802719,2010,september
Rogaland,5186.0,2.22477848192536,261.0,5.2994923857868,2010,september
Hordaland,6172.0,2.41063977657103,313.0,5.3422085680150095,2010,september
Sogn og Fjordane,1069.0,1.90981076758814,115.0,12.0545073375262,2010,september
Møre og Romsdal,2973.0,2.23621982000213,7.0,0.236008091706,2010,september
Sør-Trøndelag,4346.0,2.79291886974262,-30.0,-0.68555758683729,2010,september
Nord-Trøndelag,1613.0,2.41456583471675,-152.0,-8.611898016997161,2010,september
Nordland,3279.0,2.72620752681537,231.0,7.578740157480309,2010,september
Troms,1954.0,2.3502408828515,-39.0,-1.95684897139989,2010,september
Finnmark,1145.0,3.01627076554242,-65.0,-5.37190082644628,2010,september
Ikke i et fylkesdistrikt,34.0,,9.0,36.0,2010,september
Riket,71431.0,2.76014803786278,3276.0,4.80669063164844,2010,september
Østfold,4968.0,3.56163282655461,20.0,0.40420371867421,2011,april
Akershus,6998.0,2.41443337645904,-795.0,-10.20146285127678,2011,april
Oslo,11591.0,3.4673653567902,-1038.0,-8.21917808219178,2011,april
Hedmark,2790.0,2.8943273310966697,-39.0,-1.37857900318133,2011,april
Oppland,2405.0,2.49365297920765,-50.0,-2.0366598778004,2011,april
Buskerud,3786.0,2.72725345457687,-331.0,-8.03983483118775,2011,april
Vestfold,3919.0,3.2505417555768696,-222.0,-5.36102390726877,2011,april
Telemark,2797.0,3.2295869608838403,-307.0,-9.89046391752577,2011,april
Aust-Agder,1834.0,3.30454713613963,-3.0,-0.16330974414806,2011,april
Vest-Agder,2433.0,2.76003691166503,-278.0,-10.25451862781261,2011,april
Rogaland,4812.0,2.06433360104605,-1098.0,-18.57868020304568,2011,april
Hordaland,6365.0,2.48602109168415,-424.0,-6.245396965679769,2011,april
Sogn og Fjordane,1227.0,2.19208401480884,-178.0,-12.66903914590747,2011,april
Møre og Romsdal,3131.0,2.35506365840116,-250.0,-7.394262052647139,2011,april
Sør-Trøndelag,4609.0,2.96193351832575,-94.0,-1.99872421858388,2011,april
Nord-Trøndelag,1666.0,2.49390370777316,-488.0,-22.65552460538533,2011,april
Nordland,3457.0,2.87419927423017,-54.0,-1.53802335516946,2011,april
Troms,1985.0,2.3875272018732003,-352.0,-15.06204535729567,2011,april
Finnmark,1184.0,3.11900837240369,-311.0,-20.80267558528428,2011,april
Ikke i et fylkesdistrikt,38.0,,-3.0,-7.3170731707317,2011,april
Riket,71995.0,2.78194142579456,-6295.0,-8.04061821433133,2011,april
Østfold,4659.0,3.36992636483048,-382.0,-7.57786153540964,2011,august
Akershus,7090.0,2.43745655788043,-295.0,-3.99458361543669,2011,august
Oslo,11282.0,3.34079828917014,-2120.0,-15.81853454708252,2011,august
Hedmark,2788.0,2.9050027930434803,77.0,2.84028033935817,2011,august
Oppland,2140.0,2.22535368539212,35.0,1.66270783847981,2011,august
Buskerud,3688.0,2.6487914802685,-221.0,-5.65361985162445,2011,august
Vestfold,3978.0,3.3043449469650503,138.0,3.59375,2011,august
Telemark,3122.0,3.61564435808693,279.0,9.81357720717551,2011,august
Aust-Agder,1798.0,3.23060570191485,-107.0,-5.61679790026246,2011,august
Vest-Agder,2534.0,2.84707469703822,-132.0,-4.95123780945236,2011,august
Rogaland,4877.0,2.05753313210543,-378.0,-7.193149381541381,2011,august
Hordaland,6435.0,2.49203099992071,-261.0,-3.89784946236559,2011,august
Sogn og Fjordane,1139.0,2.02671624831939,-185.0,-13.97280966767371,2011,august
Møre og Romsdal,2983.0,2.23347629054104,-322.0,-9.74281391830559,2011,august
Sør-Trøndelag,4161.0,2.66718901949369,-535.0,-11.39267461669506,2011,august
Nord-Trøndelag,1684.0,2.53530743049076,-190.0,-10.13874066168623,2011,august
Nordland,3654.0,3.0402342048663,-11.0,-0.30013642564802,2011,august
Troms,1968.0,2.36842325687658,-150.0,-7.0821529745042495,2011,august
Finnmark,1339.0,3.52298230265754,8.0,0.60105184072126,2011,august
Ikke i et fylkesdistrikt,25.0,,-5.0,-16.66666666666666,2011,august
Riket,71344.0,2.74576770201313,-4757.0,-6.25090340468587,2011,august
Østfold,4342.0,3.14063538873019,-460.0,-9.57934194085797,2011,desember
Akershus,6051.0,2.08026087894704,-543.0,-8.23475887170154,2011,desember
Oslo,10079.0,2.98456886691596,-1547.0,-13.30638224668845,2011,desember
Hedmark,2394.0,2.49446796504523,-267.0,-10.03382187147688,2011,desember
Oppland,2127.0,2.21183518169581,56.0,2.70400772573635,2011,desember
Buskerud,3483.0,2.50155659592602,-40.0,-1.1353959693443,2011,desember
Vestfold,3495.0,2.90313866004094,-142.0,-3.9043167445697,2011,desember
Telemark,2844.0,3.29368755746291,141.0,5.21642619311875,2011,desember
Aust-Agder,1742.0,3.12998616948591,-51.0,-2.84439486893474,2011,desember
Vest-Agder,2371.0,2.6639361115539097,-164.0,-6.469428007889539,2011,desember
Rogaland,4380.0,1.84785628841948,-864.0,-16.47597254004576,2011,desember
Hordaland,5674.0,2.1973246143823,-745.0,-11.60616918523134,2011,desember
Sogn og Fjordane,980.0,1.74379448933538,-82.0,-7.721280602636529,2011,desember
Møre og Romsdal,2702.0,2.02308177574318,-271.0,-9.11537167843928,2011,desember
Sør-Trøndelag,3306.0,2.11913648124156,-1087.0,-24.74391076712952,2011,desember
Nord-Trøndelag,1512.0,2.27635679032187,-133.0,-8.08510638297872,2011,desember
Nordland,3212.0,2.67247735797224,-36.0,-1.10837438423645,2011,desember
Troms,1771.0,2.13134023776851,-89.0,-4.78494623655914,2011,desember
Finnmark,1159.0,3.04939244867818,45.0,4.03949730700179,2011,desember
Ikke i et fylkesdistrikt,31.0,,-1.0,-3.125,2011,desember
Riket,63655.0,2.4498464211657,-6280.0,-8.97976692643168,2011,desember
Akershus,7176.0,2.47584651464276,-133.0,-1.81967437405937,2011,februar
Oslo,12392.0,3.70697881988993,-12.0,-0.0967429861334999,2011,februar
Hedmark,2918.0,3.02711367460218,-46.0,-1.5519568151147098,2011,februar
Oppland,2472.0,2.56312272956395,22.0,0.8979591836734601,2011,februar
Buskerud,3959.0,2.85187438633645,-85.0,-2.10187932739861,2011,februar
Vestfold,4191.0,3.47614710324641,86.0,2.09500609013398,2011,februar
Telemark,3061.0,3.53441747846459,8.0,0.26203734032099,2011,februar
Aust-Agder,2060.0,3.7117595967544297,-50.0,-2.3696682464454897,2011,februar
Vest-Agder,2716.0,3.08107696345344,-227.0,-7.71321780496092,2011,februar
Rogaland,5567.0,2.38822634185856,-857.0,-13.34059775840597,2011,februar
Hordaland,6902.0,2.69576081300927,78.0,1.14302461899179,2011,februar
Sogn og Fjordane,1280.0,2.28677061039553,-32.0,-2.4390243902439,2011,februar
Møre og Romsdal,3503.0,2.63487320197358,84.0,2.4568587306229803,2011,februar
Sør-Trøndelag,4871.0,3.13030552565952,-53.0,-1.07636068237205,2011,februar
Nord-Trøndelag,1884.0,2.82023684600518,-316.0,-14.36363636363636,2011,februar
Nordland,3760.0,3.1261178105598697,241.0,6.848536516055689,2011,februar
Troms,2098.0,2.52344184862971,-70.0,-3.22878228782287,2011,februar
Finnmark,1237.0,3.2586261458305503,-203.0,-14.09722222222222,2011,februar
Ikke i et fylkesdistrikt,48.0,,4.0,9.09090909090909,2011,februar
Riket,77374.0,2.98979006708005,-1388.0,-1.7622711459841,2011,februar
Akershus,7338.0,2.53173937074256,-79.0,-1.06512066873398,2011,januar
Oslo,13019.0,3.89454141834627,78.0,0.60273549184761,2011,januar
Hedmark,3131.0,3.24807844934182,57.0,1.85426154847104,2011,januar
Oppland,2581.0,2.67614068163615,-211.0,-7.557306590257879,2011,januar
Buskerud,4180.0,3.01107222401778,61.0,1.48094197620781,2011,januar
Vestfold,4240.0,3.51678924308394,-81.0,-1.87456607266836,2011,januar
Telemark,3229.0,3.72840053510688,60.0,1.89334174818554,2011,januar
Aust-Agder,2197.0,3.95860962818907,137.0,6.6504854368932,2011,januar
Vest-Agder,2877.0,3.26371812365816,-113.0,-3.77926421404682,2011,januar
Rogaland,6063.0,2.6010088576771,-334.0,-5.22119743629826,2011,januar
Hordaland,7454.0,2.91135918576806,244.0,3.38418862690707,2011,januar
Sogn og Fjordane,1341.0,2.39574952229719,-26.0,-1.9019751280175496,2011,januar
Møre og Romsdal,3547.0,2.66796895443913,91.0,2.63310185185185,2011,januar
Sør-Trøndelag,5131.0,3.29739225049456,-112.0,-2.13618157543391,2011,januar
Nord-Trøndelag,1994.0,2.98490035612226,-199.0,-9.07432740538075,2011,januar
Nordland,3913.0,3.25332420019169,151.0,4.01382243487506,2011,januar
Troms,2231.0,2.68341218507764,-190.0,-7.8479966955803295,2011,januar
Finnmark,1371.0,3.61162202581543,-199.0,-12.67515923566879,2011,januar
Ikke i et fylkesdistrikt,51.0,,19.0,59.375,2011,januar
Riket,81281.0,3.14075951149396,-546.0,-0.66726141738057,2011,januar
Østfold,4777.0,3.45527757990882,-308.0,-6.05703048180924,2011,juli
Akershus,7227.0,2.4845555068832,-553.0,-7.107969151670949,2011,juli
Oslo,11887.0,3.51994941175018,-1829.0,-13.33479148439778,2011,juli
Hedmark,2759.0,2.8747857625563,-9.0,-0.3251445086705199,2011,juli
Oppland,2225.0,2.3137439018679697,61.0,2.81885397412199,2011,juli
Buskerud,3733.0,2.6811113329290404,-420.0,-10.11317120154105,2011,juli
Vestfold,4019.0,3.3384017953374903,-123.0,-2.96957991308546,2011,juli
Telemark,3058.0,3.5415248068641296,106.0,3.5907859078590696,2011,juli
Aust-Agder,1775.0,3.18927982252439,-216.0,-10.84881968859869,2011,juli
Vest-Agder,2491.0,2.79876206405769,-119.0,-4.55938697318007,2011,juli
Rogaland,4805.0,2.0271574122958,-423.0,-8.09104820198928,2011,juli
Hordaland,6575.0,2.54624768057167,-340.0,-4.91684743311641,2011,juli
Sogn og Fjordane,1175.0,2.09077400507049,-188.0,-13.79310344827586,2011,juli
Møre og Romsdal,3046.0,2.28064659101174,-275.0,-8.28063836193917,2011,juli
Sør-Trøndelag,4388.0,2.81269536590682,-456.0,-9.41370767960363,2011,juli
Nord-Trøndelag,1736.0,2.61359483333251,-310.0,-15.151515151515149,2011,juli
Nordland,3606.0,3.00029680972849,115.0,3.29418504726439,2011,juli
Troms,2022.0,2.43341048038844,-224.0,-9.97328584149599,2011,juli
Finnmark,1273.0,3.34933268953177,-128.0,-9.136331192005713,2011,juli
Ikke i et fylkesdistrikt,28.0,,2.0,7.69230769230769,2011,juli
Riket,72605.0,2.7942989460173697,-5637.0,-7.20457043531607,2011,juli
Østfold,4362.0,3.15510169637058,-381.0,-8.03289057558507,2011,juni
Akershus,6547.0,2.25077970161399,-511.0,-7.24001133465571,2011,juni
Oslo,10456.0,3.0962051862757503,-1959.0,-15.779299234796609,2011,juni
Hedmark,2477.0,2.58095119023268,-82.0,-3.2043767096522,2011,juni
Oppland,2012.0,2.0922484182284697,42.0,2.13197969543147,2011,juni
Buskerud,3467.0,2.49006509275783,-393.0,-10.18134715025906,2011,juni
Vestfold,3630.0,3.01527706321849,-187.0,-4.89913544668587,2011,juni
Telemark,2740.0,3.17324328672587,-52.0,-1.86246418338108,2011,juni
Aust-Agder,1674.0,3.00780530867934,-140.0,-7.71775082690187,2011,juni
Vest-Agder,2177.0,2.44596748833946,-319.0,-12.780448717948708,2011,juni
Rogaland,4471.0,1.88624782317888,-584.0,-11.55291790306627,2011,juni
Hordaland,6094.0,2.35997465633517,-121.0,-1.94690265486725,2011,juni
Sogn og Fjordane,954.0,1.69753055390404,-251.0,-20.8298755186722,2011,juni
Møre og Romsdal,2733.0,2.04629255851447,-203.0,-6.914168937329699,2011,juni
Sør-Trøndelag,3977.0,2.54924554927334,-372.0,-8.553690503564031,2011,juni
Nord-Trøndelag,1510.0,2.27334573636641,-227.0,-13.0685089234312,2011,juni
Nordland,3245.0,2.69993431712949,29.0,0.90174129353233,2011,juni
Troms,1829.0,2.20114132968865,-243.0,-11.72779922779922,2011,juni
Finnmark,1102.0,2.89942232825138,-186.0,-14.44099378881987,2011,juni
Ikke i et fylkesdistrikt,30.0,,0.0,0.0,2011,juni
Riket,65487.0,2.52035335139232,-6140.0,-8.57218646599745,2011,juni
Østfold,4419.0,3.19633067314572,-19.0,-0.42812077512392,2011,mai
Akershus,6527.0,2.24390394263548,-459.0,-6.57028342399083,2011,mai
Oslo,10494.0,3.10745765347912,-1512.0,-12.59370314842578,2011,mai
Hedmark,2470.0,2.57365742425301,-73.0,-2.8706252457727,2011,mai
Oppland,2123.0,2.20767564209694,-35.0,-1.62187210379981,2011,mai
Buskerud,3428.0,2.46205455378536,-312.0,-8.34224598930481,2011,mai
Vestfold,3535.0,2.93636485357503,-58.0,-1.6142499304202602,2011,mai
Telemark,2415.0,2.79685494067262,-379.0,-13.56478167501789,2011,mai
Aust-Agder,1526.0,2.74188225868857,-240.0,-13.59003397508493,2011,mai
Vest-Agder,2137.0,2.40102550417153,-193.0,-8.2832618025751,2011,mai
Rogaland,4424.0,1.86641922830315,-783.0,-15.03744958709429,2011,mai
Hordaland,5803.0,2.24728141298211,-303.0,-4.96233213232885,2011,mai
Sogn og Fjordane,1019.0,1.8131903924824,-222.0,-17.888799355358582,2011,mai
