Nivå,Geografisk enhet,Kjønn,Alder,Antall personer,Andel av befolkningen,Dato
Landet,Landet,Menn,18 - 29 år,20329,4.77,2015-01-01
Landet,Landet,Begge kjønn,18 - 29 år,40882,4.91,2015-01-01
Landet,Landet,Kvinner,18 - 29 år,20553,5.06,2015-01-01
Landet,Landet,Menn,18 - 29 år,20426,4.79,2015-02-01
Landet,Landet,Begge kjønn,18 - 29 år,41130,4.94,2015-02-01
Landet,Landet,Kvinner,18 - 29 år,20704,5.09,2015-02-01
Landet,Landet,Menn,18 - 29 år,20596,4.83,2015-03-01
Landet,Landet,Begge kjønn,18 - 29 år,41420,4.97,2015-03-01
Landet,Landet,Kvinner,18 - 29 år,20824,5.12,2015-03-01
Landet,Landet,Begge kjønn,18 - 29 år,41797,5.01,2015-04-01
Landet,Landet,Menn,18 - 29 år,20765,4.87,2015-04-01
Landet,Landet,Kvinner,18 - 29 år,21032,5.17,2015-04-01
Landet,Landet,Menn,18 - 29 år,20808,4.88,2015-05-01
Landet,Landet,Begge kjønn,18 - 29 år,41903,5.03,2015-05-01
Landet,Landet,Kvinner,18 - 29 år,21095,5.18,2015-05-01
Landet,Landet,Kvinner,18 - 29 år,21141,5.2,2015-06-01
Landet,Landet,Menn,18 - 29 år,20907,4.89,2015-06-01
Landet,Landet,Begge kjønn,18 - 29 år,42048,5.04,2015-06-01
Landet,Landet,Begge kjønn,18 - 29 år,42104,5.04,2015-07-01
Landet,Landet,Menn,18 - 29 år,20922,4.89,2015-07-01
Landet,Landet,Kvinner,18 - 29 år,21182,5.2,2015-07-01
Landet,Landet,Begge kjønn,18 - 29 år,41699,4.99,2015-08-01
Landet,Landet,Menn,18 - 29 år,20714,4.83,2015-08-01
Landet,Landet,Kvinner,18 - 29 år,20985,5.15,2015-08-01
Landet,Landet,Menn,18 - 29 år,20628,4.8,2015-09-01
Landet,Landet,Kvinner,18 - 29 år,20968,5.13,2015-09-01
Landet,Landet,Begge kjønn,18 - 29 år,41596,4.96,2015-09-01
Landet,Landet,Kvinner,18 - 29 år,21048,5.14,2015-10-01
Landet,Landet,Menn,18 - 29 år,20673,4.81,2015-10-01
Landet,Landet,Begge kjønn,18 - 29 år,41721,4.97,2015-10-01
Landet,Landet,Menn,18 - 29 år,20706,4.81,2015-11-01
Landet,Landet,Kvinner,18 - 29 år,21150,5.16,2015-11-01
Landet,Landet,Begge kjønn,18 - 29 år,41856,4.98,2015-11-01
Landet,Landet,Begge kjønn,18 - 29 år,41959,5.0,2015-12-01
Landet,Landet,Kvinner,18 - 29 år,21230,5.19,2015-12-01
Landet,Landet,Menn,18 - 29 år,20729,4.82,2015-12-01
Landet,Landet,Menn,18 - 29 år,20721,4.82,2016-01-01
Landet,Landet,Kvinner,18 - 29 år,21238,5.19,2016-01-01
Landet,Landet,Begge kjønn,18 - 29 år,41959,5.0,2016-01-01
Landet,Landet,Kvinner,18 - 29 år,21283,5.2,2016-02-01
Landet,Landet,Menn,18 - 29 år,20794,4.83,2016-02-01
Landet,Landet,Begge kjønn,18 - 29 år,42077,5.01,2016-02-01
Landet,Landet,Kvinner,18 - 29 år,21321,5.21,2016-03-01
Landet,Landet,Begge kjønn,18 - 29 år,42164,5.02,2016-03-01
Landet,Landet,Menn,18 - 29 år,20843,4.84,2016-03-01
Landet,Landet,Menn,18 - 29 år,20869,4.85,2016-04-01
Landet,Landet,Begge kjønn,18 - 29 år,42226,5.03,2016-04-01
Landet,Landet,Kvinner,18 - 29 år,21357,5.22,2016-04-01
Landet,Landet,Kvinner,18 - 29 år,21414,5.24,2016-05-01
Landet,Landet,Begge kjønn,18 - 29 år,42399,5.05,2016-05-01
Landet,Landet,Menn,18 - 29 år,20985,4.87,2016-05-01
Landet,Landet,Kvinner,18 - 29 år,21491,5.25,2016-06-01
Landet,Landet,Menn,18 - 29 år,21090,4.89,2016-06-01
Landet,Landet,Begge kjønn,18 - 29 år,42581,5.07,2016-06-01
Landet,Landet,Begge kjønn,18 - 29 år,42569,5.07,2016-07-01
Landet,Landet,Menn,18 - 29 år,21067,4.89,2016-07-01
Landet,Landet,Kvinner,18 - 29 år,21502,5.25,2016-07-01
Landet,Landet,Menn,18 - 29 år,20838,4.83,2016-08-01
Landet,Landet,Kvinner,18 - 29 år,21269,5.19,2016-08-01
Landet,Landet,Begge kjønn,18 - 29 år,42107,5.01,2016-08-01
Landet,Landet,Menn,18 - 29 år,20799,4.81,2016-09-01
Landet,Landet,Kvinner,18 - 29 år,21219,5.18,2016-09-01
Landet,Landet,Begge kjønn,18 - 29 år,42018,4.99,2016-09-01
Landet,Landet,Kvinner,18 - 29 år,21193,5.16,2016-10-01
Landet,Landet,Menn,18 - 29 år,20833,4.81,2016-10-01
Landet,Landet,Begge kjønn,18 - 29 år,42026,4.98,2016-10-01
Landet,Landet,Begge kjønn,18 - 29 år,42331,5.02,2016-11-01
Landet,Landet,Menn,18 - 29 år,20930,4.84,2016-11-01
Landet,Landet,Kvinner,18 - 29 år,21401,5.22,2016-11-01
Landet,Landet,Menn,18 - 29 år,21002,4.85,2016-12-01
Landet,Landet,Kvinner,18 - 29 år,21499,5.24,2016-12-01
Landet,Landet,Begge kjønn,18 - 29 år,42501,5.04,2016-12-01
Landet,Landet,Menn,18 - 29 år,21080,4.87,2017-01-01
Landet,Landet,Begge kjønn,18 - 29 år,42663,5.06,2017-01-01
Landet,Landet,Kvinner,18 - 29 år,21583,5.26,2017-01-01
Landet,Landet,Kvinner,18 - 29 år,21688,5.29,2017-02-01
Landet,Landet,Menn,18 - 29 år,21166,4.89,2017-02-01
Landet,Landet,Begge kjønn,18 - 29 år,42854,5.08,2017-02-01
Landet,Landet,Begge kjønn,18 - 29 år,42892,5.08,2017-03-01
Landet,Landet,Kvinner,18 - 29 år,21696,5.29,2017-03-01
Landet,Landet,Menn,18 - 29 år,21196,4.89,2017-03-01
Landet,Landet,Begge kjønn,18 - 29 år,42857,5.08,2017-04-01
Landet,Landet,Kvinner,18 - 29 år,21655,5.28,2017-04-01
Landet,Landet,Menn,18 - 29 år,21202,4.89,2017-04-01
Landet,Landet,Kvinner,18 - 29 år,21629,5.27,2017-05-01
Landet,Landet,Begge kjønn,18 - 29 år,42830,5.08,2017-05-01
Landet,Landet,Menn,18 - 29 år,21201,4.89,2017-05-01
Landet,Landet,Kvinner,18 - 29 år,21591,5.26,2017-06-01
Landet,Landet,Menn,18 - 29 år,21125,4.87,2017-06-01
Landet,Landet,Begge kjønn,18 - 29 år,42716,5.06,2017-06-01
Landet,Landet,Begge kjønn,18 - 29 år,42703,5.06,2017-07-01
Landet,Landet,Menn,18 - 29 år,21117,4.87,2017-07-01
Landet,Landet,Kvinner,18 - 29 år,21586,5.26,2017-07-01
Landet,Landet,Menn,18 - 29 år,20897,4.82,2017-08-01
Landet,Landet,Kvinner,18 - 29 år,21345,5.2,2017-08-01
Landet,Landet,Begge kjønn,18 - 29 år,42242,5.0,2017-08-01
Landet,Landet,Kvinner,18 - 29 år,21211,5.17,2017-09-01
Landet,Landet,Begge kjønn,18 - 29 år,41898,4.96,2017-09-01
Landet,Landet,Menn,18 - 29 år,20687,4.76,2017-09-01
Landet,Landet,Begge kjønn,18 - 29 år,41820,4.95,2017-10-01
Landet,Landet,Menn,18 - 29 år,20575,4.73,2017-10-01
Landet,Landet,Kvinner,18 - 29 år,21245,5.17,2017-10-01
Landet,Landet,Begge kjønn,18 - 29 år,41836,4.95,2017-11-01
Landet,Landet,Kvinner,18 - 29 år,21297,5.19,2017-11-01
Landet,Landet,Menn,18 - 29 år,20539,4.72,2017-11-01
Landet,Landet,Begge kjønn,18 - 29 år,41779,4.94,2017-12-01
Landet,Landet,Menn,18 - 29 år,20500,4.71,2017-12-01
Landet,Landet,Kvinner,18 - 29 år,21279,5.18,2017-12-01
Landet,Landet,Begge kjønn,18 - 29 år,41596,4.92,2018-01-01
Landet,Landet,Menn,18 - 29 år,20437,4.7,2018-01-01
Landet,Landet,Kvinner,18 - 29 år,21159,5.15,2018-01-01
Landet,Landet,Begge kjønn,18 - 29 år,41572,4.91,2018-02-01
Landet,Landet,Menn,18 - 29 år,20430,4.7,2018-02-01
Landet,Landet,Kvinner,18 - 29 år,21142,5.15,2018-02-01
Landet,Landet,Kvinner,18 - 29 år,21108,5.14,2018-03-01
Landet,Landet,Menn,18 - 29 år,20393,4.69,2018-03-01
Landet,Landet,Begge kjønn,18 - 29 år,41501,4.91,2018-03-01
Landet,Landet,Menn,18 - 29 år,20456,4.71,2018-04-01
Landet,Landet,Begge kjønn,18 - 29 år,41529,4.92,2018-04-01
Landet,Landet,Kvinner,18 - 29 år,21073,5.13,2018-04-01
Landet,Landet,Begge kjønn,18 - 29 år,41581,4.92,2018-05-01
Landet,Landet,Menn,18 - 29 år,20522,4.72,2018-05-01
Landet,Landet,Kvinner,18 - 29 år,21059,5.13,2018-05-01
Landet,Landet,Begge kjønn,18 - 29 år,41764,4.95,2018-06-01
Landet,Landet,Kvinner,18 - 29 år,21130,5.16,2018-06-01
Landet,Landet,Menn,18 - 29 år,20634,4.75,2018-06-01
Landet,Landet,Menn,18 - 29 år,20557,4.73,2018-07-01
Landet,Landet,Kvinner,18 - 29 år,21033,5.13,2018-07-01
Landet,Landet,Begge kjønn,18 - 29 år,41590,4.93,2018-07-01
Landet,Landet,Begge kjønn,18 - 29 år,41220,4.88,2018-08-01
Landet,Landet,Kvinner,18 - 29 år,20820,5.08,2018-08-01
Landet,Landet,Menn,18 - 29 år,20400,4.69,2018-08-01
Landet,Landet,Kvinner,18 - 29 år,20630,5.03,2018-09-01
Landet,Landet,Menn,18 - 29 år,20286,4.67,2018-09-01
Landet,Landet,Begge kjønn,18 - 29 år,40916,4.84,2018-09-01
Landet,Landet,Kvinner,18 - 29 år,20596,5.02,2018-10-01
Landet,Landet,Begge kjønn,18 - 29 år,40832,4.83,2018-10-01
Landet,Landet,Menn,18 - 29 år,20236,4.65,2018-10-01
Landet,Landet,Kvinner,18 - 29 år,20624,5.02,2018-11-01
Landet,Landet,Menn,18 - 29 år,20330,4.67,2018-11-01
Landet,Landet,Begge kjønn,18 - 29 år,40954,4.84,2018-11-01
Landet,Landet,Begge kjønn,18 - 29 år,40994,4.85,2018-12-01
Landet,Landet,Menn,18 - 29 år,20369,4.68,2018-12-01
Landet,Landet,Kvinner,18 - 29 år,20625,5.03,2018-12-01
Landet,Landet,Menn,18 - 29 år,20437,4.7,2019-01-01
Landet,Landet,Kvinner,18 - 29 år,20664,5.04,2019-01-01
Landet,Landet,Begge kjønn,18 - 29 år,41101,4.87,2019-01-01
Landet,Landet,Begge kjønn,18 - 29 år,41327,4.89,2019-02-01
Landet,Landet,Menn,18 - 29 år,20552,4.73,2019-02-01
Landet,Landet,Kvinner,18 - 29 år,20775,5.07,2019-02-01
Landet,Landet,Begge kjønn,18 - 29 år,41582,4.93,2019-03-01
Landet,Landet,Menn,18 - 29 år,20670,4.76,2019-03-01
Landet,Landet,Kvinner,18 - 29 år,20912,5.1,2019-03-01
Landet,Landet,Menn,18 - 29 år,20725,4.77,2019-04-01
Landet,Landet,Kvinner,18 - 29 år,20946,5.12,2019-04-01
Landet,Landet,Begge kjønn,18 - 29 år,41671,4.94,2019-04-01
Landet,Landet,Menn,18 - 29 år,20823,4.8,2019-05-01
Landet,Landet,Kvinner,18 - 29 år,20944,5.12,2019-05-01
Landet,Landet,Begge kjønn,18 - 29 år,41767,4.95,2019-05-01
Landet,Landet,Begge kjønn,18 - 29 år,41852,4.97,2019-06-01
Landet,Landet,Menn,18 - 29 år,20857,4.81,2019-06-01
Landet,Landet,Kvinner,18 - 29 år,20995,5.13,2019-06-01
Landet,Landet,Menn,18 - 29 år,20832,4.81,2019-07-01
Landet,Landet,Kvinner,18 - 29 år,21007,5.14,2019-07-01
Landet,Landet,Begge kjønn,18 - 29 år,41839,4.97,2019-07-01
Landet,Landet,Kvinner,18 - 29 år,20819,5.1,2019-08-01
Landet,Landet,Begge kjønn,18 - 29 år,41523,4.93,2019-08-01
Landet,Landet,Menn,18 - 29 år,20704,4.78,2019-08-01
Landet,Landet,Begge kjønn,18 - 29 år,41334,4.91,2019-09-01
Landet,Landet,Kvinner,18 - 29 år,20692,5.07,2019-09-01
Landet,Landet,Menn,18 - 29 år,20642,4.77,2019-09-01
Landet,Landet,Kvinner,18 - 29 år,20681,5.07,2019-10-01
Landet,Landet,Begge kjønn,18 - 29 år,41376,4.92,2019-10-01
Landet,Landet,Menn,18 - 29 år,20695,4.78,2019-10-01
Landet,Landet,Menn,18 - 29 år,20818,4.8,2019-11-01
Landet,Landet,Begge kjønn,18 - 29 år,41610,4.94,2019-11-01
Landet,Landet,Kvinner,18 - 29 år,20792,5.09,2019-11-01
Landet,Landet,Menn,18 - 29 år,20931,4.83,2019-12-01
Landet,Landet,Kvinner,18 - 29 år,20867,5.11,2019-12-01
Landet,Landet,Begge kjønn,18 - 29 år,41798,4.97,2019-12-01
Landet,Landet,Kvinner,18 - 29 år,20912,5.13,2020-01-01
Landet,Landet,Begge kjønn,18 - 29 år,41946,4.99,2020-01-01
Landet,Landet,Menn,18 - 29 år,21034,4.86,2020-01-01
Landet,Landet,Begge kjønn,18 - 29 år,42251,5.03,2020-02-01
Landet,Landet,Menn,18 - 29 år,21247,4.91,2020-02-01
Landet,Landet,Kvinner,18 - 29 år,21004,5.15,2020-02-01
Landet,Landet,Menn,18 - 29 år,21425,4.96,2020-03-01
Landet,Landet,Begge kjønn,18 - 29 år,42679,5.09,2020-03-01
Landet,Landet,Kvinner,18 - 29 år,21254,5.22,2020-03-01
Landet,Landet,Menn,18 - 29 år,21411,4.97,2020-04-01
Landet,Landet,Begge kjønn,18 - 29 år,42679,5.09,2020-04-01
Landet,Landet,Kvinner,18 - 29 år,21268,5.23,2020-04-01
Landet,Landet,Begge kjønn,18 - 29 år,42598,5.1,2020-05-01
Landet,Landet,Menn,18 - 29 år,21349,4.96,2020-05-01
Landet,Landet,Kvinner,18 - 29 år,21249,5.24,2020-05-01
Landet,Landet,Begge kjønn,18 - 29 år,42734,5.12,2020-06-01
Landet,Landet,Kvinner,18 - 29 år,21282,5.26,2020-06-01
Landet,Landet,Menn,18 - 29 år,21452,5.0,2020-06-01
Landet,Landet,Kvinner,18 - 29 år,21325,5.27,2020-07-01
Landet,Landet,Begge kjønn,18 - 29 år,42781,5.13,2020-07-01
Landet,Landet,Menn,18 - 29 år,21456,5.0,2020-07-01
Landet,Landet,Kvinner,18 - 29 år,21244,5.26,2020-08-01
Landet,Landet,Begge kjønn,18 - 29 år,42597,5.11,2020-08-01
Landet,Landet,Menn,18 - 29 år,21353,4.98,2020-08-01
Landet,Landet,Menn,18 - 29 år,21372,4.98,2020-09-01
Landet,Landet,Kvinner,18 - 29 år,21280,5.27,2020-09-01
Landet,Landet,Begge kjønn,18 - 29 år,42652,5.12,2020-09-01
Landet,Landet,Kvinner,18 - 29 år,21395,5.3,2020-10-01
Landet,Landet,Menn,18 - 29 år,21513,5.02,2020-10-01
Landet,Landet,Begge kjønn,18 - 29 år,42908,5.15,2020-10-01
Landet,Landet,Menn,18 - 29 år,21687,5.06,2020-11-01
Landet,Landet,Begge kjønn,18 - 29 år,43259,5.2,2020-11-01
Landet,Landet,Kvinner,18 - 29 år,21572,5.35,2020-11-01
Landet,Landet,Kvinner,18 - 29 år,21694,5.38,2020-12-01
Landet,Landet,Begge kjønn,18 - 29 år,43527,5.24,2020-12-01
Landet,Landet,Menn,18 - 29 år,21833,5.1,2020-12-01
Landet,Landet,Menn,18 - 29 år,21925,5.13,2021-01-01
Landet,Landet,Begge kjønn,18 - 29 år,43678,5.26,2021-01-01
Landet,Landet,Kvinner,18 - 29 år,21753,5.4,2021-01-01
Landet,Landet,Menn,18 - 29 år,22087,5.17,2021-02-01
Landet,Landet,Kvinner,18 - 29 år,21880,5.44,2021-02-01
Landet,Landet,Begge kjønn,18 - 29 år,43967,5.3,2021-02-01
Landet,Landet,Kvinner,18 - 29 år,21967,5.46,2021-03-01
Landet,Landet,Begge kjønn,18 - 29 år,44230,5.34,2021-03-01
Landet,Landet,Menn,18 - 29 år,22263,5.21,2021-03-01
Landet,Landet,Begge kjønn,18 - 29 år,44372,5.36,2021-04-01
Landet,Landet,Kvinner,18 - 29 år,22008,5.49,2021-04-01
Landet,Landet,Menn,18 - 29 år,22364,5.25,2021-04-01
Landet,Landet,Begge kjønn,18 - 29 år,44317,5.36,2021-05-01
Landet,Landet,Kvinner,18 - 29 år,21951,5.48,2021-05-01
Landet,Landet,Menn,18 - 29 år,22366,5.26,2021-05-01
Landet,Landet,Kvinner,18 - 29 år,22091,5.52,2021-06-01
Landet,Landet,Begge kjønn,18 - 29 år,44664,5.41,2021-06-01
Landet,Landet,Menn,18 - 29 år,22573,5.31,2021-06-01
Landet,Landet,Begge kjønn,18 - 29 år,44701,5.42,2021-07-01
Landet,Landet,Kvinner,18 - 29 år,22143,5.53,2021-07-01
Landet,Landet,Menn,18 - 29 år,22558,5.31,2021-07-01
Landet,Landet,Menn,18 - 29 år,22256,5.24,2021-08-01
Landet,Landet,Kvinner,18 - 29 år,21989,5.49,2021-08-01
Landet,Landet,Begge kjønn,18 - 29 år,44245,5.36,2021-08-01
Landet,Landet,Begge kjønn,18 - 29 år,44027,5.33,2021-09-01
Landet,Landet,Menn,18 - 29 år,22122,5.2,2021-09-01
