År,Kommunenummer,Kommune,Enhet,Botid i Norge (2022),Verdensregion,Antall
2022-01-01,3819,Hjartdal,Prosent,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",66.7
2022-01-01,3815,Drangedal,Prosent,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",62.1
2022-01-01,3821,Kviteseid,Prosent,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",72.0
2022-01-01,3815,Drangedal,Personer,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",11
2022-01-01,3823,Fyresdal,Personer,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",8
2022-01-01,3815,Drangedal,Prosent,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",66.4
2022-01-01,3814,Kragerø,Prosent,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",18.4
2022-01-01,3820,Seljord,Prosent,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",12.3
2022-01-01,3818,Tinn,Personer,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",122
2022-01-01,3822,Nissedal,Personer,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",7
2022-01-01,3818,Tinn,Personer,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",30
2022-01-01,3818,Tinn,Prosent,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",74.8
2022-01-01,3807,Skien,Prosent,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",58.3
2022-01-01,3816,Nome,Personer,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",165
2022-01-01,3818,Tinn,Personer,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",103
2022-01-01,3825,Vinje,Prosent,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",74.0
2022-01-01,3812,Siljan,Prosent,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",74.5
2022-01-01,3808,Notodden,Prosent,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",30.0
2022-01-01,3814,Kragerø,Personer,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",178
2022-01-01,3825,Vinje,Prosent,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",66.1
2022-01-01,3819,Hjartdal,Personer,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",6
2022-01-01,3815,Drangedal,Personer,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",11
2022-01-01,3825,Vinje,Personer,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",39
2022-01-01,3814,Kragerø,Prosent,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",66.2
2022-01-01,3821,Kviteseid,Prosent,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",66.7
2022-01-01,3823,Fyresdal,Personer,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",7
2022-01-01,3807,Skien,Prosent,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",71.0
2022-01-01,3806,Porsgrunn,Personer,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",374
2022-01-01,3812,Siljan,Personer,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",28
2022-01-01,3808,Notodden,Prosent,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",58.1
2022-01-01,3825,Vinje,Prosent,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",43.7
2022-01-01,3812,Siljan,Prosent,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",77.8
2022-01-01,3807,Skien,Personer,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",1103
2022-01-01,3818,Tinn,Personer,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",37
2022-01-01,3807,Skien,Personer,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",170
2022-01-01,3808,Notodden,Personer,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",126
2022-01-01,3814,Kragerø,Prosent,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",64.2
2022-01-01,3823,Fyresdal,Prosent,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",77.8
2022-01-01,3806,Porsgrunn,Prosent,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",58.3
2022-01-01,3820,Seljord,Prosent,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",68.0
2022-01-01,3814,Kragerø,Prosent,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",69.9
2022-01-01,3823,Fyresdal,Prosent,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",61.5
2022-01-01,3814,Kragerø,Prosent,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",67.3
2022-01-01,3807,Skien,Personer,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",1993
2022-01-01,3816,Nome,Personer,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",34
2022-01-01,3820,Seljord,Prosent,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",50.0
2022-01-01,3820,Seljord,Prosent,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",73.3
2022-01-01,3815,Drangedal,Prosent,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",33.3
2022-01-01,3806,Porsgrunn,Prosent,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",31.0
2022-01-01,3807,Skien,Prosent,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",64.2
2022-01-01,3821,Kviteseid,Personer,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",7
2022-01-01,3819,Hjartdal,Personer,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",17
2022-01-01,3812,Siljan,Prosent,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",71.4
2022-01-01,3817,Midt-Telemark,Personer,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",191
2022-01-01,3812,Siljan,Personer,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",3
2022-01-01,3819,Hjartdal,Personer,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",4
2022-01-01,3820,Seljord,Personer,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",24
2022-01-01,3808,Notodden,Personer,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",45
2022-01-01,3817,Midt-Telemark,Prosent,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",59.7
2022-01-01,3806,Porsgrunn,Personer,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",161
2022-01-01,3817,Midt-Telemark,Personer,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",96
2022-01-01,3816,Nome,Prosent,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",63.1
2022-01-01,3807,Skien,Personer,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",231
2022-01-01,3806,Porsgrunn,Personer,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",227
2022-01-01,3824,Tokke,Prosent,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",76.9
2022-01-01,3816,Nome,Prosent,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",73.9
2022-01-01,3820,Seljord,Personer,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",14
2022-01-01,3818,Tinn,Prosent,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",70.7
2022-01-01,3822,Nissedal,Prosent,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",27.3
2022-01-01,3825,Vinje,Personer,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",31
2022-01-01,3822,Nissedal,Prosent,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",63.6
2022-01-01,3814,Kragerø,Personer,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",19
2022-01-01,3812,Siljan,Personer,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",7
2022-01-01,3818,Tinn,Prosent,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",56.1
2022-01-01,3820,Seljord,Personer,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",7
2022-01-01,3816,Nome,Prosent,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",78.0
2022-01-01,3819,Hjartdal,Personer,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",4
2022-01-01,3825,Vinje,Prosent,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",88.2
2022-01-01,3824,Tokke,Personer,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",6
2022-01-01,3808,Notodden,Personer,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",50
2022-01-01,3817,Midt-Telemark,Prosent,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",67.0
2022-01-01,3818,Tinn,Prosent,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",67.3
2022-01-01,3816,Nome,Prosent,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",65.0
2022-01-01,3819,Hjartdal,Prosent,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",42.9
2022-01-01,3825,Vinje,Prosent,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",86.4
2022-01-01,3819,Hjartdal,Prosent,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",73.9
2022-01-01,3816,Nome,Prosent,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",61.6
2022-01-01,3822,Nissedal,Personer,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",6
2022-01-01,3824,Tokke,Personer,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",49
2022-01-01,3816,Nome,Prosent,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",11.8
2022-01-01,3821,Kviteseid,Prosent,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",68.0
2022-01-01,3817,Midt-Telemark,Personer,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",179
2022-01-01,3824,Tokke,Prosent,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",72.1
2022-01-01,3819,Hjartdal,Prosent,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",16.7
2022-01-01,3807,Skien,Prosent,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",70.7
2022-01-01,3812,Siljan,Prosent,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",65.6
2022-01-01,3821,Kviteseid,Prosent,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",29.2
2022-01-01,3813,Bamble,Personer,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",98
2022-01-01,3815,Drangedal,Personer,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",20
2022-01-01,3825,Vinje,Personer,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",31
2022-01-01,3822,Nissedal,Personer,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",36
2022-01-01,3818,Tinn,Prosent,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",31.9
2022-01-01,3824,Tokke,Personer,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",20
2022-01-01,3815,Drangedal,Prosent,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",19.6
2022-01-01,3814,Kragerø,Personer,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",58
2022-01-01,3821,Kviteseid,Personer,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",18
2022-01-01,3822,Nissedal,Prosent,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",67.9
2022-01-01,3813,Bamble,Personer,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",53
2022-01-01,3807,Skien,Prosent,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",51.8
2022-01-01,3820,Seljord,Personer,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",63
2022-01-01,3807,Skien,Prosent,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",33.3
2022-01-01,3818,Tinn,Prosent,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",54.9
2022-01-01,3822,Nissedal,Personer,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",12
2022-01-01,3806,Porsgrunn,Prosent,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",62.4
2022-01-01,3823,Fyresdal,Personer,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",3
2022-01-01,3816,Nome,Personer,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",46
2022-01-01,3817,Midt-Telemark,Personer,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",101
2022-01-01,3817,Midt-Telemark,Prosent,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",37.1
2022-01-01,3818,Tinn,Personer,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",41
2022-01-01,3821,Kviteseid,Prosent,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",57.1
2022-01-01,3813,Bamble,Personer,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",200
2022-01-01,3815,Drangedal,Personer,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",18
2022-01-01,3817,Midt-Telemark,Personer,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",44
2022-01-01,3824,Tokke,Personer,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",11
2022-01-01,3819,Hjartdal,Prosent,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",44.4
2022-01-01,3813,Bamble,Prosent,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",65.1
2022-01-01,3819,Hjartdal,Prosent,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",71.4
2022-01-01,3817,Midt-Telemark,Prosent,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",66.7
2022-01-01,3813,Bamble,Personer,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",235
2022-01-01,3812,Siljan,Personer,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",21
2022-01-01,3817,Midt-Telemark,Personer,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",93
2022-01-01,3825,Vinje,Personer,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",38
2022-01-01,3817,Midt-Telemark,Prosent,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",47.4
2022-01-01,3814,Kragerø,Personer,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",76
2022-01-01,3817,Midt-Telemark,Prosent,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",20.9
2022-01-01,3820,Seljord,Personer,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",23
2022-01-01,3808,Notodden,Prosent,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",71.1
2022-01-01,3822,Nissedal,Prosent,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",58.3
2022-01-01,3813,Bamble,Personer,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",35
2022-01-01,3806,Porsgrunn,Prosent,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",74.2
2022-01-01,3813,Bamble,Prosent,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",72.5
2022-01-01,3821,Kviteseid,Personer,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",12
2022-01-01,3808,Notodden,Prosent,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",68.2
2022-01-01,3808,Notodden,Personer,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",81
2022-01-01,3815,Drangedal,Personer,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",31
2022-01-01,3824,Tokke,Prosent,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",19.4
2022-01-01,3822,Nissedal,Prosent,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",57.1
2022-01-01,3823,Fyresdal,Prosent,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",60.0
2022-01-01,3813,Bamble,Prosent,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",63.4
2022-01-01,3821,Kviteseid,Personer,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",12
2022-01-01,3824,Tokke,Prosent,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",63.6
2022-01-01,3821,Kviteseid,Prosent,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",57.1
2022-01-01,3812,Siljan,Personer,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",5
2022-01-01,3823,Fyresdal,Prosent,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",75.0
2022-01-01,3813,Bamble,Personer,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",45
2022-01-01,3808,Notodden,Personer,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",251
2022-01-01,3824,Tokke,Prosent,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",72.7
2022-01-01,3814,Kragerø,Personer,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",61
2022-01-01,3825,Vinje,Personer,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",15
2022-01-01,3820,Seljord,Personer,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",17
2022-01-01,3823,Fyresdal,Prosent,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",25.0
2022-01-01,3822,Nissedal,Personer,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",3
2022-01-01,3806,Porsgrunn,Personer,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",190
2022-01-01,3815,Drangedal,Personer,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",89
2022-01-01,3822,Nissedal,Prosent,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",30.0
2022-01-01,3823,Fyresdal,Prosent,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",71.4
2022-01-01,3806,Porsgrunn,Personer,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",1001
2022-01-01,3823,Fyresdal,Personer,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",35
2022-01-01,3822,Nissedal,Personer,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",14
2022-01-01,3816,Nome,Personer,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",45
2022-01-01,3815,Drangedal,Prosent,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",54.4
2022-01-01,3819,Hjartdal,Personer,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",12
2022-01-01,3824,Tokke,Personer,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",14
2022-01-01,3818,Tinn,Personer,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",39
2022-01-01,3824,Tokke,Prosent,0-4 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",44.0
2022-01-01,3819,Hjartdal,Personer,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",10
2022-01-01,3813,Bamble,Prosent,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",66.3
2022-01-01,3807,Skien,Personer,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",514
2022-01-01,3806,Porsgrunn,Personer,10+ år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",647
2022-01-01,3808,Notodden,Personer,10+ år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",255
2022-01-01,3807,Skien,Personer,5-9 år,"Gruppe 1-land (EU, Storbritannia, USA osv.)",325
2022-01-01,3813,Bamble,Prosent,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",51.3
2022-01-01,3823,Fyresdal,Personer,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",3
2022-01-01,3813,Bamble,Prosent,0-4 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",26.3
2022-01-01,3824,Tokke,Personer,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",16
2022-01-01,3821,Kviteseid,Personer,5-9 år,"Gruppe 2-land (Asia, Afrika, Latin-Amerika osv.)",16
