Organisasjonsnummer,Navn,Nivå enhetsregisteret,Antall ansatte
974633221,Sykehuset Telemark hf Porsgrunn - somatikk,3,97.0
979611374,Skagerak kraft as avd Porsgrunn,3,97.0
992308001,"Skien helsehus avd a, 3/4 etg",3,96.0
983884040,Porsgrunn kommune barnevern,3,96.0
976824687,Skien kommune administrasjonen helse og velferd,3,96.0
988738891,Grenland rail as avd Skien,3,95.0
973802356,Nesbukti pleie- og omsorgssenter,3,95.0
971955589,Agility as avd røra,3,94.0
989086642,At skog sa,1,94.0
988952486,Borgehaven bo- og rehabiliteringssenter avd omsorgsboliger,3,94.0
986579125,Notodden kommune nos avlastningssenter,3,93.0
975292789,Stridsklev skole,3,92.0
972328847,Dnv imatis AS,3,92.0
910402722,Alf johansen AS,1,92.0
919767367,Sac drift AS,1,92.0
974548542,Tinn kommune hjemmetjenesten distrikt 1,3,91.0
975278123,Lunde barneskole,3,90.0
974600099,Kragerø kommune hjemmesykepleien,3,90.0
988089583,Porsgrunn kommune renholdsavdelingen,3,90.0
971911859,Telemark museum sti,3,88.0
987983256,Bamble kommune krogshavn omsorgsboliger,3,88.0
975320499,Seljord barne- og ungdomsskule skole 1-10,3,88.0
975038726,Gumpens auto grenland as avd verksted langmyrvegen,3,87.0
953069466,Kranringen AS,1,87.0
974559951,Melum bo- og servicesenter,3,87.0
974608642,Holla 10-årige skole,3,86.0
972270148,Grep arbeid as avd floodmyrvegen,3,86.0
974085062,Kvitsund gymnas,3,86.0
975277895,Heistadskolene avd barn,3,86.0
991643710,Norner AS,3,86.0
974305402,Isola as fabrikk eidanger,3,86.0
875278312,Stathelle barneskole,3,85.0
893851062,Set linings international s. a.,3,85.0
996763366,Solbakken omsorgsboliger,3,85.0
974162040,Hrl entreprenør AS,3,85.0
975269957,Kviteseid omsorgssenter,3,85.0
974560089,Grenland brann og redning iks avd Skien,3,85.0
835418022,Porsgrunn kommune fritidskontaktordningen kultur,3,83.0
974608995,Nome kommune etat for sammfunnsutvikling administrasjon,3,82.0
975278492,Bø skule,3,82.0
974568098,Bamble videregående skole,3,82.0
975269981,Siljan sykehjem,3,81.0
992467029,Notodden interkommunale legevakt,3,81.0
974609142,Hjartdal omsorgssenter,3,81.0
988837482,Skien kommune tamburlund 2,3,80.0
974568004,Kragerø videregående skole,3,80.0
975269949,Sauherad bygdeheim,3,80.0
971829095,Trosvik AS,3,80.0
926849115,"Telemark fylkeskommune opplæring, kultur og tannhelse",3,79.0
975277976,Vestsiden skole,3,79.0
977007968,Skien kirkelige fellesråd,3,79.0
974101157,Saga mat AS,3,78.0
983796346,Doktorløkka bosenter,3,78.0
992871598,Telemark transportservice AS,3,77.0
812403842,Norner research AS,3,77.0
891227442,Himmelblå barnevern AS,3,77.0
892469202,Mathuset Skien as avd. Skien,3,76.0
974568187,Nome videregående skole avd søve,3,76.0
974564467,Porsgrunn kommune sentraladministrasjon,3,76.0
974610167,Tokke helsesenter,3,76.0
912076512,Gvarv skole,3,76.0
974568063,Nome videregående skole avd lunde,3,75.0
991412239,Porsgrunn kommune psykisk helse og rusomsorg,3,75.0
974560046,Skien kommune administrasjon byutvikling og drift,3,75.0
994480227,Drangedal 10-årige skole,3,75.0
872155252,Rehabiliteringssenteret air AS,3,75.0
975269973,Gransherad bygdeheim,3,75.0
974305860,Erik tanche nilssen as avd engros Skien,3,74.0
971677570,Dnh den norske høyttalerfabr AS,3,74.0
998854024,Skien kommune haugesgate,3,74.0
992395532,Notodden kommune solhaug boliger pu,3,73.0
926149067,Bluegreen fusion AS,3,73.0
991729380,Hybeko AS,1,73.0
979782918,Kragerø kommune omsorg administrasjon,3,73.0
974188589,Nli grenland as avd brevik,3,72.0
993505269,Porsgrunn kommune toppen bofellesskap,3,72.0
975278182,Moflata skole,3,72.0
873107812,Palla pharma AS,3,71.0
972143790,Bø varetransport AS,3,71.0
975292797,Notodden ungdomsskole,3,71.0
984662793,Addcon nordic AS,3,71.0
974610191,Tokke kommune heimetenesta,3,71.0
988952540,Borgehaven bo- og rehabiliteringssenter avd døgnrehabilitering,3,71.0
934851552,W1eps AS,3,71.0
887679282,Nome og Midt-Telemark barnevern,3,71.0
987382015,Nissedal kommune kaasa bustader,3,70.0
973784072,Odds ballklubb,3,70.0
974564645,Porsgrunn legevakt,3,70.0
888068732,Pors fotball,3,70.0
975278077,Gjerpen barneskole,3,70.0
988070637,Vinje kommune heimetenester svingen bufellesskap,3,69.0
973789880,Bamble kommune eiendomsforvaltning,3,69.0
919963301,Sk armering AS,3,69.0
922893640,Maristien barnehage,3,69.0
920997082,Norsk skogrydding AS,1,69.0
992398027,Notodden kommune renholdere og vaktmestere,3,69.0
922704619,Porsgrunn retail AS,1,68.0
916453035,Cura kompetanse AS,3,68.0
975278174,Venstøp skole,3,68.0
878629922,Enrx holding AS,3,68.0
974608901,Nome kommune hjemmetjtenesten ulefoss distrikt,3,67.0
974874377,Bø hotell AS,3,67.0
998396735,Novari iks,3,67.0
976149203,Brødrene hansen transport AS,3,66.0
974548607,Tinn helsetun,3,66.0
989031996,Skien kommune einaren,3,66.0
990433305,Aarsleff fundamentering & boring AS,3,66.0
971798475,Beerenberg industri as avd Skien,3,66.0
974548577,Tinn kommune hjemmetjenesten distrikt 2,3,64.0
931521772,Night & day security AS,3,64.0
988071102,Vinje kommune heimetenester avd rauland heimetenester,3,64.0
974551047,Drangedal kommune myrveien bofellesskap,3,64.0
976824733,Skien kommune NAV,3,64.0
971823194,Westcontrol berget as fine mechanics,3,64.0
971675330,C. christoffersen as avd fargerike Skien,3,64.0
972305162,Telemark toto AS,3,64.0
973784919,Skien kommune forebyggende helse- tjeneste for barn ungdom og gravide,3,63.0
974562596,Fyresdal pleie- og omsorgssenter,3,63.0
975277860,Borge skole,3,63.0
933547868,Industri fokus as avd el & it,3,63.0
925750638,Nk energi AS,1,63.0
988837571,Skien kommune søndre falkumvei 5 og 7,3,63.0
922123918,G.t nordics AS,3,63.0
972132829,Telerør AS,3,63.0
975295850,Stigeråsen skole,3,63.0
974568055,Vest-telemark vidaregåande skule,3,63.0
932525801,Rtc renewables AS,3,62.0
973796372,Eiendom,3,62.0
974564831,Grenland brann og redning iks avd Porsgrunn,3,62.0
974306301,Fergene Telemark fkf avd Kragerø,3,62.0
921339437,Skien kommune avlastning utenfor institusjon,3,62.0
975277984,Tveten ungdomsskole,3,62.0
872163522,Brunvoll mar-el AS,3,61.0
971427418,Skauen kristelige skole,3,61.0
975278018,Mæla ungdomsskole,3,61.0
972026999,Steintransport AS,3,61.0
824369062,Duestien barnehage,3,60.0
982905532,Bamble kommune reidunsvei bofellesskap,3,60.0
927871580,Pn Porsgrunn AS,3,60.0
928197336,Litana ir ko nuf,3,60.0
975278093,Kjørbekkhøgda skole,3,60.0
975278220,Heddal barneskole,3,59.0
975289664,Tveit skule / Nissedal ungdomsskule,3,59.0
971777362,Telemark transportservice AS,3,59.0
979352549,Fyresdal kommune heimebaserte tjen,3,59.0
975278727,Gimle skule,3,59.0
985617031,Solberg bil as avd Skien,3,58.0
975278646,Kviteseid skule,3,58.0
930811173,Nel hydrogen electrolyser as avd Porsgrunn,3,58.0
983439977,Aspit AS,1,58.0
975300153,Sykehuset Telemark hf dps øvre Telemark Notodden,3,58.0
888361332,Stiftelsen Telemark toppidrett gymnas,3,58.0
979224192,Frode bjønnes transport AS,3,58.0
974608650,Lunde 10-årige skole,3,57.0
815520092,Porsgrunn kommune blåveiskroken bofellesskap,3,56.0
976825780,Kviteseid kommune lundenjordet,3,56.0
976668367,Grauteknapp omsorgsboliger,3,56.0
975278026,Bratsbergkleiva skole,3,56.0
927382369,Antras nord AS,3,56.0
975290301,Bø ungdomsskule,3,56.0
922160945,Himmelblå helse og omsorg AS,3,56.0
935068320,Premator surface pro AS,3,55.0
874600032,Kragerø kommune støtte og utvikling,3,55.0
971823178,Lie center AS,3,55.0
875278002,Heistadskolene avd ungdom,3,55.0
975277887,Grønli skole,3,55.0
976824989,Notodden kommune brann- og feiervesen,3,55.0
975278271,Langesund barneskole,3,55.0
987956305,Kragerø kommune sjådamveien 1 omsorgsboliger,3,55.0
976825152,Barnevernstjenesten i øvre Telemark,3,55.0
974610078,Nissedal omsorgsenter,3,55.0
987956410,Kragerø kommune sannidal bokollektiv,3,54.0
974600161,Kragerø kommune teknisk driftsavd,3,54.0
976824466,Gimsøy skole,3,54.0
973791524,Kragerø kommune kalstadveien 16-18 bofellesskap,3,54.0
993621099,Skien tannklinikk,3,54.0
974567997,Bø vidaregåande skule,3,54.0
971863854,L grønaasen transport AS,3,54.0
992397292,Notodden mangfolds- og læringssenter voksenopplæring,3,53.0
874568112,Fagskolen Vestfold og Telemark avd Porsgrunn,3,53.0
986653244,Nextcall AS,3,53.0
919258772,Nis consulting AS,3,53.0
975278824,Rauland skule avd skule,3,53.0
816963192,Sjøgløtt omsorgssenter AS,3,53.0
974551071,Drangedal kommune heimesjukepleien,3,53.0
991673903,Flåtten barnehage,3,53.0
980093867,Bamble kommune nustadjordet bofellesskap,3,53.0
992437111,Bamble kommune stabene hr og økonomi,3,53.0
975278816,Åmot skule avd skule,3,52.0
988837539,Skien kommune røymyr og vestre gulset,3,52.0
973489259,Villamoen barnehage AS,3,52.0
973778447,Porsgrunn kommune leger,3,52.0
872269762,Grep arbeid as avd Bamble,3,52.0
972403652,Telefrukt AS,3,52.0
976571622,Hauk sveinsson AS,3,52.0
912582280,Park event AS,3,52.0
988355941,Vinje kommune helse og omsorg,3,52.0
971774568,Straand hotel AS,3,51.0
973208004,Grenland taxi AS,3,51.0
971882603,Bø installasjon AS,3,51.0
974730502,Agder lagmannsrett Skien,3,51.0
975277925,Myrene skole,3,51.0
987983450,Stathelle sfo,3,51.0
974609444,Kviteseid kommune heimebaserte tenester,3,50.0
974609363,Pleie- og omsorgstenesta i Seljord heimebaserte tenester,3,50.0
982991986,Barnevernssamarbeidet i vest- Telemark,3,50.0
976824911,Skien interkommunale legevakt,3,50.0
988952281,Borgehaven bo- og rehabiliteringssenter avd trygghet,3,50.0
988086657,Porsgrunn kommune røyskattlia botiltak,3,50.0
971932627,Holte gård Drangedal AS,3,50.0
977007844,Porsgrunn kirkelige fellesråd,3,50.0
973784862,Skien kommune tamburlund 1,3,49.0
930730556,Brubakken AS,1,49.0
919565152,Telemark vei- og trafikksikring AS,3,49.0
977008018,Notodden kirkelig fellesråd,3,49.0
884921112,Vinje kommune reinhald og tekstil,3,49.0
976825578,Heirekshaug barnehage,3,49.0
987967439,Vestmar barnevern,3,49.0
887674612,Midt-Telemark kommune tjeneste for tilrettelagt aktivitet,3,49.0
873480122,Norsk industriarbeidermuseum,3,48.0
972298026,Bandak nct AS,3,48.0
975278204,Menstad ungdomsskole,3,48.0
975297497,Åfoss skole,3,48.0
975307131,Loppedåpan barnehage,3,48.0
984634080,Kåsa & ringhus entreprenør AS,3,48.0
982650577,Sunde renovasjon & gjenvinning AS,3,48.0
987956313,Kragerø kommune symreveien bofelleskap,3,47.0
974305844,Erik tanche nilssen as avd trykkeri Skien,3,47.0
975277992,Kjølnes ungdomsskole,3,47.0
974100371,Romnes AS,3,47.0
987983221,Bamble kommune stathelle bokollektiv,3,47.0
917942412,Eek logistikk AS,3,46.0
871828652,Alseth brødrene AS,3,46.0
871719322,Malermester kjellsen & tufte AS,3,46.0
920631630,Morgan as avdeling Drangedal,3,46.0
972705950,Hella maskin AS,3,46.0
974609150,Hjartdal kommune heimebaserte tenester,3,46.0
974305410,Isola as administrasjon,3,46.0
975278190,Gjerpen ungdomsskole,3,46.0
914928567,Gs dagligvaredrift AS,3,46.0
977485479,Family fitness AS,3,46.0
924537108,Sprek fritid Porsgrunn AS,3,46.0
915854621,Controlpartner AS,3,46.0
976825438,Bamble kommune tjenestetildeling og digit. velferd,3,46.0
976825330,Grenland brann og redning iks avd Bamble,3,46.0
873142472,Isola as fabrikk platon,3,46.0
975278247,Midtbygda skole,3,46.0
915132189,Skien helsehus lindrende avd d,3,45.0
974559803,Marensro dag- og habiliteringssenter,3,45.0
874568082,Rjukan videregående skole,3,45.0
971676043,G coward AS,3,45.0
988086592,Porsgrunn kommune granlia botiltak,3,45.0
975289958,Sauland skule,3,45.0
978656056,Entreprenør ulf solbakken AS,3,45.0
973042912,Flåtten supermarked AS,3,45.0
913647270,Skien kommune maribakkane 3,3,45.0
932994275,Norsk fiskeeksport AS,3,45.0
989306227,Bo- og miljøtjenesten tyrivegen,3,45.0
987955996,Kragerø kommune tangeheia omsorgsboliger,3,45.0
987956380,Kragerø kommune furubo bokollektiv,3,44.0
916602413,Telemark byggentreprenør AS,3,44.0
999491642,Kps drift & personell as avd Skien,3,44.0
986429301,Samtun AS,3,44.0
975298566,Gulset ungdomsskole,3,44.0
875298852,Åmot barnehage,3,44.0
988071099,Vinje kommune heimetenester avd øvre Vinje heimetenester,3,44.0
988086614,Porsgrunn kommune hestehoven botiltak,3,44.0
974564661,Porsgrunn kommune sosial- og flyktningetjenesten,3,44.0
976231066,Tor entreprenør AS,3,44.0
992183705,Nystrand barnehage as avd nystrandvegen,3,44.0
918812490,Eltera skagerrak AS,3,44.0
980765229,Kvam transport AS,3,44.0
997346459,Porsgrunn kommune rolandsvei botiltak,3,44.0
926818317,Spedify AS,1,43.0
976668359,Grivihaugen og hagestad omsorgsboliger,3,43.0
974633345,Tokke skule,3,43.0
976307321,Telemarksporten dagligvare AS,3,43.0
983165540,Home hotel bryggeparken,3,43.0
983380255,Valhall barnehage,3,43.0
929268946,Sør entreprenør AS,3,43.0
971971460,Bakke svein harry,3,43.0
988837431,Skien kommune natttjenesten,3,43.0
974548410,Atrå barne- og ungdomsskole,3,43.0
925812242,Tipp frakt AS,3,43.0
937773609,Skarpenord AS,1,43.0
875298682,Kollmyr skole,3,42.0
989421166,It-samarbeidet i grenland (itg),3,42.0
935685877,Den røde skolen,3,42.0
975315770,Gullbring barnehage,3,42.0
925252948,Skien kommune kvalifiserings- og integreringsenhet (kie),3,42.0
917265690,Univers AS,3,42.0
988086568,Gartnerløkka dagsenter,3,42.0
974548690,Brannvesenet i Tinn,3,42.0
973801317,Rjukan barneskole,3,42.0
989899899,Skien kommune skottekroken,3,42.0
988837601,Skien kommune halvdansgate,3,42.0
974564785,Porsgrunn kommune kulturutvikling og formidling,3,42.0
974107732,Vafos pulp AS,3,42.0
972076511,Telesenteret Seljord AS,3,42.0
974836351,Tinfos AS,3,42.0
975278042,Bølehøgda skole,3,42.0
988086584,Porsgrunn kommune amundajordet bofellesskap,3,41.0
971816015,Årnes kafeteria,3,41.0
875277952,Tveten skole,3,41.0
821978742,Skien kommune psykisk helse og livsmestring,3,41.0
913647343,Skien kommune findal,3,41.0
997619250,Skien kommune meensveien,3,41.0
871735182,Maxeta as avd Skien,3,41.0
987956445,Kragerø kommune helle omsorgsboliger,3,41.0
913583353,Renovasjon i grenland iks,3,41.0
821863902,Energistopp AS,1,41.0
974156261,Preg barnehager tinnesmoen AS,3,41.0
915521274,Brotorvet mat AS,3,41.0
973784935,Skien kulturskole,3,41.0
974597810,Midt-Telemark kulturkontor,3,41.0
987930357,Bo- og miljøtjenesten vesleheimen,3,41.0
913647327,Skien kommune solbergtun,3,40.0
975278301,Rugtvedt skole,3,40.0
973795066,Bo- og miljøtjenesten olastua,3,40.0
981080386,Brevik oppvekstsenter avd barnehage,3,40.0
974108402,Hotell vic,3,40.0
999669468,Colliflow AS,3,40.0
998060060,Nordbygdi pub- og bardrift AS,3,40.0
997619269,Skien kommune ilen,3,40.0
996988864,Inflowcontrol AS,3,40.0
975292800,Tveiten skole,3,39.0
928043320,Porsgrunn kommune psykisk helsetjeneste og rusomsorg avd dalskleiva,3,39.0
971759178,Spar rugtvedt,3,39.0
986899715,Eigedomsforvaltninga i Tokke vaktmeistarar/reinhald,3,39.0
997374819,Norsk områdesikring AS,3,39.0
971862238,Haugsjå knut AS,3,39.0
988086606,Porsgrunn kommune junovegen botiltak,3,39.0
913647211,Skien kommune maribakkane 2,3,39.0
976825632,Tinn kommune tveito alle 19,3,39.0
973805347,Heia! AS,3,39.0
976328604,Telemark-svingen AS,3,39.0
971781262,Thorsen arne transport AS,3,39.0
972202665,Stiftinga vest-telemark museum,3,39.0
976598245,Drangedal produkter AS,3,39.0
873207922,Drangedal bilruter as avd rutebiltransport,3,39.0
898588262,Spire & gro melkeveien barnehage AS,3,39.0
983157920,Kragerø golf AS,3,39.0
973778323,Porsgrunn kommune nystrand omsorgsboliger,3,38.0
973805142,Omsorg for psykisk utviklingshemmede (pu) i Tokke,3,38.0
888086722,Porsgrunn kommune vanntårnet omsorgsboliger,3,38.0
975307328,Rauland barnehage,3,38.0
971741929,Qmatec drilling AS,3,38.0
986171487,Stiftelsen international school Telemark,3,38.0
971847824,Eckholdt AS,3,38.0
995695723,Folkestad barnehage,3,38.0
974556243,Notodden kommune sentraladministrasjon,3,38.0
917633525,Comfort hotel Porsgrunn AS,3,38.0
926406264,Morgedal hotel AS,3,38.0
980860302,Elektropluss Telemark as avd bø i Telemark,3,38.0
974564629,Porsgrunn kommune familiehelsetjenester,3,38.0
974610086,Nissedal kommune heimehjelp og heimesjukepleie,3,38.0
912426955,Brevik engineering AS,3,38.0
976172183,A til å entreprenør AS,3,38.0
987918187,Tinn kommune renhold,3,38.0
974568217,Sykehuset Telemark hf dps øvre Telemark avd Seljord,3,38.0
984001746,Notodden kommune helsestasjonen,3,38.0
913034678,Vestsiden barnehage,3,38.0
979525222,Kroken barnehage,3,37.0
971864052,Dalen mekaniske produksjon AS,3,37.0
975307239,Tussejuv barnehage,3,37.0
986754199,Vms Porsgrunn AS,1,37.0
971933704,Meivcore Norway AS,3,37.0
995553279,Star bil AS,3,37.0
989691430,Nc-spectrum AS,3,37.0
975294994,Kongerød ungdomsskole,3,37.0
972280291,Star bilskade Vestfold og Telemark AS,3,37.0
933543641,Forces AS,3,37.0
922959765,Sør entreprenør AS,3,37.0
974548232,Siljan kommune hjemmebaserte tjen,3,37.0
974564823,Porsgrunn kommune bygg- og eiendomsdrift,3,37.0
922346313,Nb & partnere AS,1,37.0
972718572,Stiftelsen telemarksforsking,3,37.0
973549529,Maurtuva barnehage sa,3,37.0
986083081,Barnehagen gregorius AS,3,37.0
922786089,Barnevernvakta i Telemark,3,37.0
924378891,Skien kommune ambulant tjeneste rus og psykisk helse,3,37.0
979857543,Jimmys Porsgrunn,3,36.0
974281996,Aasmundsens bakeri telemarksbakern efft as avd flatdal,3,36.0
918143580,Porsgrunn kommune kommunal teknikk avd avløp,3,36.0
995245175,Skien kommune samba,3,36.0
871960402,Tata steel Norway byggsystemer as avd Skien,3,36.0
897457962,Oasen skole grenland AS,3,36.0
971785047,Tveito maskin AS,3,36.0
991708650,Baze technology AS,3,36.0
996749770,Spar kjørbekk,3,36.0
974597721,Stab Midt-Telemark kommune,3,36.0
925012920,Skien kommune tyrisvingen,3,36.0
975323153,Bøhamna barnehage,3,36.0
881971232,Skien kommune scheen produksjon,3,36.0
892375062,Vinje bilberging AS,3,35.0
987891661,Skorve entreprenør as avd kvitseid,3,35.0
922324026,Gs maskin AS,3,35.0
927553287,Gs bygg AS,3,35.0
994057103,Kts bygg AS,3,35.0
984000685,Maribakkane barnehage,3,35.0
987881224,Skien kommune ergo- og fysioterapitjeneste,3,35.0
987130008,Grasmyr naturbarnehage,3,35.0
915673147,Tinneberget legesenter,3,35.0
979525052,Bamble kommune nustadbakken bofellesskap,3,35.0
971877170,Nicro AS,3,35.0
976802896,Ksm,3,35.0
935071615,Industri fokus as avd mekanisk,3,35.0
928385027,Hvite busser sti,3,35.0
988087505,Porsgrunn kommune byutvikling,3,35.0
988734748,Sykehuset Telemark hf ambulansetjenesten Porsgrunn,3,35.0
892395462,Notodden kommune lienveien 51 botilbud,3,35.0
919973676,Kulturformidling barn og unge,3,35.0
871855242,Brukås sport AS,3,35.0
994480197,Helle skole,3,35.0
874633232,Telemark nett as avd høydalsmo,3,35.0
996849252,Provacc AS,3,35.0
929785606,Hågålia botjeneste psykisk helse og rus,3,35.0
988081582,Vinje kommune helse avd legekontor åmot/legevaktsentra,3,35.0
974559765,Skien kommune pp-tjenesten,3,34.0
974610264,Vinje kommune sentraladministrasjonen,3,34.0
987881836,Klyve skole sfo,3,34.0
974608944,Nome kommune etat for sammfunnsutvikling renhold og vaktmestertjeneste,3,34.0
988837563,Skien kommune sportsplassen,3,34.0
971935308,Sjøloftet,3,34.0
971225793,Eiendomsmegler 1 Telemark AS,1,34.0
920306365,If storm,3,34.0
871767432,Skiens rustfri industri AS,3,34.0
980032876,Granvin kulturhus AS,3,34.0
873143932,Hjem og industrirenhold AS,3,34.0
971746491,Nutheim gjestgiveri AS,3,34.0
992576421,Batne AS,3,34.0
992583282,Tinn kommune organisasjon,3,34.0
890686052,Fagerli barnehage,3,34.0
983209432,Gjerpenshavna barnehage sa,3,34.0
973801147,Tinn kommune solvang,3,34.0
879525012,Bamble kommune spesialiserte helsetjenester,3,34.0
975278034,Buer skole,3,34.0
915595235,Mandheimen bo og avlastning,3,34.0
975290522,Heddal ungdomsskole,3,34.0
992395427,Notodden kommune gulltun boenhet,3,34.0
913659651,Idea kompetanse arbeid og inkludering as avd vta Notodden,3,34.0
987881909,Venstøp skole sfo,3,34.0
974608677,Herregårdshavna barnehage,3,34.0
915521983,Porsgrunn kommune osebro bofellesskap,3,34.0
928422704,Keops utvikling Porsgrunn kf,3,34.0
985063540,Porsgrunn voksenopplæringssenter,3,34.0
971864036,Mustad bygg AS,3,33.0
920527604,Skien sportsbar AS,3,33.0
914857848,Øya spiseri AS,3,33.0
983796915,Bohus interiør down town,3,33.0
979198132,Strøm sivertsen AS,3,33.0
974608723,Skoemyra barnehage,3,33.0
972384151,Telemark kildevann as avd Fyresdal,3,33.0
987965703,Kragerø kommune renhold,3,33.0
876824922,Høgås skole,3,33.0
975307069,Rønningen barnehage,3,33.0
973778501,Porsgrunn kulturskole,3,33.0
992397411,Heddal barneskole sfo,3,33.0
991497064,Venstøp barnehage,3,33.0
917014256,Skien kommune fagenhet for spesialpedagogisk hjelp,3,33.0
988837598,Skien kommune holbergsgate,3,33.0
976824784,Skien kommune mats dag- og aktivitetssenter,3,33.0
989595113,Spire & gro rypevegen barnehage AS,3,33.0
975278387,Sannidal skole,3,32.0
987969466,Kragerø sfo,3,32.0
916369883,Porsgrunn kommune psykisk helsetjeneste og rusomsorg avd leirkup,3,32.0
975290662,Tinnesmoen skole,3,32.0
915594530,Helge aasen AS,3,32.0
932957310,Dalen hotelldrift AS,3,32.0
993973912,Risingveien mat AS,3,32.0
973784870,Skien kommune dagavdeling klyvetunet og kverndalen,3,32.0
