Kommune,statistikkvariabel,år,Antall sysselsatte,sektor,Label
Hjartdal,Sysselsatte personer etter arbeidssted,2020,266,Offentlig sektor,Hjartdal
Hjartdal,Sysselsatte personer etter arbeidssted,2021,254,Offentlig sektor,Hjartdal
Hjartdal,Sysselsatte personer etter arbeidssted,2022,243,Offentlig sektor,Hjartdal
Hjartdal,Sysselsatte personer etter arbeidssted,2023,253,Offentlig sektor,Hjartdal
Hjartdal,Sysselsatte personer etter arbeidssted,2016,443,Privat sektor,Hjartdal
Hjartdal,Sysselsatte personer etter arbeidssted,2017,439,Privat sektor,Hjartdal
Hjartdal,Sysselsatte personer etter arbeidssted,2018,439,Privat sektor,Hjartdal
Hjartdal,Sysselsatte personer etter arbeidssted,2019,457,Privat sektor,Hjartdal
Hjartdal,Sysselsatte personer etter arbeidssted,2020,474,Privat sektor,Hjartdal
Hjartdal,Sysselsatte personer etter arbeidssted,2021,465,Privat sektor,Hjartdal
Hjartdal,Sysselsatte personer etter arbeidssted,2022,483,Privat sektor,Hjartdal
Hjartdal,Sysselsatte personer etter arbeidssted,2023,377,Privat sektor,Hjartdal
Kragerø,Sysselsatte personer etter arbeidssted,2016,1517,Offentlig sektor,Kragerø
Kragerø,Sysselsatte personer etter arbeidssted,2017,1560,Offentlig sektor,Kragerø
Kragerø,Sysselsatte personer etter arbeidssted,2018,1532,Offentlig sektor,Kragerø
Kragerø,Sysselsatte personer etter arbeidssted,2019,1506,Offentlig sektor,Kragerø
Kragerø,Sysselsatte personer etter arbeidssted,2020,1504,Offentlig sektor,Kragerø
Kragerø,Sysselsatte personer etter arbeidssted,2021,1520,Offentlig sektor,Kragerø
Kragerø,Sysselsatte personer etter arbeidssted,2022,1498,Offentlig sektor,Kragerø
Kragerø,Sysselsatte personer etter arbeidssted,2023,1551,Offentlig sektor,Kragerø
Kragerø,Sysselsatte personer etter arbeidssted,2016,2602,Privat sektor,Kragerø
Kragerø,Sysselsatte personer etter arbeidssted,2017,2777,Privat sektor,Kragerø
Kragerø,Sysselsatte personer etter arbeidssted,2018,2712,Privat sektor,Kragerø
Kragerø,Sysselsatte personer etter arbeidssted,2019,2631,Privat sektor,Kragerø
Kragerø,Sysselsatte personer etter arbeidssted,2020,2603,Privat sektor,Kragerø
Kragerø,Sysselsatte personer etter arbeidssted,2021,2677,Privat sektor,Kragerø
Kragerø,Sysselsatte personer etter arbeidssted,2022,2697,Privat sektor,Kragerø
Kragerø,Sysselsatte personer etter arbeidssted,2023,2577,Privat sektor,Kragerø
Kviteseid,Sysselsatte personer etter arbeidssted,2016,417,Offentlig sektor,Kviteseid
Kviteseid,Sysselsatte personer etter arbeidssted,2017,440,Offentlig sektor,Kviteseid
Kviteseid,Sysselsatte personer etter arbeidssted,2018,424,Offentlig sektor,Kviteseid
Kviteseid,Sysselsatte personer etter arbeidssted,2019,429,Offentlig sektor,Kviteseid
Kviteseid,Sysselsatte personer etter arbeidssted,2020,377,Offentlig sektor,Kviteseid
Kviteseid,Sysselsatte personer etter arbeidssted,2021,394,Offentlig sektor,Kviteseid
Kviteseid,Sysselsatte personer etter arbeidssted,2022,389,Offentlig sektor,Kviteseid
Kviteseid,Sysselsatte personer etter arbeidssted,2023,395,Offentlig sektor,Kviteseid
Kviteseid,Sysselsatte personer etter arbeidssted,2016,660,Privat sektor,Kviteseid
Kviteseid,Sysselsatte personer etter arbeidssted,2017,669,Privat sektor,Kviteseid
Kviteseid,Sysselsatte personer etter arbeidssted,2018,730,Privat sektor,Kviteseid
Kviteseid,Sysselsatte personer etter arbeidssted,2019,688,Privat sektor,Kviteseid
Kviteseid,Sysselsatte personer etter arbeidssted,2020,707,Privat sektor,Kviteseid
Kviteseid,Sysselsatte personer etter arbeidssted,2021,656,Privat sektor,Kviteseid
Kviteseid,Sysselsatte personer etter arbeidssted,2022,671,Privat sektor,Kviteseid
Kviteseid,Sysselsatte personer etter arbeidssted,2023,661,Privat sektor,Kviteseid
Midt-Telemark,Sysselsatte personer etter arbeidssted,2016,1636,Offentlig sektor,Midt-Telemark
Midt-Telemark,Sysselsatte personer etter arbeidssted,2017,1617,Offentlig sektor,Midt-Telemark
Midt-Telemark,Sysselsatte personer etter arbeidssted,2018,1690,Offentlig sektor,Midt-Telemark
Midt-Telemark,Sysselsatte personer etter arbeidssted,2019,1696,Offentlig sektor,Midt-Telemark
Midt-Telemark,Sysselsatte personer etter arbeidssted,2020,1698,Offentlig sektor,Midt-Telemark
Midt-Telemark,Sysselsatte personer etter arbeidssted,2021,1673,Offentlig sektor,Midt-Telemark
Midt-Telemark,Sysselsatte personer etter arbeidssted,2022,1741,Offentlig sektor,Midt-Telemark
Midt-Telemark,Sysselsatte personer etter arbeidssted,2023,1754,Offentlig sektor,Midt-Telemark
Midt-Telemark,Sysselsatte personer etter arbeidssted,2016,2545,Privat sektor,Midt-Telemark
Midt-Telemark,Sysselsatte personer etter arbeidssted,2017,2716,Privat sektor,Midt-Telemark
Midt-Telemark,Sysselsatte personer etter arbeidssted,2018,2685,Privat sektor,Midt-Telemark
Midt-Telemark,Sysselsatte personer etter arbeidssted,2019,2705,Privat sektor,Midt-Telemark
Midt-Telemark,Sysselsatte personer etter arbeidssted,2020,2594,Privat sektor,Midt-Telemark
Midt-Telemark,Sysselsatte personer etter arbeidssted,2021,2727,Privat sektor,Midt-Telemark
Midt-Telemark,Sysselsatte personer etter arbeidssted,2022,2678,Privat sektor,Midt-Telemark
Midt-Telemark,Sysselsatte personer etter arbeidssted,2023,2875,Privat sektor,Midt-Telemark
Nissedal,Sysselsatte personer etter arbeidssted,2016,317,Offentlig sektor,Nissedal
Nissedal,Sysselsatte personer etter arbeidssted,2017,314,Offentlig sektor,Nissedal
Nissedal,Sysselsatte personer etter arbeidssted,2018,311,Offentlig sektor,Nissedal
Nissedal,Sysselsatte personer etter arbeidssted,2019,325,Offentlig sektor,Nissedal
Nissedal,Sysselsatte personer etter arbeidssted,2020,308,Offentlig sektor,Nissedal
Nissedal,Sysselsatte personer etter arbeidssted,2021,313,Offentlig sektor,Nissedal
Nissedal,Sysselsatte personer etter arbeidssted,2022,320,Offentlig sektor,Nissedal
Nissedal,Sysselsatte personer etter arbeidssted,2023,324,Offentlig sektor,Nissedal
Nissedal,Sysselsatte personer etter arbeidssted,2016,349,Privat sektor,Nissedal
Nissedal,Sysselsatte personer etter arbeidssted,2017,379,Privat sektor,Nissedal
Nissedal,Sysselsatte personer etter arbeidssted,2018,371,Privat sektor,Nissedal
Nissedal,Sysselsatte personer etter arbeidssted,2019,323,Privat sektor,Nissedal
Nissedal,Sysselsatte personer etter arbeidssted,2020,317,Privat sektor,Nissedal
Nissedal,Sysselsatte personer etter arbeidssted,2021,342,Privat sektor,Nissedal
Nissedal,Sysselsatte personer etter arbeidssted,2022,348,Privat sektor,Nissedal
Nissedal,Sysselsatte personer etter arbeidssted,2023,328,Privat sektor,Nissedal
Nome,Sysselsatte personer etter arbeidssted,2016,1070,Offentlig sektor,Nome
Nome,Sysselsatte personer etter arbeidssted,2017,1087,Offentlig sektor,Nome
Nome,Sysselsatte personer etter arbeidssted,2018,1081,Offentlig sektor,Nome
Nome,Sysselsatte personer etter arbeidssted,2019,1045,Offentlig sektor,Nome
Nome,Sysselsatte personer etter arbeidssted,2020,1014,Offentlig sektor,Nome
Nome,Sysselsatte personer etter arbeidssted,2021,980,Offentlig sektor,Nome
Nome,Sysselsatte personer etter arbeidssted,2022,976,Offentlig sektor,Nome
Nome,Sysselsatte personer etter arbeidssted,2023,1016,Offentlig sektor,Nome
Nome,Sysselsatte personer etter arbeidssted,2016,1211,Privat sektor,Nome
Nome,Sysselsatte personer etter arbeidssted,2017,1186,Privat sektor,Nome
Nome,Sysselsatte personer etter arbeidssted,2018,1209,Privat sektor,Nome
Nome,Sysselsatte personer etter arbeidssted,2019,1144,Privat sektor,Nome
Nome,Sysselsatte personer etter arbeidssted,2020,1205,Privat sektor,Nome
Nome,Sysselsatte personer etter arbeidssted,2021,1241,Privat sektor,Nome
Nome,Sysselsatte personer etter arbeidssted,2022,1240,Privat sektor,Nome
Nome,Sysselsatte personer etter arbeidssted,2023,1189,Privat sektor,Nome
Notodden,Sysselsatte personer etter arbeidssted,2016,2625,Offentlig sektor,Notodden
Notodden,Sysselsatte personer etter arbeidssted,2017,2556,Offentlig sektor,Notodden
Notodden,Sysselsatte personer etter arbeidssted,2018,2539,Offentlig sektor,Notodden
Notodden,Sysselsatte personer etter arbeidssted,2019,2552,Offentlig sektor,Notodden
Notodden,Sysselsatte personer etter arbeidssted,2020,2533,Offentlig sektor,Notodden
Notodden,Sysselsatte personer etter arbeidssted,2021,2463,Offentlig sektor,Notodden
Notodden,Sysselsatte personer etter arbeidssted,2022,2544,Offentlig sektor,Notodden
Notodden,Sysselsatte personer etter arbeidssted,2023,2542,Offentlig sektor,Notodden
Notodden,Sysselsatte personer etter arbeidssted,2016,2755,Privat sektor,Notodden
Notodden,Sysselsatte personer etter arbeidssted,2017,2752,Privat sektor,Notodden
Notodden,Sysselsatte personer etter arbeidssted,2018,2717,Privat sektor,Notodden
Notodden,Sysselsatte personer etter arbeidssted,2019,2746,Privat sektor,Notodden
Notodden,Sysselsatte personer etter arbeidssted,2020,2857,Privat sektor,Notodden
Notodden,Sysselsatte personer etter arbeidssted,2021,3155,Privat sektor,Notodden
Notodden,Sysselsatte personer etter arbeidssted,2022,3107,Privat sektor,Notodden
Notodden,Sysselsatte personer etter arbeidssted,2023,3222,Privat sektor,Notodden
Porsgrunn,Sysselsatte personer etter arbeidssted,2016,5527,Offentlig sektor,Porsgrunn
Porsgrunn,Sysselsatte personer etter arbeidssted,2017,5600,Offentlig sektor,Porsgrunn
Porsgrunn,Sysselsatte personer etter arbeidssted,2018,5518,Offentlig sektor,Porsgrunn
Porsgrunn,Sysselsatte personer etter arbeidssted,2019,5555,Offentlig sektor,Porsgrunn
Porsgrunn,Sysselsatte personer etter arbeidssted,2020,5615,Offentlig sektor,Porsgrunn
Porsgrunn,Sysselsatte personer etter arbeidssted,2021,5735,Offentlig sektor,Porsgrunn
Porsgrunn,Sysselsatte personer etter arbeidssted,2022,5892,Offentlig sektor,Porsgrunn
Porsgrunn,Sysselsatte personer etter arbeidssted,2023,6020,Offentlig sektor,Porsgrunn
Porsgrunn,Sysselsatte personer etter arbeidssted,2016,11606,Privat sektor,Porsgrunn
Porsgrunn,Sysselsatte personer etter arbeidssted,2017,11617,Privat sektor,Porsgrunn
Porsgrunn,Sysselsatte personer etter arbeidssted,2018,11611,Privat sektor,Porsgrunn
Porsgrunn,Sysselsatte personer etter arbeidssted,2019,11733,Privat sektor,Porsgrunn
Porsgrunn,Sysselsatte personer etter arbeidssted,2020,11328,Privat sektor,Porsgrunn
Porsgrunn,Sysselsatte personer etter arbeidssted,2021,11762,Privat sektor,Porsgrunn
Porsgrunn,Sysselsatte personer etter arbeidssted,2022,12072,Privat sektor,Porsgrunn
Porsgrunn,Sysselsatte personer etter arbeidssted,2023,12279,Privat sektor,Porsgrunn
Seljord,Sysselsatte personer etter arbeidssted,2016,503,Offentlig sektor,Seljord
Seljord,Sysselsatte personer etter arbeidssted,2017,501,Offentlig sektor,Seljord
Seljord,Sysselsatte personer etter arbeidssted,2018,472,Offentlig sektor,Seljord
Seljord,Sysselsatte personer etter arbeidssted,2019,488,Offentlig sektor,Seljord
Seljord,Sysselsatte personer etter arbeidssted,2020,474,Offentlig sektor,Seljord
Seljord,Sysselsatte personer etter arbeidssted,2021,486,Offentlig sektor,Seljord
Seljord,Sysselsatte personer etter arbeidssted,2022,482,Offentlig sektor,Seljord
Seljord,Sysselsatte personer etter arbeidssted,2023,532,Offentlig sektor,Seljord
Seljord,Sysselsatte personer etter arbeidssted,2016,1023,Privat sektor,Seljord
Seljord,Sysselsatte personer etter arbeidssted,2017,1003,Privat sektor,Seljord
Seljord,Sysselsatte personer etter arbeidssted,2018,945,Privat sektor,Seljord
Seljord,Sysselsatte personer etter arbeidssted,2019,967,Privat sektor,Seljord
Seljord,Sysselsatte personer etter arbeidssted,2020,913,Privat sektor,Seljord
Seljord,Sysselsatte personer etter arbeidssted,2021,931,Privat sektor,Seljord
Seljord,Sysselsatte personer etter arbeidssted,2022,962,Privat sektor,Seljord
Seljord,Sysselsatte personer etter arbeidssted,2023,915,Privat sektor,Seljord
Siljan,Sysselsatte personer etter arbeidssted,2016,243,Offentlig sektor,Siljan
Siljan,Sysselsatte personer etter arbeidssted,2017,245,Offentlig sektor,Siljan
Siljan,Sysselsatte personer etter arbeidssted,2018,246,Offentlig sektor,Siljan
Siljan,Sysselsatte personer etter arbeidssted,2019,258,Offentlig sektor,Siljan
Siljan,Sysselsatte personer etter arbeidssted,2020,256,Offentlig sektor,Siljan
Siljan,Sysselsatte personer etter arbeidssted,2021,249,Offentlig sektor,Siljan
Siljan,Sysselsatte personer etter arbeidssted,2022,240,Offentlig sektor,Siljan
Siljan,Sysselsatte personer etter arbeidssted,2023,257,Offentlig sektor,Siljan
Siljan,Sysselsatte personer etter arbeidssted,2016,253,Privat sektor,Siljan
Siljan,Sysselsatte personer etter arbeidssted,2017,276,Privat sektor,Siljan
Siljan,Sysselsatte personer etter arbeidssted,2018,262,Privat sektor,Siljan
Siljan,Sysselsatte personer etter arbeidssted,2019,282,Privat sektor,Siljan
Siljan,Sysselsatte personer etter arbeidssted,2020,286,Privat sektor,Siljan
Siljan,Sysselsatte personer etter arbeidssted,2021,277,Privat sektor,Siljan
Siljan,Sysselsatte personer etter arbeidssted,2022,233,Privat sektor,Siljan
Siljan,Sysselsatte personer etter arbeidssted,2023,236,Privat sektor,Siljan
Skien,Sysselsatte personer etter arbeidssted,2016,10868,Offentlig sektor,Skien
Skien,Sysselsatte personer etter arbeidssted,2017,10845,Offentlig sektor,Skien
Skien,Sysselsatte personer etter arbeidssted,2018,10799,Offentlig sektor,Skien
Skien,Sysselsatte personer etter arbeidssted,2019,10878,Offentlig sektor,Skien
Skien,Sysselsatte personer etter arbeidssted,2020,11131,Offentlig sektor,Skien
Skien,Sysselsatte personer etter arbeidssted,2021,11105,Offentlig sektor,Skien
Skien,Sysselsatte personer etter arbeidssted,2022,11275,Offentlig sektor,Skien
Skien,Sysselsatte personer etter arbeidssted,2023,11504,Offentlig sektor,Skien
Skien,Sysselsatte personer etter arbeidssted,2016,14470,Privat sektor,Skien
Skien,Sysselsatte personer etter arbeidssted,2017,14601,Privat sektor,Skien
Skien,Sysselsatte personer etter arbeidssted,2018,15033,Privat sektor,Skien
Skien,Sysselsatte personer etter arbeidssted,2019,15360,Privat sektor,Skien
Skien,Sysselsatte personer etter arbeidssted,2020,15112,Privat sektor,Skien
Skien,Sysselsatte personer etter arbeidssted,2021,15510,Privat sektor,Skien
Skien,Sysselsatte personer etter arbeidssted,2022,15264,Privat sektor,Skien
Skien,Sysselsatte personer etter arbeidssted,2023,15139,Privat sektor,Skien
Tinn,Sysselsatte personer etter arbeidssted,2016,1067,Offentlig sektor,Tinn
Tinn,Sysselsatte personer etter arbeidssted,2017,1063,Offentlig sektor,Tinn
Tinn,Sysselsatte personer etter arbeidssted,2018,1045,Offentlig sektor,Tinn
Tinn,Sysselsatte personer etter arbeidssted,2019,1024,Offentlig sektor,Tinn
Tinn,Sysselsatte personer etter arbeidssted,2020,994,Offentlig sektor,Tinn
Tinn,Sysselsatte personer etter arbeidssted,2021,991,Offentlig sektor,Tinn
Tinn,Sysselsatte personer etter arbeidssted,2022,966,Offentlig sektor,Tinn
Tinn,Sysselsatte personer etter arbeidssted,2023,978,Offentlig sektor,Tinn
Tinn,Sysselsatte personer etter arbeidssted,2016,1674,Privat sektor,Tinn
Tinn,Sysselsatte personer etter arbeidssted,2017,1655,Privat sektor,Tinn
Tinn,Sysselsatte personer etter arbeidssted,2018,1610,Privat sektor,Tinn
Tinn,Sysselsatte personer etter arbeidssted,2019,1622,Privat sektor,Tinn
Tinn,Sysselsatte personer etter arbeidssted,2020,1642,Privat sektor,Tinn
Tinn,Sysselsatte personer etter arbeidssted,2021,1583,Privat sektor,Tinn
Tinn,Sysselsatte personer etter arbeidssted,2022,1637,Privat sektor,Tinn
Tinn,Sysselsatte personer etter arbeidssted,2023,1610,Privat sektor,Tinn
Tokke,Sysselsatte personer etter arbeidssted,2016,563,Offentlig sektor,Tokke
Tokke,Sysselsatte personer etter arbeidssted,2017,566,Offentlig sektor,Tokke
Tokke,Sysselsatte personer etter arbeidssted,2018,583,Offentlig sektor,Tokke
Tokke,Sysselsatte personer etter arbeidssted,2019,570,Offentlig sektor,Tokke
Tokke,Sysselsatte personer etter arbeidssted,2020,566,Offentlig sektor,Tokke
Tokke,Sysselsatte personer etter arbeidssted,2021,596,Offentlig sektor,Tokke
Tokke,Sysselsatte personer etter arbeidssted,2022,577,Offentlig sektor,Tokke
Tokke,Sysselsatte personer etter arbeidssted,2023,592,Offentlig sektor,Tokke
Tokke,Sysselsatte personer etter arbeidssted,2016,396,Privat sektor,Tokke
Tokke,Sysselsatte personer etter arbeidssted,2017,397,Privat sektor,Tokke
Tokke,Sysselsatte personer etter arbeidssted,2018,371,Privat sektor,Tokke
Tokke,Sysselsatte personer etter arbeidssted,2019,382,Privat sektor,Tokke
Tokke,Sysselsatte personer etter arbeidssted,2020,378,Privat sektor,Tokke
Tokke,Sysselsatte personer etter arbeidssted,2021,409,Privat sektor,Tokke
Tokke,Sysselsatte personer etter arbeidssted,2022,421,Privat sektor,Tokke
Tokke,Sysselsatte personer etter arbeidssted,2023,408,Privat sektor,Tokke
Vinje,Sysselsatte personer etter arbeidssted,2016,807,Offentlig sektor,Vinje
Vinje,Sysselsatte personer etter arbeidssted,2017,764,Offentlig sektor,Vinje
Vinje,Sysselsatte personer etter arbeidssted,2018,800,Offentlig sektor,Vinje
Vinje,Sysselsatte personer etter arbeidssted,2019,832,Offentlig sektor,Vinje
Vinje,Sysselsatte personer etter arbeidssted,2020,856,Offentlig sektor,Vinje
Vinje,Sysselsatte personer etter arbeidssted,2021,857,Offentlig sektor,Vinje
Vinje,Sysselsatte personer etter arbeidssted,2022,867,Offentlig sektor,Vinje
Vinje,Sysselsatte personer etter arbeidssted,2023,910,Offentlig sektor,Vinje
Vinje,Sysselsatte personer etter arbeidssted,2016,1084,Privat sektor,Vinje
Vinje,Sysselsatte personer etter arbeidssted,2017,1073,Privat sektor,Vinje
Vinje,Sysselsatte personer etter arbeidssted,2018,1043,Privat sektor,Vinje
Vinje,Sysselsatte personer etter arbeidssted,2019,990,Privat sektor,Vinje
Vinje,Sysselsatte personer etter arbeidssted,2020,1004,Privat sektor,Vinje
Vinje,Sysselsatte personer etter arbeidssted,2021,1021,Privat sektor,Vinje
Vinje,Sysselsatte personer etter arbeidssted,2022,1019,Privat sektor,Vinje
Vinje,Sysselsatte personer etter arbeidssted,2023,976,Privat sektor,Vinje
