Level,Org. nr.,Navn,Parent Employees,Children Count,Children Sum,Difference,Matches
1 vs 2,934452011,Rehabiliteringssenteret air AS,81.0,1,75.0,6.0,False
1 vs 2,999080669,Trosvik AS,80.0,1,80.0,0.0,True
1 vs 2,922846278,Sør entreprenør AS,80.0,2,80.0,0.0,True
1 vs 2,928103277,Solberg bil AS,80.0,2,80.0,0.0,True
1 vs 2,882963632,Saga mat AS,78.0,1,78.0,0.0,True
1 vs 2,992840455,Telemark transportservice AS,77.0,1,77.0,0.0,True
1 vs 2,912372200,Norner research AS,77.0,1,77.0,0.0,True
1 vs 2,815008502,Himmelblå barnevern AS,77.0,1,77.0,0.0,True
1 vs 2,892421722,Mathuset Skien AS,76.0,2,76.0,0.0,True
1 vs 2,816201802,Wimp AS,76.0,5,76.0,0.0,True
1 vs 2,911169037,Dnh a/s den norske høyttalerfabrikk a/s,74.0,1,74.0,0.0,True
1 vs 2,926128736,Bluegreen fusion AS,73.0,1,73.0,0.0,True
1 vs 2,991729380,Hybeko AS,73.0,1,37.0,36.0,False
1 vs 2,982732662,Nli grenland AS,72.0,1,72.0,0.0,True
1 vs 2,988774677,Addcon nordic AS,71.0,1,71.0,0.0,True
1 vs 2,918275452,Palla pharma Norway AS,71.0,1,71.0,0.0,True
1 vs 2,947717103,Bø varetransport AS,71.0,1,71.0,0.0,True
1 vs 2,932421399,W1eps AS,71.0,1,71.0,0.0,True
1 vs 2,945650885,Odds ballklubb,70.0,1,70.0,0.0,True
1 vs 2,988010626,Pors fotball,70.0,1,70.0,0.0,True
1 vs 2,920997082,Norsk skogrydding AS,69.0,1,32.0,37.0,False
1 vs 2,919931981,Sk armering AS,69.0,1,69.0,0.0,True
1 vs 2,985174431,C. christoffersen AS,69.0,2,69.0,0.0,True
1 vs 2,955706137,Enrx holding AS,68.0,1,68.0,0.0,True
1 vs 2,922704619,Porsgrunn retail AS,68.0,3,41.0,27.0,False
1 vs 2,918606777,Aarnesgruppen AS,68.0,2,68.0,0.0,True
1 vs 2,916366779,Cura kompetanse AS,68.0,1,68.0,0.0,True
1 vs 2,971492414,Norsk industriarbeidermuseum sti,68.0,2,68.0,0.0,True
1 vs 2,974472902,Beerenberg industri AS,67.0,1,66.0,1.0,False
1 vs 2,972414972,Bø hotell AS,67.0,1,67.0,0.0,True
1 vs 2,998283914,Novari iks,67.0,1,67.0,0.0,True
1 vs 2,990405700,Aarsleff fundamentering & boring AS,66.0,1,66.0,0.0,True
1 vs 2,979803672,Brødrene hansen transport AS,66.0,1,66.0,0.0,True
1 vs 2,931505068,Night & day security AS,64.0,1,64.0,0.0,True
1 vs 2,977557658,Telemark toto AS,64.0,1,64.0,0.0,True
1 vs 2,822096212,G.t nordics AS,63.0,1,63.0,0.0,True
1 vs 2,946858021,Telerør a/s,63.0,1,63.0,0.0,True
1 vs 2,925750638,Nk energi AS,63.0,1,31.0,32.0,False
1 vs 2,932496135,Rtc renewables AS,62.0,1,62.0,0.0,True
1 vs 2,914192137,Brunvoll mar-el AS,61.0,1,61.0,0.0,True
1 vs 2,927106426,Steintransport AS,61.0,1,61.0,0.0,True
1 vs 2,977456436,Skauen kristelige skole,61.0,1,61.0,0.0,True
1 vs 2,999301452,Litana ir ko nuf,60.0,1,60.0,0.0,True
1 vs 2,927855526,Pn Porsgrunn AS,60.0,1,60.0,0.0,True
1 vs 2,937698461,Telemark transportservice AS,59.0,1,59.0,0.0,True
1 vs 2,922742103,Frode bjønnes transport AS,58.0,1,58.0,0.0,True
1 vs 2,983439977,Aspit AS,58.0,1,29.0,29.0,False
1 vs 2,988113107,Stiftelsen Telemark toppidrett gymnas,58.0,1,58.0,0.0,True
1 vs 2,927250896,Antras nord AS,56.0,1,56.0,0.0,True
1 vs 2,922127212,Himmelblå helse og omsorg AS,56.0,1,56.0,0.0,True
1 vs 2,934353854,Premator surface pro AS,55.0,1,55.0,0.0,True
1 vs 2,984971109,Bø installasjon AS,55.0,2,51.0,4.0,False
1 vs 2,992028513,Lie center AS,55.0,1,55.0,0.0,True
1 vs 2,950948906,L grønaasen transport AS,54.0,1,54.0,0.0,True
1 vs 2,937891512,Sparebanken din Telemark,54.0,5,50.0,4.0,False
1 vs 2,919160608,Nis consulting AS,53.0,1,53.0,0.0,True
1 vs 2,915590292,Nextcall AS,53.0,1,53.0,0.0,True
1 vs 2,916914857,Sjøgløtt omsorgssenter AS,53.0,1,53.0,0.0,True
1 vs 2,976252713,Hauk sveinsson AS,52.0,1,52.0,0.0,True
1 vs 2,970983503,Telefrukt AS,52.0,1,52.0,0.0,True
1 vs 2,947173219,Grenland boligbyggelag,52.0,2,52.0,0.0,True
1 vs 2,912547906,Park event AS,52.0,1,52.0,0.0,True
1 vs 2,931045504,Villamoen barnehage AS,52.0,1,52.0,0.0,True
1 vs 2,978692389,Grenland taxi AS,51.0,1,51.0,0.0,True
1 vs 2,945805013,Straand hotel AS,51.0,1,51.0,0.0,True
1 vs 2,926720988,Agder lagmannsrett,51.0,1,51.0,0.0,True
1 vs 2,913826639,Holte gård Drangedal AS,50.0,1,50.0,0.0,True
1 vs 2,864425402,Maxeta AS,50.0,1,41.0,9.0,False
1 vs 2,976991141,Porsgrunn kirkelige fellesråd,50.0,1,50.0,0.0,True
1 vs 2,930730556,Brubakken AS,49.0,1,36.0,13.0,False
1 vs 2,919502614,Telemark vei- og trafikksikring AS,49.0,1,49.0,0.0,True
1 vs 2,976991338,Notodden kirkelig fellesråd,49.0,2,49.0,0.0,True
1 vs 2,919031808,Bandak nct AS,48.0,1,48.0,0.0,True
1 vs 2,966405074,Sunde renovasjon & gjenvinning AS,48.0,1,48.0,0.0,True
1 vs 2,891336802,Kåsa & ringhus entreprenør AS,48.0,1,48.0,0.0,True
1 vs 2,998179327,Morgan AS,47.0,2,46.0,1.0,False
1 vs 2,964348596,Romnes AS,47.0,1,47.0,0.0,True
1 vs 2,980775747,Autostrada Porsgrunn AS,47.0,2,47.0,0.0,True
1 vs 2,919908254,Brødrene alseth a/s,46.0,1,46.0,0.0,True
1 vs 2,982744504,Malermester kjellsen & tufte AS,46.0,1,46.0,0.0,True
1 vs 2,968658999,Hella maskin AS,46.0,1,46.0,0.0,True
1 vs 2,914908221,Gs dagligvaredrift AS,46.0,1,46.0,0.0,True
1 vs 2,917870837,Eek logistikk AS,46.0,1,46.0,0.0,True
1 vs 2,915828248,Controlpartner AS,46.0,1,46.0,0.0,True
1 vs 2,924390778,Sprek fritid Porsgrunn AS,46.0,1,46.0,0.0,True
1 vs 2,977466407,Family fitness AS,46.0,1,46.0,0.0,True
1 vs 2,878653572,Entreprenør ulf solbakken AS,45.0,1,45.0,0.0,True
1 vs 2,832459372,Norsk fiskeeksport AS,45.0,1,45.0,0.0,True
1 vs 2,929683943,G. coward AS,45.0,1,45.0,0.0,True
1 vs 2,970982701,Flåtten supermarked AS,45.0,1,45.0,0.0,True
1 vs 2,916561725,Telemark byggentreprenør AS,44.0,1,44.0,0.0,True
1 vs 2,982845475,Tor entreprenør AS,44.0,1,44.0,0.0,True
1 vs 2,918672567,Eltera skagerrak AS,44.0,1,44.0,0.0,True
1 vs 2,925271586,Kvam transport AS,44.0,1,44.0,0.0,True
1 vs 2,991377735,Kps drift & personell AS,44.0,1,44.0,0.0,True
1 vs 2,892151172,Nystrand barnehage AS,44.0,2,44.0,0.0,True
1 vs 2,986395865,Samtun AS,44.0,1,44.0,0.0,True
1 vs 2,861151972,Mobile Skien AS,44.0,2,44.0,0.0,True
1 vs 2,937773609,Skarpenord AS,43.0,1,34.0,9.0,False
1 vs 2,976304217,Telemarksporten dagligvare AS,43.0,1,43.0,0.0,True
1 vs 2,925793701,Tipp frakt AS,43.0,1,43.0,0.0,True
1 vs 2,970314083,Svein harry bakke transport,43.0,1,43.0,0.0,True
1 vs 2,983155324,Hotel bryggeparken AS,43.0,1,43.0,0.0,True
1 vs 2,883168232,Urdarbrønnen sa,43.0,1,43.0,0.0,True
1 vs 2,999256813,Vafos pulp AS,42.0,1,42.0,0.0,True
1 vs 2,959807949,Tata steel Norway byggsystemer AS,42.0,1,36.0,6.0,False
1 vs 2,916763476,Tinfos AS,42.0,1,42.0,0.0,True
1 vs 2,925803375,Telemark nett AS,42.0,2,42.0,0.0,True
1 vs 2,980996417,Telesenteret Seljord AS,42.0,1,42.0,0.0,True
1 vs 2,917213372,Univers AS,42.0,1,42.0,0.0,True
1 vs 2,913482778,Renovasjon i grenland iks,41.0,1,41.0,0.0,True
1 vs 2,915453457,Elektropluss Telemark AS,41.0,2,38.0,3.0,False
1 vs 2,915344976,Brotorvet mat AS,41.0,1,41.0,0.0,True
1 vs 2,821863902,Energistopp AS,41.0,3,28.0,13.0,False
1 vs 2,930391093,Preg barnehager tinnesmoen AS,41.0,1,41.0,0.0,True
1 vs 2,982073197,Hovenga sko AS,40.0,4,33.0,7.0,False
1 vs 2,928467872,Colliflow AS,40.0,1,40.0,0.0,True
1 vs 2,917166676,Victoria hotell AS,40.0,1,40.0,0.0,True
1 vs 2,897998882,Nordbygdi pub- og bardrift AS,40.0,1,40.0,0.0,True
1 vs 2,937891601,Drangedal sparebank,40.0,4,40.0,0.0,True
1 vs 2,996957691,Inflowcontrol AS,40.0,1,40.0,0.0,True
1 vs 2,980835286,Knut haugsjå AS,39.0,1,39.0,0.0,True
1 vs 2,997362470,Norsk områdesikring AS,39.0,1,39.0,0.0,True
1 vs 2,993879762,Rugtvedt dagligvare AS,39.0,2,39.0,0.0,True
1 vs 2,994057383,Drangedal bilruter AS,39.0,3,39.0,0.0,True
1 vs 2,831045442,Arne thorsen transport a/s,39.0,1,39.0,0.0,True
1 vs 2,976325265,Telemark-svingen AS,39.0,1,39.0,0.0,True
1 vs 2,926178458,Spire & gro melkeveien barnehage AS,39.0,1,39.0,0.0,True
1 vs 2,976594916,Drangedal produkter AS,39.0,1,39.0,0.0,True
1 vs 2,985231931,Stiftinga vest-telemark museum,39.0,1,39.0,0.0,True
1 vs 2,983156274,Kragerø golf AS,39.0,1,39.0,0.0,True
1 vs 2,976143337,Heia! AS,39.0,1,39.0,0.0,True
1 vs 2,990688745,Qmatec drilling AS,38.0,1,38.0,0.0,True
1 vs 2,972416533,A til å entreprenør AS,38.0,1,38.0,0.0,True
1 vs 2,948191660,Eckholdt AS,38.0,1,38.0,0.0,True
1 vs 2,917459444,Comfort hotel Porsgrunn AS,38.0,1,38.0,0.0,True
1 vs 2,926390945,Morgedal hotel AS,38.0,1,38.0,0.0,True
1 vs 2,911811251,Brevik engineering AS,38.0,1,38.0,0.0,True
1 vs 2,985922292,Stiftelsen international school Telemark,38.0,1,38.0,0.0,True
1 vs 2,994095773,Dalen mekaniske produksjon AS,37.0,1,37.0,0.0,True
1 vs 2,997119487,Meivcore Norway AS,37.0,1,37.0,0.0,True
1 vs 2,986754199,Vms Porsgrunn AS,37.0,1,24.0,13.0,False
1 vs 2,922382980,Forces AS,37.0,1,37.0,0.0,True
1 vs 2,995494698,Star bil AS,37.0,1,37.0,0.0,True
1 vs 2,952108573,Telemarksavisa AS,37.0,6,32.0,5.0,False
1 vs 2,989635719,Nc-spectrum AS,37.0,1,37.0,0.0,True
1 vs 2,922346313,Nb & partnere AS,37.0,2,23.0,14.0,False
1 vs 2,948639238,Stiftelsen telemarksforsking,37.0,1,37.0,0.0,True
1 vs 2,971325747,Maurtuva barnehage sa,37.0,1,37.0,0.0,True
1 vs 2,986044736,Barnehagen gregorius AS,37.0,1,37.0,0.0,True
1 vs 2,961915937,Star bilskade Vestfold og Telemark AS,37.0,1,37.0,0.0,True
1 vs 2,812488872,Tveito maskin AS,36.0,1,36.0,0.0,True
1 vs 2,996741346,Mathuset kjørbekk AS,36.0,1,36.0,0.0,True
1 vs 2,985051283,Lemon AS,36.0,2,36.0,0.0,True
1 vs 2,991658920,Baze technology AS,36.0,1,36.0,0.0,True
1 vs 2,927150646,Oasen skole grenland AS,36.0,1,36.0,0.0,True
1 vs 2,996830845,Provacc AS,35.0,1,35.0,0.0,True
1 vs 2,976799070,Ksm AS,35.0,1,35.0,0.0,True
1 vs 2,925546011,Nicro AS,35.0,1,35.0,0.0,True
1 vs 2,913226305,Kts bygg AS,35.0,1,35.0,0.0,True
1 vs 2,927336359,Gs bygg AS,35.0,1,35.0,0.0,True
1 vs 2,996369609,Skorve entreprenør AS,35.0,1,35.0,0.0,True
1 vs 2,918912320,Gs maskin AS,35.0,1,35.0,0.0,True
1 vs 2,946290408,Brukås sport a.s,35.0,1,35.0,0.0,True
1 vs 2,992331887,Vinje bilberging AS,35.0,1,35.0,0.0,True
1 vs 2,971327413,Hvite busser sti,35.0,1,35.0,0.0,True
1 vs 2,866409242,Telemark kildevann AS,34.0,1,33.0,1.0,False
1 vs 2,989454471,Skiens rustfri industri AS,34.0,1,34.0,0.0,True
1 vs 2,913951697,Storkaas handel AS,34.0,2,34.0,0.0,True
1 vs 2,913267125,Nutheim gjestgiveri AS,34.0,1,34.0,0.0,True
1 vs 2,929336038,Sjøloftet AS,34.0,1,34.0,0.0,True
1 vs 2,971225793,Eiendomsmegler 1 Telemark AS,34.0,4,23.0,11.0,False
1 vs 2,992528516,Batne AS,34.0,1,34.0,0.0,True
1 vs 2,978632785,Hjem og industrirenhold AS,34.0,1,34.0,0.0,True
1 vs 2,982935962,Gjerpenshavna barnehage sa,34.0,1,34.0,0.0,True
1 vs 2,999640052,Granvin kulturhus AS,34.0,1,34.0,0.0,True
1 vs 2,983824900,If storm,34.0,1,34.0,0.0,True
1 vs 2,958816634,Mustad bygg AS,33.0,1,33.0,0.0,True
1 vs 2,979196326,Strøm sivertsen AS,33.0,1,33.0,0.0,True
1 vs 2,912983013,Interiør møbelforretning AS,33.0,1,33.0,0.0,True
1 vs 2,914405173,Øya spiseri AS,33.0,1,33.0,0.0,True
1 vs 2,920492940,Skien sportsbar AS,33.0,1,33.0,0.0,True
1 vs 2,924205520,Spire & gro rypevegen barnehage AS,33.0,1,33.0,0.0,True
1 vs 2,912305198,Hydrogenpro asa,32.0,1,32.0,0.0,True
1 vs 2,953510413,Søve AS,32.0,1,32.0,0.0,True
1 vs 2,977500303,Indre agder og Telemark avfallsselskap iks,32.0,1,32.0,0.0,True
1 vs 2,915575293,Helge aasen AS,32.0,1,32.0,0.0,True
1 vs 2,992673044,Telemark transport og entreprenørsentral AS,32.0,1,32.0,0.0,True
1 vs 2,993955299,Risingveien mat AS,32.0,1,32.0,0.0,True
1 vs 2,914335329,Bjorstaddalen næring AS,32.0,2,32.0,0.0,True
1 vs 2,932934868,Dalen hotelldrift AS,32.0,1,32.0,0.0,True
1 vs 2,917074372,As varden,32.0,1,32.0,0.0,True
1 vs 2,876991152,Gulset og skotfoss sokn,32.0,2,32.0,0.0,True
1 vs 2,981942019,Holte industri AS,31.0,1,31.0,0.0,True
1 vs 2,991237615,Made for movement group AS,31.0,1,31.0,0.0,True
1 vs 2,891609582,Steen-hansen maskin AS,31.0,1,31.0,0.0,True
1 vs 2,918099425,Haugo entreprenør AS,31.0,1,31.0,0.0,True
1 vs 2,926876236,Felle maskin AS,31.0,1,31.0,0.0,True
1 vs 2,992841702,Tellefsen AS,31.0,1,31.0,0.0,True
1 vs 2,916936869,Jakob tveit AS,31.0,1,31.0,0.0,True
1 vs 2,998629578,Mathuset skjelsvik AS,31.0,1,31.0,0.0,True
1 vs 2,979949812,Beha sport AS,31.0,1,31.0,0.0,True
1 vs 2,992093994,Aider sørøst AS,31.0,1,31.0,0.0,True
1 vs 2,923822410,Vestfold og Telemark revisjon iks,31.0,6,24.0,7.0,False
1 vs 2,962301991,Protektiv AS,30.0,1,30.0,0.0,True
1 vs 2,938317828,Ulefos brug AS,30.0,1,30.0,0.0,True
1 vs 2,950801204,Handelskompaniet AS,30.0,1,30.0,0.0,True
1 vs 2,864371272,Assistco AS,30.0,1,30.0,0.0,True
1 vs 2,985505829,Chg-meridian Skien AS,30.0,1,30.0,0.0,True
1 vs 2,992028955,Mathuset myren AS,30.0,1,30.0,0.0,True
1 vs 2,996719030,Skien taxi buss AS,30.0,1,30.0,0.0,True
1 vs 2,970951113,Tuddal høyfjellshotel AS,30.0,1,30.0,0.0,True
1 vs 2,883515862,Beverøya camping AS,30.0,1,30.0,0.0,True
1 vs 2,999022294,Villa mat AS,30.0,1,30.0,0.0,True
1 vs 2,929101987,Aaltvedt betong AS,29.0,1,29.0,0.0,True
1 vs 2,836938062,Niras AS,29.0,1,29.0,0.0,True
1 vs 2,928978192,Telerør elektro AS,29.0,1,29.0,0.0,True
1 vs 2,914805813,Barmen sag AS,29.0,1,29.0,0.0,True
1 vs 2,971105380,Brevik losse & lastearbeider forening,29.0,1,29.0,0.0,True
1 vs 2,888891242,Langesund bad holding AS,29.0,1,29.0,0.0,True
1 vs 2,828430882,First camp Norge AS,29.0,3,18.0,11.0,False
1 vs 2,910980246,Børve borchsenius arkitekter AS,29.0,1,29.0,0.0,True
1 vs 2,933303691,Prosecure AS,29.0,1,29.0,0.0,True
1 vs 2,988357243,Avarn security beredskap AS,29.0,1,29.0,0.0,True
1 vs 2,991627626,Gassnova sf,29.0,1,29.0,0.0,True
1 vs 2,954628132,Skrapeklev barnehage sa,29.0,1,29.0,0.0,True
1 vs 2,928155277,Kvito utvikling og arbeid AS,29.0,3,29.0,0.0,True
1 vs 2,971324937,Kragerø frivillig sentral,29.0,1,29.0,0.0,True
1 vs 2,990980896,Duverden AS,29.0,1,29.0,0.0,True
1 vs 2,925066583,Framtre AS,28.0,1,5.0,23.0,False
1 vs 2,983059090,Wector yachting AS,28.0,1,28.0,0.0,True
1 vs 2,994486195,Bb bygg stathelle AS,28.0,1,28.0,0.0,True
1 vs 2,982142601,Rjukan vvs & elektro AS,28.0,1,28.0,0.0,True
1 vs 2,911669994,Mathuset frogner AS,28.0,1,28.0,0.0,True
1 vs 2,957290795,Motor forum AS,28.0,3,28.0,0.0,True
1 vs 2,983335470,Gromstad bil & båt AS,28.0,2,28.0,0.0,True
1 vs 2,863891892,Gaustabanen AS,28.0,1,28.0,0.0,True
1 vs 2,997233379,Kragerø sjøtjenester AS,28.0,1,28.0,0.0,True
1 vs 2,975360040,Cafe osebro AS,28.0,1,28.0,0.0,True
1 vs 2,912086216,Kafé k AS,28.0,1,28.0,0.0,True
1 vs 2,970918701,Brakon AS,28.0,1,28.0,0.0,True
1 vs 2,931045520,Yli barnehage AS,28.0,1,28.0,0.0,True
1 vs 2,984746628,Eidanger barnehage AS,28.0,1,28.0,0.0,True
1 vs 2,971544821,Stiftelsen grenland folkehøgskole,28.0,1,28.0,0.0,True
1 vs 2,972422169,Dnt Telemark,28.0,8,23.0,5.0,False
1 vs 2,986658645,Bilskadesenteret Telemark AS,28.0,1,28.0,0.0,True
1 vs 2,870890192,Oldroyd AS,27.0,1,27.0,0.0,True
1 vs 2,986773053,Kamek AS,27.0,1,27.0,0.0,True
1 vs 2,925231460,Brubakken rental AS,27.0,1,13.0,14.0,False
1 vs 2,926016407,Ekstrand verksted AS,27.0,1,27.0,0.0,True
1 vs 2,861180042,Telemarkhus AS,27.0,1,27.0,0.0,True
1 vs 2,958672411,Ganitt entreprenør AS,27.0,1,27.0,0.0,True
1 vs 2,981072316,Dyrud elektro AS,27.0,1,27.0,0.0,True
1 vs 2,985532508,Cathwell AS,27.0,1,27.0,0.0,True
1 vs 2,976218582,Flom AS,27.0,1,27.0,0.0,True
1 vs 2,913955668,Lio auto AS,27.0,2,27.0,0.0,True
1 vs 2,922695229,Haugane stasjonsdrift AS,27.0,2,27.0,0.0,True
1 vs 2,923789464,Ekeberg auto AS,27.0,1,27.0,0.0,True
1 vs 2,928633713,Fenomen drift AS,27.0,1,27.0,0.0,True
1 vs 2,922670528,Anleggsgartner nordengen AS,27.0,1,27.0,0.0,True
1 vs 2,926178466,Spire & gro skogtoppen barnehage AS,27.0,1,27.0,0.0,True
1 vs 2,948122650,Tippen barnehage sa,27.0,1,27.0,0.0,True
1 vs 2,959144435,Tirilltoppen barnehage Bamble sa,27.0,1,27.0,0.0,True
1 vs 2,915761968,Telemark toppidrett ungdomsskole Skien AS,27.0,1,27.0,0.0,True
1 vs 2,913358562,Sms omsorg AS,27.0,1,27.0,0.0,True
1 vs 2,930096741,Telemark og Vestfold regionteater AS,27.0,1,27.0,0.0,True
1 vs 2,997597680,Gautefall skisenter AS,27.0,1,27.0,0.0,True
1 vs 2,971324473,Stathelle og omegn idrettslag,27.0,2,26.0,1.0,False
1 vs 2,921966229,Hoppestad gård AS,26.0,1,26.0,0.0,True
1 vs 2,947063405,Sperre AS,26.0,1,26.0,0.0,True
1 vs 2,997985451,Rauland elektriske AS,26.0,1,26.0,0.0,True
1 vs 2,930711616,Slåen AS,26.0,1,26.0,0.0,True
1 vs 2,984357680,Gisholt & finne AS,26.0,2,26.0,0.0,True
1 vs 2,945482184,Trend sko arkaden AS,26.0,2,19.0,7.0,False
1 vs 2,960397339,Kaasa transport AS,26.0,1,26.0,0.0,True
1 vs 2,984642474,Northsea terminal AS,26.0,1,26.0,0.0,True
1 vs 2,977499453,Rauland skisenter AS,26.0,1,26.0,0.0,True
1 vs 2,933500446,Storstøga AS,26.0,1,26.0,0.0,True
1 vs 2,933796345,Langrønningen kafé AS,26.0,1,26.0,0.0,True
1 vs 2,935503086,Pazzo restaurantdrift AS,26.0,1,26.0,0.0,True
