Kommune,Utdanningsnivå,Kjønn,Variabel,År,Verdi
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over,2011,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over,2012,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over,2013,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over,2014,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over,2015,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over,2016,90.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over,2017,100.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over,2018,117.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over,2019,125.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over (prosent),2004,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over (prosent),2005,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over (prosent),2006,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over (prosent),2007,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over (prosent),2008,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over (prosent),2009,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over (prosent),2010,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over (prosent),2011,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over (prosent),2012,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over (prosent),2013,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over (prosent),2014,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over (prosent),2015,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over (prosent),2016,1.6
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over (prosent),2017,1.7
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over (prosent),2018,2.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over (prosent),2019,2.2
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over,2004,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over,2005,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over,2006,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over,2007,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over,2008,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over,2009,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over,2010,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over,2011,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over,2012,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over,2013,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over,2014,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over,2015,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over,2016,252.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over,2017,260.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over,2018,256.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over,2019,260.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over (prosent),2004,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over (prosent),2005,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over (prosent),2006,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over (prosent),2007,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over (prosent),2008,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over (prosent),2009,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over (prosent),2010,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over (prosent),2011,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over (prosent),2012,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over (prosent),2013,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over (prosent),2014,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over (prosent),2015,0.0
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over (prosent),2016,4.3
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over (prosent),2017,4.4
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over (prosent),2018,4.4
Bamble (-2019),Fagskolenivå,Menn,Personer 16 år og over (prosent),2019,4.5
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over,2004,3821.0
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over,2005,3818.0
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over,2006,3845.0
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over,2007,3826.0
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over,2008,3838.0
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over,2009,3796.0
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over,2010,3736.0
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over,2011,3699.0
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over,2012,3677.0
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over,2013,3669.0
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over,2014,3630.0
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over,2015,3567.0
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over,2016,3573.0
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over,2017,3584.0
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over,2018,3516.0
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over,2019,3451.0
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over (prosent),2004,34.6
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over (prosent),2005,34.6
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over (prosent),2006,34.8
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over (prosent),2007,34.4
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over (prosent),2008,34.2
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over (prosent),2009,33.8
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over (prosent),2010,33.3
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over (prosent),2011,32.8
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over (prosent),2012,32.4
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over (prosent),2013,32.1
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over (prosent),2014,31.5
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over (prosent),2015,30.9
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over (prosent),2016,30.9
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over (prosent),2017,30.8
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over (prosent),2018,30.3
Bamble (-2019),Grunnskolenivå,Begge kjønn,Personer 16 år og over (prosent),2019,29.7
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over,2004,2100.0
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over,2005,2074.0
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over,2006,2062.0
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over,2007,2055.0
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over,2008,2043.0
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over,2009,2026.0
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over,2010,2006.0
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over,2011,1978.0
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over,2012,1952.0
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over,2013,1937.0
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over,2014,1895.0
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over,2015,1870.0
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over,2016,1853.0
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over,2017,1853.0
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over,2018,1816.0
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over,2019,1789.0
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over (prosent),2004,37.8
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over (prosent),2005,37.4
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over (prosent),2006,37.3
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over (prosent),2007,36.9
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over (prosent),2008,36.5
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over (prosent),2009,36.2
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over (prosent),2010,35.8
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over (prosent),2011,35.2
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over (prosent),2012,34.5
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over (prosent),2013,34.2
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over (prosent),2014,33.2
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over (prosent),2015,32.6
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over (prosent),2016,32.2
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over (prosent),2017,32.2
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over (prosent),2018,31.5
Bamble (-2019),Grunnskolenivå,Kvinner,Personer 16 år og over (prosent),2019,31.0
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over,2004,1721.0
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over,2005,1744.0
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over,2006,1783.0
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over,2007,1771.0
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over,2008,1795.0
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over,2009,1770.0
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over,2010,1730.0
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over,2011,1721.0
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over,2012,1725.0
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over,2013,1732.0
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over,2014,1735.0
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over,2015,1697.0
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over,2016,1720.0
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over,2017,1731.0
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over,2018,1700.0
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over,2019,1662.0
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over (prosent),2004,31.4
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over (prosent),2005,31.7
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over (prosent),2006,32.3
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over (prosent),2007,32.0
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over (prosent),2008,31.9
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over (prosent),2009,31.4
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over (prosent),2010,30.8
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over (prosent),2011,30.4
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over (prosent),2012,30.3
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over (prosent),2013,30.1
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over (prosent),2014,29.8
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over (prosent),2015,29.3
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over (prosent),2016,29.5
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over (prosent),2017,29.4
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over (prosent),2018,29.1
Bamble (-2019),Grunnskolenivå,Menn,Personer 16 år og over (prosent),2019,28.5
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over,2004,1659.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over,2005,1734.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over,2006,1736.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over,2007,1770.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over,2008,1782.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over,2009,1829.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over,2010,1865.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over,2011,1908.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over,2012,1949.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over,2013,1992.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over,2014,2054.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over,2015,2107.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over,2016,2161.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over,2017,2193.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over,2018,2212.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over,2019,2226.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over (prosent),2004,15.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over (prosent),2005,15.7
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over (prosent),2006,15.7
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over (prosent),2007,15.9
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over (prosent),2008,15.9
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over (prosent),2009,16.3
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over (prosent),2010,16.6
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over (prosent),2011,16.9
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over (prosent),2012,17.2
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over (prosent),2013,17.4
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over (prosent),2014,17.8
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over (prosent),2015,18.3
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over (prosent),2016,18.7
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over (prosent),2017,18.8
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over (prosent),2018,19.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over (prosent),2019,19.2
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over,2004,958.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over,2005,1013.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over,2006,1013.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over,2007,1034.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over,2008,1054.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over,2009,1076.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over,2010,1098.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over,2011,1128.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over,2012,1158.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over,2013,1188.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over,2014,1228.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over,2015,1262.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over,2016,1303.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over,2017,1336.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over,2018,1362.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over,2019,1363.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over (prosent),2004,17.3
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over (prosent),2005,18.3
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over (prosent),2006,18.3
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over (prosent),2007,18.6
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over (prosent),2008,18.9
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over (prosent),2009,19.2
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over (prosent),2010,19.6
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over (prosent),2011,20.1
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over (prosent),2012,20.5
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over (prosent),2013,21.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over (prosent),2014,21.5
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over (prosent),2015,22.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over (prosent),2016,22.6
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over (prosent),2017,23.2
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over (prosent),2018,23.6
Bamble (-2019),"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over (prosent),2019,23.6
Bamble (-2019),"Universitets- og høgskolenivå, kort",Menn,Personer 16 år og over,2004,701.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Menn,Personer 16 år og over,2005,721.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Menn,Personer 16 år og over,2006,723.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Menn,Personer 16 år og over,2007,736.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Menn,Personer 16 år og over,2008,728.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Menn,Personer 16 år og over,2009,753.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Menn,Personer 16 år og over,2010,767.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Menn,Personer 16 år og over,2011,780.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Menn,Personer 16 år og over,2012,791.0
Bamble (-2019),"Universitets- og høgskolenivå, kort",Menn,Personer 16 år og over,2013,804.0
