Nace_1_nr,Nace_1_navn,Nace_2_nr,Nace_2_navn,Nace_3_nr,Nace_3_navn,Nace_4_nr,Nace_4_navn,Nace_5_nr,Nace_5_navn
B,Bergverksdrift og utvinning,09,Tjenester tilknyttet bergverksdrift og utvinning,09.1,Tjenester tilknyttet utvinning av råolje og naturgass,09.10,Tjenester tilknyttet utvinning av råolje og naturgass,09.109,Andre tjenester tilknyttet utvinning av råolje og naturgass
B,Bergverksdrift og utvinning,09,Tjenester tilknyttet bergverksdrift og utvinning,09.9,Tjenester tilknyttet annen bergverksdrift,09.90,Tjenester tilknyttet annen bergverksdrift,09.900,Tjenester tilknyttet annen bergverksdrift
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.1,"Produksjon, bearbeiding og konservering av kjøtt og kjøttvarer",10.11,Bearbeiding og konservering av kjøtt,10.110,Bearbeiding og konservering av kjøtt unntatt fjørfekjøtt
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.1,"Produksjon, bearbeiding og konservering av kjøtt og kjøttvarer",10.12,Bearbeiding og konservering av fjørfekjøtt,10.120,Bearbeiding og konservering av fjørfekjøtt
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.1,"Produksjon, bearbeiding og konservering av kjøtt og kjøttvarer",10.13,Produksjon av kjøtt- og fjørfevarer,10.130,Produksjon av kjøtt- og fjørfevarer
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.2,"Bearbeiding og konservering av fisk, skalldyr og bløtdyr",10.20,"Bearbeiding og konservering av fisk, skalldyr og bløtdyr",10.201,"Produksjon av saltfisk, tørrfisk og klippfisk"
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.2,"Bearbeiding og konservering av fisk, skalldyr og bløtdyr",10.20,"Bearbeiding og konservering av fisk, skalldyr og bløtdyr",10.202,"Frysing av fisk, fiskefileter, skalldyr og bløtdyr"
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.2,"Bearbeiding og konservering av fisk, skalldyr og bløtdyr",10.20,"Bearbeiding og konservering av fisk, skalldyr og bløtdyr",10.203,"Frysing og videre bearbeiding av fisk, skalldyr og bløtdyr"
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.2,"Bearbeiding og konservering av fisk, skalldyr og bløtdyr",10.20,"Bearbeiding og konservering av fisk, skalldyr og bløtdyr",10.209,"Slakting, bearbeiding og konservering av fisk og fiskevarer ellers"
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.3,Bearbeiding og konservering av frukt og grønnsaker,10.31,Bearbeiding og konservering av poteter,10.310,Bearbeiding og konservering av poteter
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.3,Bearbeiding og konservering av frukt og grønnsaker,10.32,Produksjon av juice av frukt og grønnsaker,10.320,Produksjon av juice av frukt og grønnsaker
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.3,Bearbeiding og konservering av frukt og grønnsaker,10.39,Bearbeiding og konservering av frukt og grønnsaker ellers,10.390,Bearbeiding og konservering av frukt og grønnsaker ellers
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.4,Produksjon av vegetabilske og animalske oljer og fettstoffer,10.41,Produksjon av oljer og fettstoffer,10.410,Produksjon av oljer og fettstoffer
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.4,Produksjon av vegetabilske og animalske oljer og fettstoffer,10.41,Produksjon av oljer og fettstoffer,10.411,Produksjon av rå fiskeoljer og fett
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.4,Produksjon av vegetabilske og animalske oljer og fettstoffer,10.41,Produksjon av oljer og fettstoffer,10.412,Produksjon av andre uraffinerte oljer og fett
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.4,Produksjon av vegetabilske og animalske oljer og fettstoffer,10.41,Produksjon av oljer og fettstoffer,10.413,Produksjon av raffinerte oljer og fett
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.4,Produksjon av vegetabilske og animalske oljer og fettstoffer,10.42,Produksjon av margarin og lignende spiselige fettstoffer,10.420,Produksjon av margarin og lignende spiselige fettstoffer
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.5,Produksjon av meierivarer og iskrem,10.51,Produksjon av meierivarer,10.510,Produksjon av meierivarer
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.5,Produksjon av meierivarer og iskrem,10.52,Produksjon av iskrem og andre spiselige isprodukter,10.520,Produksjon av iskrem og andre spiselige isprodukter
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.6,"Produksjon av kornvarer, stivelse og stivelsesprodukter",10.61,Produksjon av kornvarer,10.610,Produksjon av kornvarer
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.6,"Produksjon av kornvarer, stivelse og stivelsesprodukter",10.62,Produksjon av stivelse og stivelsesprodukter,10.620,Produksjon av stivelse og stivelsesprodukter
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.7,Produksjon av bakeri- og pastavarer,10.71,Produksjon av brød og ferske konditorvarer,10.710,Produksjon av brød og ferske konditorvarer
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.7,Produksjon av bakeri- og pastavarer,10.72,"Produksjon av kavringer, kjeks og konserverte konditorvarer",10.720,"Produksjon av kavringer, kjeks og konserverte konditorvarer"
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.7,Produksjon av bakeri- og pastavarer,10.73,Produksjon av melprodukter ellers,10.730,Produksjon av melprodukter ellers
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.8,Produksjon av andre næringsmidler,10.81,Produksjon av sukker,10.810,Produksjon av sukker
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.8,Produksjon av andre næringsmidler,10.82,"Produksjon av kakao, sjokolade og sukkervarer",10.820,"Produksjon av kakao, sjokolade og sukkervarer"
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.8,Produksjon av andre næringsmidler,10.83,Bearbeiding av te og kaffe,10.830,Bearbeiding av te og kaffe
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.8,Produksjon av andre næringsmidler,10.84,Produksjon av smakstilsettingsstoffer og krydderier,10.840,Produksjon av smakstilsettingsstoffer og krydderier
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.8,Produksjon av andre næringsmidler,10.85,Produksjon av ferdigmat,10.850,Produksjon av ferdigmat
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.8,Produksjon av andre næringsmidler,10.86,Produksjon av homogeniserte matprodukter og diettmat,10.860,Produksjon av homogeniserte matprodukter og diettmat
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.8,Produksjon av andre næringsmidler,10.89,Produksjon av næringsmidler ikke nevnt annet sted,10.890,Produksjon av næringsmidler ikke nevnt annet sted
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.9,Produksjon av fôrvarer,10.91,Produksjon av fôrvarer til husdyrhold,10.910,Produksjon av fôrvarer til husdyrhold
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.9,Produksjon av fôrvarer,10.91,Produksjon av fôrvarer til husdyrhold,10.911,Produksjon av fôrvarer for husdyr i landbruk
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.9,Produksjon av fôrvarer,10.91,Produksjon av fôrvarer til husdyrhold,10.912,Produksjon av fôrvarer for akvakultur
C,Industri,10,Produksjon av nærings- og nytelsesmidler,10.9,Produksjon av fôrvarer,10.92,Produksjon av fôrvarer til kjæledyr,10.920,Produksjon av fôrvarer til kjæledyr
C,Industri,11,Produksjon av drikkevarer,11.0,Produksjon av drikkevarer,11.01,"Destillering, rektifisering og blanding av sprit",11.010,"Destillering, rektifisering og blanding av sprit"
C,Industri,11,Produksjon av drikkevarer,11.0,Produksjon av drikkevarer,11.02,Produksjon av vin,11.020,Produksjon av vin
C,Industri,11,Produksjon av drikkevarer,11.0,Produksjon av drikkevarer,11.03,Produksjon av sider og annen fruktvin,11.030,Produksjon av sider og annen fruktvin
C,Industri,11,Produksjon av drikkevarer,11.0,Produksjon av drikkevarer,11.04,Produksjon av andre ikke-destillerte gjærede drikkevarer,11.040,Produksjon av andre ikke-destillerte gjærede drikkevarer
C,Industri,11,Produksjon av drikkevarer,11.0,Produksjon av drikkevarer,11.05,Produksjon av øl,11.050,Produksjon av øl
C,Industri,11,Produksjon av drikkevarer,11.0,Produksjon av drikkevarer,11.06,Produksjon av malt,11.060,Produksjon av malt
C,Industri,11,Produksjon av drikkevarer,11.0,Produksjon av drikkevarer,11.07,Produksjon av leskedrikker og flaskevann,11.070,Produksjon av leskedrikker og flaskevann
C,Industri,12,Produksjon av tobakksvarer,12.0,Produksjon av tobakksvarer,12.00,Produksjon av tobakksvarer,12.000,Produksjon av tobakksvarer
C,Industri,13,Produksjon av tekstiler,13.1,Bearbeiding og spinning av tekstilfibre,13.10,Bearbeiding og spinning av tekstilfibrer,13.100,Bearbeiding og spinning av tekstilfibrer
C,Industri,13,Produksjon av tekstiler,13.2,Veving av tekstiler,13.20,Veving av tekstiler,13.200,Veving av tekstiler
C,Industri,13,Produksjon av tekstiler,13.3,Etterbehandling av tekstiler,13.30,Etterbehandling av tekstiler,13.300,Etterbehandling av tekstiler
C,Industri,13,Produksjon av tekstiler,13.9,Produksjon av andre tekstiler,13.91,Produksjon av stoffer av trikotasje,13.910,Produksjon av trikotasjestoffer og heklede stoffer
C,Industri,13,Produksjon av tekstiler,13.9,Produksjon av andre tekstiler,13.92,"Produksjon av tekstilvarer, unntatt klær",13.920,Produksjon av husholdningstekstiler og innredningsvarer i stoff klare til bruk
C,Industri,13,Produksjon av tekstiler,13.9,Produksjon av andre tekstiler,13.92,"Produksjon av tekstilvarer, unntatt klær",13.921,Produksjon av utstyrsvarer
C,Industri,13,Produksjon av tekstiler,13.9,Produksjon av andre tekstiler,13.92,"Produksjon av tekstilvarer, unntatt klær",13.929,"Produksjon av andre tekstilvarer, unntatt klær"
C,Industri,13,Produksjon av tekstiler,13.9,Produksjon av andre tekstiler,13.93,"Produksjon av gulvtepper, -matter og -ryer",13.930,"Produksjon av gulvtepper, -matter og -ryer"
C,Industri,13,Produksjon av tekstiler,13.9,Produksjon av andre tekstiler,13.94,Produksjon av tauverk og nett,13.940,Produksjon av tauverk og nett
C,Industri,13,Produksjon av tekstiler,13.9,Produksjon av andre tekstiler,13.95,"Produksjon av ikke-vevde tekstiler og tekstilvarer, unntatt klær",13.950,"Produksjon av ikke-vevde tekstiler og tekstilvarer, unntatt klær"
C,Industri,13,Produksjon av tekstiler,13.9,Produksjon av andre tekstiler,13.96,Produksjon av tekstiler til teknisk og industriell bruk,13.960,Produksjon av tekstiler til teknisk og industriell bruk
C,Industri,13,Produksjon av tekstiler,13.9,Produksjon av andre tekstiler,13.99,Produksjon av tekstiler ikke nevnt annet sted,13.990,Produksjon av tekstiler ikke nevnt annet sted
C,Industri,14,Produksjon av klær,14.1,Produksjon av klær av trikotasje og heklede klær,14.10,Produksjon av klær av trikotasje og heklede klær,14.100,Produksjon av klær av trikotasje og heklede klær
C,Industri,14,Produksjon av klær,14.1,Produksjon av klær av trikotasje og heklede klær,14.11,Produksjon av klær av lær,14.110,Produksjon av klær av lær
C,Industri,14,Produksjon av klær,14.1,Produksjon av klær av trikotasje og heklede klær,14.12,Produksjon av arbeidstøy,14.120,Produksjon av arbeidstøy
C,Industri,14,Produksjon av klær,14.1,Produksjon av klær av trikotasje og heklede klær,14.13,Produksjon av annet yttertøy,14.130,Produksjon av annet yttertøy
C,Industri,14,Produksjon av klær,14.1,Produksjon av klær av trikotasje og heklede klær,14.14,Produksjon av undertøy og innertøy,14.140,Produksjon av undertøy og innertøy
C,Industri,14,Produksjon av klær,14.1,Produksjon av klær av trikotasje og heklede klær,14.19,Produksjon av klær og tilbehør ellers,14.190,Produksjon av klær og tilbehør ellers
C,Industri,14,Produksjon av klær,14.2,Produksjon av pelsvarer,14.20,Produksjon av pelsvarer,14.200,Produksjon av pelsvarer
C,Industri,14,Produksjon av klær,14.2,Produksjon av pelsvarer,14.21,Produksjon av yttertøy,14.210,Produksjon av yttertøy
C,Industri,14,Produksjon av klær,14.2,Produksjon av pelsvarer,14.22,Produksjon av undertøy,14.220,Produksjon av undertøy
C,Industri,14,Produksjon av klær,14.2,Produksjon av pelsvarer,14.23,Produksjon av arbeidstøy,14.230,Produksjon av arbeidstøy
C,Industri,14,Produksjon av klær,14.2,Produksjon av pelsvarer,14.24,Produksjon av klær av lær og pelsvarer,14.240,Produksjon av klær av lær og pelsvarer
C,Industri,14,Produksjon av klær,14.2,Produksjon av pelsvarer,14.29,Produksjon av klær og tilbehør ikke nevnt annet sted,14.290,Produksjon av klær og tilbehør ikke nevnt annet sted
C,Industri,14,Produksjon av klær,14.3,Produksjon av klær av trikotasje,14.31,Produksjon av strømpevarer,14.310,Produksjon av strømpevarer
C,Industri,14,Produksjon av klær,14.3,Produksjon av klær av trikotasje,14.39,Produksjon av andre klær av trikotasje,14.390,Produksjon av andre klær av trikotasje
